Code,Name,Bur Dubai,Sharjah,Ajman
MM-00037,PureSound Screen Protector - v3,19,11,0
MM-00038,PureSound Screen Protector - v4,3,1,19
MM-00039,Nova Car Mount - v1,0,24,9
MM-00040,Nova Car Mount - v2,25,24,13
MM-00041,Nova Car Mount - v3,21,12,8
MM-00042,Nova Car Mount - v4,24,16,13
MM-00043,Nova Car Mount - v5,3,20,3
MM-00044,Nova Car Mount - v6,21,16,5
MM-00045,Vantage Cable Type-C - v1,5,25,16
MM-00046,Vantage Cable Type-C - v2,17,14,13
MM-00047,Vantage Cable Type-C - v3,1,16,10
MM-00048,Nova Wireless Earbuds - v1,28,10,17
MM-00049,Nova Wireless Earbuds - v2,12,0,5
MM-00050,Nova Wireless Earbuds - v3,10,16,12
MM-00051,Nova Wireless Earbuds - v4,13,16,16
MM-00052,Nova Wireless Earbuds - v5,10,8,11
MM-00053,Nova Wireless Earbuds - v6,1,21,18
MM-00054,Zenlink Bluetooth Speaker - v1,30,7,17
MM-00055,Zenlink Bluetooth Speaker - v2,4,2,19
MM-00056,Zenlink Bluetooth Speaker - v3,27,17,1
MM-00057,Zenlink Bluetooth Speaker - v4,7,20,9
MM-00058,Zenlink Bluetooth Speaker - v5,0,16,9
MM-00059,Zenlink Bluetooth Speaker - v6,23,2,5
MM-00060,Nova Over-Ear Headphones - v1,17,9,19
MM-00061,Nova Over-Ear Headphones - v2,29,14,17
MM-00062,Nova Over-Ear Headphones - v3,12,7,20
MM-00063,Nova Over-Ear Headphones - v4,29,25,0
MM-00064,Zenlink Smart Watch - v1,11,3,6
MM-00065,Zenlink Smart Watch - v2,27,16,2
MM-00066,Zenlink Smart Watch - v3,7,15,8
MM-00067,Zenlink Smart Watch - v4,13,21,18
MM-00068,Nova Fitness Band - v1,2,11,0
MM-00069,Nova Fitness Band - v2,30,21,11
MM-00070,Nova Fitness Band - v3,10,21,14
MM-00071,Nova Fitness Band - v4,8,12,9
MM-00072,Nova Fitness Band - v5,16,1,1
MM-00073,PureSound Replacement Screen - v1,4,2,17
MM-00074,PureSound Replacement Screen - v2,2,11,10
MM-00075,PureSound Replacement Screen - v3,20,10,18
MM-00076,PureSound Replacement Screen - v4,25,6,10
MM-00077,PureSound Replacement Screen - v5,14,25,1
MM-00078,Orbit Replacement Battery - v1,19,16,6
MM-00079,Orbit Replacement Battery - v2,21,0,17
MM-00080,Orbit Replacement Battery - v3,8,23,4
MM-00081,Orbit Replacement Battery - v4,5,9,15
MM-00082,Orbit Replacement Battery - v5,8,25,20
MM-00083,Vantage Replacement Screen,23,12,2
MM-00084,Vantage Smart Watch,15,13,17
MM-00085,Orbit Smart Watch,14,9,2
MM-00086,Zenlink Fast Charger 20W,25,19,16
MM-00087,Nova Smartphone 256GB,1,19,3
MM-00088,Zenlink Smart Watch,14,16,2
MM-00089,Orbit Wireless Charger Pad,14,22,12
MM-00090,Falconx Replacement Battery,12,2,19
MM-00091,Falconx Car Mount,26,9,2
MM-00092,Zenlink Fast Charger 20W,4,0,11
MM-00093,Vantage Fitness Band,17,3,9
MM-00094,Orbit Smart Watch,25,12,7
MM-00095,Nova Screen Protector,3,5,14
MM-00096,Orbit Replacement Battery,1,12,9
MM-00097,Orbit Fitness Band,5,25,9
MM-00098,Orbit Car Mount,2,21,10
MM-00099,Orbit Wireless Charger Pad,13,5,10
MM-00100,Falconx Smartphone 256GB,0,13,9
MM-00101,Falconx Smart Watch,18,12,11
MM-00102,Zenlink Smartphone 256GB,8,21,14
MM-00103,Zenlink Fitness Band,20,11,17
MM-00104,Zenlink Fast Charger 65W,1,0,15
MM-00105,PureSound Cable Type-C,11,21,6
MM-00106,PureSound Cable Type-C,4,14,3
MM-00107,Zenlink Fitness Band,25,25,2
MM-00108,Orbit Wireless Charger Pad,27,25,5
MM-00109,PureSound Smartphone 128GB,10,15,15
MM-00110,Zenlink Replacement Screen,1,14,19
MM-00111,Falconx Over-Ear Headphones,1,14,18
MM-00112,PureSound Fitness Band,24,10,4
MM-00113,Vantage Fast Charger 65W,17,20,0
MM-00114,PureSound Cable Type-C,13,22,8
MM-00115,Vantage Fast Charger 20W,19,7,3
MM-00116,PureSound Smartphone 256GB,14,9,2
MM-00117,Falconx Smartphone 256GB,26,15,5
MM-00118,Zenlink Wireless Earbuds,13,15,1
MM-00119,PureSound Replacement Battery,2,16,14
MM-00120,Zenlink Wireless Earbuds,0,13,20
MM-00121,PureSound Replacement Screen,5,20,2
MM-00122,Falconx Smartphone 128GB,29,9,3
MM-00123,Nova Bluetooth Speaker,26,1,4
MM-00124,PureSound Bluetooth Speaker,28,16,10
MM-00125,Nova Replacement Battery,3,9,2
MM-00126,Falconx Wireless Charger Pad,3,24,15
MM-00127,PureSound Smart Watch,19,7,5
MM-00128,Falconx Fast Charger 20W,26,25,2
MM-00129,Vantage Wireless Earbuds,20,8,5
MM-00130,Falconx Fast Charger 20W,5,1,9
MM-00131,Nova Cable Type-C,26,13,7
MM-00132,Falconx Phone Case,17,24,6
MM-00133,PureSound Replacement Battery,11,20,5
MM-00134,Zenlink Smart Watch,24,13,17
MM-00135,Falconx Wireless Charger Pad,16,1,9
MM-00136,PureSound Replacement Screen,28,18,6
MM-00137,Nova Smartphone 256GB,26,22,16
MM-00138,Zenlink Wireless Earbuds,1,21,3
MM-00139,Orbit Wireless Earbuds,5,6,4
MM-00140,Nova Smartphone 256GB,28,5,10
MM-00141,Zenlink Fitness Band,27,13,10
MM-00142,PureSound Smart Watch,26,24,20
MM-00143,Nova Fitness Band,10,13,9
MM-00144,Orbit Replacement Screen,17,16,7
MM-00145,Orbit Smartphone Lite,11,8,12
MM-00146,Zenlink Replacement Screen,0,14,4
MM-00147,Falconx Bluetooth Speaker,16,22,13
MM-00148,Zenlink Wireless Charger Pad,20,10,6
MM-00149,Vantage Smartphone 256GB,8,0,0
MM-00150,Orbit Screen Protector,4,24,19
MM-00151,Nova Fast Charger 65W,15,7,6
MM-00152,Nova Replacement Battery,5,14,1
MM-00153,Vantage Wireless Charger Pad,7,19,14
MM-00154,PureSound Wireless Earbuds,4,5,13
MM-00155,Zenlink Smartphone Lite,26,18,16
MM-00156,Zenlink Wireless Charger Pad,2,8,3
MM-00157,Falconx Smartphone 128GB,12,21,19
MM-00158,Vantage Smartphone Lite,4,4,13
MM-00159,Vantage Smart Watch,6,18,19
MM-00160,Nova Replacement Battery,12,7,17
MM-00161,Nova Wireless Charger Pad,1,2,6
MM-00162,PureSound Fitness Band,3,11,18
MM-00163,Falconx Fitness Band,5,7,19
MM-00164,Nova Fitness Band,3,17,9
MM-00165,Falconx Wireless Charger Pad,7,23,18
MM-00166,Falconx Replacement Battery,9,7,6
MM-00167,PureSound Wireless Earbuds,20,1,9
MM-00168,Zenlink Cable Type-C,7,18,16
MM-00169,Vantage Bluetooth Speaker,27,7,16
MM-00170,Zenlink Smart Watch,17,17,19
MM-00171,Orbit Over-Ear Headphones,16,19,1
MM-00172,Nova Replacement Battery,9,12,10
MM-00173,Vantage Fast Charger 65W,2,20,7
MM-00174,Nova Over-Ear Headphones,12,20,16
MM-00175,PureSound Bluetooth Speaker,0,3,15
MM-00176,Vantage Replacement Battery,13,7,16
MM-00177,Vantage Replacement Battery,11,2,10
MM-00178,Vantage Smartphone Lite,30,14,14
MM-00179,Falconx Phone Case,8,19,14
MM-00180,Falconx Wireless Earbuds,10,13,18
MM-00181,Nova Cable Type-C,3,9,20
MM-00182,PureSound Smartphone Lite,29,3,20
MM-00183,Zenlink Smartphone Lite,10,7,2
MM-00184,Orbit Screen Protector,27,6,18
MM-00185,Vantage Fitness Band,15,14,2
MM-00186,Falconx Bluetooth Speaker,11,23,5
MM-00187,PureSound Replacement Battery,18,18,1
MM-00188,Orbit Fitness Band,2,3,7
MM-00189,Zenlink Wireless Charger Pad,22,2,20
MM-00190,Zenlink Replacement Battery,2,22,0
MM-00191,PureSound Smartphone 256GB,21,3,4
MM-00192,Falconx Wireless Earbuds,11,24,18
MM-00193,Zenlink Wireless Charger Pad,22,1,20
MM-00194,PureSound Screen Protector,17,0,18
MM-00195,Vantage Replacement Screen,2,13,0
MM-00196,Vantage Smartphone Lite,19,4,11
MM-00197,PureSound Wireless Earbuds,2,1,19
MM-00198,Orbit Car Mount,19,8,20
MM-00199,Zenlink Phone Case,2,15,10
MM-00200,Zenlink Fast Charger 20W,13,5,10
MM-00201,Orbit Smartphone 256GB,13,14,5
MM-00202,Falconx Smartphone 128GB,21,24,12
MM-00203,PureSound Smartphone 128GB,15,14,19
MM-00204,Falconx Over-Ear Headphones,5,3,8
MM-00205,Orbit Wireless Charger Pad,1,0,17
MM-00206,Falconx Fitness Band,11,14,2
MM-00207,Falconx Over-Ear Headphones,14,23,20
MM-00208,Vantage Over-Ear Headphones,4,23,11
MM-00209,Nova Screen Protector,14,15,0
MM-00210,Nova Smartphone 128GB,17,2,14
MM-00211,Zenlink Fast Charger 20W,0,20,16
MM-00212,Falconx Fast Charger 65W,4,2,18
MM-00213,Orbit Replacement Battery,18,9,18
MM-00214,PureSound Wireless Earbuds,4,6,11
MM-00215,Vantage Smartphone Lite,8,12,14
MM-00216,Orbit Bluetooth Speaker,23,14,9
MM-00217,Nova Replacement Battery,26,12,6
MM-00218,Zenlink Wireless Earbuds,8,20,17
MM-00219,Vantage Replacement Screen,15,19,11
MM-00220,PureSound Smartphone Lite,5,13,11
MM-00221,Orbit Wireless Charger Pad,26,6,9
MM-00222,Orbit Cable Type-C,11,25,15
MM-00223,PureSound Smartphone 128GB,27,8,14
MM-00224,PureSound Replacement Screen,1,5,5
MM-00225,Vantage Smartphone Lite,8,25,5
MM-00226,Zenlink Fitness Band,21,20,17
MM-00227,Orbit Bluetooth Speaker,25,25,19
MM-00228,Nova Fast Charger 65W,6,14,5
MM-00229,Zenlink Fitness Band,8,18,4
MM-00230,PureSound Smart Watch,6,10,1
MM-00231,PureSound Replacement Battery,10,12,14
MM-00232,Nova Smartphone 256GB,29,7,3
MM-00233,Nova Fitness Band,26,19,14
MM-00234,Orbit Car Mount,7,8,2
MM-00235,Vantage Smart Watch,22,0,18
MM-00236,PureSound Smart Watch,14,16,5
MM-00237,Zenlink Cable Type-C,15,0,16
MM-00238,Orbit Wireless Earbuds,26,20,4
MM-00239,Falconx Wireless Earbuds,4,7,20
MM-00240,PureSound Cable Type-C,1,12,15
MM-00241,Falconx Fast Charger 65W,27,13,5
MM-00242,Nova Fitness Band,3,6,6
MM-00243,Zenlink Phone Case,15,21,6
MM-00244,Orbit Phone Case,17,20,15
MM-00245,Vantage Replacement Battery,1,12,14
MM-00246,Nova Replacement Screen,19,0,9
MM-00247,Nova Smartphone 128GB,20,24,19
MM-00248,PureSound Fitness Band,2,16,18
MM-00249,Falconx Smart Watch,9,20,4
MM-00250,Zenlink Car Mount,20,9,14
MM-00251,PureSound Wireless Charger Pad,6,7,12
MM-00252,Vantage Over-Ear Headphones,26,6,4
MM-00253,Zenlink Over-Ear Headphones,0,12,17
MM-00254,Orbit Smartphone Lite,26,24,2
MM-00255,Vantage Smart Watch,24,4,4
MM-00256,Vantage Phone Case,5,4,18
MM-00257,PureSound Car Mount,17,15,19
MM-00258,Vantage Replacement Battery,1,7,20
MM-00259,PureSound Wireless Charger Pad,27,3,1
MM-00260,Falconx Cable Type-C,17,7,17
MM-00261,Orbit Smartphone 256GB,13,21,15
MM-00262,Zenlink Phone Case,11,10,17
MM-00263,Zenlink Replacement Battery,10,20,7
MM-00264,Vantage Cable Type-C,2,13,2
MM-00265,Falconx Wireless Charger Pad,28,23,11
MM-00266,Orbit Smart Watch,21,1,15
MM-00267,Zenlink Fast Charger 20W,23,20,9
MM-00268,Zenlink Fast Charger 20W,26,10,19
MM-00269,PureSound Fast Charger 20W,27,25,2
MM-00270,Zenlink Cable Type-C,14,6,7
MM-00271,PureSound Wireless Charger Pad,4,17,18
MM-00272,Vantage Smartphone Lite,10,18,4
MM-00273,Nova Smart Watch,19,25,2
MM-00274,Vantage Smart Watch,28,9,8
MM-00275,PureSound Replacement Battery,19,4,7
MM-00276,Zenlink Car Mount,19,25,6
MM-00277,Nova Wireless Charger Pad,9,24,20
MM-00278,PureSound Replacement Screen,1,10,10
MM-00279,Zenlink Fast Charger 65W,26,15,5
MM-00280,Zenlink Bluetooth Speaker,22,5,14
MM-00281,PureSound Replacement Screen,20,0,6
MM-00282,PureSound Replacement Battery,23,3,20
MM-00283,Zenlink Replacement Screen,5,0,1
MM-00284,PureSound Replacement Battery,11,18,17
MM-00285,Vantage Replacement Battery,4,0,12
MM-00286,Vantage Fitness Band,29,25,2
MM-00287,Orbit Over-Ear Headphones,3,6,6
MM-00288,Nova Smartphone 256GB,20,2,18
MM-00289,Nova Phone Case,16,4,14
MM-00290,Zenlink Smartphone 128GB,9,25,19
MM-00291,PureSound Phone Case,29,9,19
MM-00292,Zenlink Smart Watch,19,1,8
MM-00293,Falconx Fast Charger 65W,10,16,6
MM-00294,Zenlink Fast Charger 65W,22,14,10
MM-00295,Nova Fitness Band,30,16,18
MM-00296,Nova Fitness Band,27,16,0
MM-00297,Vantage Wireless Earbuds,24,1,19
MM-00298,Orbit Replacement Battery,27,4,10
MM-00299,Zenlink Smart Watch,21,13,6
MM-00300,Falconx Replacement Battery,1,10,12
MM-00301,Nova Replacement Screen,3,20,11
MM-00302,Zenlink Smartphone Lite,21,25,12
MM-00303,Falconx Wireless Earbuds,14,15,3
MM-00304,Orbit Fast Charger 20W,30,8,8
MM-00305,Nova Smartphone Lite,18,8,8
MM-00306,Nova Replacement Screen,24,8,12
MM-00307,PureSound Cable Type-C,15,4,19
MM-00308,Vantage Smartphone 128GB,1,10,11
MM-00309,Nova Replacement Screen,19,8,13
MM-00310,Vantage Wireless Charger Pad,27,14,5
MM-00311,Zenlink Screen Protector,24,0,11
MM-00312,PureSound Replacement Battery,27,22,3
MM-00313,Vantage Wireless Earbuds,18,3,20
MM-00314,PureSound Fast Charger 20W,27,18,11
MM-00315,Nova Cable Type-C,22,23,16
MM-00316,Nova Cable Type-C,23,17,2
MM-00317,Zenlink Fast Charger 65W,19,24,18
MM-00318,Nova Replacement Battery,29,9,16
MM-00319,PureSound Smart Watch,17,3,3
MM-00320,Orbit Smartphone 128GB,14,8,16
MM-00321,Nova Wireless Earbuds,17,7,10
MM-00322,Falconx Fitness Band,1,2,20
MM-00323,Vantage Cable Type-C,28,21,8
MM-00324,Nova Smartphone Lite,5,1,3
MM-00325,Orbit Screen Protector,1,25,9
MM-00326,Nova Replacement Screen,0,18,15
MM-00327,PureSound Cable Type-C,0,21,11
MM-00328,Orbit Replacement Battery,21,13,13
MM-00329,Falconx Bluetooth Speaker,7,23,11
MM-00330,Falconx Fitness Band,27,12,19
MM-00331,Zenlink Fitness Band,9,3,12
MM-00332,Vantage Screen Protector,8,1,1
MM-00333,Zenlink Wireless Charger Pad,14,14,10
MM-00334,Zenlink Fitness Band,5,25,3
MM-00335,Nova Phone Case,6,17,16
MM-00336,Vantage Fitness Band,7,21,4
MM-00337,Nova Fast Charger 20W,7,2,7
MM-00338,Zenlink Fast Charger 65W,26,22,9
MM-00339,Zenlink Phone Case,12,25,1
MM-00340,Orbit Smartphone 256GB,9,10,13
MM-00341,Falconx Smart Watch,27,8,9
MM-00342,Vantage Fast Charger 20W,25,9,20
MM-00343,Nova Smart Watch,0,11,8
MM-00344,Zenlink Replacement Battery,20,21,6
MM-00345,PureSound Cable Type-C,17,15,20
MM-00346,Nova Smart Watch,18,13,17
MM-00347,Nova Smart Watch,7,0,15
MM-00348,Vantage Wireless Earbuds,7,18,7
MM-00349,Nova Wireless Charger Pad,18,11,10
MM-00350,Falconx Replacement Battery,21,5,3
MM-00351,Orbit Over-Ear Headphones,11,5,8
MM-00352,PureSound Over-Ear Headphones,0,8,19
MM-00353,Orbit Fitness Band,6,9,16
MM-00354,Orbit Smart Watch,14,19,12
MM-00355,Vantage Smartphone Lite,12,15,9
MM-00356,Nova Bluetooth Speaker,16,18,10
MM-00357,Orbit Smartphone 256GB,5,24,8
MM-00358,PureSound Fitness Band,25,4,4
MM-00359,Zenlink Fast Charger 65W,0,0,6
MM-00360,Zenlink Wireless Earbuds,0,1,5
MM-00361,Falconx Bluetooth Speaker,5,20,1
MM-00362,Zenlink Smartphone 256GB,9,0,15
MM-00363,Zenlink Screen Protector,15,12,1
MM-00364,Zenlink Smartphone 256GB,6,9,20
MM-00365,Vantage Fitness Band,19,15,8
MM-00366,PureSound Smartphone 128GB,20,1,7
MM-00367,Zenlink Phone Case,20,5,6
MM-00368,Nova Smart Watch,29,22,14
MM-00369,Vantage Smart Watch,2,19,13
MM-00370,PureSound Fast Charger 20W,17,15,12
MM-00371,Falconx Smartphone Lite,7,20,16
MM-00372,Falconx Car Mount,11,10,15
MM-00373,Nova Over-Ear Headphones,13,7,20
MM-00374,Nova Wireless Earbuds,23,14,16
MM-00375,PureSound Smartphone 128GB,23,4,19
MM-00376,Nova Phone Case,12,14,18
MM-00377,PureSound Wireless Earbuds,11,9,4
MM-00378,Falconx Wireless Earbuds,12,14,12
MM-00379,Nova Cable Type-C,14,21,3
MM-00380,Orbit Smartphone 256GB,24,12,13
MM-00381,Nova Fitness Band,22,1,19
MM-00382,Vantage Replacement Battery,4,22,3
MM-00383,Zenlink Fitness Band,22,4,5
MM-00384,Zenlink Smart Watch,22,0,17
MM-00385,Falconx Smartphone 128GB,20,25,13
MM-00386,Zenlink Replacement Screen,12,8,8
MM-00387,Zenlink Screen Protector,18,3,7
MM-00388,Vantage Screen Protector,12,5,7
MM-00389,Vantage Smart Watch,26,7,18
MM-00390,Vantage Wireless Earbuds,0,4,13
MM-00391,Vantage Fast Charger 20W,19,5,7
MM-00392,Orbit Smart Watch,13,11,8
MM-00393,PureSound Wireless Charger Pad,14,6,10
MM-00394,Orbit Screen Protector,6,17,11
MM-00395,Zenlink Wireless Earbuds,10,18,16
MM-00396,Orbit Fast Charger 65W,23,23,11
MM-00397,PureSound Over-Ear Headphones,27,15,20
MM-00398,Vantage Cable Type-C,18,22,1
MM-00399,Zenlink Over-Ear Headphones,14,19,12
