SKU,Item Name,Category,Unit,Cost,Selling Price (VAT incl.),Opening Qty,Barcode,Tax Group
PRF-0056,Amber Musk EDP 4,Perfumes,Each,68.50,120.13,77,6283973747378,Standard 5%
PRF-0057,Amber Musk EDP 5,Perfumes,Each,185.24,383.96,35,6287081757516,Standard 5%
PRF-0058,Amber Musk EDP 6,Perfumes,Each,189.44,371.95,41,6281982946691,Standard 5%
PRF-0059,White Oud EDP 1,Perfumes,Each,219.65,454.90,5,6284969159960,Standard 5%
PRF-0060,White Oud EDP 2,Perfumes,Each,64.81,128.02,34,6282277787083,Standard 5%
PRF-0061,White Oud EDP 3,Perfumes,Each,125.50,264.98,36,6286503288199,Standard 5%
PRF-0062,White Oud EDP 4,Perfumes,Each,160.24,333.19,49,6288097410625,Standard 5%
PRF-0063,White Oud EDP 5,Perfumes,Each,146.72,241.67,60,6282752169998,Standard 5%
PRF-0064,White Oud EDP 6,Perfumes,Each,144.54,224.00,28,6289521705041,Standard 5%
PRF-0065,Rose Garden EDP 1,Perfumes,Each,35.25,60.22,58,6281168630170,Standard 5%
PRF-0066,Rose Garden EDP 2,Perfumes,Each,21.88,31.88,62,6288617333566,Standard 5%
PRF-0067,Rose Garden EDP 3,Perfumes,Each,150.98,251.29,37,6282176553279,Standard 5%
PRF-0068,Rose Garden EDP 4,Perfumes,Each,54.79,116.73,57,6288942132163,Standard 5%
PRF-0069,Rose Garden EDP 5,Perfumes,Each,80.11,157.34,29,6283317843019,Standard 5%
PRF-0070,Rose Garden EDP 6,Perfumes,Each,128.33,201.32,2,6287948049074,Standard 5%
PRF-0071,Rose Garden EDP 7,Perfumes,Each,73.53,125.93,15,6282591950161,Standard 5%
PRF-0072,Saffron Oud EDP 1,Perfumes,Each,118.15,213.72,15,6283501468315,Standard 5%
PRF-0073,Saffron Oud EDP 2,Perfumes,Each,176.63,311.46,56,6289061262291,Standard 5%
PRF-0074,Saffron Oud EDP 3,Perfumes,Each,49.77,81.17,31,6282351414895,Standard 5%
PRF-0075,Saffron Oud EDP 4,Perfumes,Each,75.50,154.75,57,6288802997859,Standard 5%
BKH-0076,Bakhoor Chips 40g 1,Bakhoor,Each,26.47,51.77,8,6288552672540,Standard 5%
BKH-0077,Bakhoor Chips 40g 2,Bakhoor,Each,205.74,375.47,29,6289337420515,Standard 5%
BKH-0078,Bakhoor Chips 40g 3,Bakhoor,Each,115.19,247.43,70,6289126252587,Standard 5%
BKH-0079,Bakhoor Chips 40g 4,Bakhoor,Each,176.36,319.83,72,6286861611266,Standard 5%
BKH-0080,Bakhoor Chips 40g 5,Bakhoor,Each,50.11,88.03,16,6282515894755,Standard 5%
BKH-0081,Bakhoor Chips 40g 6,Bakhoor,Each,135.59,203.68,44,6285350593750,Standard 5%
BKH-0082,Bakhoor Chips 40g 7,Bakhoor,Each,91.32,186.62,2,6282630596698,Standard 5%
BKH-0083,Bakhoor Chips 100g 1,Bakhoor,Each,134.59,267.17,29,6283611824673,Standard 5%
BKH-0084,Bakhoor Chips 100g 2,Bakhoor,Each,171.67,285.48,30,6282089761191,Standard 5%
BKH-0085,Bakhoor Chips 100g 3,Bakhoor,Each,216.27,473.76,60,6289418887357,Standard 5%
BKH-0086,Mabsoos Bakhoor 1,Bakhoor,Each,13.39,24.79,22,6287750498098,Standard 5%
BKH-0087,Mabsoos Bakhoor 2,Bakhoor,Each,111.21,165.02,51,6281108585007,Standard 5%
BKH-0088,Mabsoos Bakhoor 3,Bakhoor,Each,127.89,197.80,46,6289156889513,Standard 5%
BKH-0089,Mabsoos Bakhoor 4,Bakhoor,Each,60.54,97.56,15,6284633511162,Standard 5%
BKH-0090,Mabsoos Bakhoor 5,Bakhoor,Each,148.70,204.48,7,6288438675873,Standard 5%
BKH-0091,Mabsoos Bakhoor 6,Bakhoor,Each,25.76,35.50,10,6283484837493,Standard 5%
BKH-0092,Mabsoos Bakhoor 7,Bakhoor,Each,142.71,314.29,8,6286500652492,Standard 5%
GFT-0093,Oud & Attar Gift Set 1,Gift Sets,Each,188.98,372.83,53,6282722497565,Standard 5%
GFT-0094,Oud & Attar Gift Set 2,Gift Sets,Each,68.33,98.27,11,6282567658357,Standard 5%
GFT-0095,Oud & Attar Gift Set 3,Gift Sets,Each,87.71,192.92,78,6281577138287,Standard 5%
GFT-0096,Wedding Gift Set 1,Gift Sets,Each,19.02,38.92,34,6288836853663,Standard 5%
GFT-0097,Wedding Gift Set 2,Gift Sets,Each,79.87,165.65,49,6286982077936,Standard 5%
GFT-0098,Wedding Gift Set 3,Gift Sets,Each,107.54,221.25,28,6283708025151,Standard 5%
GFT-0099,Wedding Gift Set 4,Gift Sets,Each,76.92,161.02,38,6282251229193,Standard 5%
GFT-0100,Eid Gift Set 1,Gift Sets,Each,184.97,257.41,14,6289586467818,Standard 5%
GFT-0101,Eid Gift Set 2,Gift Sets,Each,24.77,49.81,9,6281499849105,Standard 5%
GFT-0102,Eid Gift Set 3,Gift Sets,Each,169.96,358.85,77,6288044856806,Standard 5%
GFT-0103,Eid Gift Set 4,Gift Sets,Each,95.55,145.81,14,6289224037170,Standard 5%
GFT-0104,Eid Gift Set 5,Gift Sets,Each,57.92,116.06,20,6285532662416,Standard 5%
GFT-0105,Eid Gift Set 6,Gift Sets,Each,66.24,144.62,47,6285681629641,Standard 5%
MSK-0106,White Musk Oil 1,Musk & Amber,Each,211.67,304.91,29,6288434961410,Standard 5%
MSK-0107,White Musk Oil 2,Musk & Amber,Each,202.10,297.90,57,6288463486389,Standard 5%
MSK-0108,White Musk Oil 3,Musk & Amber,Each,135.83,255.97,1,6285896250786,Standard 5%
MSK-0109,White Musk Oil 4,Musk & Amber,Each,22.98,44.92,49,6284810563633,Standard 5%
MSK-0110,White Musk Oil 5,Musk & Amber,Each,174.83,376.25,28,6281186487835,Standard 5%
MSK-0111,Black Musk Oil 1,Musk & Amber,Each,67.53,141.00,35,6282934945305,Standard 5%
MSK-0112,Black Musk Oil 2,Musk & Amber,Each,54.74,103.50,75,6285546852848,Standard 5%
MSK-0113,Black Musk Oil 3,Musk & Amber,Each,62.30,131.76,8,6288196763682,Standard 5%
MSK-0114,Black Musk Oil 4,Musk & Amber,Each,115.92,249.21,69,6285289898929,Standard 5%
MSK-0115,Black Musk Oil 5,Musk & Amber,Each,173.21,299.34,63,6282864152631,Standard 5%
MSK-0116,Black Musk Oil 6,Musk & Amber,Each,50.92,90.80,76,6282910192348,Standard 5%
MSK-0117,Black Musk Oil 7,Musk & Amber,Each,29.03,51.82,6,6282064797207,Standard 5%
MSK-0118,Amber Oil 1,Musk & Amber,Each,61.14,130.13,52,6284243053675,Standard 5%
MSK-0119,Amber Oil 2,Musk & Amber,Each,32.89,51.19,63,6285607389120,Standard 5%
MSK-0120,Amber Oil 3,Musk & Amber,Each,123.78,175.15,71,6284975445888,Standard 5%
MSK-0121,Amber Oil 4,Musk & Amber,Each,95.00,170.55,21,6282755045540,Standard 5%
INC-0122,Electric Bakhoor Burner 1,Incense Burners,Each,62.06,106.69,36,6285617131982,Standard 5%
INC-0123,Electric Bakhoor Burner 2,Incense Burners,Each,133.94,265.69,6,6287559238270,Standard 5%
INC-0124,Electric Bakhoor Burner 3,Incense Burners,Each,111.92,218.77,2,6289643883997,Standard 5%
INC-0125,Electric Bakhoor Burner 4,Incense Burners,Each,140.19,277.04,43,6285438219001,Standard 5%
INC-0126,Electric Bakhoor Burner 5,Incense Burners,Each,121.34,187.34,63,6288732389144,Standard 5%
INC-0127,Electric Bakhoor Burner 6,Incense Burners,Each,137.25,259.36,26,6284258686637,Standard 5%
INC-0128,Electric Bakhoor Burner 7,Incense Burners,Each,42.10,82.60,38,6287151840177,Standard 5%
INC-0129,Traditional Mabkhara 1,Incense Burners,Each,128.45,281.24,30,6288083263952,Standard 5%
INC-0130,Traditional Mabkhara 2,Incense Burners,Each,175.89,251.28,5,6282020723639,Standard 5%
INC-0131,Traditional Mabkhara 3,Incense Burners,Each,152.76,270.01,23,6286313153548,Standard 5%
TRV-0132,Travel Attar Set 6x3ml 1,Travel Sets,Each,40.93,75.19,32,6289541364093,Standard 5%
TRV-0133,Travel Attar Set 6x3ml 2,Travel Sets,Each,85.86,141.32,21,6285362828015,Standard 5%
TRV-0134,Travel Attar Set 6x3ml 3,Travel Sets,Each,81.30,163.71,0,6288050405607,Standard 5%
TRV-0135,Travel Perfume Set 3x15ml 1,Travel Sets,Each,154.46,287.09,56,6289467264903,Standard 5%
TRV-0136,Travel Perfume Set 3x15ml 2,Travel Sets,Each,156.12,241.66,16,6286102612583,Standard 5%
TRV-0137,Travel Perfume Set 3x15ml 3,Travel Sets,Each,210.22,388.06,16,6281849387439,Standard 5%
TRV-0138,Travel Perfume Set 3x15ml 4,Travel Sets,Each,32.10,62.78,76,6285323837936,Standard 5%
