Name (primary),Name (secondary),SKU,Barcode,Category Code,Tax Group,Cost,Sell Price,Base Unit,Brand,Reorder Level,Wholesale Price
White Oud EDP 3,,PRF-0061,6286503288199,PRF,Standard 5%,125.50,264.98,Each,,10,
White Oud EDP 4,,PRF-0062,6288097410625,PRF,Standard 5%,160.24,333.19,Each,,10,
White Oud EDP 5,,PRF-0063,6282752169998,PRF,Standard 5%,146.72,241.67,Each,,10,
White Oud EDP 6,,PRF-0064,6289521705041,PRF,Standard 5%,144.54,224.00,Each,,10,
Rose Garden EDP 1,,PRF-0065,6281168630170,PRF,Standard 5%,35.25,60.22,Each,,10,
Rose Garden EDP 2,,PRF-0066,6288617333566,PRF,Standard 5%,21.88,31.88,Each,,10,
Rose Garden EDP 3,,PRF-0067,6282176553279,PRF,Standard 5%,150.98,251.29,Each,,10,
Rose Garden EDP 4,,PRF-0068,6288942132163,PRF,Standard 5%,54.79,116.73,Each,,10,
Rose Garden EDP 5,,PRF-0069,6283317843019,PRF,Standard 5%,80.11,157.34,Each,,10,
Rose Garden EDP 6,,PRF-0070,6287948049074,PRF,Standard 5%,128.33,201.32,Each,,10,
Rose Garden EDP 7,,PRF-0071,6282591950161,PRF,Standard 5%,73.53,125.93,Each,,10,
Saffron Oud EDP 1,,PRF-0072,6283501468315,PRF,Standard 5%,118.15,213.72,Each,,10,
Saffron Oud EDP 2,,PRF-0073,6289061262291,PRF,Standard 5%,176.63,311.46,Each,,10,
Saffron Oud EDP 3,,PRF-0074,6282351414895,PRF,Standard 5%,49.77,81.17,Each,,10,
Saffron Oud EDP 4,,PRF-0075,6288802997859,PRF,Standard 5%,75.50,154.75,Each,,10,
Bakhoor Chips 40g 1,,BKH-0076,6288552672540,BKH,Standard 5%,26.47,51.77,Each,,10,
Bakhoor Chips 40g 2,,BKH-0077,6289337420515,BKH,Standard 5%,205.74,375.47,Each,,10,
Bakhoor Chips 40g 3,,BKH-0078,6289126252587,BKH,Standard 5%,115.19,247.43,Each,,10,
Bakhoor Chips 40g 4,,BKH-0079,6286861611266,BKH,Standard 5%,176.36,319.83,Each,,10,
Bakhoor Chips 40g 5,,BKH-0080,6282515894755,BKH,Standard 5%,50.11,88.03,Each,,10,
Bakhoor Chips 40g 6,,BKH-0081,6285350593750,BKH,Standard 5%,135.59,203.68,Each,,10,
Bakhoor Chips 40g 7,,BKH-0082,6282630596698,BKH,Standard 5%,91.32,186.62,Each,,10,
Bakhoor Chips 100g 1,,BKH-0083,6283611824673,BKH,Standard 5%,134.59,267.17,Each,,10,
Bakhoor Chips 100g 2,,BKH-0084,6282089761191,BKH,Standard 5%,171.67,285.48,Each,,10,
Bakhoor Chips 100g 3,,BKH-0085,6289418887357,BKH,Standard 5%,216.27,473.76,Each,,10,
Mabsoos Bakhoor 1,,BKH-0086,6287750498098,BKH,Standard 5%,13.39,24.79,Each,,10,
Mabsoos Bakhoor 2,,BKH-0087,6281108585007,BKH,Standard 5%,111.21,165.02,Each,,10,
Mabsoos Bakhoor 3,,BKH-0088,6289156889513,BKH,Standard 5%,127.89,197.80,Each,,10,
Mabsoos Bakhoor 4,,BKH-0089,6284633511162,BKH,Standard 5%,60.54,97.56,Each,,10,
Mabsoos Bakhoor 5,,BKH-0090,6288438675873,BKH,Standard 5%,148.70,204.48,Each,,10,
Mabsoos Bakhoor 6,,BKH-0091,6283484837493,BKH,Standard 5%,25.76,35.50,Each,,10,
Mabsoos Bakhoor 7,,BKH-0092,6286500652492,BKH,Standard 5%,142.71,314.29,Each,,10,
Oud & Attar Gift Set 1,,GFT-0093,6282722497565,GFT,Standard 5%,188.98,372.83,Each,,10,
Oud & Attar Gift Set 2,,GFT-0094,6282567658357,GFT,Standard 5%,68.33,98.27,Each,,10,
Oud & Attar Gift Set 3,,GFT-0095,6281577138287,GFT,Standard 5%,87.71,192.92,Each,,10,
Wedding Gift Set 1,,GFT-0096,6288836853663,GFT,Standard 5%,19.02,38.92,Each,,10,
Wedding Gift Set 2,,GFT-0097,6286982077936,GFT,Standard 5%,79.87,165.65,Each,,10,
Wedding Gift Set 3,,GFT-0098,6283708025151,GFT,Standard 5%,107.54,221.25,Each,,10,
Wedding Gift Set 4,,GFT-0099,6282251229193,GFT,Standard 5%,76.92,161.02,Each,,10,
Eid Gift Set 1,,GFT-0100,6289586467818,GFT,Standard 5%,184.97,257.41,Each,,10,
Eid Gift Set 2,,GFT-0101,6281499849105,GFT,Standard 5%,24.77,49.81,Each,,10,
Eid Gift Set 3,,GFT-0102,6288044856806,GFT,Standard 5%,169.96,358.85,Each,,10,
Eid Gift Set 4,,GFT-0103,6289224037170,GFT,Standard 5%,95.55,145.81,Each,,10,
Eid Gift Set 5,,GFT-0104,6285532662416,GFT,Standard 5%,57.92,116.06,Each,,10,
Eid Gift Set 6,,GFT-0105,6285681629641,GFT,Standard 5%,66.24,144.62,Each,,10,
White Musk Oil 1,,MSK-0106,6288434961410,MSK,Standard 5%,211.67,304.91,Each,,10,
White Musk Oil 2,,MSK-0107,6288463486389,MSK,Standard 5%,202.10,297.90,Each,,10,
White Musk Oil 3,,MSK-0108,6285896250786,MSK,Standard 5%,135.83,255.97,Each,,10,
White Musk Oil 4,,MSK-0109,6284810563633,MSK,Standard 5%,22.98,44.92,Each,,10,
White Musk Oil 5,,MSK-0110,6281186487835,MSK,Standard 5%,174.83,376.25,Each,,10,
Black Musk Oil 1,,MSK-0111,6282934945305,MSK,Standard 5%,67.53,141.00,Each,,10,
Black Musk Oil 2,,MSK-0112,6285546852848,MSK,Standard 5%,54.74,103.50,Each,,10,
Black Musk Oil 3,,MSK-0113,6288196763682,MSK,Standard 5%,62.30,131.76,Each,,10,
Black Musk Oil 4,,MSK-0114,6285289898929,MSK,Standard 5%,115.92,249.21,Each,,10,
Black Musk Oil 5,,MSK-0115,6282864152631,MSK,Standard 5%,173.21,299.34,Each,,10,
Black Musk Oil 6,,MSK-0116,6282910192348,MSK,Standard 5%,50.92,90.80,Each,,10,
Black Musk Oil 7,,MSK-0117,6282064797207,MSK,Standard 5%,29.03,51.82,Each,,10,
Amber Oil 1,,MSK-0118,6284243053675,MSK,Standard 5%,61.14,130.13,Each,,10,
Amber Oil 2,,MSK-0119,6285607389120,MSK,Standard 5%,32.89,51.19,Each,,10,
Amber Oil 3,,MSK-0120,6284975445888,MSK,Standard 5%,123.78,175.15,Each,,10,
Amber Oil 4,,MSK-0121,6282755045540,MSK,Standard 5%,95.00,170.55,Each,,10,
Electric Bakhoor Burner 1,,INC-0122,6285617131982,INC,Standard 5%,62.06,106.69,Each,,10,
Electric Bakhoor Burner 2,,INC-0123,6287559238270,INC,Standard 5%,133.94,265.69,Each,,10,
Electric Bakhoor Burner 3,,INC-0124,6289643883997,INC,Standard 5%,111.92,218.77,Each,,10,
Electric Bakhoor Burner 4,,INC-0125,6285438219001,INC,Standard 5%,140.19,277.04,Each,,10,
Electric Bakhoor Burner 5,,INC-0126,6288732389144,INC,Standard 5%,121.34,187.34,Each,,10,
Electric Bakhoor Burner 6,,INC-0127,6284258686637,INC,Standard 5%,137.25,259.36,Each,,10,
Electric Bakhoor Burner 7,,INC-0128,6287151840177,INC,Standard 5%,42.10,82.60,Each,,10,
Traditional Mabkhara 1,,INC-0129,6288083263952,INC,Standard 5%,128.45,281.24,Each,,10,
Traditional Mabkhara 2,,INC-0130,6282020723639,INC,Standard 5%,175.89,251.28,Each,,10,
Traditional Mabkhara 3,,INC-0131,6286313153548,INC,Standard 5%,152.76,270.01,Each,,10,
Travel Attar Set 6x3ml 1,,TRV-0132,6289541364093,TRV,Standard 5%,40.93,75.19,Each,,10,
Travel Attar Set 6x3ml 2,,TRV-0133,6285362828015,TRV,Standard 5%,85.86,141.32,Each,,10,
Travel Attar Set 6x3ml 3,,TRV-0134,6288050405607,TRV,Standard 5%,81.30,163.71,Each,,10,
Travel Perfume Set 3x15ml 1,,TRV-0135,6289467264903,TRV,Standard 5%,154.46,287.09,Each,,10,
Travel Perfume Set 3x15ml 2,,TRV-0136,6286102612583,TRV,Standard 5%,156.12,241.66,Each,,10,
Travel Perfume Set 3x15ml 3,,TRV-0137,6281849387439,TRV,Standard 5%,210.22,388.06,Each,,10,
Travel Perfume Set 3x15ml 4,,TRV-0138,6285323837936,TRV,Standard 5%,32.10,62.78,Each,,10,
