Doc No,Account No,Customer,Value (AED),Date,Status,Project Ref
QT-2026-0023,CN-01967,Reliable Contracting LLC,"133,974.89",2026-06-15,Quotation,Mall Fit-out - Sharjah
QT-2026-0024,CN-04004,Union Interiors LLC,"35,406.92",2026-06-07,Part-Delivered,Villa - Arabian Ranches
QT-2026-0025,CN-02607,Falcon Contracting LLC,"31,660.29",2026-06-02,Part-Delivered,Maintenance
QT-2026-0026,CN-01902,Marina Real Estate Development,"132,839.94",2026-06-05,Quotation,Tower - Business Bay
QT-2026-0027,CN-01168,Prime Interiors LLC,"15,803.73",2026-06-11,Quotation,Warehouse - Jebel Ali
QT-2026-0028,CN-02962,Reliable Interiors LLC,"71,666.62",2026-06-02,Part-Delivered,Tower - Business Bay
QT-2026-0029,CN-02143,Marina Construction Co,"84,719.15",2026-06-09,Quotation,Maintenance
QT-2026-0030,CN-03976,Reliable Real Estate Development,"24,621.26",2026-06-08,Confirmed Order,Mall Fit-out - Sharjah
QT-2026-0031,CN-02930,Capital Maintenance Co,"52,885.89",2026-06-13,Confirmed Order,
QT-2026-0032,CN-02678,Oasis Real Estate Development,"16,344.07",2026-06-07,Part-Delivered,Villa - Arabian Ranches
QT-2026-0033,CN-01717,Gulf Contracting LLC,"96,073.55",2026-06-12,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0034,CN-01830,Prime MEP Services,"73,093.38",2026-06-02,Confirmed Order,
QT-2026-0035,CN-00670,Oasis Trading Est,"57,893.45",2026-06-08,Confirmed Order,Tower - Business Bay
QT-2026-0036,CN-02045,Capital Real Estate Development,"18,812.24",2026-06-06,Confirmed Order,Fit-out
QT-2026-0037,CN-04107,Emirates Trading Est,"74,584.02",2026-06-14,Confirmed Order,Tower - Business Bay
QT-2026-0038,CN-02118,Reliable Interiors LLC,"50,425.08",2026-06-05,Quotation,Maintenance
QT-2026-0039,CN-01690,National Engineering Consultants,"85,920.04",2026-06-12,Quotation,
QT-2026-0040,CN-03978,Al Reem Maintenance Co,"129,683.82",2026-06-03,Quotation,Mall Fit-out - Sharjah
QT-2026-0041,CN-01370,Pearl Maintenance Co,"134,478.10",2026-06-05,Quotation,
QT-2026-0042,CN-02094,Al Reem Engineering Consultants,"26,304.57",2026-06-08,Part-Delivered,Villa - Arabian Ranches
QT-2026-0043,CN-01755,National Construction Co,"111,068.10",2026-06-09,Quotation,Fit-out
QT-2026-0044,CN-03670,Emirates Construction Co,"82,365.37",2026-06-01,Confirmed Order,Tower - Business Bay
QT-2026-0045,CN-04087,Falcon MEP Services,"1,020.60",2026-06-03,Quotation,Maintenance
QT-2026-0046,CN-01657,Desert Engineering Consultants,"32,989.37",2026-06-02,Part-Delivered,Fit-out
QT-2026-0047,CN-03572,Marina Engineering Consultants,"31,942.85",2026-06-09,Quotation,Maintenance
QT-2026-0048,CN-04051,Emirates Construction Co,"59,056.88",2026-06-06,Quotation,Tower - Business Bay
QT-2026-0049,CN-00459,Modern Builders LLC,"130,824.19",2026-06-01,Part-Delivered,Maintenance
QT-2026-0050,CN-00165,Modern Builders LLC,"37,443.09",2026-06-07,Part-Delivered,Fit-out
QT-2026-0051,CN-00450,Pearl Maintenance Co,"106,052.32",2026-06-05,Confirmed Order,Villa - Arabian Ranches
QT-2026-0052,CN-03266,Meraas Builders LLC,"103,021.98",2026-06-14,Quotation,Fit-out
QT-2026-0053,CN-03933,Modern MEP Services,"49,541.30",2026-06-01,Confirmed Order,Villa - Arabian Ranches
QT-2026-0054,CN-00396,Capital Builders LLC,"124,831.60",2026-06-07,Confirmed Order,Tower - Business Bay
QT-2026-0055,CN-00446,Prime Real Estate Development,"78,851.17",2026-06-03,Part-Delivered,Fit-out
QT-2026-0056,CN-00908,Reliable Interiors LLC,"122,284.05",2026-06-07,Quotation,Mall Fit-out - Sharjah
QT-2026-0057,CN-02759,Prime Builders LLC,"122,858.01",2026-06-09,Quotation,
QT-2026-0058,CN-00313,Emirates MEP Services,"86,193.85",2026-06-11,Confirmed Order,
QT-2026-0059,CN-01644,Pearl Engineering Consultants,"69,923.59",2026-06-14,Confirmed Order,Fit-out
QT-2026-0060,CN-01233,Emirates Engineering Consultants,"97,129.79",2026-06-09,Confirmed Order,Tower - Business Bay
QT-2026-0061,CN-01343,Meraas Real Estate Development,"97,207.09",2026-06-07,Confirmed Order,Fit-out
QT-2026-0062,CN-01137,Emirates Interiors LLC,"64,788.64",2026-06-07,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0063,CN-00480,Oasis Maintenance Co,"117,802.80",2026-06-06,Part-Delivered,Tower - Business Bay
QT-2026-0064,CN-01512,Oasis Fit-out Co,"119,147.20",2026-06-09,Part-Delivered,Villa - Arabian Ranches
QT-2026-0065,CN-00627,Al Manara Trading Est,"63,959.80",2026-06-07,Confirmed Order,Tower - Business Bay
QT-2026-0066,CN-00584,Reliable Real Estate Development,"73,647.73",2026-06-02,Confirmed Order,Mall Fit-out - Sharjah
QT-2026-0067,CN-03198,Reliable Real Estate Development,"113,177.64",2026-06-14,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0068,CN-01661,Desert Contracting LLC,"71,213.01",2026-06-13,Part-Delivered,Maintenance
QT-2026-0069,CN-01427,Falcon Interiors LLC,"55,290.63",2026-06-01,Part-Delivered,
QT-2026-0070,CN-01716,Desert MEP Services,"99,786.27",2026-06-12,Confirmed Order,Maintenance
QT-2026-0071,CN-02053,Prime Interiors LLC,"2,882.86",2026-06-09,Quotation,Tower - Business Bay
QT-2026-0072,CN-03068,Marina Builders LLC,"85,793.79",2026-06-01,Part-Delivered,
QT-2026-0073,CN-01152,Al Manara Builders LLC,"39,221.82",2026-06-04,Confirmed Order,Fit-out
QT-2026-0074,CN-00026,Emirates Maintenance Co,"123,168.19",2026-06-07,Part-Delivered,Tower - Business Bay
QT-2026-0075,CN-02994,Meraas Fit-out Co,"28,924.95",2026-06-08,Part-Delivered,Maintenance
QT-2026-0076,CN-00040,Prime Interiors LLC,"81,826.71",2026-06-07,Quotation,Maintenance
QT-2026-0077,CN-00248,Al Manara Construction Co,"108,260.46",2026-06-11,Confirmed Order,Fit-out
QT-2026-0078,CN-03984,National Construction Co,"108,334.16",2026-06-08,Confirmed Order,Warehouse - Jebel Ali
QT-2026-0079,CN-03719,Meraas Real Estate Development,"71,387.50",2026-06-03,Quotation,Maintenance
QT-2026-0080,CN-03904,Gulf MEP Services,"22,238.12",2026-06-11,Confirmed Order,Mall Fit-out - Sharjah
QT-2026-0081,CN-02966,Reliable Maintenance Co,"3,085.21",2026-06-14,Quotation,Tower - Business Bay
QT-2026-0082,CN-02684,Al Manara Engineering Consultants,"110,786.78",2026-06-04,Quotation,Fit-out
QT-2026-0083,CN-00524,Desert Engineering Consultants,"45,051.38",2026-06-10,Part-Delivered,
QT-2026-0084,CN-01342,Pearl Construction Co,"127,319.44",2026-06-14,Quotation,Mall Fit-out - Sharjah
QT-2026-0085,CN-01890,Prime Construction Co,"29,040.69",2026-06-04,Confirmed Order,Mall Fit-out - Sharjah
QT-2026-0086,CN-02788,Modern Builders LLC,"87,404.30",2026-06-09,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0087,CN-01754,National Builders LLC,"18,550.29",2026-06-04,Quotation,Maintenance
QT-2026-0088,CN-03692,Emirates Contracting LLC,"139,241.39",2026-06-13,Quotation,Fit-out
QT-2026-0089,CN-00390,Pearl MEP Services,"12,530.25",2026-06-05,Confirmed Order,Tower - Business Bay
QT-2026-0090,CN-01784,Modern Maintenance Co,"83,469.39",2026-06-09,Confirmed Order,Villa - Arabian Ranches
QT-2026-0091,CN-01333,Oasis Engineering Consultants,"56,562.57",2026-06-04,Confirmed Order,Mall Fit-out - Sharjah
QT-2026-0092,CN-00620,Oasis Fit-out Co,"29,294.59",2026-06-14,Quotation,Maintenance
QT-2026-0093,CN-01799,Modern Contracting LLC,"59,963.09",2026-06-11,Quotation,Maintenance
QT-2026-0094,CN-02870,Falcon Contracting LLC,"89,140.52",2026-06-13,Part-Delivered,Tower - Business Bay
QT-2026-0095,CN-02969,Prime Interiors LLC,"58,808.89",2026-06-03,Quotation,Warehouse - Jebel Ali
QT-2026-0096,CN-01427,Falcon Interiors LLC,"139,501.60",2026-06-09,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0097,CN-00369,Modern Construction Co,"52,894.08",2026-06-05,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0098,CN-02784,Emirates Fit-out Co,"9,011.06",2026-06-04,Confirmed Order,
QT-2026-0099,CN-02412,Emirates Interiors LLC,"125,393.72",2026-06-02,Quotation,Fit-out
QT-2026-0100,CN-02534,Union Engineering Consultants,"43,593.70",2026-06-03,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0101,CN-03743,Reliable Engineering Consultants,"34,638.30",2026-06-13,Confirmed Order,Warehouse - Jebel Ali
QT-2026-0102,CN-03250,Union Real Estate Development,"24,341.26",2026-06-06,Part-Delivered,Villa - Arabian Ranches
QT-2026-0103,CN-01696,Desert Contracting LLC,"13,218.31",2026-06-01,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0104,CN-01293,Gulf Interiors LLC,"103,426.18",2026-06-01,Confirmed Order,Villa - Arabian Ranches
QT-2026-0105,CN-03714,Al Reem Engineering Consultants,"43,817.88",2026-06-03,Part-Delivered,Tower - Business Bay
QT-2026-0106,CN-01453,Pearl MEP Services,"119,642.05",2026-06-04,Part-Delivered,Tower - Business Bay
QT-2026-0107,CN-02030,Al Manara Real Estate Development,"40,140.74",2026-06-07,Part-Delivered,Villa - Arabian Ranches
QT-2026-0108,CN-00050,Falcon Trading Est,"66,844.66",2026-06-01,Confirmed Order,Villa - Arabian Ranches
QT-2026-0109,CN-01634,Capital Interiors LLC,"116,149.05",2026-06-02,Quotation,Warehouse - Jebel Ali
QT-2026-0110,CN-03902,Falcon Trading Est,"113,940.36",2026-06-04,Confirmed Order,Maintenance
QT-2026-0111,CN-02395,Reliable Builders LLC,"70,586.42",2026-06-12,Part-Delivered,Fit-out
QT-2026-0112,CN-00280,Meraas Construction Co,"79,198.99",2026-06-01,Part-Delivered,
QT-2026-0113,CN-00510,Reliable Trading Est,"111,429.92",2026-06-03,Part-Delivered,
QT-2026-0114,CN-02795,Prime Contracting LLC,"13,970.57",2026-06-09,Part-Delivered,Maintenance
QT-2026-0115,CN-04162,Prime Real Estate Development,"83,376.78",2026-06-05,Part-Delivered,Maintenance
QT-2026-0116,CN-03235,Meraas Construction Co,"125,191.05",2026-06-05,Quotation,Villa - Arabian Ranches
QT-2026-0117,CN-00751,Emirates Trading Est,"36,676.27",2026-06-01,Quotation,Maintenance
QT-2026-0118,CN-03560,Al Reem Fit-out Co,"48,484.06",2026-06-02,Part-Delivered,Maintenance
QT-2026-0119,CN-01522,Capital Maintenance Co,"8,601.80",2026-06-09,Quotation,Mall Fit-out - Sharjah
QT-2026-0120,CN-00403,Desert MEP Services,"22,440.99",2026-06-03,Quotation,Villa - Arabian Ranches
QT-2026-0121,CN-04156,Al Reem Interiors LLC,"51,663.26",2026-06-01,Quotation,Villa - Arabian Ranches
QT-2026-0122,CN-03513,Falcon MEP Services,"21,890.25",2026-06-11,Confirmed Order,Fit-out
QT-2026-0123,CN-03780,Pearl Contracting LLC,"135,891.32",2026-06-06,Confirmed Order,Maintenance
QT-2026-0124,CN-00290,Falcon Interiors LLC,"121,822.62",2026-06-06,Part-Delivered,Warehouse - Jebel Ali
QT-2026-0125,CN-00423,Marina Engineering Consultants,"59,284.42",2026-06-10,Confirmed Order,Warehouse - Jebel Ali
QT-2026-0126,CN-02174,Al Reem Construction Co,"132,662.71",2026-06-01,Confirmed Order,Warehouse - Jebel Ali
QT-2026-0127,CN-02972,Al Reem Real Estate Development,"58,820.63",2026-06-06,Confirmed Order,Maintenance
QT-2026-0128,CN-03371,Meraas Trading Est,"103,953.08",2026-06-13,Part-Delivered,Tower - Business Bay
QT-2026-0129,CN-03996,Meraas Fit-out Co,"11,214.24",2026-06-13,Confirmed Order,Fit-out
QT-2026-0130,CN-03675,National Trading Est,"54,215.90",2026-06-05,Confirmed Order,Maintenance
QT-2026-0131,CN-03293,Capital Interiors LLC,"72,884.31",2026-06-07,Confirmed Order,Villa - Arabian Ranches
QT-2026-0132,CN-02705,Modern Real Estate Development,"3,514.98",2026-06-14,Quotation,Warehouse - Jebel Ali
QT-2026-0133,CN-01748,Union Interiors LLC,"16,252.20",2026-06-14,Quotation,Maintenance
QT-2026-0134,CN-03857,Pearl Contracting LLC,"81,190.47",2026-06-07,Confirmed Order,
QT-2026-0135,CN-02837,Capital Interiors LLC,"84,772.83",2026-06-12,Quotation,Villa - Arabian Ranches
QT-2026-0136,CN-01226,Emirates MEP Services,"120,486.93",2026-06-04,Confirmed Order,
QT-2026-0137,CN-00858,Emirates Construction Co,"54,422.93",2026-06-03,Part-Delivered,Villa - Arabian Ranches
QT-2026-0138,CN-02673,Desert Contracting LLC,"118,246.75",2026-06-01,Part-Delivered,Mall Fit-out - Sharjah
QT-2026-0139,CN-03534,Reliable Interiors LLC,"16,544.44",2026-06-05,Quotation,Mall Fit-out - Sharjah
QT-2026-0140,CN-04025,Prime Interiors LLC,"93,165.85",2026-06-08,Part-Delivered,Villa - Arabian Ranches
