Cheque No,Account No,Customer,Bank,Amount,Cheque Date,Status
CHQ-333807,CN-02584,Prime Builders LLC,Emirates NBD,"2,933.51",2026-11-18,Deposited
CHQ-701009,CN-00484,Prime Contracting LLC,Mashreq,"61,778.77",2026-11-13,Cleared
CHQ-656003,CN-02414,Oasis MEP Services,ADCB,"63,354.72",2026-11-14,On Hand
CHQ-826319,CN-00958,Oasis Interiors LLC,Mashreq,"88,635.31",2026-08-22,Cleared
CHQ-106588,CN-01961,Desert Maintenance Co,FAB,"66,505.27",2026-08-22,Deposited
CHQ-118100,CN-03312,Al Manara Builders LLC,Emirates NBD,"70,192.91",2026-12-23,Cleared
CHQ-400735,CN-03490,Meraas Interiors LLC,ADCB,"14,466.78",2026-06-09,Cleared
CHQ-624089,CN-03697,Meraas Construction Co,DIB,"38,654.55",2026-09-01,On Hand
CHQ-746688,CN-02195,Reliable Maintenance Co,RAK Bank,"78,550.53",2026-11-15,On Hand
CHQ-761859,CN-02352,Pearl Real Estate Development,Emirates NBD,"47,516.75",2026-06-05,On Hand
CHQ-454053,CN-04181,Prime Construction Co,RAK Bank,"34,001.57",2026-11-02,Cleared
CHQ-641516,CN-01092,Al Manara Engineering Consultants,RAK Bank,"63,272.87",2026-08-06,Cleared
CHQ-648580,CN-02338,Al Reem Construction Co,Emirates NBD,"30,909.59",2026-07-05,Deposited
CHQ-922543,CN-01720,Emirates Fit-out Co,DIB,"74,456.70",2026-08-08,Deposited
CHQ-668142,CN-02297,Al Manara Construction Co,RAK Bank,"82,775.03",2026-06-05,Deposited
CHQ-696971,CN-02966,Reliable Maintenance Co,FAB,"28,699.89",2026-08-20,Deposited
CHQ-826074,CN-03792,Modern Real Estate Development,Emirates NBD,"19,100.92",2026-07-07,Deposited
CHQ-556143,CN-00189,Union Construction Co,ADCB,"41,905.09",2026-12-03,On Hand
CHQ-963908,CN-02218,Pearl Fit-out Co,ADCB,"20,953.96",2026-12-03,Deposited
CHQ-996521,CN-00326,Desert Interiors LLC,DIB,"78,583.79",2026-10-14,On Hand
CHQ-168320,CN-03462,National Builders LLC,DIB,"39,836.01",2026-08-22,Deposited
CHQ-138506,CN-04169,Al Manara Contracting LLC,FAB,"62,193.16",2026-07-15,On Hand
CHQ-710120,CN-02775,Emirates Builders LLC,FAB,"84,587.04",2026-06-21,On Hand
CHQ-936976,CN-03024,Oasis Fit-out Co,DIB,"52,424.86",2026-11-19,On Hand
CHQ-122703,CN-00182,Falcon Interiors LLC,ADCB,"72,146.36",2026-09-28,Deposited
CHQ-722365,CN-00538,Reliable Interiors LLC,Mashreq,"79,221.30",2026-08-02,On Hand
CHQ-501731,CN-00051,Reliable Builders LLC,DIB,"11,520.51",2026-09-11,Deposited
CHQ-829968,CN-03274,National Contracting LLC,RAK Bank,"48,140.41",2026-11-02,On Hand
CHQ-476580,CN-03555,Union Fit-out Co,DIB,"57,189.84",2026-12-27,Deposited
CHQ-217939,CN-02032,Gulf Fit-out Co,Emirates NBD,"21,362.16",2026-08-14,On Hand
CHQ-827264,CN-03650,Modern Maintenance Co,DIB,"34,703.35",2026-10-24,Deposited
CHQ-346728,CN-01375,Meraas Engineering Consultants,RAK Bank,"83,391.99",2026-11-07,On Hand
CHQ-499810,CN-01510,Capital Real Estate Development,Emirates NBD,"70,341.23",2026-08-03,Cleared
CHQ-484473,CN-03406,Meraas MEP Services,ADCB,"15,191.57",2026-07-11,Deposited
CHQ-892593,CN-04142,Marina Construction Co,DIB,"89,238.29",2026-12-08,On Hand
CHQ-356795,CN-02305,Emirates Trading Est,Mashreq,"26,033.15",2026-10-16,Cleared
CHQ-814197,CN-01618,Prime Trading Est,Emirates NBD,"31,954.89",2026-12-18,Cleared
CHQ-207357,CN-00707,Desert Real Estate Development,DIB,"22,148.24",2026-08-03,Deposited
CHQ-646728,CN-01452,Pearl Interiors LLC,RAK Bank,"19,730.42",2026-09-19,On Hand
CHQ-119539,CN-02632,Capital Real Estate Development,Emirates NBD,"11,533.79",2026-11-08,Cleared
CHQ-911981,CN-03632,Falcon Builders LLC,DIB,"25,524.19",2026-08-25,Deposited
CHQ-276147,CN-02634,Capital Trading Est,DIB,"12,270.73",2026-06-20,Deposited
CHQ-354656,CN-03232,Marina Builders LLC,Mashreq,"35,985.16",2026-11-17,Deposited
CHQ-206967,CN-03518,Meraas Interiors LLC,Mashreq,"72,127.60",2026-08-05,On Hand
CHQ-250463,CN-01845,Marina Real Estate Development,RAK Bank,"63,075.17",2026-07-23,Deposited
CHQ-143319,CN-00193,Al Reem Contracting LLC,RAK Bank,"30,593.15",2026-08-20,Deposited
CHQ-635330,CN-02545,Reliable Trading Est,ADCB,"75,520.59",2026-08-26,Deposited
CHQ-577443,CN-02303,Reliable Builders LLC,ADCB,"16,455.68",2026-08-06,On Hand
CHQ-884522,CN-03562,Falcon MEP Services,Mashreq,"87,849.06",2026-08-02,On Hand
CHQ-766048,CN-01107,Pearl Maintenance Co,RAK Bank,"16,096.54",2026-07-12,Cleared
CHQ-740887,CN-00370,Oasis MEP Services,FAB,"26,158.21",2026-06-20,Cleared
CHQ-466368,CN-01165,Reliable Interiors LLC,Emirates NBD,"39,000.67",2026-06-19,Cleared
CHQ-758462,CN-01307,Al Manara Real Estate Development,ADCB,"84,522.63",2026-06-27,On Hand
CHQ-584275,CN-02623,Falcon Maintenance Co,Mashreq,"46,949.62",2026-08-22,Deposited
CHQ-821775,CN-03560,Al Reem Fit-out Co,Emirates NBD,"83,359.08",2026-09-28,On Hand
CHQ-186265,CN-01314,Desert Builders LLC,ADCB,"3,144.31",2026-11-03,On Hand
CHQ-492306,CN-02104,Falcon Builders LLC,Emirates NBD,"40,168.36",2026-09-16,Cleared
CHQ-407990,CN-02469,Marina Trading Est,ADCB,"87,853.75",2026-06-22,Cleared
CHQ-858300,CN-03621,Falcon Trading Est,Emirates NBD,"30,194.87",2026-10-08,On Hand
CHQ-528195,CN-00614,Al Reem Engineering Consultants,FAB,"52,985.96",2026-07-16,Deposited
CHQ-554657,CN-00033,Prime Engineering Consultants,RAK Bank,"15,429.26",2026-12-19,On Hand
CHQ-461888,CN-03891,Emirates Real Estate Development,ADCB,"85,353.21",2026-08-16,On Hand
CHQ-126299,CN-01333,Oasis Engineering Consultants,FAB,"37,998.09",2026-10-16,Deposited
CHQ-500438,CN-01562,Modern Interiors LLC,RAK Bank,"84,442.69",2026-12-23,Cleared
CHQ-122206,CN-01118,Modern Real Estate Development,FAB,"16,419.83",2026-12-22,On Hand
CHQ-147367,CN-00765,Modern Interiors LLC,Emirates NBD,"4,297.62",2026-07-25,Cleared
CHQ-235894,CN-02006,Reliable Interiors LLC,Emirates NBD,"70,256.62",2026-07-11,Cleared
CHQ-664348,CN-01596,Union Construction Co,FAB,"60,809.35",2026-10-15,On Hand
CHQ-284345,CN-00304,Al Manara Maintenance Co,Emirates NBD,"45,868.18",2026-10-10,Deposited
CHQ-832744,CN-00341,Emirates Maintenance Co,DIB,"71,015.37",2026-06-14,On Hand
CHQ-754606,CN-00825,Marina Trading Est,Emirates NBD,"57,124.48",2026-08-27,Deposited
CHQ-537279,CN-02222,Capital Engineering Consultants,FAB,"75,045.90",2026-08-01,Cleared
CHQ-798651,CN-03178,Al Manara Engineering Consultants,DIB,"14,037.75",2026-12-19,Cleared
CHQ-280293,CN-00403,Desert MEP Services,ADCB,"76,842.52",2026-06-01,On Hand
CHQ-246232,CN-02336,Al Manara Interiors LLC,FAB,"17,528.33",2026-07-22,Cleared
CHQ-482217,CN-03570,Modern Fit-out Co,ADCB,"30,474.27",2026-11-03,On Hand
CHQ-358199,CN-00587,Oasis MEP Services,ADCB,"35,667.93",2026-11-22,On Hand
CHQ-553359,CN-02674,Union Interiors LLC,ADCB,"88,884.77",2026-08-28,Cleared
CHQ-329325,CN-02270,Capital Fit-out Co,RAK Bank,"21,245.91",2026-09-23,Deposited
CHQ-797398,CN-00778,Gulf Real Estate Development,RAK Bank,"13,554.26",2026-08-11,Deposited
CHQ-915522,CN-02304,Modern Fit-out Co,ADCB,"14,839.99",2026-06-14,Cleared
CHQ-994835,CN-00496,Meraas Contracting LLC,Mashreq,"73,247.99",2026-07-17,Deposited
CHQ-631176,CN-00210,Al Reem Construction Co,ADCB,"21,320.21",2026-07-11,Cleared
CHQ-889971,CN-01113,Reliable MEP Services,RAK Bank,"46,133.45",2026-06-24,Cleared
CHQ-852374,CN-03798,Marina Fit-out Co,DIB,"10,368.41",2026-06-17,On Hand
CHQ-784222,CN-03518,Meraas Interiors LLC,RAK Bank,"86,641.30",2026-09-18,Cleared
CHQ-576615,CN-03536,Falcon Engineering Consultants,ADCB,"8,038.34",2026-11-14,Cleared
CHQ-347990,CN-03804,Marina Real Estate Development,ADCB,"15,737.82",2026-07-28,Cleared
CHQ-419853,CN-00683,Prime MEP Services,Mashreq,"53,615.21",2026-10-09,Deposited
CHQ-635363,CN-03506,Al Reem Contracting LLC,DIB,"66,978.99",2026-12-05,Deposited
CHQ-722584,CN-00882,Modern MEP Services,Mashreq,"76,387.34",2026-10-15,Deposited
CHQ-230305,CN-01603,Falcon Interiors LLC,Mashreq,"43,587.04",2026-07-04,Cleared
CHQ-788311,CN-00743,Prime Builders LLC,RAK Bank,"4,701.03",2026-07-25,Deposited
CHQ-244056,CN-01774,Emirates Maintenance Co,ADCB,"48,009.29",2026-07-23,On Hand
CHQ-503392,CN-03212,Emirates Engineering Consultants,ADCB,"48,708.56",2026-12-21,On Hand
CHQ-756312,CN-01169,Desert Maintenance Co,RAK Bank,"81,957.10",2026-12-28,On Hand
CHQ-882584,CN-02905,Capital Builders LLC,Mashreq,"6,345.41",2026-06-25,Deposited
CHQ-612201,CN-02108,Modern Trading Est,FAB,"1,822.44",2026-12-06,On Hand
CHQ-799469,CN-03476,Marina Fit-out Co,FAB,"22,925.06",2026-06-16,Cleared
CHQ-609505,CN-02632,Capital Real Estate Development,RAK Bank,"71,574.50",2026-06-27,Deposited
CHQ-692075,CN-01668,National Real Estate Development,FAB,"27,064.58",2026-12-10,Cleared
CHQ-318327,CN-03175,Modern Real Estate Development,Mashreq,"40,357.90",2026-10-04,Deposited
CHQ-138453,CN-00929,Pearl Engineering Consultants,ADCB,"27,986.50",2026-08-11,Cleared
CHQ-617030,CN-00162,Falcon Construction Co,Emirates NBD,"85,944.64",2026-11-03,Deposited
CHQ-124035,CN-02967,Reliable Maintenance Co,Emirates NBD,"67,783.23",2026-10-22,Cleared
CHQ-867773,CN-01058,Capital Maintenance Co,DIB,"27,077.60",2026-07-15,Cleared
CHQ-812796,CN-02116,Meraas Fit-out Co,Emirates NBD,"29,890.64",2026-06-02,Deposited
CHQ-441616,CN-04131,Modern Engineering Consultants,ADCB,"54,488.67",2026-06-13,Deposited
CHQ-189510,CN-01297,Falcon Construction Co,Mashreq,"39,110.63",2026-09-02,Deposited
CHQ-989237,CN-02827,Al Reem Construction Co,ADCB,"9,865.31",2026-08-22,Deposited
CHQ-659181,CN-01763,Falcon Engineering Consultants,DIB,"48,586.58",2026-12-04,Cleared
CHQ-410636,CN-03531,Meraas MEP Services,ADCB,726.19,2026-08-23,On Hand
CHQ-479737,CN-02917,Desert Interiors LLC,FAB,"64,918.86",2026-10-11,On Hand
CHQ-977816,CN-00614,Al Reem Engineering Consultants,Emirates NBD,"6,221.48",2026-11-04,On Hand
CHQ-914383,CN-02253,Falcon Contracting LLC,Mashreq,"55,960.82",2026-11-17,Deposited
CHQ-158906,CN-00660,Gulf MEP Services,Emirates NBD,"10,342.10",2026-10-25,Cleared
CHQ-734016,CN-00766,Oasis MEP Services,RAK Bank,"86,524.56",2026-10-14,Deposited
CHQ-838675,CN-00918,Prime Builders LLC,RAK Bank,"41,422.64",2026-09-02,Cleared
CHQ-641195,CN-04025,Prime Interiors LLC,Mashreq,"14,371.14",2026-11-05,On Hand
CHQ-160942,CN-02721,Meraas Contracting LLC,Emirates NBD,"73,496.55",2026-07-22,Cleared
CHQ-872068,CN-03625,National Builders LLC,FAB,"47,567.36",2026-11-13,On Hand
CHQ-990666,CN-03986,Union Contracting LLC,Emirates NBD,"28,175.57",2026-08-25,Deposited
CHQ-161137,CN-01630,National Real Estate Development,Emirates NBD,"68,079.62",2026-09-16,Deposited
CHQ-885282,CN-03954,Al Reem Trading Est,Emirates NBD,"7,641.14",2026-12-16,Cleared
CHQ-381822,CN-01398,Emirates Construction Co,Emirates NBD,"1,943.38",2026-11-15,On Hand
CHQ-630776,CN-03303,Reliable MEP Services,Mashreq,"36,144.82",2026-10-15,Deposited
CHQ-499716,CN-02170,Union Trading Est,ADCB,"22,274.79",2026-08-21,On Hand
CHQ-832572,CN-02217,Oasis Contracting LLC,ADCB,"17,067.05",2026-06-08,On Hand
CHQ-779141,CN-03453,Falcon Real Estate Development,RAK Bank,"73,634.29",2026-12-23,On Hand
CHQ-449536,CN-03853,National Trading Est,FAB,"15,556.32",2026-12-21,On Hand
CHQ-796281,CN-03975,Al Reem Fit-out Co,RAK Bank,"66,776.28",2026-06-10,Cleared
CHQ-588793,CN-03335,Pearl Fit-out Co,DIB,"3,869.41",2026-06-15,Deposited
CHQ-151761,CN-03441,Gulf Construction Co,DIB,"53,650.36",2026-12-19,Cleared
CHQ-206660,CN-01264,Desert Real Estate Development,Mashreq,570.99,2026-12-15,On Hand
CHQ-142173,CN-02904,Falcon Contracting LLC,ADCB,"46,009.31",2026-06-04,Cleared
CHQ-702800,CN-01231,Pearl Construction Co,RAK Bank,"70,961.97",2026-11-10,Deposited
CHQ-206878,CN-02471,National Contracting LLC,FAB,"88,346.70",2026-12-08,On Hand
CHQ-420524,CN-02486,Marina Construction Co,RAK Bank,"58,508.05",2026-07-24,Deposited
CHQ-176042,CN-03168,Emirates Builders LLC,Mashreq,"29,722.24",2026-12-16,Cleared
CHQ-164987,CN-03376,Prime Interiors LLC,FAB,"27,334.54",2026-09-10,Cleared
CHQ-420650,CN-01190,Prime MEP Services,RAK Bank,"74,203.55",2026-11-19,On Hand
CHQ-193533,CN-04055,Prime Engineering Consultants,Emirates NBD,"17,801.76",2026-09-08,Deposited
CHQ-650481,CN-03896,Union Builders LLC,DIB,"24,243.68",2026-10-24,Cleared
CHQ-712681,CN-01693,Prime Interiors LLC,ADCB,"24,284.23",2026-07-13,Cleared
CHQ-151409,CN-01930,Capital MEP Services,ADCB,"60,560.17",2026-12-04,Cleared
CHQ-663876,CN-03066,Prime Interiors LLC,ADCB,"36,995.05",2026-06-17,Cleared
CHQ-593967,CN-01176,National Interiors LLC,Mashreq,"54,875.83",2026-08-18,Deposited
CHQ-523281,CN-01963,Al Manara Trading Est,ADCB,"27,896.92",2026-10-27,On Hand
CHQ-461637,CN-03613,National Trading Est,FAB,"85,409.59",2026-12-07,Deposited
CHQ-160365,CN-02412,Emirates Interiors LLC,Emirates NBD,"35,752.48",2026-11-01,On Hand
CHQ-959552,CN-01307,Al Manara Real Estate Development,FAB,"40,619.89",2026-10-21,Deposited
CHQ-942963,CN-01403,Pearl Trading Est,ADCB,"9,666.05",2026-11-27,On Hand
CHQ-264560,CN-02316,Al Manara Real Estate Development,Emirates NBD,"37,584.23",2026-07-11,On Hand
CHQ-109164,CN-01416,Emirates Trading Est,Emirates NBD,"3,920.80",2026-07-22,On Hand
CHQ-703653,CN-03820,Al Manara Builders LLC,FAB,"62,653.86",2026-06-08,On Hand
CHQ-482274,CN-04010,Oasis Engineering Consultants,FAB,"54,984.22",2026-11-21,On Hand
CHQ-192401,CN-02656,Falcon Maintenance Co,DIB,"57,891.08",2026-08-17,On Hand
CHQ-233696,CN-02380,Gulf Engineering Consultants,RAK Bank,"21,235.99",2026-07-05,Deposited
CHQ-667198,CN-03471,Al Manara Construction Co,ADCB,"29,466.08",2026-09-02,On Hand
CHQ-642563,CN-03163,National Fit-out Co,Mashreq,"80,419.01",2026-08-24,On Hand
CHQ-279899,CN-00814,Falcon Engineering Consultants,Mashreq,"28,699.64",2026-09-20,Cleared
CHQ-313267,CN-01362,National Trading Est,RAK Bank,"17,940.17",2026-11-12,On Hand
CHQ-349076,CN-02246,Al Reem Engineering Consultants,ADCB,"61,518.98",2026-10-03,On Hand
CHQ-709304,CN-00364,Marina Construction Co,Mashreq,"59,816.40",2026-06-28,On Hand
CHQ-171617,CN-01812,Marina Contracting LLC,FAB,"26,470.56",2026-08-03,On Hand
CHQ-636479,CN-00452,Emirates Builders LLC,Mashreq,"17,221.49",2026-07-20,Cleared
CHQ-392854,CN-00916,Pearl Maintenance Co,Emirates NBD,"20,324.56",2026-10-05,Deposited
