Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms,TRN
CN-00047,Al Manara Construction Co,0555760121,100000,AED 35246.48,Joseph,60 days,120357969915028
CN-00048,Prime Builders LLC,0571502901,50000,34636.65,Joseph,Cash,184896488565129
CN-00049,Prime Trading Est,0554948882,,"32,389.06",Rakesh,90 days,138689303215560
CN-00050,Falcon Trading Est,0555469743,10000,"55.271,29",Rakesh,45 days,120725731124546
CN-00051,Reliable Builders LLC,0525568711,25000,17285.83,Joseph,COD,178214980357299
CN-00052,National Real Estate Development,0528787980,10000,56138.20,Anwar,60 days,178358540523421
CN-00053,National Construction Co,0576810342,,AED 14567.50,Khaled,90 days,157095004885342
CN-00054,Oasis Engineering Consultants,0533047882,25000,2384.77,Mahmoud,60 days,152352467845389
CN-00055,Reliable Contracting LLC,0597425657,10000,"13,848.94",Rakesh,Cash,137220257209989
CN-00056,Union Builders LLC,0516781503,,"1.943,86",Joseph,90 days,165564399136080
CN-00057,Capital Trading Est,0552663593,50000,14141.15,Mahmoud,45 days,103962126591330
CN-00058,Pearl Construction Co,0582847140,50000,15516.91,Khaled,Cash,141328020158775
CN-00059,Gulf Real Estate Development,0568093198,,AED 3066.76,Mahmoud,60 days,135425422815238
CN-00060,Union Contracting LLC,0544330509,100000,24862.09,Anwar,30 days,128367233154281
CN-00061,Falcon Engineering Consultants,0524180616,100000,"40,063.48",Mahmoud,Cash,151226530941282
CN-00062,Modern Interiors LLC,0526254391,,"11.091,55",Khaled,45 days,163883579316643
CN-00063,Marina Construction Co,0517637610,25000,42727.10,Rakesh,45 days,176583425016466
CN-00064,Capital Builders LLC,0531622089,10000,54454.94,Joseph,90 days,187104063138181
CN-00065,National Fit-out Co,0522764403,10000,AED 42347.24,Suresh,30 days,135490608582448
CN-00066,National Engineering Consultants,0519085095,50000,13338.72,Suresh,Cash,166839678858853
CN-00067,National MEP Services,0577863982,,"18,356.90",Mahmoud,90 days,192331832108978
CN-00068,Reliable Maintenance Co,0558591143,25000,"8.352,29",Mahmoud,Cash,134026374521025
CN-00069,Gulf Trading Est,0569089470,50000,20434.26,Mahmoud,90 days,
CN-00070,Gulf Maintenance Co,0526047507,100000,58271.57,Khaled,90 days,164205026489721
CN-00071,Marina Interiors LLC,0550390300,100000,AED 14248.42,Khaled,45 days,122721450536643
CN-00072,Capital Construction Co,0592841301,50000,1212.51,Suresh,30 days,127599690000090
CN-00073,Al Reem Real Estate Development,0575751061,,"13,897.24",Suresh,30 days,
CN-00074,Union Maintenance Co,0599187328,,"17.156,87",Anwar,30 days,156668287005917
CN-00075,Emirates Construction Co,0521445966,50000,30654.22,Anwar,90 days,175846525531985
CN-00076,Capital MEP Services,0586758319,10000,47450.83,Rakesh,60 days,103501985834158
CN-00077,Capital Trading Est,0588759416,10000,AED 8429.71,Joseph,30 days,132658156670839
CN-00078,Meraas Fit-out Co,0574806067,100000,6364.16,Rakesh,30 days,191247420981598
CN-00079,Pearl Fit-out Co,0597783380,50000,"10,651.76",Anwar,COD,170346507277877
CN-00080,Marina Construction Co,0513006827,,"25.428,77",Rakesh,45 days,166264432778916
CN-00081,Union Engineering Consultants,0537972369,,6352.90,Rakesh,60 days,119135827867947
CN-00082,Pearl Maintenance Co,0572730093,25000,38575.65,Suresh,COD,174747431826061
CN-00083,Modern Builders LLC,0513384470,100000,AED 7802.14,Rakesh,90 days,169279096983666
CN-00084,Oasis Contracting LLC,0573602055,,42707.03,Khaled,90 days,166606194991542
CN-00085,Desert Fit-out Co,0520070942,25000,"24,996.40",Khaled,90 days,100520537295524
CN-00086,Modern Trading Est,0563599528,100000,"17.807,54",Suresh,COD,146831981419974
CN-00087,Al Manara Fit-out Co,0564473029,10000,30858.84,Khaled,90 days,121962844962248
CN-00088,Al Manara Construction Co,0598373343,10000,3396.81,Joseph,45 days,185959712879655
CN-00089,National Maintenance Co,0594887882,100000,AED 46455.01,Rakesh,COD,139314140641944
CN-00090,National Construction Co,0512817015,10000,19645.55,Khaled,COD,124678781352623
CN-00091,Emirates Fit-out Co,0563789393,10000,"4,932.74",Mahmoud,Cash,119376026402335
CN-00092,Al Manara Maintenance Co,0583631607,50000,"49.883,68",Suresh,COD,166131651858742
CN-00093,Marina Fit-out Co,0550371081,,25712.15,Suresh,30 days,113750858876965
CN-00094,Pearl Real Estate Development,0544890192,25000,22579.04,Mahmoud,COD,181324261071760
CN-00095,Al Reem Trading Est,0529893319,25000,AED 55624.94,Rakesh,45 days,138097625849973
CN-00096,Pearl Engineering Consultants,0527685999,100000,25727.70,Suresh,COD,199849579849072
CN-00097,Pearl Construction Co,0526334734,,"54,705.46",Mahmoud,90 days,121422308483766
CN-00098,Emirates MEP Services,0521606198,25000,"19.927,91",Khaled,45 days,180849133696302
CN-00099,Al Reem Construction Co,0556079020,100000,24205.60,Khaled,COD,143190367168182
CN-00100,Gulf Fit-out Co,0587031302,10000,41153.39,Anwar,COD,179681024936894
CN-00101,Modern Real Estate Development,0594905448,25000,AED 22241.26,Anwar,30 days,119149202725044
CN-00102,Capital Builders LLC,0529940707,,17389.18,Anwar,90 days,169490649173036
CN-00103,Desert Interiors LLC,0530578794,10000,"28,203.47",Khaled,90 days,113726609776783
CN-00104,Modern Engineering Consultants,0548577797,25000,"44.844,67",Anwar,30 days,160080998463943
CN-00105,Al Manara Contracting LLC,0528010851,,59498.47,Joseph,COD,153936620110515
CN-00106,Meraas Builders LLC,0515090281,,32607.40,Joseph,COD,121154291933494
CN-00107,National Trading Est,0530577763,,AED 9960.93,Rakesh,Cash,114499654126045
CN-00108,Prime Real Estate Development,0540034527,100000,53547.29,Anwar,90 days,100917187440043
CN-00109,Pearl Real Estate Development,0569984833,10000,"44,079.62",Rakesh,30 days,114690514972029
CN-00110,Marina Maintenance Co,0568943323,,"44.276,65",Mahmoud,30 days,163882460260975
CN-00111,Desert Contracting LLC,0578162260,100000,8100.63,Joseph,COD,132086458904098
CN-00112,Union Maintenance Co,0569026121,50000,2167.68,Rakesh,30 days,150176578359199
CN-00113,Al Manara Maintenance Co,0510378054,100000,AED 40251.10,Anwar,90 days,169675565849353
CN-00114,Union Contracting LLC,0592393869,100000,42654.00,Joseph,45 days,111469125570357
CN-00115,Al Reem Interiors LLC,0539723085,25000,"41,285.66",Khaled,60 days,161181105639796
CN-00116,Oasis Engineering Consultants,0546321957,10000,"6.171,88",Anwar,Cash,107779039306601
CN-00117,Reliable Fit-out Co,0566497548,10000,37075.47,Anwar,COD,122324861091056
CN-00118,Prime Contracting LLC,0510422865,25000,53779.55,Joseph,COD,125744402055399
CN-00119,Capital Interiors LLC,0525675455,50000,AED 23685.99,Suresh,Cash,100717673236520
CN-00120,National Interiors LLC,0583137136,10000,1445.35,Khaled,45 days,181986739212451
CN-00121,Pearl Construction Co,0543462163,50000,"5,958.97",Mahmoud,COD,134214125656951
CN-00122,Pearl Trading Est,0561606357,100000,"59.779,15",Khaled,30 days,155857080779240
CN-00123,Meraas Trading Est,0519169417,10000,11146.03,Anwar,90 days,191792175170861
CN-00124,Capital Engineering Consultants,0569472819,10000,54383.32,Khaled,Cash,124447657965263
CN-00125,National Construction Co,0586861396,10000,AED 56633.03,Rakesh,Cash,149997670826974
CN-00126,Desert Contracting LLC,0557647758,50000,31609.25,Anwar,COD,122269688587521
CN-00127,Marina Engineering Consultants,0514300550,10000,"29,333.70",Rakesh,45 days,191772091307421
CN-00128,Pearl Fit-out Co,0596127554,,"38.112,72",Joseph,45 days,142776658902133
CN-00129,Gulf MEP Services,0523367489,50000,27552.53,Anwar,30 days,142014086060261
CN-00130,Emirates Fit-out Co,0517152375,25000,18646.39,Joseph,90 days,177979574195153
CN-00131,Falcon Maintenance Co,0516883872,25000,AED 49215.11,Joseph,60 days,175524917556002
CN-00132,Oasis Trading Est,0524924903,100000,58116.33,Joseph,90 days,182947553181338
CN-00133,Desert Engineering Consultants,0567686010,50000,"51,734.20",Khaled,60 days,117340069585131
CN-00134,Oasis Trading Est,0590901277,100000,"52.520,42",Rakesh,90 days,169011236173905
CN-00135,Reliable Engineering Consultants,0539873389,,56884.22,Joseph,45 days,112535270485456
CN-00136,Pearl Builders LLC,0522700163,10000,32704.72,Khaled,Cash,145787823247096
CN-00137,Prime Maintenance Co,0537760278,100000,AED 4829.31,Mahmoud,Cash,134282607004354
CN-00138,Gulf Fit-out Co,0545822216,25000,41937.11,Anwar,COD,165383650689729
CN-00139,Falcon Engineering Consultants,0549084424,100000,"15,114.28",Khaled,30 days,174104813706224
CN-00140,Emirates Fit-out Co,0530939228,25000,"47.433,06",Suresh,45 days,166487684525352
CN-00141,Prime Engineering Consultants,0592126331,10000,40293.60,Khaled,30 days,186609312685144
CN-00142,Meraas Engineering Consultants,0567485660,100000,25720.04,Rakesh,60 days,133869782353145
CN-00143,Modern Contracting LLC,0588087414,,AED 50218.60,Joseph,60 days,173864260253009
CN-00144,Al Reem Trading Est,0511103616,10000,21369.73,Joseph,45 days,140638782375999
CN-00145,Prime Construction Co,0598167447,25000,"34,505.53",Anwar,Cash,130222835021981
CN-00146,Desert Fit-out Co,0565261521,,"1.044,03",Khaled,COD,128108885672765
CN-00147,Oasis Trading Est,0512151983,10000,44860.38,Rakesh,Cash,195765141970494
CN-00148,Prime Trading Est,0567613492,50000,32279.26,Rakesh,Cash,130563700725643
CN-00149,National Trading Est,0527629905,,AED 7214.98,Khaled,90 days,147486776924281
CN-00150,Reliable Construction Co,0539842512,25000,38855.04,Anwar,30 days,142736712120150
CN-00151,Prime Engineering Consultants,0547581692,100000,"54,532.70",Joseph,90 days,170694997967385
CN-00152,Oasis Maintenance Co,0511632044,25000,"24.727,91",Khaled,COD,183347510633721
CN-00153,Modern Maintenance Co,0527843360,,5775.48,Rakesh,30 days,130994797435906
CN-00154,Modern Contracting LLC,0562477643,,23858.32,Rakesh,COD,187280953115590
CN-00155,Oasis Real Estate Development,0585721848,10000,AED 13604.67,Joseph,90 days,
CN-00156,Modern Fit-out Co,0525002298,100000,11908.00,Khaled,Cash,159785664687207
CN-00157,Emirates Contracting LLC,0527912570,25000,"21,421.24",Khaled,60 days,185213294346332
CN-00158,Desert Contracting LLC,0527654198,50000,"45.275,61",Rakesh,Cash,187550033070745
CN-00159,Capital Maintenance Co,0574214651,100000,6465.25,Rakesh,60 days,124473335202854
CN-00160,Modern Builders LLC,0592986431,50000,53713.14,Khaled,30 days,101729559771700
CN-00161,Modern Contracting LLC,0533831339,,AED 1145.20,Suresh,45 days,114224330973879
CN-00162,Falcon Construction Co,0598960427,,46076.92,Joseph,COD,156366526661061
CN-00163,Marina Real Estate Development,0542576539,10000,"47,961.56",Suresh,90 days,138715358224435
CN-00164,Union Interiors LLC,0516973996,50000,"12.616,82",Suresh,30 days,124337388662737
CN-00165,Modern Builders LLC,0594384427,10000,7516.43,Rakesh,45 days,108694673399698
CN-00166,Pearl Builders LLC,0528448340,25000,10359.04,Khaled,45 days,108814701527072
CN-00167,Meraas Construction Co,0580769431,10000,AED 57581.05,Khaled,30 days,199076290455057
CN-00168,Prime Engineering Consultants,0515269151,10000,6973.44,Anwar,30 days,137020659118589
CN-00169,Emirates Construction Co,0577456513,100000,102.86,Anwar,60 days,151545275401573
CN-00170,Modern Contracting LLC,0537461776,25000,"13.357,25",Mahmoud,90 days,167447240889908
CN-00171,Desert Maintenance Co,0575768239,50000,18956.68,Suresh,45 days,159166090761108
CN-00172,Gulf Fit-out Co,0526347234,25000,57357.72,Anwar,90 days,179596027652930
CN-00173,Marina Fit-out Co,0515077283,10000,AED 34357.12,Joseph,90 days,139623332462510
CN-00174,Meraas Construction Co,0568248969,50000,7454.77,Joseph,Cash,196705633657708
CN-00175,National Maintenance Co,0554855350,,"42,372.41",Anwar,90 days,173993908284445
CN-00176,Union Construction Co,0575487886,100000,"1.616,08",Mahmoud,30 days,105423494389517
CN-00177,Gulf Real Estate Development,0548299804,10000,35264.35,Mahmoud,60 days,182617735739917
CN-00178,Oasis Real Estate Development,0562925417,10000,54154.63,Suresh,Cash,120109459860852
CN-00179,Prime Engineering Consultants,0587557862,10000,AED 48769.78,Khaled,COD,102942224887736
CN-00180,National Builders LLC,0552147332,100000,33541.98,Mahmoud,COD,198224802102882
CN-00181,Reliable MEP Services,0552315859,25000,"6,555.65",Suresh,30 days,
CN-00182,Falcon Interiors LLC,0577985244,10000,"5.526,85",Khaled,45 days,142999779949816
CN-00183,Reliable Real Estate Development,0536687766,,32157.53,Anwar,Cash,118466967446442
CN-00184,Falcon Construction Co,0580709570,10000,38182.76,Rakesh,30 days,110709045191654
CN-00185,Union Builders LLC,0512685871,10000,AED 11228.27,Suresh,45 days,122865951865079
CN-00186,Emirates Engineering Consultants,0558080711,50000,24683.44,Mahmoud,45 days,139088537955409
CN-00187,National Maintenance Co,0592357744,100000,"35,600.73",Mahmoud,60 days,129226884040429
CN-00188,Oasis Interiors LLC,0589758231,50000,"57.287,89",Mahmoud,COD,
CN-00189,Union Construction Co,0596563731,10000,38409.18,Suresh,60 days,153534515651353
CN-00190,Marina Fit-out Co,0550928425,,52811.76,Mahmoud,30 days,175232708499889
CN-00191,Al Manara Builders LLC,0510228535,50000,AED 28611.27,Anwar,COD,134994254765164
CN-00192,Pearl Builders LLC,0512212824,,37508.31,Khaled,Cash,110353372207745
CN-00193,Al Reem Contracting LLC,0586277669,,"7,082.66",Rakesh,Cash,169104816691287
CN-00194,Reliable Fit-out Co,0559805623,25000,"12.196,08",Suresh,45 days,199099783319777
CN-00195,Al Reem Contracting LLC,0532280557,25000,12793.98,Suresh,Cash,167464053436670
CN-00196,Capital MEP Services,0582543158,,54712.52,Joseph,60 days,128860033221574
CN-00197,Al Reem Builders LLC,0565472834,,AED 44941.66,Khaled,90 days,152737586304414
CN-00198,Al Reem Interiors LLC,0515320439,,15889.67,Khaled,45 days,121708379935425
CN-00199,Meraas Construction Co,0571895143,,"44,444.88",Mahmoud,COD,161454409485648
CN-00200,Oasis Construction Co,0522550940,,"7.485,19",Rakesh,COD,135402379828980
CN-00201,Al Reem Construction Co,0565946540,25000,29461.28,Joseph,90 days,
CN-00202,National MEP Services,0573088904,25000,18566.21,Joseph,90 days,173689829290161
CN-00203,Modern Trading Est,0540884600,100000,AED 37257.35,Suresh,45 days,187280857813531
CN-00204,National Builders LLC,0519087945,25000,37479.30,Mahmoud,30 days,
CN-00205,Falcon Interiors LLC,0511753803,,862.57,Joseph,45 days,129464699457926
CN-00206,Gulf Fit-out Co,0575675805,25000,"45.169,32",Suresh,Cash,147242970720926
CN-00207,Emirates Trading Est,0597567870,25000,26395.00,Suresh,45 days,110299394541340
CN-00208,Union MEP Services,0553390428,10000,30653.68,Anwar,Cash,111729417741808
CN-00209,Gulf Trading Est,0512404916,25000,AED 41702.56,Mahmoud,Cash,160073625842007
CN-00210,Al Reem Construction Co,0538254932,10000,27694.37,Rakesh,45 days,139473911437482
CN-00211,Desert Builders LLC,0569692616,,"23,325.46",Rakesh,COD,177868450434037
CN-00212,Pearl MEP Services,0568938649,10000,"51.708,75",Joseph,60 days,191752380921598
CN-00213,Desert Maintenance Co,0520518367,100000,14779.13,Mahmoud,30 days,
CN-00214,Prime Contracting LLC,0513583020,10000,35511.67,Anwar,30 days,155476056824707
CN-00215,Marina Construction Co,0514857852,50000,AED 40470.77,Rakesh,Cash,166678101169335
CN-00216,Pearl Engineering Consultants,0564372807,10000,31729.52,Suresh,45 days,146552922965164
CN-00217,Reliable Trading Est,0568685389,10000,"14,275.82",Anwar,60 days,107050541192672
CN-00218,Capital Trading Est,0590625528,10000,"48.470,56",Joseph,60 days,154129489924091
CN-00219,Falcon Real Estate Development,0532558109,25000,42770.40,Khaled,30 days,187302813182480
CN-00220,Prime Construction Co,0530266246,50000,-,Khaled,Cash,187136951056809
CN-00221,Reliable Contracting LLC,0544581621,,AED 2871.48,Joseph,COD,187852976038381
CN-00222,Marina Engineering Consultants,0565439296,25000,14569.12,Anwar,30 days,137352222082977
CN-00223,Falcon Contracting LLC,0535342883,10000,"54,850.06",Rakesh,30 days,130217109372325
CN-00224,Al Manara Maintenance Co,0537285848,,"56.934,01",Rakesh,30 days,171042731627673
CN-00225,Emirates Maintenance Co,0544630151,25000,3461.65,Joseph,90 days,101567839281530
CN-00226,Al Manara Engineering Consultants,0511730321,50000,26321.37,Anwar,90 days,170754355156291
CN-00227,Pearl Construction Co,0586986704,50000,AED 55092.88,Suresh,45 days,165056330762200
CN-00228,Marina Real Estate Development,0529454145,10000,35325.27,Suresh,45 days,136533432270104
CN-00229,Al Reem Interiors LLC,0514897674,10000,"57,481.35",Mahmoud,COD,164360519121528
CN-00230,Meraas Real Estate Development,0533250469,25000,"22.699,96",Rakesh,90 days,159932144207858
CN-00231,Falcon Engineering Consultants,0569613263,50000,3315.11,Mahmoud,Cash,133765773915604
CN-00232,Capital Interiors LLC,0585951017,50000,17423.95,Khaled,90 days,102273010679748
CN-00233,Emirates Real Estate Development,0582472522,50000,AED 53779.52,Rakesh,90 days,113181608846881
CN-00234,Emirates Contracting LLC,0522649448,10000,24164.19,Suresh,60 days,192702547502687
CN-00235,Pearl Contracting LLC,0532087664,10000,"3,116.46",Suresh,COD,108861975968770
CN-00236,Prime Maintenance Co,0534903333,25000,"26.908,01",Suresh,90 days,167504149276862
CN-00237,Union Builders LLC,0536773577,25000,45387.31,Joseph,45 days,139835589064967
CN-00238,Capital Construction Co,0585341222,50000,3784.75,Khaled,60 days,184538962863839
CN-00239,Al Manara Real Estate Development,0512069500,50000,AED 37154.93,Rakesh,60 days,187745514753228
CN-00240,Gulf Builders LLC,0598400501,50000,26529.86,Khaled,90 days,103611409639506
CN-00241,Union Fit-out Co,0549957893,100000,"4,236.69",Anwar,90 days,126408154292370
CN-00242,Gulf Engineering Consultants,0553894397,10000,"55.992,65",Mahmoud,Cash,181630667325149
CN-00243,Pearl MEP Services,0595866907,25000,6197.44,Suresh,60 days,105297858281949
CN-00244,National Interiors LLC,0588140195,10000,13467.03,Mahmoud,90 days,180931426096773
CN-00245,Al Manara Real Estate Development,0516414876,100000,AED 49485.63,Rakesh,Cash,
CN-00246,Oasis Fit-out Co,0586068902,25000,15202.86,Joseph,Cash,114189462673961
CN-00247,Emirates Contracting LLC,0545602343,100000,"21,359.55",Khaled,30 days,118256511201168
CN-00248,Al Manara Construction Co,0546885131,50000,"23.435,99",Suresh,30 days,172523834268519
CN-00249,Union Interiors LLC,0586418580,100000,22102.01,Joseph,90 days,136935291508592
CN-00250,Emirates Builders LLC,0568084506,25000,12970.75,Suresh,90 days,183898761827361
CN-00251,Modern Builders LLC,0510478799,50000,AED 19635.03,Mahmoud,90 days,197465059146421
CN-00252,Marina Interiors LLC,0525517942,10000,48627.63,Suresh,30 days,170853165345584
CN-00253,National Trading Est,0559929754,,"3,978.59",Khaled,Cash,189479080656698
CN-00254,Gulf Construction Co,0585239066,,"50.452,28",Joseph,60 days,141328679001192
CN-00255,Meraas Contracting LLC,0512532763,100000,37859.37,Mahmoud,Cash,116044690686165
CN-00256,Pearl Fit-out Co,0555063343,100000,3315.05,Rakesh,Cash,108718026752831
CN-00257,Desert Fit-out Co,0533927700,,AED 2493.58,Rakesh,90 days,104188923778183
CN-00258,National Engineering Consultants,0590130889,25000,11892.42,Suresh,COD,135492516765220
CN-00259,Falcon Trading Est,0514477320,50000,"3,167.59",Suresh,45 days,100516086289283
CN-00260,Reliable Builders LLC,0595918703,25000,"52.246,95",Anwar,45 days,128287442383037
CN-00261,Desert Real Estate Development,0567546923,10000,43020.44,Rakesh,45 days,121411140885559
CN-00262,Marina Maintenance Co,0597480441,100000,51139.78,Joseph,30 days,167647719245193
CN-00263,Gulf Fit-out Co,0571249518,100000,AED 22766.27,Suresh,30 days,179140499942456
CN-00264,Prime Real Estate Development,0543732673,,22106.07,Khaled,60 days,195941032891239
CN-00265,Meraas Fit-out Co,0514936030,10000,"53,370.52",Suresh,30 days,102908987479671
CN-00266,Gulf Trading Est,0524355880,10000,"11.941,82",Mahmoud,30 days,165292087494406
CN-00267,Meraas Construction Co,0576091170,100000,28955.38,Suresh,COD,101811943016485
CN-00268,Al Reem Fit-out Co,0576708148,10000,55289.31,Suresh,60 days,176597992625600
CN-00269,Prime Builders LLC,0569913790,100000,AED 14458.85,Khaled,45 days,113608220322441
CN-00270,Meraas Construction Co,0563890222,50000,13163.68,Anwar,60 days,148233613096866
CN-00271,Emirates Construction Co,0537928997,,"44,275.43",Khaled,90 days,120029359307596
CN-00272,Union Construction Co,0569983542,50000,"12.093,51",Mahmoud,90 days,103323855864163
CN-00273,Desert Builders LLC,0530914456,50000,34508.89,Suresh,Cash,
CN-00274,Oasis Fit-out Co,0568162870,100000,2972.17,Anwar,30 days,188206116390864
CN-00275,Emirates Interiors LLC,0564876521,10000,AED 33644.97,Rakesh,30 days,
CN-00276,Prime Fit-out Co,0534722384,100000,13750.49,Mahmoud,COD,128444304154112
CN-00277,Al Manara Construction Co,0517483794,100000,"44,213.35",Khaled,Cash,187965780639670
CN-00278,Modern Fit-out Co,0531177288,50000,"42.809,18",Mahmoud,Cash,182425781130900
CN-00279,Union Construction Co,0538999699,100000,40470.28,Suresh,60 days,125765967596179
CN-00280,Meraas Construction Co,0546805064,100000,27120.04,Mahmoud,Cash,180153904994797
CN-00281,National Fit-out Co,0553793050,25000,AED 435.84,Khaled,45 days,132938584868279
CN-00282,Desert MEP Services,0545273415,25000,14987.63,Rakesh,Cash,194263506939351
CN-00283,Desert Interiors LLC,0597632526,100000,"7,760.19",Joseph,COD,148470150367932
CN-00284,Capital Real Estate Development,0557503491,10000,"14.466,57",Joseph,30 days,131325324045391
CN-00285,Marina Fit-out Co,0533148374,100000,40379.77,Mahmoud,COD,141438282430766
CN-00286,Union Fit-out Co,0582114443,10000,19291.62,Khaled,Cash,108995089868749
CN-00287,Desert Construction Co,0593966912,50000,AED 19560.44,Mahmoud,Cash,157092219094788
CN-00288,Modern Trading Est,0522618234,25000,9326.72,Suresh,COD,168906800808546
CN-00289,Al Manara Contracting LLC,0593747770,100000,"7,095.31",Anwar,COD,183424985957688
CN-00290,Falcon Interiors LLC,0597155652,50000,"1.221,32",Mahmoud,COD,
CN-00291,Emirates Real Estate Development,0586227711,100000,48603.83,Khaled,Cash,191876056607627
CN-00292,Emirates Trading Est,0579878487,50000,46849.60,Anwar,Cash,194865592960939
CN-00293,National Contracting LLC,0595897982,,AED 3024.82,Mahmoud,COD,156452481981295
CN-00294,Emirates Builders LLC,0581378222,10000,56857.19,Mahmoud,Cash,119838058320167
CN-00295,Prime Builders LLC,0514988156,10000,"5,889.62",Suresh,30 days,147056575838810
CN-00296,Pearl Engineering Consultants,0584499909,100000,"24.882,57",Anwar,COD,157084901045038
CN-00297,Al Reem Fit-out Co,0544593424,100000,30464.24,Joseph,60 days,170472569686422
CN-00298,Oasis Maintenance Co,0556837492,10000,15802.05,Mahmoud,COD,139814078735427
CN-00299,Meraas Contracting LLC,0519474220,50000,AED 40019.75,Rakesh,60 days,198855049200382
CN-00300,Modern Engineering Consultants,0523036451,25000,26221.74,Anwar,45 days,161865052599041
CN-00301,Al Reem Interiors LLC,0535644270,10000,"18,564.70",Suresh,45 days,191388798549971
CN-00302,Modern Contracting LLC,0537063352,25000,"13.463,21",Joseph,30 days,179951652767256
CN-00303,Reliable Maintenance Co,0583071148,50000,55464.38,Rakesh,60 days,170985230613925
CN-00304,Al Manara Maintenance Co,0559048765,100000,38392.05,Anwar,45 days,119853446320615
