Vendor Code,Supplier Name,Phone,Outstanding,TRN,Country,Currency,VAT Treatment
V-0032,Emirates Imports,043338518,355579.39,131841374790292,UAE,AED,Standard - Domestic
V-0033,National Trading Co,046682639,371477.12,160089466723297,UAE,AED,Standard - Domestic
V-0034,Al Reem Industrial,043567416,314051.62,191399132712462,UAE,AED,Standard - Domestic
V-0035,Capital Trading Co,048123159,208092.05,140983303313719,UAE,AED,Standard - Domestic
V-0036,Pearl Imports,046005433,259236.24,133761867138826,UAE,AED,Standard - Domestic
V-0037,Union Supplies,046693776,27331.70,141391813047443,UAE,AED,Standard - Domestic
V-0038,Modern Supplies,042042212,1718.52,128540485411976,UAE,AED,Standard - Domestic
V-0039,Capital Imports,042623437,405668.37,164607231884183,UAE,AED,Standard - Domestic
V-0040,Emirates Imports,044640493,200168.48,141866677856676,UAE,AED,Standard - Domestic
V-0041,National Distribution,047105075,238651.09,103222222074051,UAE,AED,Standard - Domestic
V-0042,Marina Distribution,045124351,362176.76,123184958557143,UAE,AED,Standard - Domestic
V-0043,Al Manara Imports,047035041,385804.59,146074361199026,UAE,AED,Standard - Domestic
V-0044,Gulf Trading Co,046522805,92327.61,151077303378171,UAE,AED,Standard - Domestic
V-0045,Capital Industrial,043285778,204419.81,118938048854855,UAE,AED,Standard - Domestic
V-0046,Al Reem Distribution,044958561,73491.22,192064550122524,UAE,AED,Standard - Domestic
V-0047,Desert Distribution,048057447,327498.77,170310440425906,UAE,AED,Standard - Domestic
V-0048,Gulf Distribution,042353661,370470.62,130307908239283,UAE,AED,Standard - Domestic
V-0049,Modern Imports,045842573,156997.33,101491146979279,UAE,AED,Standard - Domestic
V-0050,Desert Distribution,044373173,189315.76,127954012515304,UAE,AED,Standard - Domestic
V-0051,Al Reem Supplies,048638746,296371.50,188275174928265,UAE,AED,Standard - Domestic
V-0052,Oasis Trading Co,045787262,344714.41,125210938684632,UAE,AED,Standard - Domestic
V-0053,Gulf Imports,044650459,211496.13,110654916288355,UAE,AED,Standard - Domestic
V-0054,Meraas Imports,049084388,214497.62,133494610397550,UAE,AED,Standard - Domestic
V-0055,Emirates Imports,046662481,61120.21,196419204408884,UAE,AED,Standard - Domestic
V-0056,Reliable Distribution,045931986,21886.45,154380375203431,UAE,AED,Standard - Domestic
V-0057,Pearl Imports,042267248,320334.44,175639251243327,UAE,AED,Standard - Domestic
V-0058,Prime Imports,045661237,48052.61,134796791467392,UAE,AED,Standard - Domestic
V-0059,Gulf Trading Co,046106209,84773.58,197944433222465,UAE,AED,Standard - Domestic
V-0060,Oasis Supplies,043973473,48355.57,198301801806887,UAE,AED,Standard - Domestic
V-0061,Oasis Supplies,049288456,409030.96,139514583427805,UAE,AED,Standard - Domestic
V-0062,Meraas Distribution,044398216,177219.47,178864899221194,UAE,AED,Standard - Domestic
V-0063,Union Imports,046738294,114936.65,120189179195363,UAE,AED,Standard - Domestic
V-0064,Emirates Supplies,047537979,306566.55,132606263759763,UAE,AED,Standard - Domestic
V-0065,Gulf Industrial,044668833,277569.24,146149378987406,UAE,AED,Standard - Domestic
V-0066,Reliable Supplies,048484004,210932.89,135368676936515,UAE,AED,Standard - Domestic
V-0067,Capital Trading Co,042100589,68381.89,144278726399632,UAE,AED,Standard - Domestic
V-0068,Prime Supplies,045355570,251538.26,131063469666343,UAE,AED,Standard - Domestic
V-0069,Union Supplies,047085064,389871.34,130599867235940,UAE,AED,Standard - Domestic
V-0070,Gulf Distribution,049578153,363547.93,156528470506999,UAE,AED,Standard - Domestic
V-0071,Al Reem Industrial,045393203,173368.37,163771059338526,UAE,AED,Standard - Domestic
V-0072,Prime Distribution,049682656,173840.49,133989384025163,UAE,AED,Standard - Domestic
V-0073,Oasis Trading Co,048941983,36181.36,127796630026485,UAE,AED,Standard - Domestic
V-0074,Marina Imports,047359160,373808.69,100559890665680,UAE,AED,Standard - Domestic
V-0075,Falcon Trading Co,043451268,387481.58,145445958764739,UAE,AED,Standard - Domestic
V-0076,Al Manara Industrial,043004708,107104.28,169305288438075,UAE,AED,Standard - Domestic
V-0077,Prime Supplies,046653998,405238.92,174992695754506,UAE,AED,Standard - Domestic
V-0078,Desert Distribution,046278310,156375.74,160048855882366,UAE,AED,Standard - Domestic
V-0079,Marina Distribution,044056704,190444.64,198259428319957,UAE,AED,Standard - Domestic
V-0080,Gulf Supplies,047776628,268717.17,170771949892925,UAE,AED,Standard - Domestic
V-0081,Al Reem Distribution,049408103,279987.61,165354807625346,UAE,AED,Standard - Domestic
V-0082,Oasis Trading Co,047244065,119215.37,174804166205765,UAE,AED,Standard - Domestic
V-0083,Reliable Imports,046272708,387056.42,183458192832663,UAE,AED,Standard - Domestic
V-0084,Falcon Supplies,047077527,90528.50,155641049414526,UAE,AED,Standard - Domestic
V-0085,Pearl Distribution,046374071,288864.40,182764812493571,UAE,AED,Standard - Domestic
V-0086,Al Reem Trading Co,042984359,384842.33,105883953375289,UAE,AED,Standard - Domestic
V-0087,Marina Distribution,048296096,106533.15,118527963960906,UAE,AED,Standard - Domestic
V-0088,Al Manara Industrial,048031957,91293.38,137476213813144,UAE,AED,Standard - Domestic
V-0089,Reliable Trading Co,042815245,66327.05,190961893583261,UAE,AED,Standard - Domestic
V-0090,Meraas Industrial,049896765,301788.70,135002988639750,UAE,AED,Standard - Domestic
V-0091,Capital Trading Co,045451925,123740.48,143785791754994,UAE,AED,Standard - Domestic
V-0092,Oasis Trading Co,044681384,385700.27,195676633734569,UAE,AED,Standard - Domestic
V-0093,Desert Imports,045536255,295154.08,196758074333205,UAE,AED,Standard - Domestic
V-0094,Emirates Distribution,047528776,91694.24,141271804215922,UAE,AED,Standard - Domestic
V-0095,Pearl Supplies,042539972,158613.26,131694007837408,UAE,AED,Standard - Domestic
V-0096,Al Manara Industrial,047285701,117574.63,160154904222514,UAE,AED,Standard - Domestic
V-0097,Capital Imports,046589152,345577.43,163919131852408,UAE,AED,Standard - Domestic
V-0098,Falcon Industrial,047955005,82441.06,173364111639341,UAE,AED,Standard - Domestic
V-0099,Gulf Distribution,045177929,49224.22,160807695916641,UAE,AED,Standard - Domestic
V-0100,Al Manara Distribution,049286124,41355.98,192791833054009,UAE,AED,Standard - Domestic
V-0101,Reliable Supplies,043194148,194153.62,199333820331893,UAE,AED,Standard - Domestic
V-0102,Desert Trading Co,046154358,114786.21,142815092668922,UAE,AED,Standard - Domestic
V-0103,Modern Trading Co,049448223,243953.42,150142054250323,UAE,AED,Standard - Domestic
V-0104,Al Reem Imports,044921554,63814.51,163946101620437,UAE,AED,Standard - Domestic
V-0105,National Distribution,042225052,305998.34,122387757090585,UAE,AED,Standard - Domestic
V-0106,Gulf Supplies,045678761,226352.10,194676983301096,UAE,AED,Standard - Domestic
V-0107,Marina Industrial,044018653,266938.08,149334895331729,UAE,AED,Standard - Domestic
V-0108,Al Reem Supplies,045462828,358908.22,170497769834438,UAE,AED,Standard - Domestic
V-0109,Emirates Trading Co,045833231,372254.92,187405232276481,UAE,AED,Standard - Domestic
V-0110,Pearl Supplies,045270792,281438.33,106928897587292,UAE,AED,Standard - Domestic
V-0111,Marina Distribution,044466016,393008.49,135351237732457,UAE,AED,Standard - Domestic
V-0112,Pearl Industrial,047738775,261393.88,137156215287586,UAE,AED,Standard - Domestic
V-0113,Emirates Supplies,045915414,111165.84,178456618214682,UAE,AED,Standard - Domestic
V-0114,Prime Distribution,042288450,182540.94,119585585129170,UAE,AED,Standard - Domestic
V-0115,Reliable Supplies,045468636,211500.45,199852482422604,UAE,AED,Standard - Domestic
V-0116,Reliable Industrial,048771193,274373.36,103423987335076,UAE,AED,Standard - Domestic
V-0117,National Industrial,047022821,328911.59,176091598939432,UAE,AED,Standard - Domestic
V-0118,Marina Trading Co,045809170,110554.76,115223729425158,UAE,AED,Standard - Domestic
V-0119,Desert Imports,047158853,373324.77,177816084972627,UAE,AED,Standard - Domestic
V-0120,Emirates Distribution,048077132,265575.73,195997669313728,UAE,AED,Standard - Domestic
V-0121,Desert Supplies,045607102,63506.55,143490976028522,UAE,AED,Standard - Domestic
V-0122,Emirates Distribution,046879288,312988.72,106613343316295,UAE,AED,Standard - Domestic
V-0123,Marina Industrial,048186979,191678.83,142224007227342,UAE,AED,Standard - Domestic
V-0124,Falcon Imports,047166337,127139.03,161566826535259,UAE,AED,Standard - Domestic
V-0125,Al Manara Supplies,046198441,223402.70,187751166414549,UAE,AED,Standard - Domestic
V-0126,Capital Imports,049640966,390323.37,152025511262363,UAE,AED,Standard - Domestic
V-0127,Al Manara Distribution,049178867,134520.71,102620308337908,UAE,AED,Standard - Domestic
V-0128,Capital Distribution,046767284,319273.66,167896631557733,UAE,AED,Standard - Domestic
V-0129,Reliable Trading Co,046448358,7828.91,113836096932515,UAE,AED,Standard - Domestic
V-0130,Al Reem Imports,049707117,73318.55,118850730262431,UAE,AED,Standard - Domestic
V-0131,Marina Industrial,049031225,163071.12,140592696033845,UAE,AED,Standard - Domestic
V-0132,Reliable Distribution,046400042,36372.18,178533686707921,UAE,AED,Standard - Domestic
V-0133,National Distribution,046707762,30688.60,197728777958815,UAE,AED,Standard - Domestic
V-0134,Capital Supplies,049524145,219672.76,165564808888936,UAE,AED,Standard - Domestic
V-0135,Pearl Imports,042429594,80701.70,132288532332490,UAE,AED,Standard - Domestic
V-0136,Marina Distribution,044330152,351964.41,142256944458263,UAE,AED,Standard - Domestic
V-0137,Prime Supplies,042643010,100914.99,170590535128836,UAE,AED,Standard - Domestic
V-0138,Desert Imports,043864202,291088.23,143195750318373,UAE,AED,Standard - Domestic
V-0139,Modern Industrial,043384947,292898.54,155563918139526,UAE,AED,Standard - Domestic
V-0140,Union Supplies,043305417,297371.17,158165437474091,UAE,AED,Standard - Domestic
V-0141,Al Manara Imports,048347031,405267.37,149016826229308,UAE,AED,Standard - Domestic
V-0142,Al Reem Supplies,047308401,363067.08,102894165914947,UAE,AED,Standard - Domestic
V-0143,National Industrial,045000016,369840.43,187385109458757,UAE,AED,Standard - Domestic
V-0144,Meraas Industrial,042927575,184944.84,192583199628687,UAE,AED,Standard - Domestic
V-0145,Oasis Imports,047614100,180741.46,138908090881150,UAE,AED,Standard - Domestic
V-0146,Prime Supplies,045627291,332976.91,185523924280986,UAE,AED,Standard - Domestic
V-0147,Desert Trading Co,042139789,364790.56,136280421027549,UAE,AED,Standard - Domestic
V-0148,Marina Distribution,047646608,364676.77,114318119557560,UAE,AED,Standard - Domestic
V-0149,Pearl Imports,042916013,333716.28,107912211272287,UAE,AED,Standard - Domestic
V-0150,Prime Distribution,043723272,57869.70,124544041158043,UAE,AED,Standard - Domestic
V-0151,Prime Supplies,047585629,3263.58,194924780773315,UAE,AED,Standard - Domestic
V-0152,Modern Trading Co,048451415,295482.91,197998397317265,UAE,AED,Standard - Domestic
V-0153,Gulf Supplies,046384934,189265.59,133533864642061,UAE,AED,Standard - Domestic
V-0154,Marina Industrial,044129956,395373.17,125887607301061,UAE,AED,Standard - Domestic
V-0155,National Distribution,046923567,166258.94,156518462552978,UAE,AED,Standard - Domestic
V-0156,Reliable Imports,043058501,28742.04,143839111455874,UAE,AED,Standard - Domestic
V-0157,Union Supplies,046374823,292090.08,194022936374369,UAE,AED,Standard - Domestic
V-0158,Oasis Distribution,045586411,303062.43,107861582265281,UAE,AED,Standard - Domestic
V-0159,National Trading Co,043724067,45781.59,110095762498063,UAE,AED,Standard - Domestic
V-0160,Desert Industrial,047011247,354388.93,113225783000421,UAE,AED,Standard - Domestic
V-0161,Modern Imports,048606243,194496.55,113739220900430,UAE,AED,Standard - Domestic
V-0162,Marina Industrial,043950413,281845.98,151829294950534,UAE,AED,Standard - Domestic
V-0163,Falcon Imports,045033015,292882.14,178908942286452,UAE,AED,Standard - Domestic
V-0164,Modern Industrial,048748021,75391.37,145471574210850,UAE,AED,Standard - Domestic
V-0165,Pearl Distribution,044227458,418.70,150285818269075,UAE,AED,Standard - Domestic
V-0166,Falcon Imports,049597706,314070.58,171986181285006,UAE,AED,Standard - Domestic
V-0167,National Trading Co,043313334,392393.14,185311186112855,UAE,AED,Standard - Domestic
V-0168,Oasis Distribution,045630517,337749.30,197920308296359,UAE,AED,Standard - Domestic
V-0169,Modern Imports,049056360,333994.79,183373717554486,UAE,AED,Standard - Domestic
V-0170,Modern Distribution,048563019,314103.60,127333186537684,UAE,AED,Standard - Domestic
V-0171,Al Manara Imports,044603401,22697.71,110918481587341,UAE,AED,Standard - Domestic
V-0172,Union Distribution,049749837,242267.50,183604226679052,UAE,AED,Standard - Domestic
V-0173,Desert Industrial,045661499,284078.06,178490927497897,UAE,AED,Standard - Domestic
V-0174,Modern Supplies,047169837,12013.75,165120243109489,UAE,AED,Standard - Domestic
V-0175,Union Distribution,049230582,287144.10,190297798673813,UAE,AED,Standard - Domestic
V-0176,Oasis Industrial,044518071,415757.14,115681887636622,UAE,AED,Standard - Domestic
V-0177,Union Industrial,045569381,32634.51,120415015115298,UAE,AED,Standard - Domestic
V-0178,Shanghai Wanjia Building Materials Co,+77402876928,249112.88,,China,USD,Reverse Charge - Import
V-0179,Anand Ceramics Pvt Ltd,+16556866861,173193.60,,India,USD,Reverse Charge - Import
V-0180,Istanbul Yapi Malzemeleri Ltd,+73637634966,39944.32,,Turkey,EUR,Reverse Charge - Import
