namePrimary,nameSecondary,sku,barcode,categoryCode,taxGroup,trackingType,cost,sellPrice,baseUnit,brand,partNumber,reorderLevel,valuationMethod,wholesalePrice
Makita Grinding Disc 1200W,أقراص جلخ 1200W,HW-100017,6843767155636,CAT065,,none,5.768,7.474,PCS,Makita,MAK-1056,25,fifo,6.377
Al-Fanar Digging Spade 18 Gauge,,HW-100018,6504026201265,CAT081,,none,7.042,9.540,pc,Al-Fanar,AL--72003,15,wac,7.660
Stanley PU Foam Filler 10kg,رغوة عازلة 10kg,HW-100019,6716015757253,CAT062,,batch,KD 129.692,172.242,PCS,Stanley,STA-24657,10,fifo,141.669
"yato tool kit 12mm pieces,",طقم عدة 12mm,HW-100020,6911180915378,CAT016,,none,14.553,20.151,PCS,Yato,YAT-41655,50,wac,16.225
Hitachi Tape Measure 20 Gauge,أشرطة قياس 20 Gauge,HW-100021,6760596261323,CAT086,,none,10.608,13.659,PCS,Hitachi,HIT-16960,5,wac,11.846
Makita Extension Cord 1kg,,HW-100022,6299852627397,CAT042,,none,16.729,24.713,pcs,Makita,MAK-90925,25,wac,19.641
Hilti Spirit Level XL,ميزان مياه XL,HW-100023,6986831695133,CAT087,,none,0.351,0.424,PCS,Hilti,HIL-28795,5,fifo,0.391
Hitachi Steel Chain 1/4 inch,سلاسل 1/4 inch,HW-100024,6288559562201,CAT079,,none,23.751,35.243,PCS,Hitachi,,20,fifo,KWD 28.244
Karcher PPR Pipe 3/8 inch,مواسير بي بي آر 3/8 inch,HW-100025,6437076752786,CAT031,,none,18.438,KD 26.322,PCS,Karcher,KAR-74255,5,fifo,21.744
"TOLSEN GRINDING DISC 50MM,",أقراص جلخ 50mm,HW-100026,6756076935108,CAT065,,none,2.588,3.596,PCS,Tolsen,TOL-68680,50,wac,2.859
Ingco PVC Conduit Pipe 5kg,مواسير كهرباء 5kg,HW-100027,6149109042502,CAT041,,none,17.433,25.091,PCS,Ingco,ING-66353,10,wac,20.078
  Crown Plastic Water Tank 4L,خزانات مياه 4L,HW-100028,6356704480607,CAT034,,none,11.058,14.585,PCS,Crown,CRO-60369,10,wac,13.004
Skil Sledge Hammer 20mm,مطارق 20mm,HW-100029,6461323048532,CAT013,,none,23.505,36.205,PCS,Skil,,10,wac,27.600
DeWalt Welding Electrode Small,أسياخ لحام Small,HW-100030,6535197935655,CAT095,,none,2.886,3.788,PCS,DeWalt,,15,wac,3.219
 Yato Platform Ladder 24 Gauge ,سلالم منصة 24 Gauge,HW-100031,6912655235243,CAT093,,none,22.751,33.835,PCS,Yato,YAT-52713,25,wac,KD 25.163
DeWalt Tool Kit 1 inch Pieces,طقم عدة 1 inch,HW-100032,6814859478120,CAT016,,none,15.671,19.494,pcs,DeWalt,,5,wac,16.968
"Stanley Platform Ladder 4L,",سلالم منصة 4L,HW-100033,6240984729221,CAT093,,none,8.480,12.793,PCS,,,20,wac,9.628
Truper Drawer Slide 2000W,تجهيزات خزائن 2000W,HW-100034,6128362582543,CAT078,,none,14.072,19.842,PCS,Truper,TRU-56876,10,wac,16.724
 DeWalt Ball Valve XL ,صمامات XL,HW-100035,6198453442223,CAT032,,none,18.321,23.023,PCS,DeWalt,DEW-23062,25,wac,21.387
Hilti Spring Washer 20 Gauge,حلقات 20 Gauge,HW-100036,6975444835697,CAT023,,none,86.407,130.617,PC,Hilti,HIL-36543,15,wac,98.055
Total Long Nose Pliers Small,زرادية Small,HW-100037,6907114024342,CAT012,,none,20.633,28.439,Nos,Total,TOT-33039,50,fifo,24.062
Metabo Flexible Wire Small,كابلات وأسلاك Small,HW-100038,6471669019459,CAT037,,none,4.218,5.281,PCS,Metabo,MET-73787,15,fifo,4.807
Black+Decker Dust Mask Respirator 9L,أقنعة تنفس 9L,HW-100039,6845691054669,CAT056,,none,7.544,9.833,PC,Black+Decker,BLA-55549,50,wac,8.407
Ingco Step Stool 16 Gauge,مقاعد درج 16 Gauge,HW-100040,6821216690944,CAT092,,none,22.335,28.834,PCS,Ingco,ING-83875,20,wac,24.691
Gulf Star Cold Chisel 3/4 inch,إزميل 3/4 inch,HW-100041,6357926946515,CAT015,,none,22.920,28.694,PCS,Gulf Star,GUL-80773,50,wac,24.865
Black+Decker Padlock 22 Gauge,أقفال 22 Gauge,HW-100042,6709381958262,CAT076,,none,14.678,18.017,PCS,Black+Decker,BLA-92133,10,wac,16.063
Bosch Spirit Level 1 inch,ميزان مياه 1 inch,HW-100043,6547949502817,CAT087,,none,13.732,17.926,PCS,Bosch,BOS-21747,5,wac,15.445
Crown Step Stool 25kg,مقاعد درج 25kg,HW-100044,6152157654314,CAT092,,none,25.736,38.473,PCS,Crown,CRO-93729,15,wac,30.600
Stanley Wall Primer 1/2 inch,,HW-100045,6716043047431,CAT046,,batch,6.263,7.663,PCS,Stanley,STA-98700,15,wac,7.466
Tolsen Laser Level 9L,ميزان ليزر 9L,HW-100046,6550299440757,CAT088,,serial,18.676,22.999,pcs,Tolsen,TOL-89816,25,wac,20.705
Ingco Sandpaper Sheet 25kg,,HW-100047,6460002983074,CAT064,,none,KD 13.738,20.522,pcs,Ingco,,15,wac,15.687
Ingco Step Stool 16 Gauge,مقاعد درج 16 Gauge,HW-100048,6333627226614,CAT092,,none,19.187,KD 25.793,PCS,Ingco,ING-60263,5,wac,20.997
Truper Welding Gloves 18L,ملحقات لحام 18L,HW-100049,6995158707017,CAT096,,none,15.410,20.121,PCS,Truper,,25,wac,17.106
Makita Kitchen Mixer 4L,حنفيات وخلاطات 4L,HW-100050,6760596261323,CAT033,,none,KWD 16.432,20.260,PCS,Makita,MAK-17394,20,wac,18.174
Hitachi  Vernier Caliper 900W,فرجار قياس 900W,HW-100051,6440306065469,CAT089,,none,14.265,19.722,PCS,Hitachi,HIT-97146,25,fifo,15.946
AL-FANAR CUTTING DISC MEDIUM,,HW-100052,6112991848272,CAT066,,none,1.087,1.395,PCS,Al-Fanar,AL--95268,5,fifo,1.228
Ridgid Galvanized Metal Sheet 16 Gauge,صفائح معدنية 16 Gauge,HW-100053,6919848577786,CAT097,,none,24.916,KD 34.061,PCS,Ridgid,RID-3250,'20,wac,28.463
Sata Aluminium Ladder 1kg,سلالم ألمنيوم 1kg,HW-100054,6255070930827,CAT091,,none,13.544,16.049,PC,Sata,SAT-40038,15,wac,KD 16.045
Bosch Expansion Anchor 6mm,مثبتات جدارية 6mm,HW-100055,6752563445269,CAT024,,none,1.405,2.006,PCS,Bosch,BOS-70768,5,wac,1.581
"DeWalt Screwdriver Set 1/2 inch,",مفكات 1/2 inch,HW-100056,6931859026122,CAT011,,none,0.189,KWD 0.254,PCS,DeWalt,DEW-12021,50,wac,0.212
Makita LED Bulb 5kg,إنارة 5kg,HW-100057,6820462467194,CAT040,,none,3.516,4.875,PCS,Makita,MAK-6735,10,wac,4.008
Metabo Steel Toe Safety Boots 450W,أحذية سلامة 450W,HW-100058,6308182279383,CAT053,,none,13.740,18.585,PCS,Metabo,MET-82798,50,fifo,15.202
Metabo Hi-Vis Safety Vest 3/8 inch,سترات عاكسة 3/8 inch,HW-100059,6556786733097,CAT055,,none,157.656,208.336,PCS,Metabo,MET-89181,50,fifo,171.872
Ingco Gate Valve 1 inch,صمامات 1 inch,HW-100060,6742466020885,CAT032,,none,22.746,32.095,PCS,Ingco,ING-77459,10,wac,25.680
Black+Decker Garden Cart 1/2 inch,عربات حديقة 1/2 inch,HW-100061,6493835673187,CAT084,,none,24.365,31.527,PCS,Black+Decker,,20,fifo,26.892
Black+Decker Vernier Caliper 1kg,فرجار قياس 1kg,HW-100062,6678761750800,CAT089,,none,6.681,7.975,PCS,Black+Decker,BLA-64390,50,fifo,7.440
"Bosch Work Gloves 2000W,",قفازات 2000W,HW-100063,6681449519483,CAT052,,none,KWD 1.685,2.155,PCS,,BOS-23245,'5,wac,1.935
Ridgid Vernier Caliper 10mm,فرجار قياس 10mm,HW-100064,6577063017080,CAT089,,none,13.086,KWD 16.833,PCS,Ridgid,RID-83017,25,fifo,14.623
  Metabo Inverter Generator 18 Gauge,مولدات كهرباء 18 Gauge,HW-100065,6973930446333,CAT007,,serial,7.252,8.828,pc,,MET-64760,5,wac,8.504
Crown Copper Tee 750W,وصلات نحاس 750W,HW-100066,6550299440757,CAT030,,none,18.758,27.246,Nos,Crown,CRO-45890,20,wac,20.674
Crown Spring Washer 6mm,حلقات 6mm,HW-100067,6631075144965,CAT023,,none,21.343,32.317,PCS,Crown,CRO-8816,5,fifo,23.273
Total Laser Level XL,ميزان ليزر XL,HW-100068,6321013202760,CAT088,,serial,17.732,26.194,pc,Total,TOT-53968,10,wac,20.510
Gulf Star Hand Saw 18 Gauge,مناشير يدوية 18 Gauge,HW-100069,6261614589462,CAT014,,none,16.186,20.211,PCS,Gulf Star,GUL-96091,5,wac,17.791
DeWalt Pruning Shears 20 Gauge,مقصات تقليم 20 Gauge,HW-100070,6414788885113,CAT083,,none,KD 1.178,1.630,PC,DeWalt,DEW-58981,15,wac,1.327
Total Hacksaw 20 Gauge,مناشير يدوية 20 Gauge,HW-100071,6504026201265,CAT014,,none,7.793,11.807,PCS,Total,TOT-92387,5,wac,9.308
Yato Rubber Mallet Large,مطارق Large,HW-100072,6123597354081,CAT013,,none,32.286,48.532,pcs,Yato,YAT-79456,50,fifo,37.739
Hitachi Laser Level 1200W,ميزان ليزر 1200W,HW-100073,6335481733346,CAT088,,serial,12.811,15.276,PCS,Hitachi,HIT-54815,25,wac,14.978
Stanley Step Stool 16 Gauge,مقاعد درج 16 Gauge,HW-100074,6375934153894,CAT092,,none,KD 13.395,19.499,pc,Stanley,STA-8069,10,wac,14.570
Ridgid Door Hinge Small,,HW-100075,6735822256418,CAT075,,none,227.957,326.105,Pieces,Ridgid,RID-48588,'50,wac,252.080
Sata Wall Primer 10kg,برايمر 10kg,HW-100076,6497593287228,CAT046,,batch,8.296,KD 10.112,PCS,Sata,SAT-45453,5,wac,9.670
DEWALT HAND SAW 1 INCH.,,HW-100077,6211054165802,CAT014,,none,13.644,16.130,PCS,DeWalt,DEW-9553,5,wac,15.841
Al-Fanar Safety Goggles 18 Gauge,نظارات واقية 18 Gauge,HW-100078,6864785345156,CAT054,,none,9.374,11.856,PCS,,,5,wac,10.963
Ingco PU Foam Filler 4L,رغوة عازلة 4L,HW-100079,6318450892831,CAT062,,batch,8.368,10.970,PCS,Ingco,ING-6809,20,wac,9.902
Metabo Tile Adhesive Bag Large,لاصق بلاط Large,HW-100080,6748625443873,CAT071,,none,9.963,15.138,PC,Metabo,MET-65737,50,wac,11.479
Al-Fanar Extension Cord 5kg,,HW-100081,6145252918558,CAT042,,none,16.980,25.421,PCS,,AL--11620,5,wac,20.066
metabo safety helmet 22 gauge.,خوذات 22 Gauge,HW-100082,6201739117186,CAT051,,none,KWD 16.315,21.772,PCS,Metabo,,10,wac,19.278
Truper Grinding Disc XL,أقراص جلخ XL,HW-100083,6241184141574,CAT065,,none,9.267,KWD 11.750,PCS,Truper,,'20,wac,10.895
Karcher Flat Screwdriver 3/4 inch  ,مفكات 3/4 inch,HW-100084,6712544417738,CAT011,,none,19.207,29.179,Pieces,Karcher,KAR-11650,50,wac,21.698
metabo door hinge xl,مفصلات أبواب XL,HW-100085,6261264494174,CAT075,,none,KWD 4.995,KWD 7.237,PCS,Metabo,MET-63092,20,wac,5.955
Tolsen Ball Valve Small,صمامات Small,HW-100086,6215619759542,CAT032,,none,21.198,26.163,Nos,Tolsen,TOL-91881,10,wac,24.456
 Yato Safety Goggles XL ,نظارات واقية XL,HW-100087,6407820302756,CAT054,,none,1.012,1.502,PCS,Yato,YAT-66352,15,fifo,1.095
Yato Door Handle 22 Gauge,مقابض أبواب 22 Gauge,HW-100088,6137381761210,CAT077,,none,11.418,15.801,PCS,Yato,YAT-65970,10,wac,13.378
Crown Step Stool XL,مقاعد درج XL,HW-100089,6216257419754,CAT092,,none,19.259,27.737,PCS,Crown,CRO-7213,20,wac,22.827
sata wall primer 1/4 inch,برايمر 1/4 inch,HW-100090,6896081800376,CAT046,,batch,1.439,1.765,Nos,Sata,SAT-53780,50,fifo,1.664
Hitachi Adjustable Wrench 450W,,HW-100091,6551032476771,CAT010,,none,1.532,2.183,PCS,Hitachi,HIT-22830,20,wac,1.743
Makita Mig Welder 9L,ماكينات لحام 9L,HW-100092,6463558984225,CAT008,,serial,5.320,6.328,PCS,Makita,,25,wac,KWD 6.223
"Black+Decker Tool Kit Large Pieces,",طقم عدة Large,HW-100093,6236437494841,CAT016,,none,7.479,10.473,pcs,Black+Decker,BLA-80486,'50,fifo,8.939
Tolsen Thermal Insulation Sheet 20 Gauge,عزل 20 Gauge,HW-100094,6233664987621,CAT070,,none,12.139,17.522,PCS,Tolsen,TOL-60050,25,wac,14.458
Tolsen Construction Adhesive 4L,لاصق إنشائي 4L,HW-100095,6782088851174,CAT059,,batch,2.754,3.341,PCS,Tolsen,TOL-96654,50,wac,3.020
Gulf Star Spirit Level Medium,ميزان مياه Medium,HW-100096,6663544002239,CAT087,,none,3.722,4.488,PCS,Gulf Star,GUL-35480,25,wac,4.037
Metabo Flat Washer 18 Gauge,حلقات 18 Gauge,HW-100097,6970658939643,CAT023,,none,5.920,8.976,PCS,,MET-17892,15,fifo,6.862
Hilti Garden Hose 450W,خراطيم ورشاشات 450W,HW-100098,6919211432656,CAT082,,none,KWD 3.730,5.378,pc,Hilti,HIL-89374,10,wac,4.237
Ingco Paint Thinner 50kg,,HW-100099,6725474875989,CAT049,,batch,13.115,16.244,PCS,Ingco,ING-78548,20,wac,14.592
Hitachi Door Hinge Medium,مفصلات أبواب Medium,HW-100100,6901375543436,CAT075,,none,14.394,18.749,PCS,Hitachi,HIT-23827,10,fifo,16.890
Crown PVC Conduit Pipe 1L,مواسير كهرباء 1L,HW-100101,6825751206652,CAT041,,none,11.618,17.880,PCS,Crown,CRO-16317,20,wac,12.792
Ridgid Wood Router 1/4 inch,مسويات وروترات 1/4 inch,HW-100102,6472474492710,CAT006,,serial,3.131,4.489,PCS,Ridgid,RID-57591,20,fifo,3.580
Gulf Star Work Gloves 1L,,HW-100103,6491607794379,CAT052,,none,1.733,2.402,PCS,Gulf Star,GUL-4674,5,wac,1.979
Metabo Epoxy Adhesive 9L,إيبوكسي 9L,HW-100104,6486951962412,CAT060,,batch,3.856,KWD 5.204,PCS,Metabo,,25,wac,4.530
Total Safety Goggles 1200W,نظارات واقية 1200W,HW-100105,6926393872368,CAT054,,none,11.219,15.289,PCS,Total,,50,wac,12.366
Total Flood Light 22 Gauge,,HW-100106,6779840217200,CAT040,,none,KD 2.577,3.467,PCS,Total,TOT-29154,25,wac,2.898
Sata Inverter Generator 3/4 inch,مولدات كهرباء 3/4 inch,HW-100107,6265480476958,CAT007,,serial,11.487,KWD 15.846,PCS,Sata,SAT-20540,20,wac,13.610
 Ridgid Aluminium Ladder 20 Gauge ,سلالم ألمنيوم 20 Gauge,HW-100108,6126687365486,CAT091,,none,15.687,23.028,PCS,Ridgid,RID-52973,10,fifo,17.112
Tolsen Machine Screw XL,براغي آلات XL,HW-100109,6286938931948,CAT020,,none,12.725,18.448,pc,Tolsen,TOL-42740,20,wac,15.051
Crown Welding Electrode 25mm,أسياخ لحام 25mm,HW-100110,6921568248894,CAT095,,none,24.567,37.027,PCS,Crown,CRO-32125,10,wac,27.534
Metabo Cordless Drill 3/8 inch,مثاقب 3/8 inch,HW-100111,6693182859469,CAT002,,serial,18.974,26.024,PCS,Metabo,MET-68401,50,fifo,22.169
Stanley Self Tapping Screw 1L,,HW-100112,6589835716944,CAT021,,none,23.953,37.046,PCS,Stanley,STA-94053,20,wac,27.165
Skil Paint Thinner 25kg,تنر 25kg,HW-100113,6720331713308,CAT049,,batch,9.569,11.904,PCS,Skil,SKI-60368,50,fifo,KD 10.809
Hilti Inverter Generator 20L,مولدات كهرباء 20L,HW-100114,6778698380510,CAT007,,serial,22.941,29.323,PCS,Hilti,,10,wac,27.278
INGCO WALL PRIMER 18L,برايمر 18L,HW-100115,6343514953603,CAT046,,batch,24.655,33.405,PCS,Ingco,ING-53924,20,wac,28.061
Skil Combination Wrench Large,مفاتيح ربط Large,HW-100116,6236827288199,CAT010,,none,19.332,23.932,PCS,Skil,SKI-57703,25,fifo,22.956
Stanley Tape Measure 18 Gauge,أشرطة قياس 18 Gauge,HW-100117,6318867376419,CAT086,,none,18.857,KD 22.929,PCS,Stanley,STA-89618,20,wac,22.039
Al-Fanar Steel Toe Safety Boots 3/4 inch,أحذية سلامة 3/4 inch,HW-100118,6851361779954,CAT053,,none,9.331,12.433,PCS,Al-Fanar,AL--53446,5,wac,10.710
Ingco Machine Screw Small,براغي آلات Small,HW-100119,6728195589596,CAT020,,none,14.632,17.541,PCS,Ingco,ING-72728,25,wac,16.385
Makita Paint Thinner 10kg  ,تنر 10kg,HW-100120,6874427073112,CAT049,,batch,2.369,3.087,PCS,Makita,MAK-65532,50,wac,2.776
Sata Wire Brush 12mm,فرش سلك 12mm,HW-100121,6649396654571,CAT067,,none,22.012,32.978,PCS,Sata,SAT-89453,15,fifo,KWD 26.164
Gulf Star Spray Paint Can XL,بخاخ دهان XL,HW-100122,6893006791374,CAT047,,batch,15.827,22.054,PCS,Gulf Star,GUL-99974,50,wac,KWD 17.127
Ingco Garden Shovel 750W,مجارف 750W,HW-100123,6991730326883,CAT081,,none,22.919,28.965,PCS,Ingco,ING-70921,25,wac,26.013
"DeWalt Thermal Insulation Sheet 900W,",عزل 900W,HW-100124,6533046493931,CAT070,,none,0.854,1.036,PCS,DeWalt,DEW-96559,10,fifo,0.956
Hitachi Door Handle 10kg,مقابض أبواب 10kg,HW-100125,6963238925046,CAT077,,none,19.684,25.991,PCS,Hitachi,HIT-62127,20,wac,22.859
Tolsen Kitchen Mixer 24 Gauge,حنفيات وخلاطات 24 Gauge,HW-100126,6241268077724,CAT033,,none,15.187,22.881,Nos,Tolsen,TOL-40888,50,wac,17.630
 Crown Expansion Anchor 1/4 inch ,,HW-100127,6760596261323,CAT024,,none,8.060,10.374,PCS,Crown,CRO-85322,25,wac,8.935
Yato Pop Rivet 16 Gauge,مسامير برشام 16 Gauge,HW-100128,6266665946003,CAT026,,none,8.132,11.234,PCS,Yato,YAT-97134,'20,wac,9.367
Truper Vernier Caliper Small,فرجار قياس Small,HW-100129,6179631738135,CAT089,,none,18.414,23.651,PCS,Truper,TRU-71225,50,fifo,21.210
Skil Electrical Cable Small,كابلات وأسلاك Small,HW-100130,6260720602421,CAT037,,none,18.754,27.798,PCS,Skil,SKI-83987,20,wac,21.523
Hilti Step Stool XL,مقاعد درج XL,HW-100131,6387638971934,CAT092,,none,145.328,222.195,pc,Hilti,HIL-26872,10,wac,164.599
Sata Phillips Screwdriver 1kg,مفكات 1kg,HW-100132,6133151989273,CAT011,,none,24.850,35.873,Pieces,Sata,SAT-89801,15,wac,27.043
Tolsen Pop Rivet 2000W,مسامير برشام 2000W,HW-100133,6849157703202,CAT026,,none,12.946,15.402,PCS,Tolsen,TOL-4538,5,wac,14.775
hitachi safety goggles 20l,نظارات واقية 20L,HW-100134,6703910025030,CAT054,,none,24.508,32.996,PCS,Hitachi,HIT-69349,20,wac,29.050
BOSCH COLD CHISEL 450W,إزميل 450W,HW-100135,6438193706159,CAT015,,none,9.066,13.637,Pieces,Bosch,BOS-40200,5,wac,9.834
Yato Grinding Disc 20L,أقراص جلخ 20L,HW-100136,6953289332987,CAT065,,none,21.157,26.454,pc,Yato,,5,wac,24.161
Crown Enamel Paint 5kg,دهان زيتي 5kg,HW-100137,6848366751208,CAT045,,batch,21.569,30.835,PCS,Crown,CRO-9264,50,wac,23.820
Ingco Scaffolding Frame 1 inch,سقالات 1 inch,HW-100138,6953366781273,CAT072,,none,16.973,22.006,PCS,Ingco,ING-3418,15,fifo,18.679
Black+Decker Tile Adhesive Bag Small,لاصق بلاط Small,HW-100139,6626363905736,CAT071,,none,24.901,KD 33.002,PCS,,BLA-4537,20,fifo,29.069
Hitachi PVC Pipe 24 Gauge,,HW-100140,6420696253693,CAT029,,none,5.459,7.307,PCS,Hitachi,HIT-5165,10,wac,KD 5.977
Gulf Star Enamel Paint 1200W,دهان زيتي 1200W,HW-100141,6800256734174,CAT045,,batch,8.429,12.651,PCS,Gulf Star,GUL-76381,15,wac,9.380
Yato Wood Screw 25mm,براغي خشب 25mm,HW-100142,6259754566704,CAT019,,none,0.401,0.544,PCS,Yato,YAT-64344,20,wac,0.438
DeWalt Flexible Wire 1kg,كابلات وأسلاك 1kg,HW-100143,6425621091712,CAT037,,none,23.382,30.919,PCS,DeWalt,DEW-26078,25,wac,26.091
Ingco Cement Bag 1/2 inch,,HW-100144,6747054842455,CAT069,,none,9.971,14.875,Pieces,Ingco,ING-61091,20,fifo,11.530
Crown Welding Electrode 22 Gauge,,HW-100145,6765307896834,CAT095,,none,22.533,30.156,PCS,Crown,CRO-48913,'15,wac,25.080
DeWalt Electrical Cable 16 Gauge,كابلات وأسلاك 16 Gauge,HW-100146,6495809480974,CAT037,,none,24.587,34.572,PC,DeWalt,DEW-32230,10,wac,27.742
Truper  Steel Toe Safety Boots 1200W,أحذية سلامة 1200W,HW-100147,6636514270418,CAT053,,none,9.813,14.634,PCS,Truper,TRU-12292,5,wac,KWD 10.794
Karcher Vernier Caliper 750W,فرجار قياس 750W,HW-100148,6736783291924,CAT089,,none,8.130,9.824,PCS,Karcher,KAR-27606,20,wac,8.865
Makita Hacksaw 20mm,مناشير يدوية 20mm,HW-100149,6826290262251,CAT014,,none,KWD 17.605,22.530,PCS,,MAK-7062,50,fifo,19.778
Tolsen Pruning Shears Medium,,HW-100150,6396826505444,CAT083,,none,21.780,27.551,PCS,Tolsen,TOL-6697,25,wac,KD 25.339
makita super glue 18l,لاصق سريع 18L,HW-100151,6156147429842,CAT061,,batch,23.511,28.189,PCS,Makita,MAK-92516,5,wac,27.098
al-fanar paint thinner 16mm,تنر 16mm,HW-100152,6343515830684,CAT049,,batch,11.718,17.173,PCS,Al-Fanar,AL--55969,5,wac,13.254
Tolsen Laser Level 18 Gauge,ميزان ليزر 18 Gauge,HW-100153,6808934119690,CAT088,,serial,KD 22.640,31.396,PCS,Tolsen,,25,wac,KWD 25.517
SATA SELF TAPPING SCREW 50MM,براغي ذاتية التنصيت 50mm,HW-100154,6200906402803,CAT021,,none,22.294,26.522,PCS,Sata,SAT-84438,10,wac,KD 24.462
Gulf Star Wheelbarrow 650W,عربات يدوية 650W,HW-100155,6998116992558,CAT073,,none,10.719,15.689,PC,Gulf Star,GUL-62399,50,wac,11.940
"Hilti Machine Screw 18 Gauge,",براغي آلات 18 Gauge,HW-100156,6280775355631,CAT020,,none,KD 3.045,4.451,PCS,Hilti,HIL-60245,10,wac,3.358
Sata Garden Shovel XL,مجارف XL,HW-100157,6249828857914,CAT081,,none,16.051,KWD 24.678,PCS,Sata,SAT-14545,25,wac,18.920
Al-Fanar PPR Pipe 750W,مواسير بي بي آر 750W,HW-100158,6376847330142,CAT031,,none,KWD 6.140,7.861,PCS,Al-Fanar,AL--41608,5,wac,7.076
Truper Flat Screwdriver 5kg.,مفكات 5kg,HW-100159,6420441403666,CAT011,,none,KD 17.030,KD 24.791,PCS,Truper,TRU-99297,10,wac,18.700
Sata  Work Gloves 1500W,قفازات 1500W,HW-100160,6430047539108,CAT052,,none,13.668,16.416,PCS,Sata,SAT-20545,20,fifo,15.095
Sata Wood Screw 50kg,براغي خشب 50kg,HW-100161,6534093868013,CAT019,,none,13.600,16.278,Nos,Sata,SAT-89551,5,wac,15.357
bosch extension cord 650w,وصلات كهرباء 650W,HW-100162,6786464188983,CAT042,,none,7.754,11.817,PCS,Bosch,BOS-1053,20,wac,8.661
Karcher Garden Cart 4L,عربات حديقة 4L,HW-100163,6368422423203,CAT084,,none,0.808,0.988,PCS,Karcher,KAR-39090,50,fifo,0.942
Hilti Cement Bag 10mm,أسمنت وملاط 10mm,HW-100164,6406070883278,CAT069,,none,6.448,9.824,PCS,Hilti,,20,wac,7.045
Stanley Plastic Water Tank XL,خزانات مياه XL,HW-100165,6787225660244,CAT034,,none,19.278,24.677,PCS,Stanley,STA-95077,'10,fifo,22.044
Makita Ready Mix Mortar 1/4 inch,,HW-100166,6467523616027,CAT069,,none,0.999,1.402,PCS,Makita,,50,wac,KD 1.142
DeWalt Garden Cart 25kg,عربات حديقة 25kg,HW-100167,6108299016267,CAT084,,none,13.570,19.288,PCS,DeWalt,DEW-4789,25,wac,15.400
Metabo Wheelbarrow XL,عربات يدوية XL,HW-100168,6956758742831,CAT073,,none,KWD 23.507,28.242,PCS,Metabo,MET-28036,20,wac,27.260
Sata Garden Hose 25kg,,HW-100169,6618497800794,CAT082,,none,21.218,26.122,PCS,Sata,SAT-99755,25,wac,24.499
Crown Plastic Water Tank 2000W,خزانات مياه 2000W,HW-100170,6504761223643,CAT034,,none,14.218,16.837,PCS,Crown,CRO-17032,10,fifo,16.555
