itemSku,warehouse,batchNo,expiryDate,qty,unitCost
HW-100490,Shuwaikh Main,B2026594,19/11/2028,72,15.444
HW-100493,Ardiya Warehouse,B2026953,2028-12-31,186,7.656
HW-100498,Rai Branch,B2025991,22-11-2027,201,13.406
HW-100499,Rai Branch,B2025954,09-01-2027,135,KWD 7.340
HW-100507,Ardiya Warehouse,B2025169,10/8/2028,26,1.499
HW-100512,Fahaheel Branch,B2025666,29-08-2028,292,3.561
HW-100556,Rai Branch,B2026270,2028-02-03,219,7.670
HW-100559,Shuwaikh Main,B2025171,23/10/2026,24,7.712
HW-100564,Fahaheel Branch,B2026483,30/11/2028,148,8.892
HW-100565,Ardiya Warehouse,B2025820,22-10-2028,54,KWD 16.210
HW-100566,Shuwaikh Main,B2026219,2027-12-05,203,20.248
HW-100568,Rai Branch,B2025838,2028-02-10,148,15.893
HW-100569,Fahaheel Branch,B2025875,23-03-2028,118,11.585
HW-100593,Ardiya Warehouse,B2025900,1/9/2027,279,16.794
HW-100595,Fahaheel Branch,B2025183,30/9/2027,50,4.133
HW-100598,Fahaheel Branch,B2026314,21/8/2027,81,13.491
HW-100601,Rai Branch,B2025516,2028-12-08,141,4.604
HW-100604,Ardiya Warehouse,B2025693,2028-05-13,194,14.944
HW-100607,Shuwaikh Main,B2025956,01-12-2028,120,9.810
HW-100614,Shuwaikh Main,B2025568,06-10-2027,227,24.832
HW-100618,Fahaheel Branch,B2026130,08-02-2027,169,24.375
HW-100622,Shuwaikh Main,B2025908,17-03-2027,168,82.507
HW-100643,Rai Branch,B2025113,7/11/2027,95,15.343
HW-100665,Rai Branch,B2025913,26/10/2026,154,22.544
HW-100669,Rai Branch,B2026266,2028-12-23,237,8.407
HW-100675,Rai Branch,B2026152,2027-08-27,72,KWD 17.315
HW-100678,Shuwaikh Main,B2025174,2028-12-02,265,15.542
HW-100684,Fahaheel Branch,B2026580,2027-05-24,98,11.503
HW-100685,Shuwaikh Main,B2025873,1/8/2027,112,9.809
HW-100689,Shuwaikh Main,B2026313,27-01-2028,113,5.995
HW-100690,Shuwaikh Main,B2025648,19/1/2029,176,3.704
HW-100691,Fahaheel Branch,B2025874,22-06-2028,157,20.667
HW-100707,Fahaheel Branch,B2025565,19-01-2028,19,19.462
HW-100713,Shuwaikh Main,B2026475,10/11/2026,140,23.194
HW-100722,Ardiya Warehouse,B2025344,10-10-2026,223,0.775
HW-100729,Shuwaikh Main,B2025796,10-12-2028,300,16.248
HW-100748,Fahaheel Branch,B2025746,2028-10-31,278,16.024
HW-100749,Rai Branch,B2025160,25-11-2026,189,4.162
HW-100753,Ardiya Warehouse,B2026638,2027-08-13,116,17.814
HW-100755,Fahaheel Branch,B2026342,20/4/2028,166,21.631
HW-100763,Shuwaikh Main,B2025663,14/12/2026,184,21.012
HW-100774,Shuwaikh Main,B2026382,28/10/2027,205,13.883
HW-100776,Ardiya Warehouse,B2025659,13/10/2026,255,19.037
HW-100777,Rai Branch,B2025758,15/2/2027,192,254.300
HW-100788,Ardiya Warehouse,B2026227,2026-12-04,15,24.500
HW-100793,Shuwaikh Main,B2026178,2027-08-22,83,6.501
HW-100795,Fahaheel Branch,B2026250,2028-07-14,291,11.519
HW-100801,Fahaheel Branch,B2026263,2027-07-07,20,16.901
HW-100811,Fahaheel Branch,B2025562,2027-09-23,102,11.509
HW-100829,Ardiya Warehouse,B2026625,2027-06-03,97,3.772
HW-100838,Shuwaikh Main,B2025892,04-04-2027,234,4.609
HW-100854,Shuwaikh Main,B2025296,30/8/2028,101,20.801
HW-100859,Rai Branch,B2025746,23-01-2028,185,10.171
HW-100861,Fahaheel Branch,B2025382,01-09-2028,18,KWD 9.906
HW-100865,Ardiya Warehouse,B2026399,2028-08-09,113,16.203
HW-100871,Fahaheel Branch,B2025717,2027-03-01,116,15.114
HW-100878,Rai Branch,B2026520,2028-12-31,297,11.020
HW-100886,Ardiya Warehouse,B2025983,02-09-2027,205,11.284
HW-100910,Rai Branch,B2025897,2027-06-16,169,11.032
HW-100917,Ardiya Warehouse,B2026611,4/12/2026,203,142.560
HW-100925,Fahaheel Branch,B2026981,9/6/2028,244,4.332
HW-100945,Ardiya Warehouse,B2025458,22/4/2028,198,16.091
HW-100957,Ardiya Warehouse,B2026233,2028-07-08,179,KD 15.168
HW-100959,Fahaheel Branch,B2026753,2026-10-22,148,0.226
HW-100965,Fahaheel Branch,B2026183,22/12/2028,78,22.019
HW-100973,Ardiya Warehouse,B2025697,8/7/2027,208,KD 6.492
HW-100986,Rai Branch,B2025758,2027-02-17,131,16.738
HW-100990,Fahaheel Branch,B2025837,2028-04-10,89,12.217
HW-100998,Shuwaikh Main,B2026880,09-08-2028,270,5.348
HW-101003,Shuwaikh Main,B2025209,21/10/2027,292,20.173
HW-101021,Fahaheel Branch,B2026653,2028-05-30,13,8.956
HW-101063,Shuwaikh Main,B2026653,14-04-2028,206,10.452
HW-101075,Ardiya Warehouse,B2025576,2028-07-10,19,6.041
HW-101091,Shuwaikh Main,B2025364,2027-02-20,245,24.782
HW-101100,Rai Branch,B2026160,9/9/2027,90,6.295
HW-101108,Fahaheel Branch,B2026479,2027-05-20,104,12.313
HW-101140,Shuwaikh Main,B2026658,2027-01-24,59,KD 0.305
HW-101142,Fahaheel Branch,B2026576,2027-08-13,117,2.316
HW-101174,Fahaheel Branch,B2026687,03-05-2028,209,16.695
HW-101175,Ardiya Warehouse,B2025475,17/2/2027,56,24.618
HW-101176,Fahaheel Branch,B2025821,2029-01-13,270,15.709
HW-101177,Rai Branch,B2026729,19-12-2028,159,7.030
HW-101180,Rai Branch,B2026573,19/4/2027,131,0.861
HW-101189,Fahaheel Branch,B2025984,5/8/2027,282,16.407
HW-101195,Rai Branch,B2026391,06-09-2028,23,23.633
HW-101199,Ardiya Warehouse,B2026557,2/3/2028,46,6.683
HW-101201,Fahaheel Branch,B2026525,2028-05-03,47,21.313
HW-101207,Rai Branch,B2025303,2028-01-20,224,KD 5.340
HW-101216,Fahaheel Branch,B2025910,11-10-2027,61,13.867
HW-101232,Ardiya Warehouse,B2025369,25-04-2028,193,12.782
HW-101233,Fahaheel Branch,B2026794,04-12-2027,89,0.463
HW-101237,Shuwaikh Main,B2025994,15/9/2027,44,6.059
HW-101239,Rai Branch,B2025843,2027-02-11,268,12.632
HW-101249,Shuwaikh Main,B2025533,16/2/2028,83,11.221
HW-101263,Fahaheel Branch,B2026492,30-03-2028,171,22.169
HW-101268,Ardiya Warehouse,B2025391,18/11/2028,167,23.055
HW-101269,Fahaheel Branch,B2025129,09-12-2026,109,15.875
HW-101271,Fahaheel Branch,B2026455,2028-08-07,257,3.198
HW-101274,Shuwaikh Main,B2025345,04-05-2027,192,7.109
HW-101284,Shuwaikh Main,B2025474,12/3/2027,44,23.350
HW-101292,Shuwaikh Main,B2025636,2028-09-22,133,20.037
HW-101293,Shuwaikh Main,B2025563,2028-12-07,77,20.920
HW-101300,Rai Branch,B2025392,9/4/2027,297,23.453
HW-101302,Shuwaikh Main,B2025946,2028-07-22,132,15.820
HW-101303,Fahaheel Branch,B2026977,13-07-2027,273,5.063
HW-101304,Fahaheel Branch,B2025100,2027-01-11,88,24.477
HW-101306,Ardiya Warehouse,B2025511,2027-12-18,96,1.142
HW-101312,Rai Branch,B2025128,06-08-2027,269,21.217
HW-101316,Fahaheel Branch,B2026680,26/3/2027,115,7.129
HW-101333,Fahaheel Branch,B2026314,2028-04-28,158,4.230
HW-101334,Rai Branch,B2025929,2027-11-21,35,18.838
HW-101356,Rai Branch,B2026715,02-09-2027,240,16.896
HW-101375,Shuwaikh Main,B2026330,20/11/2026,28,191.585
HW-101379,Ardiya Warehouse,B2025345,3/9/2028,53,1.882
HW-101388,Ardiya Warehouse,B2026404,03-09-2027,99,18.924
HW-101418,Shuwaikh Main,B2025895,07-10-2026,27,8.309
HW-101424,Shuwaikh Main,B2025234,2027-02-26,181,11.539
HW-101426,Rai Branch,B2025938,24-02-2028,69,24.868
HW-101437,Shuwaikh Main,B2025269,15/10/2028,123,KWD 6.033
HW-101438,Rai Branch,B2026862,01-12-2027,300,16.888
HW-101454,Shuwaikh Main,B2025955,2027-09-26,49,0.154
HW-101462,Fahaheel Branch,B2025267,18/3/2027,57,13.797
HW-101478,Ardiya Warehouse,B2025323,2027-08-27,60,6.226
HW-101492,Ardiya Warehouse,B2025531,2027-03-08,257,26.470
HW-101494,Rai Branch,B2026147,30-01-2027,159,6.688
HW-101500,Rai Branch,B2025605,28/8/2027,204,3.766
HW-101516,Fahaheel Branch,B2026506,9/8/2028,137,KWD 14.602
HW-101522,Ardiya Warehouse,B2025748,2026-12-04,55,14.766
HW-101537,Ardiya Warehouse,B2025922,25-07-2028,54,6.593
HW-101543,Shuwaikh Main,B2025122,2028-06-01,15,10.633
HW-101547,Ardiya Warehouse,B2026950,8/1/2028,190,18.311
HW-101550,Fahaheel Branch,B2026919,27-04-2028,153,15.045
HW-101551,Shuwaikh Main,B2025889,2027-12-01,194,23.203
HW-101561,Ardiya Warehouse,B2026567,2027-09-10,236,15.661
HW-101572,Fahaheel Branch,B2026326,25-08-2028,124,14.071
HW-101574,Rai Branch,B2026512,13-10-2027,154,4.919
HW-101587,Shuwaikh Main,B2025739,28/10/2028,156,4.128
HW-101588,Fahaheel Branch,B2026853,02-04-2027,183,21.641
HW-101591,Fahaheel Branch,B2026624,07-01-2027,269,23.600
HW-101595,Ardiya Warehouse,B2025608,21/12/2028,287,10.893
HW-101606,Rai Branch,B2025534,2028-07-07,217,6.365
HW-101612,Fahaheel Branch,B2025111,01-09-2028,275,23.291
HW-101614,Ardiya Warehouse,B2025643,30/7/2028,225,10.287
HW-101626,Shuwaikh Main,B2025658,25-12-2027,76,21.919
HW-101635,Fahaheel Branch,B2026817,18-10-2026,38,23.548
HW-101636,Shuwaikh Main,B2025736,25/11/2026,225,67.342
HW-101651,Ardiya Warehouse,B2025721,05-12-2027,257,0.268
HW-101662,Shuwaikh Main,B2026806,2027-05-24,112,KD 16.916
HW-101668,Rai Branch,B2025843,19-01-2028,261,4.296
HW-101681,Fahaheel Branch,B2026734,18/5/2028,279,0.796
HW-101702,Ardiya Warehouse,B2025608,2028-10-21,285,18.116
HW-101705,Ardiya Warehouse,B2026230,13-10-2026,260,21.259
HW-101729,Ardiya Warehouse,B2025398,24/10/2028,187,13.386
HW-101746,Ardiya Warehouse,B2025432,23/10/2027,94,17.131
HW-101756,Fahaheel Branch,B2026676,2028-11-08,79,0.277
HW-101770,Fahaheel Branch,B2025105,22-05-2027,211,0.521
HW-101772,Ardiya Warehouse,B2025501,22-06-2028,193,220.920
HW-101773,Fahaheel Branch,B2026265,26-01-2027,110,7.900
HW-101783,Ardiya Warehouse,B2025938,2028-04-08,139,23.151
HW-101787,Ardiya Warehouse,B2025168,25-05-2027,15,1.295
HW-101789,Fahaheel Branch,B2026909,13/3/2028,42,9.388
HW-101793,Fahaheel Branch,B2025673,07-11-2026,181,0.901
HW-101796,Ardiya Warehouse,B2026282,09-07-2027,38,3.247
HW-101803,Fahaheel Branch,B2025198,17/9/2027,141,4.864
HW-101808,Fahaheel Branch,B2025233,2026-12-04,134,5.607
HW-101814,Ardiya Warehouse,B2026731,07-12-2028,106,KWD 24.840
HW-101817,Shuwaikh Main,B2026745,27-05-2028,208,22.144
HW-101823,Rai Branch,B2025316,2026-10-10,232,5.811
HW-101832,Fahaheel Branch,B2025202,2028-02-23,212,5.282
HW-101845,Shuwaikh Main,B2026206,2029-01-19,106,23.414
HW-101846,Fahaheel Branch,B2025264,18/10/2026,53,23.823
HW-101855,Shuwaikh Main,B2025400,22-12-2026,297,0.335
HW-101860,Rai Branch,B2025275,18/1/2027,159,96.089
HW-101867,Shuwaikh Main,B2025862,03-11-2028,118,7.043
HW-101882,Ardiya Warehouse,B2026465,30/4/2027,68,22.589
HW-101885,Shuwaikh Main,B2025422,14/4/2028,255,KWD 17.294
HW-101886,Rai Branch,B2025660,06-07-2028,270,4.601
HW-101887,Rai Branch,B2026105,02-01-2029,276,15.215
HW-101900,Fahaheel Branch,B2026255,6/7/2028,38,17.913
HW-101911,Rai Branch,B2025629,29/1/2028,185,18.738
HW-101913,Ardiya Warehouse,B2026902,28/12/2026,177,9.332
HW-101915,Ardiya Warehouse,B2026527,2027-09-19,44,14.586
HW-101924,Shuwaikh Main,B2025456,25-12-2028,284,8.743
HW-101926,Rai Branch,B2025236,08-01-2029,215,KD 8.021
HW-101928,Ardiya Warehouse,B2025112,2028-01-04,202,KD 2.232
HW-101932,Ardiya Warehouse,B2026457,15/2/2027,242,17.571
HW-101937,Shuwaikh Main,B2025510,17-07-2028,203,12.375
HW-101943,Fahaheel Branch,B2026769,11-10-2027,45,14.681
HW-101945,Rai Branch,B2025365,2027-09-13,11,KWD 23.510
HW-101968,Ardiya Warehouse,B2026608,05-08-2028,244,1.597
HW-101977,Shuwaikh Main,B2025877,2028-09-21,81,16.199
HW-101991,Fahaheel Branch,B2026936,2028-04-19,194,KWD 3.305
HW-101997,Ardiya Warehouse,B2025789,2026-12-26,297,4.966
HW-101998,Shuwaikh Main,B2026266,2027-12-10,102,24.430
HW-102006,Fahaheel Branch,B2026564,2027-06-21,281,174.148
HW-102011,Rai Branch,B2026116,14-05-2027,119,3.417
HW-102013,Fahaheel Branch,B2026802,8/7/2028,226,1.120
HW-102022,Rai Branch,B2026434,8/11/2026,29,168.824
HW-102028,Ardiya Warehouse,B2025511,25/11/2027,120,8.496
HW-102031,Rai Branch,B2026952,29-03-2028,97,24.862
HW-102038,Rai Branch,B2026273,7/4/2027,20,104.449
HW-102059,Rai Branch,B2025584,29-07-2027,272,20.076
HW-102063,Shuwaikh Main,B2025984,14/9/2027,179,KWD 8.653
HW-102066,Shuwaikh Main,B2026651,15-01-2027,184,24.112
HW-102076,Fahaheel Branch,B2025784,08-01-2029,21,KWD 21.931
HW-102080,Rai Branch,B2025245,12/10/2026,72,6.265
HW-102081,Fahaheel Branch,B2026251,30-04-2028,167,21.952
HW-102105,Ardiya Warehouse,B2026761,17/9/2027,171,21.175
HW-102110,Rai Branch,B2026985,19-10-2028,292,7.313
HW-102115,Ardiya Warehouse,B2025550,10/10/2026,73,4.393
HW-102116,Rai Branch,B2026413,2028-12-13,162,4.374
HW-102118,Ardiya Warehouse,B2025927,18-03-2028,147,KD 12.273
HW-102119,Shuwaikh Main,B2026920,09-05-2027,114,7.097
HW-102124,Ardiya Warehouse,B2025319,31-01-2028,108,18.168
HW-102130,Ardiya Warehouse,B2026363,2028-11-12,293,7.161
HW-102131,Fahaheel Branch,B2026322,2028-01-26,138,15.481
HW-102139,Shuwaikh Main,B2025907,2028-09-30,241,KWD 1.604
HW-102141,Shuwaikh Main,B2025841,2028-06-09,186,KD 8.712
HW-102168,Rai Branch,B2025665,18-07-2027,204,8.291
HW-102175,Fahaheel Branch,B2025225,9/5/2028,220,19.138
HW-102181,Shuwaikh Main,B2025319,10/5/2027,236,2.436
HW-102188,Rai Branch,B2025962,16-10-2027,187,13.885
HW-102192,Fahaheel Branch,B2025456,2027-08-08,40,KWD 1.884
HW-102195,Rai Branch,B2025366,24/5/2028,132,3.319
HW-102196,Fahaheel Branch,B2026575,28-05-2027,120,8.627
HW-102206,Fahaheel Branch,B2025662,2027-02-08,271,5.363
HW-102210,Ardiya Warehouse,B2025322,28-07-2028,152,17.031
HW-102212,Fahaheel Branch,B2025873,14-03-2027,266,6.845
HW-102214,Fahaheel Branch,B2025621,3/11/2028,30,14.794
HW-102221,Ardiya Warehouse,B2025166,28/4/2028,63,9.364
HW-102232,Rai Branch,B2025893,23-05-2027,196,0.996
HW-102240,Shuwaikh Main,B2025214,11-12-2028,47,9.830
HW-102249,Fahaheel Branch,B2026540,2028-12-02,117,10.944
HW-102252,Fahaheel Branch,B2025525,11-07-2028,86,8.057
HW-102277,Shuwaikh Main,B2026313,2027-06-27,201,20.574
HW-102289,Ardiya Warehouse,B2025537,15-07-2028,32,8.865
HW-102299,Ardiya Warehouse,B2026448,2028-08-05,157,4.689
HW-102304,Fahaheel Branch,B2026333,2027-11-28,214,7.631
HW-102305,Fahaheel Branch,B2025339,2027-07-16,170,3.297
HW-102307,Shuwaikh Main,B2025860,26-03-2028,146,13.167
HW-102328,Rai Branch,B2026889,13/9/2027,213,10.854
HW-102333,Rai Branch,B2025738,31/7/2028,112,3.148
HW-102345,Shuwaikh Main,B2025966,01-06-2028,247,1.090
HW-102350,Ardiya Warehouse,B2026182,2027-10-08,21,16.737
HW-102360,Shuwaikh Main,B2025979,18-03-2028,112,18.468
HW-102372,Shuwaikh Main,B2026417,2028-04-02,31,17.570
HW-102376,Rai Branch,B2026669,09-12-2028,247,1.781
HW-102386,Fahaheel Branch,B2026170,5/5/2027,95,0.444
HW-102405,Rai Branch,B2025730,2027-01-23,42,17.331
HW-102411,Ardiya Warehouse,B2025582,2029-01-22,167,17.792
HW-102413,Shuwaikh Main,B2025978,22-10-2028,98,15.197
HW-102428,Ardiya Warehouse,B2026942,8/1/2029,247,13.339
HW-102435,Rai Branch,B2025978,17-11-2027,72,0.214
HW-102455,Ardiya Warehouse,B2026480,2026-12-11,187,15.936
HW-102465,Shuwaikh Main,B2025700,9/9/2028,130,53.516
HW-102468,Shuwaikh Main,B2025316,21/5/2027,233,5.035
HW-102491,Fahaheel Branch,B2026943,19-01-2027,139,KD 7.575
HW-102493,Rai Branch,B2026411,05-04-2027,258,20.258
HW-102498,Shuwaikh Main,B2025357,2028-05-28,92,KD 10.224
HW-102503,Fahaheel Branch,B2026946,9/12/2027,232,2.069
HW-102512,Ardiya Warehouse,B2025130,20/10/2026,143,0.817
HW-102514,Ardiya Warehouse,B2025206,2026-10-21,20,17.385
HW-102515,Shuwaikh Main,B2025181,2028-10-01,42,4.378
HW-102529,Shuwaikh Main,B2026553,1/2/2028,283,23.664
HW-102532,Shuwaikh Main,B2026232,15-04-2027,198,20.073
HW-102535,Ardiya Warehouse,B2025249,27/9/2027,121,23.190
HW-102536,Shuwaikh Main,B2026957,30-01-2027,233,4.444
HW-102541,Shuwaikh Main,B2026837,11/7/2027,95,20.719
HW-102544,Rai Branch,B2026372,14/3/2028,235,9.081
HW-102558,Ardiya Warehouse,B2026473,2028-11-18,265,140.949
HW-102568,Rai Branch,B2025562,2028-11-23,35,4.002
HW-102571,Ardiya Warehouse,B2025591,2028-07-20,255,4.824
HW-102576,Fahaheel Branch,B2026203,2028-05-27,133,14.309
HW-102588,Fahaheel Branch,B2026280,24-08-2027,40,KWD 9.442
HW-102590,Shuwaikh Main,B2025401,8/11/2028,284,5.219
HW-102595,Rai Branch,B2026415,2/11/2027,13,5.096
HW-102596,Rai Branch,B2026656,04-08-2027,88,13.223
HW-102609,Shuwaikh Main,B2026853,2028-07-16,162,13.259
HW-102621,Fahaheel Branch,B2026189,26/12/2026,279,12.293
HW-102630,Ardiya Warehouse,B2026382,04-04-2027,70,15.556
HW-102631,Ardiya Warehouse,B2026489,11-06-2028,253,39.953
HW-102640,Shuwaikh Main,B2025340,2028-07-30,15,170.320
HW-102657,Shuwaikh Main,B2026767,2027-05-30,256,18.414
HW-102660,Ardiya Warehouse,B2025442,2028-06-06,21,18.265
HW-102688,Rai Branch,B2025395,18/11/2027,221,2.984
HW-102690,Shuwaikh Main,B2025170,06-10-2027,57,1.933
HW-102699,Rai Branch,B2025165,30/11/2026,142,18.256
HW-102704,Rai Branch,B2026411,30-03-2028,34,15.949
HW-102706,Fahaheel Branch,B2026635,28/10/2028,104,7.402
HW-102725,Shuwaikh Main,B2025775,02-11-2027,53,KWD 7.157
HW-102740,Shuwaikh Main,B2025733,25/9/2028,290,23.454
HW-102742,Ardiya Warehouse,B2026460,29-12-2026,26,6.735
HW-102745,Ardiya Warehouse,B2025533,2027-09-19,144,6.520
HW-102751,Shuwaikh Main,B2025455,15-02-2027,222,3.987
HW-102756,Shuwaikh Main,B2026854,17/10/2028,14,1.724
HW-102757,Shuwaikh Main,B2026610,11-01-2029,134,22.833
HW-102778,Ardiya Warehouse,B2026769,2028-05-03,90,68.803
HW-102783,Rai Branch,B2025967,2029-01-23,86,8.634
HW-102785,Ardiya Warehouse,B2026687,29-10-2026,128,KWD 24.788
HW-102789,Shuwaikh Main,B2026615,2027-03-05,228,2.807
HW-102790,Fahaheel Branch,B2025170,2027-07-31,108,23.320
HW-102805,Fahaheel Branch,B2025720,2027-07-16,154,14.486
HW-102812,Ardiya Warehouse,B2025145,2028-08-15,205,20.599
HW-102818,Shuwaikh Main,B2025250,12-04-2028,75,0.409
HW-102844,Fahaheel Branch,B2026569,10/12/2027,26,18.185
HW-102857,Ardiya Warehouse,B2026576,22-05-2027,102,13.272
HW-102862,Fahaheel Branch,B2026456,30-12-2028,43,23.458
HW-102875,Rai Branch,B2026389,2026-11-18,13,7.723
HW-102878,Rai Branch,B2025432,27/7/2027,92,5.460
HW-102882,Shuwaikh Main,B2026822,23/9/2028,234,23.245
HW-102887,Rai Branch,B2025628,2027-08-24,91,17.833
HW-102891,Fahaheel Branch,B2025149,13-03-2028,82,7.969
HW-102897,Fahaheel Branch,B2026513,30-04-2028,180,0.785
HW-102906,Rai Branch,B2025601,17-01-2028,173,9.685
HW-102911,Shuwaikh Main,B2026271,14-03-2027,204,137.640
HW-102927,Rai Branch,B2025305,27/11/2026,240,23.807
HW-102930,Rai Branch,B2026412,9/10/2027,17,KD 16.507
HW-102931,Ardiya Warehouse,B2026154,04-12-2027,94,14.836
HW-101978,Shuwaikh Main,B2026665,2027-04-01,138,1.159
HW-102937,Fahaheel Branch,B2025686,27-04-2028,197,9.324
HW-102941,Ardiya Warehouse,B2026674,06-10-2028,147,11.935
HW-102943,Ardiya Warehouse,B2026730,08-04-2027,10,12.872
HW-102957,Ardiya Warehouse,B2026984,28-02-2028,160,18.035
HW-102972,Fahaheel Branch,B2025272,24/10/2026,179,19.550
HW-102974,Shuwaikh Main,B2025694,01-02-2027,69,14.151
HW-102976,Ardiya Warehouse,B2025935,26/8/2028,202,24.825
HW-102979,Fahaheel Branch,B2025376,2027-04-17,103,16.397
HW-102980,Fahaheel Branch,B2026614,28/4/2028,32,7.883
HW-102993,Rai Branch,B2026793,2/3/2027,118,18.514
HW-102996,Shuwaikh Main,B2025437,2027-04-24,161,1.674
HW-103001,Fahaheel Branch,B2025248,24/12/2028,260,16.122
HW-103012,Fahaheel Branch,B2026896,10-07-2028,190,290.476
HW-103032,Rai Branch,B2026638,10/5/2028,31,7.984
HW-103041,Rai Branch,B2026901,8/11/2028,156,22.542
HW-103047,Rai Branch,B2025985,28-01-2028,255,KWD 22.943
HW-103054,Rai Branch,B2025252,23-05-2028,184,17.939
HW-103081,Shuwaikh Main,B2026808,13-08-2028,141,11.328
HW-103082,Ardiya Warehouse,B2025656,16/5/2027,216,16.787
HW-103086,Ardiya Warehouse,B2026541,2028-08-18,81,6.916
HW-103091,Rai Branch,B2025942,2028-04-24,221,23.541
HW-103093,Rai Branch,B2026915,2027-02-27,27,14.376
HW-103101,Shuwaikh Main,B2025247,27/12/2026,273,80.442
HW-103108,Shuwaikh Main,B2025605,4/8/2028,182,16.227
HW-103127,Rai Branch,B2026983,15/7/2028,166,5.338
HW-103134,Shuwaikh Main,B2025108,08-04-2028,145,6.629
HW-103142,Ardiya Warehouse,B2026712,13-01-2028,178,24.093
HW-103146,Fahaheel Branch,B2025867,13/5/2028,58,11.163
