itemSku,unitCost,Shuwaikh Main,Rai Branch,Fahaheel Branch,Ardiya Warehouse
HW-100075,227.957,0,8,0,0
HW-100076,8.296,9,0,7,0
HW-100077,13.644,1,10,12,0
HW-100078,9.374,1,0,0,0
HW-100079,8.368,7,0,0,0
HW-100080,9.963,0,6,2,0
HW-100081,16.980,0,0,0,0
HW-100082,16.315,0,0,0,0
HW-100083,9.267,0,0,0,1
HW-100084,19.207,0,4,0,7
HW-100085,4.995,0,0,0,12
HW-100086,21.198,0,0,2,0
HW-100087,1.012,0,0,0,0
HW-100088,11.418,0,3,0,6
HW-100089,19.259,0,11,3,0
HW-100090,1.439,11,0,0,0
HW-100091,1.532,7,0,0,10
HW-100092,5.320,0,0,0,4
HW-100093,7.479,0,8,0,6
HW-100094,12.139,0,5,9,6
HW-100095,2.754,0,10,11,10
HW-100096,3.722,0,11,11,5
HW-100097,5.920,12,0,11,0
HW-100098,3.730,0,3,10,7
HW-100099,KWD 13.115,1,0,0,1
HW-100100,14.394,8,0,11,12
HW-100101,11.618,0,0,0,0
HW-100102,3.131,0,0,9,1
HW-100103,1.733,0,0,0,0
HW-100104,3.856,6,9,5,10
HW-100105,11.219,6,0,0,9
HW-100106,2.577,0,0,0,0
HW-100107,11.487,0,11,11,0
HW-100108,15.687,6,0,2,5
HW-100109,12.725,0,9,0,0
HW-100110,24.567,12,0,11,12
HW-100111,18.974,1,9,7,0
HW-100112,23.953,0,0,0,0
HW-100113,9.569,0,0,0,9
HW-100114,22.941,0,0,0,0
HW-100115,24.655,6,0,0,12
HW-100116,19.332,9,2,5,11
HW-100117,18.857,0,8,4,6
HW-100118,9.331,0,0,0,4
HW-100119,14.632,1,4,0,0
HW-100120,2.369,0,0,4,3
HW-100121,22.012,0,6,0,5
HW-100122,15.827,0,0,8,0
HW-100123,22.919,10,5,0,0
HW-100124,0.854,0,0,0,0
HW-100125,19.684,0,0,6,0
HW-100126,15.187,0,8,0,0
HW-100127,8.060,12,0,0,0
HW-100128,8.132,0,0,12,0
HW-100129,18.414,0,0,0,0
HW-100130,18.754,0,0,0,5
HW-100131,145.328,3,0,1,9
HW-100132,24.850,0,11,0,0
HW-100133,12.946,9,0,0,9
HW-100134,24.508,11,0,0,8
HW-100135,9.066,3,6,10,0
HW-100136,21.157,10,0,0,4
HW-100137,21.569,2,9,3,12
HW-100138,16.973,0,8,0,3
HW-100139,24.901,0,0,11,4
HW-100140,5.459,6,4,0,0
HW-100141,8.429,0,0,10,0
HW-100142,KD 0.401,6,5,0,0
HW-100143,23.382,4,0,0,0
HW-100144,9.971,0,4,10,0
HW-100145,22.533,0,0,4,7
HW-100146,KWD 24.587,0,0,4,0
HW-100147,9.813,10,12,3,0
HW-100148,8.130,4,0,6,12
HW-100149,17.605,5,8,0,6
HW-100150,21.780,5,0,4,5
HW-100151,23.511,0,9,0,3
HW-100152,11.718,10,11,0,11
HW-100153,22.640,9,9,10,0
HW-100154,22.294,0,7,0,10
HW-100155,10.719,0,0,0,1
HW-100156,3.045,0,0,0,0
HW-100157,16.051,9,12,12,5
HW-100158,6.140,8,0,0,8
HW-100159,17.030,5,12,0,3
HW-100160,13.668,2,2,11,0
HW-100161,13.600,1,0,0,0
HW-100162,7.754,11,8,5,0
HW-100163,0.808,0,0,8,6
HW-100164,6.448,4,0,0,0
HW-100165,19.278,11,12,1,0
HW-100166,0.999,0,0,0,11
HW-100167,13.570,7,0,2,6
HW-100168,23.507,0,6,6,12
HW-100169,21.218,0,0,0,0
HW-100170,14.218,12,5,0,0
HW-100171,24.495,0,4,1,0
HW-100172,1.962,12,0,0,0
HW-100173,11.722,5,0,0,0
HW-100174,20.554,0,0,0,10
HW-100175,21.999,0,7,0,0
HW-100176,1.446,12,0,4,10
HW-100177,15.741,0,11,1,9
HW-100178,15.015,0,0,0,5
HW-100179,20.451,0,0,0,9
HW-100180,15.482,12,0,0,12
HW-100181,10.673,0,10,0,12
HW-100182,0.798,0,0,6,0
HW-100183,9.047,0,11,6,0
HW-100184,KD 2.942,2,11,0,0
HW-100185,10.787,0,11,0,6
HW-100186,1.012,2,0,7,4
HW-100187,4.257,5,4,0,9
HW-100188,13.173,0,0,10,0
HW-100189,212.362,3,0,6,0
HW-100190,3.285,5,3,0,8
HW-100191,13.920,0,0,12,0
HW-100192,6.692,1,0,10,0
HW-100193,7.274,10,12,7,0
HW-100194,4.565,0,5,0,0
HW-100195,16.358,0,0,9,1
HW-100196,19.539,10,0,9,0
HW-100197,2.725,0,0,2,0
HW-100198,11.522,12,0,6,0
HW-100199,KWD 6.983,0,0,6,0
HW-100200,17.761,0,0,0,0
HW-100201,KWD 2.207,3,2,4,11
HW-100202,18.694,11,0,0,0
HW-100203,10.003,0,0,0,0
HW-100204,1.395,0,0,4,12
HW-100205,3.866,9,12,5,1
HW-100206,9.163,0,0,6,0
HW-100207,7.674,2,0,9,0
HW-100208,7.148,0,0,10,6
HW-100209,3.152,5,8,11,1
HW-100210,21.928,0,0,0,0
HW-100211,1.573,0,0,0,0
HW-100212,18.179,0,0,0,0
HW-100213,12.848,10,0,0,0
HW-100214,17.767,2,0,10,0
HW-100215,7.773,4,7,0,3
HW-100216,14.993,8,0,1,6
HW-100217,13.067,10,0,11,0
HW-100218,6.500,0,12,0,0
HW-100219,289.087,0,0,3,12
HW-100220,7.619,1,0,0,2
HW-100221,24.529,0,0,0,8
HW-100222,204.454,0,0,0,0
HW-100223,13.340,0,6,0,0
HW-100224,7.368,0,9,0,0
HW-100225,17.208,0,7,7,8
HW-100226,3.427,6,6,3,0
HW-100227,KWD 23.163,0,0,12,0
HW-100228,2.223,0,4,12,2
HW-100229,14.243,9,4,0,1
HW-100230,19.974,0,3,4,0
HW-100231,1.357,10,12,0,0
HW-100232,15.053,0,0,2,0
HW-100233,KD 1.351,0,0,11,0
HW-100234,5.846,12,0,1,0
HW-100235,16.619,0,0,0,0
HW-100236,11.411,0,0,5,0
HW-100237,17.710,10,0,0,0
HW-100238,15.750,0,0,10,0
HW-100239,7.119,3,11,0,0
HW-100240,8.179,0,0,0,6
HW-100241,22.956,2,8,0,0
HW-100242,19.072,6,0,0,6
HW-100243,5.703,0,0,10,4
HW-100244,8.964,0,0,8,0
HW-100245,9.815,0,0,0,0
HW-100246,17.977,11,4,0,0
HW-100247,8.877,0,0,6,0
HW-100248,12.702,0,0,0,0
HW-100249,0.935,0,0,10,0
HW-100250,16.825,6,11,11,5
HW-100251,19.945,0,0,8,6
HW-100252,14.780,0,12,0,12
HW-100253,0.445,0,2,0,0
HW-100254,5.617,0,0,0,7
HW-100255,23.275,12,6,0,12
HW-100256,22.924,0,1,0,0
HW-100257,9.906,0,4,9,11
HW-100258,9.984,0,0,0,0
HW-100259,17.033,0,8,0,0
HW-100260,9.621,4,0,5,0
HW-100261,KWD 21.079,6,0,0,8
HW-100262,0.111,0,0,0,0
HW-100263,0.446,0,0,0,0
HW-100264,9.420,0,0,0,0
HW-100265,KD 5.037,12,0,0,6
HW-100266,7.274,0,12,1,10
HW-100267,3.607,0,6,0,0
HW-100268,16.980,0,0,0,9
HW-100269,13.907,0,0,0,0
HW-100270,12.060,0,0,1,0
HW-100271,11.817,0,8,0,0
HW-100272,8.571,0,8,0,10
HW-100273,12.345,7,0,0,0
HW-100274,KD 21.605,0,0,0,0
HW-100275,1.728,0,11,0,0
HW-100276,1.220,0,3,0,4
HW-100277,KD 20.586,9,8,12,0
HW-100278,16.428,0,5,1,0
HW-100279,19.280,0,0,0,5
HW-100280,2.059,0,1,3,0
HW-100281,18.172,0,0,0,0
HW-100282,13.470,0,11,0,0
HW-100283,145.684,1,12,8,4
HW-100284,24.170,0,1,3,0
HW-100285,18.934,4,7,0,0
HW-100286,10.204,11,0,0,3
HW-100287,12.225,0,0,0,0
HW-100288,7.205,6,9,10,12
HW-100289,10.703,1,0,2,0
HW-100290,10.081,3,0,3,11
HW-100291,18.611,0,2,0,0
HW-100292,185.676,0,7,0,0
HW-100293,3.711,0,0,12,0
HW-100294,20.084,12,0,1,2
HW-100295,15.156,0,11,0,12
HW-100296,16.223,9,0,0,5
HW-100297,12.665,12,0,0,0
HW-100298,KWD 7.123,1,0,0,2
HW-100299,23.889,12,0,2,0
HW-100300,16.439,0,0,1,0
HW-100301,8.568,0,0,0,0
HW-100302,17.595,1,0,0,0
HW-100303,5.877,9,0,0,0
HW-100304,18.507,11,11,0,2
HW-100305,KWD 13.847,0,0,0,0
HW-100306,56.266,0,3,3,0
HW-100307,3.344,2,0,6,0
HW-100308,22.105,0,0,0,12
HW-100309,14.199,3,0,4,0
HW-100310,16.882,0,6,0,0
HW-100311,6.955,0,0,3,11
HW-100312,2.760,0,0,0,9
HW-100313,24.816,12,6,0,0
HW-100314,KD 10.248,0,11,5,0
HW-100315,23.723,10,0,0,0
HW-100316,KD 6.685,5,3,0,0
HW-100317,23.494,7,8,0,0
HW-100318,14.997,11,0,0,2
HW-100319,3.098,0,0,0,12
HW-100320,7.846,5,11,0,0
HW-100321,8.173,0,3,0,1
HW-100322,KWD 22.857,0,0,9,0
HW-100323,15.838,0,0,0,1
HW-100324,2.197,0,2,0,0
HW-100325,12.393,0,2,8,10
HW-100326,4.868,0,0,0,0
HW-100327,21.014,2,3,0,1
HW-100328,18.560,0,5,0,5
HW-100329,1.862,0,0,0,0
HW-100330,11.343,0,0,10,0
HW-100331,KWD 14.379,10,6,12,2
HW-100332,7.919,11,0,0,11
HW-100333,7.679,0,0,0,1
HW-100334,KD 23.849,0,0,3,9
HW-100335,7.867,0,3,0,9
HW-100336,4.433,7,0,12,8
HW-100337,9.219,8,11,12,0
HW-100338,22.105,0,0,0,7
HW-100339,23.910,1,11,0,0
HW-100340,9.736,0,0,5,0
HW-100341,9.386,0,2,0,5
HW-100342,22.250,0,11,5,0
HW-100343,5.839,0,0,0,0
HW-100344,20.769,2,0,0,3
HW-100345,7.529,12,2,0,0
HW-100346,16.484,0,0,5,9
HW-100347,4.589,0,5,0,0
HW-100348,146.508,0,0,0,0
HW-100349,14.960,6,0,0,0
HW-100350,2.519,0,8,0,10
HW-100351,1.220,0,0,0,3
HW-100352,24.847,5,0,10,0
HW-100353,18.623,0,0,0,11
HW-100354,9.053,2,0,0,3
HW-100355,5.670,0,6,0,1
HW-100356,18.796,0,0,0,3
HW-100357,7.173,2,0,8,10
HW-100358,7.198,0,0,0,6
HW-100359,20.328,12,0,0,5
HW-100360,5.365,5,0,0,0
HW-100361,15.554,1,0,0,6
HW-100362,10.529,0,0,0,4
HW-100363,13.978,9,0,4,11
HW-100364,18.339,0,12,3,12
HW-100365,20.594,11,0,8,0
HW-100366,17.069,0,0,2,8
HW-100367,16.857,0,5,6,0
HW-100368,8.472,5,3,0,0
HW-100369,20.491,1,4,0,0
HW-100370,8.178,0,0,3,0
HW-100371,KD 22.466,0,7,4,11
HW-100372,1.341,4,0,0,0
HW-100373,21.188,0,3,0,0
HW-100374,4.187,0,0,0,0
HW-100375,1.058,3,0,0,0
HW-100376,18.952,12,0,7,0
HW-100377,15.589,4,0,0,5
HW-100378,18.446,0,4,0,0
HW-100379,15.226,10,3,0,0
HW-100380,9.838,0,12,0,0
HW-100381,15.679,0,0,0,0
HW-100382,20.974,11,0,12,6
HW-100383,7.924,3,5,0,10
HW-100384,6.811,5,2,8,0
HW-100385,299.093,0,12,0,3
HW-100386,3.959,5,0,10,0
HW-100387,2.049,0,0,9,9
HW-100388,2.470,7,0,5,2
HW-100389,16.926,0,0,9,7
HW-100390,2.199,2,9,0,0
HW-100391,10.587,3,2,6,7
HW-100392,15.424,10,9,0,8
HW-100393,6.814,10,0,8,0
HW-100394,5.525,0,4,0,0
HW-100395,KWD 6.125,0,11,3,0
HW-100396,9.927,0,0,2,0
HW-100397,13.749,5,3,5,8
HW-100398,9.444,0,4,9,0
HW-100399,11.545,0,0,12,0
HW-100400,11.875,1,0,0,5
HW-100401,22.062,10,0,11,0
HW-100402,8.992,0,8,0,7
HW-100403,20.188,0,0,11,0
HW-100404,1.570,0,0,1,0
HW-100405,13.356,0,4,0,0
HW-100406,6.286,0,0,0,0
HW-100407,23.393,0,10,0,7
HW-100408,14.937,11,0,0,0
HW-100409,21.733,0,0,0,0
HW-100410,2.313,0,0,5,10
HW-100411,9.201,0,0,0,0
HW-100412,20.644,10,0,2,0
HW-100413,18.069,0,12,0,0
HW-100414,16.062,4,12,1,3
HW-100415,23.262,1,0,10,3
HW-100416,7.870,1,0,2,0
HW-100417,0.461,0,0,5,8
HW-100418,14.044,0,3,5,10
HW-100419,12.766,8,0,0,0
HW-100420,20.101,0,0,0,0
HW-100421,KD 4.858,0,0,9,0
HW-100422,0.902,12,0,0,6
HW-100423,10.629,7,0,0,0
HW-100424,9.128,0,2,11,8
HW-100425,4.499,0,2,1,0
HW-100426,0.380,0,0,6,0
HW-100427,4.249,1,1,10,0
HW-100428,8.461,0,0,0,4
HW-100429,13.575,0,0,0,0
HW-100430,107.702,12,0,0,0
HW-100431,KD 12.250,0,0,0,3
HW-100432,18.609,0,0,0,0
HW-100433,18.182,0,0,0,11
HW-100434,23.373,0,1,5,0
HW-100435,13.484,11,3,0,0
HW-100436,230.783,6,0,10,11
HW-100437,8.568,0,2,0,12
HW-100438,21.838,0,0,0,5
HW-100439,11.418,0,12,12,0
HW-100440,1.222,0,8,0,0
HW-100441,KWD 14.273,0,0,12,10
HW-100442,6.736,6,0,0,0
HW-100443,3.838,6,0,3,0
HW-100444,3.611,0,6,0,6
HW-100445,18.822,0,0,12,0
HW-100446,2.376,0,0,3,8
HW-100447,13.020,2,0,9,11
HW-100448,20.285,0,0,0,0
HW-100449,18.004,0,10,8,3
HW-100450,2.168,0,2,12,0
HW-100451,10.597,0,0,0,0
HW-100452,3.513,0,0,10,5
HW-100453,KWD 1.418,5,4,0,0
HW-100454,24.744,10,3,9,0
HW-100455,13.846,0,2,4,0
HW-100456,13.536,6,0,10,2
HW-100457,19.437,0,0,7,0
HW-100458,0.827,0,6,0,0
HW-100459,24.162,0,0,3,0
HW-100460,10.885,0,0,0,0
HW-100461,0.349,0,0,9,0
HW-100462,KWD 14.180,3,0,0,2
HW-100463,22.931,0,0,0,0
HW-100464,19.497,7,0,0,0
HW-100465,21.926,0,0,7,6
HW-100466,1.481,0,0,0,2
HW-100467,11.520,0,0,11,6
HW-100468,12.605,0,0,0,11
HW-100469,22.632,0,4,0,3
HW-100470,KD 2.189,0,0,7,0
HW-100471,15.528,0,1,0,9
HW-100472,14.067,0,0,3,0
HW-100473,2.279,3,8,0,0
HW-100474,3.615,0,12,6,9
HW-100475,0.636,10,0,10,0
HW-100476,12.065,3,3,3,0
HW-100477,7.097,0,6,0,12
HW-100478,127.051,0,0,0,0
HW-100479,19.461,0,0,0,6
HW-100480,KWD 22.045,0,2,0,11
HW-100481,0.458,0,1,0,0
HW-100482,24.617,0,0,8,10
HW-100483,KD 3.931,0,0,12,3
HW-100484,24.194,9,0,0,0
HW-100485,KWD 16.864,3,5,0,0
HW-100486,141.987,4,7,10,10
HW-100487,12.247,0,0,12,0
HW-100488,19.986,7,0,9,1
HW-100489,KWD 17.439,4,5,8,0
HW-100490,15.444,9,0,0,10
HW-100491,2.640,0,0,0,0
HW-100492,9.291,0,0,0,6
HW-100493,7.656,0,7,0,0
HW-100494,13.772,0,7,10,0
HW-100495,13.597,0,0,0,0
HW-100496,22.953,2,8,0,0
HW-100497,0.359,2,10,0,0
HW-100498,13.406,11,11,0,0
HW-100499,7.340,0,0,5,10
HW-100500,7.374,0,8,5,7
HW-100501,KWD 1.738,0,0,0,6
HW-100502,18.476,0,0,4,12
HW-100503,21.812,2,0,0,11
HW-100504,KWD 24.665,3,0,8,7
HW-100505,3.223,0,0,0,4
HW-100506,7.067,0,0,0,5
HW-100507,1.499,12,0,0,0
HW-100508,7.158,0,2,7,0
HW-100509,KD 142.934,0,0,0,3
HW-100510,14.235,0,6,0,1
HW-100511,20.196,11,10,0,1
HW-100512,3.561,11,0,0,0
HW-100513,KD 1.318,0,10,0,9
HW-100514,KWD 22.845,2,7,9,0
HW-100515,6.109,12,0,0,0
HW-100516,3.204,7,0,2,0
HW-100517,11.825,0,0,5,10
HW-100518,11.063,6,0,0,5
HW-100519,10.132,0,0,8,0
HW-100520,KD 1.754,10,2,0,3
HW-100521,KD 23.305,12,0,0,0
HW-100522,5.191,9,0,1,12
HW-100523,KD 13.258,0,0,0,8
HW-100524,23.115,0,2,0,0
HW-100525,7.430,0,8,12,0
HW-100526,9.365,8,0,0,1
HW-100527,21.528,0,0,0,0
HW-100528,23.314,0,1,0,0
HW-100529,14.503,3,0,1,0
HW-100530,24.984,0,0,0,0
HW-100531,9.650,7,7,0,0
HW-100532,2.779,12,0,0,11
HW-100533,23.255,1,0,7,0
HW-100534,KD 10.261,0,1,0,4
HW-100535,15.926,4,5,0,2
HW-100536,4.555,10,0,0,9
HW-100537,15.210,0,6,4,0
HW-100538,23.485,9,2,0,0
HW-100539,23.180,10,0,1,0
HW-100540,2.043,0,4,0,12
HW-100541,5.340,0,9,0,0
HW-100542,24.629,4,10,0,7
HW-100543,8.763,0,7,1,0
HW-100544,2.847,0,2,0,0
HW-100545,KWD 4.953,8,0,12,8
HW-100546,4.872,0,0,0,2
HW-100547,14.142,6,0,0,0
HW-100548,KD 13.519,0,7,12,0
HW-100549,7.407,2,0,1,2
HW-100550,23.125,0,0,0,0
HW-100551,18.223,0,4,0,6
HW-100552,11.148,0,8,0,4
HW-100553,9.677,0,0,3,9
HW-100554,1.775,0,0,2,0
HW-100555,24.790,10,6,0,0
HW-100556,7.670,8,0,0,0
HW-100557,19.278,0,6,0,8
HW-100558,9.348,0,0,4,0
HW-100559,KD 7.712,0,0,9,0
HW-100560,KWD 19.277,6,0,0,12
HW-100561,2.787,0,0,0,11
HW-100562,18.063,0,8,0,0
HW-100563,8.430,7,11,0,0
HW-100564,KD 8.892,0,11,6,5
HW-100565,16.210,0,10,0,11
HW-100566,20.248,7,0,0,12
HW-100567,17.344,8,8,12,5
HW-100568,15.893,0,0,11,10
HW-100569,11.585,5,0,4,0
HW-100570,20.919,0,0,0,11
HW-100571,3.883,1,11,0,11
HW-100572,200.058,0,0,0,2
HW-100573,16.301,0,2,0,0
HW-100574,19.033,10,0,2,12
HW-100575,KD 23.313,0,10,0,0
HW-100576,203.373,0,0,0,3
HW-100577,10.511,0,9,0,0
HW-100578,22.911,9,12,0,12
HW-100579,KD 22.172,6,0,11,0
HW-100580,18.594,12,11,0,0
HW-100581,KWD 12.218,0,1,12,1
HW-100582,24.061,0,10,5,2
HW-100583,KD 14.393,0,7,4,0
HW-100584,2.774,0,7,0,6
HW-100585,20.086,9,0,0,0
HW-100586,14.917,0,0,0,1
HW-100587,23.826,0,0,0,0
HW-100588,15.900,0,0,0,0
HW-100589,KWD 8.675,2,0,4,0
HW-100590,3.153,3,7,8,0
HW-100591,12.539,0,2,11,0
HW-100592,4.259,0,0,11,0
HW-100593,16.794,0,11,5,1
HW-100594,1.433,0,5,4,2
HW-100595,4.133,8,12,5,0
HW-100596,23.800,9,0,0,0
HW-100597,15.492,5,0,9,3
HW-100598,13.491,0,0,0,11
HW-100599,15.776,5,0,0,0
HW-100600,24.811,0,0,2,12
HW-100601,4.604,3,0,0,11
HW-100602,KD 8.340,8,9,0,0
HW-100603,2.139,9,1,5,0
HW-100604,14.944,5,0,0,2
HW-100605,20.479,0,1,8,0
HW-100606,9.033,4,0,0,1
HW-100607,9.810,0,0,3,0
HW-100608,KD 15.046,0,7,0,0
HW-100609,41.414,0,0,0,0
HW-100610,0.507,10,0,2,0
HW-100611,10.558,12,9,0,8
HW-100612,0.148,12,0,0,0
HW-100613,11.108,0,1,10,0
HW-100614,24.832,0,0,10,0
HW-100615,KWD 7.270,1,0,11,0
HW-100616,1.358,6,12,0,0
HW-100617,KWD 14.949,0,0,0,4
HW-100618,24.375,4,0,10,0
HW-100619,5.663,0,9,5,0
HW-100620,14.795,12,9,0,0
HW-100621,2.849,7,0,0,0
HW-100622,82.507,12,11,0,0
HW-100623,20.564,1,0,9,2
HW-100624,0.698,0,7,11,0
HW-100625,7.801,10,0,0,7
HW-100626,KWD 16.051,0,0,6,0
HW-100627,4.545,1,0,0,0
HW-100628,6.666,11,6,10,0
HW-100629,12.775,11,3,7,0
HW-100630,24.221,0,0,0,10
HW-100631,291.236,7,6,9,1
HW-100632,11.580,4,7,11,2
HW-100633,162.551,2,10,0,0
HW-100634,0.844,0,10,0,0
HW-100635,7.349,2,0,0,3
HW-100636,6.737,0,0,0,0
HW-100637,22.893,12,0,0,10
HW-100638,18.984,0,4,2,0
HW-100639,20.783,10,8,4,3
HW-100640,3.262,0,0,0,2
HW-100641,22.945,9,0,2,11
HW-100642,KWD 20.578,0,0,0,5
HW-100643,15.343,10,0,0,0
HW-100644,KD 8.813,0,5,12,3
HW-100645,7.557,0,0,0,6
HW-100646,1.876,8,10,0,0
HW-100647,KWD 1.444,0,0,5,2
HW-100648,KD 21.922,0,0,9,8
HW-100649,6.019,2,12,3,10
HW-100650,7.973,11,7,0,12
HW-100651,14.151,0,0,8,0
HW-100652,23.343,0,9,8,0
HW-100653,20.347,0,8,9,6
HW-100654,16.084,0,0,0,6
HW-100655,16.168,0,0,9,0
HW-100656,21.736,0,6,0,0
HW-100657,15.967,0,0,1,0
HW-100658,1.926,0,11,3,0
HW-100659,15.319,7,0,6,3
HW-100660,17.237,0,0,0,0
HW-100661,22.487,0,10,3,0
HW-100662,1.597,0,0,0,0
HW-100663,15.979,0,7,1,0
HW-100664,10.564,0,0,11,5
HW-100665,22.544,0,0,0,3
HW-100666,0.419,0,0,0,2
HW-100667,23.233,8,0,10,9
HW-100668,23.740,9,0,0,0
HW-100669,8.407,4,4,0,10
HW-100670,1.251,0,0,9,0
HW-100671,13.006,0,0,1,0
HW-100672,16.073,11,0,0,0
HW-100673,2.200,11,0,0,0
HW-100674,KWD 18.233,0,11,0,2
HW-100675,17.315,0,0,0,4
HW-100676,12.109,0,0,0,3
HW-100677,6.431,0,4,0,0
HW-100678,15.542,3,0,0,0
HW-100679,20.911,0,7,0,7
HW-100680,8.885,0,0,0,0
HW-100681,22.579,0,1,0,12
HW-100682,24.859,0,0,0,0
HW-100683,23.180,0,0,12,0
HW-100684,11.503,0,8,0,9
HW-100685,9.809,0,10,0,11
HW-100686,8.726,0,0,12,0
HW-100687,19.887,1,0,0,0
HW-100688,8.343,1,0,2,0
HW-100689,5.995,6,0,0,0
HW-100690,3.704,4,0,0,0
HW-100691,20.667,0,8,6,7
HW-100692,7.737,12,0,6,0
HW-100693,6.435,0,6,5,12
HW-100694,9.901,0,3,0,0
HW-100695,11.695,4,10,1,4
HW-100696,7.225,10,2,7,0
HW-100697,13.632,0,11,10,8
HW-100698,4.488,0,11,0,1
HW-100699,KD 16.809,0,0,0,0
HW-100700,17.368,9,10,0,0
HW-100701,10.491,3,7,6,6
HW-100702,8.858,7,0,0,10
HW-100703,6.637,11,7,0,1
HW-100704,0.238,0,0,0,8
HW-100705,3.020,0,0,9,0
HW-100706,2.128,0,0,0,4
HW-100707,19.462,6,5,0,0
HW-100708,12.245,0,0,0,0
HW-100709,16.420,0,2,0,0
HW-100710,21.321,10,3,0,0
HW-100711,10.523,10,7,0,0
HW-100712,9.853,0,0,0,0
HW-100713,23.194,0,0,0,1
HW-100714,19.541,2,0,0,0
HW-100715,24.363,0,0,0,0
HW-100716,17.117,0,0,5,0
HW-100717,6.663,0,11,0,0
HW-100718,21.500,0,0,0,0
HW-100719,KWD 24.838,0,0,1,4
HW-100720,9.445,0,11,6,0
HW-100721,20.355,8,10,2,0
HW-100722,0.775,0,5,0,7
HW-100723,17.380,0,9,2,4
HW-100724,17.271,10,0,0,0
HW-100725,5.600,5,5,6,0
HW-100726,22.086,0,0,5,0
HW-100727,20.346,0,0,0,1
HW-100728,1.454,0,0,11,0
HW-100729,16.248,0,0,0,8
HW-100730,24.427,4,2,0,0
HW-100731,4.001,2,0,0,3
HW-100732,11.478,0,1,0,6
HW-100733,11.661,0,10,5,9
HW-100734,16.292,0,10,12,4
HW-100735,KWD 15.268,0,9,0,5
HW-100736,20.852,0,9,12,0
HW-100737,19.178,0,0,0,0
HW-100738,5.534,3,0,0,0
HW-100739,38.449,7,0,8,0
HW-100740,24.952,0,0,0,0
HW-100741,22.559,0,0,2,0
HW-100742,9.405,0,7,0,0
HW-100743,0.902,0,8,9,0
HW-100744,KWD 8.329,3,4,0,8
HW-100745,0.716,0,4,0,0
HW-100746,KWD 7.385,0,4,0,0
HW-100747,1.821,0,0,8,10
HW-100748,16.024,0,2,0,3
HW-100749,KD 4.162,0,0,0,12
HW-100750,8.553,10,10,3,6
HW-100751,KWD 15.539,9,0,0,0
HW-100752,22.573,0,0,2,6
HW-100753,17.814,0,4,0,10
HW-100754,24.060,0,0,2,4
HW-100755,21.631,0,0,0,0
HW-100756,16.289,2,0,0,1
HW-100757,24.267,11,0,3,8
