itemSku,altCode,codeType,note
HW-103987,ALT-56547,aftermarket,
HW-103894,ALT-90259,aftermarket,
HW-101084,ALT-68608,oem,Old catalogue code for Gulf Star
HW-100601,ALT-60446,other,
HW-100601,ALT-45214,aftermarket,
HW-103249,ALT-15626,aftermarket,
HW-100675,ALT-46599,superseded,Old catalogue code for Metabo
HW-101160,ALT-51461,oem,Old catalogue code for Makita
HW-100681,ALT-70755,superseded,Old catalogue code for Sata
HW-101302,ALT-99077,other,Old catalogue code for Hilti
HW-104895,ALT-18641,aftermarket,Old catalogue code for Crown
HW-104895,ALT-10517,aftermarket,
HW-100065,ALT-76395,superseded,
HW-100930,ALT-45298,superseded,
HW-104834,ALT-70916,superseded,Old catalogue code for Hitachi
HW-100686,ALT-18654,oem,
HW-104175,ALT-24149,aftermarket,Old catalogue code for Yato
HW-102999,ALT-52768,aftermarket,Old catalogue code for Karcher
HW-101764,ALT-37645,aftermarket,Old catalogue code for Ingco
HW-102105,ALT-85353,oem,Old catalogue code for Al-Fanar
HW-102105,ALT-18249,oem,
HW-103594,ALT-88364,oem,
HW-101323,ALT-12748,aftermarket,
HW-100257,ALT-99499,aftermarket,Old catalogue code for DeWalt
HW-100257,ALT-57308,oem,
HW-103248,ALT-46507,other,
HW-103248,ALT-13758,aftermarket,
HW-100829,ALT-53574,oem,
HW-103897,ALT-98870,other,
HW-101317,ALT-97000,aftermarket,Old catalogue code for Ridgid
HW-104849,ALT-28508,other,
HW-104849,ALT-35082,aftermarket,
HW-100963,ALT-32187,other,Old catalogue code for Crown
HW-100963,ALT-68361,oem,
HW-103330,ALT-60276,aftermarket,Old catalogue code for Hitachi
HW-101672,ALT-50545,other,
HW-103674,ALT-88276,aftermarket,
HW-103315,ALT-43207,aftermarket,Old catalogue code for Hilti
HW-104276,ALT-11811,other,Old catalogue code for Yato
HW-104963,ALT-14770,aftermarket,Old catalogue code for Makita
HW-104156,ALT-92672,aftermarket,Old catalogue code for Yato
HW-103099,ALT-81958,other,Old catalogue code for Gulf Star
HW-104806,ALT-99062,superseded,Old catalogue code for Ridgid
HW-103435,ALT-13301,aftermarket,Old catalogue code for Ridgid
HW-102074,ALT-35473,superseded,
HW-103784,ALT-28662,oem,
HW-104644,ALT-48071,aftermarket,Old catalogue code for Karcher
HW-104295,ALT-36070,aftermarket,Old catalogue code for Sata
HW-104928,ALT-19589,oem,Old catalogue code for Al-Fanar
HW-104928,ALT-51177,aftermarket,
HW-102337,ALT-88641,superseded,
HW-100452,ALT-84472,superseded,Old catalogue code for Karcher
HW-101420,ALT-89181,other,Old catalogue code for Hitachi
HW-102408,ALT-67905,superseded,Old catalogue code for Karcher
HW-102961,ALT-11768,superseded,Old catalogue code for Tolsen
HW-102693,ALT-76919,aftermarket,Old catalogue code for Tolsen
HW-102693,ALT-40657,oem,
HW-100204,ALT-14464,other,Old catalogue code for Hitachi
HW-100873,ALT-92769,superseded,
HW-104031,ALT-84449,other,Old catalogue code for Karcher
HW-103294,ALT-99393,superseded,
HW-104009,ALT-79910,aftermarket,Old catalogue code for DeWalt
HW-100589,ALT-36328,aftermarket,
HW-101684,ALT-40852,oem,
HW-101117,ALT-56379,superseded,
HW-103479,ALT-16931,superseded,Old catalogue code for Makita
HW-101572,ALT-41184,superseded,Old catalogue code for Makita
HW-103016,ALT-68934,oem,Old catalogue code for Sata
HW-101496,ALT-49476,other,Old catalogue code for Al-Fanar
HW-101080,ALT-28215,other,Old catalogue code for Truper
HW-102333,ALT-63180,aftermarket,
HW-101620,ALT-44230,aftermarket,
HW-100990,ALT-12541,other,
HW-104717,ALT-12203,other,Old catalogue code for Metabo
HW-102905,ALT-43610,superseded,Old catalogue code for Metabo
HW-103045,ALT-47477,aftermarket,
HW-103622,ALT-55750,superseded,Old catalogue code for Stanley
HW-102386,ALT-94447,other,Old catalogue code for Truper
HW-102386,ALT-97295,oem,
HW-101508,ALT-55225,superseded,
HW-102393,ALT-26059,oem,Old catalogue code for Yato
HW-102393,ALT-45734,aftermarket,
HW-102854,ALT-17619,oem,Old catalogue code for Hitachi
HW-101234,ALT-29476,aftermarket,
HW-101417,ALT-80555,aftermarket,Old catalogue code for Ingco
HW-102084,ALT-86959,superseded,Old catalogue code for Metabo
HW-104967,ALT-53480,oem,
HW-104925,ALT-73181,aftermarket,Old catalogue code for Truper
HW-101284,ALT-25748,oem,Old catalogue code for Black+Decker
HW-103540,ALT-69266,oem,
HW-102658,ALT-28860,superseded,
HW-103917,ALT-50156,other,Old catalogue code for Makita
HW-104075,ALT-76975,oem,
HW-104138,ALT-63981,oem,Old catalogue code for Hitachi
HW-101710,ALT-10217,other,Old catalogue code for Stanley
HW-101682,ALT-13905,aftermarket,Old catalogue code for Black+Decker
HW-102629,ALT-12287,aftermarket,Old catalogue code for Tolsen
HW-104882,ALT-73659,aftermarket,Old catalogue code for Ingco
HW-103749,ALT-85072,oem,
HW-102669,ALT-22947,aftermarket,
HW-104763,ALT-96916,other,
HW-103301,ALT-18979,other,Old catalogue code for Metabo
HW-102312,ALT-77188,superseded,Old catalogue code for Black+Decker
HW-100353,ALT-61245,oem,
HW-100999,ALT-87572,aftermarket,Old catalogue code for Black+Decker
HW-102957,ALT-29663,superseded,Old catalogue code for Al-Fanar
HW-102957,ALT-58721,aftermarket,
HW-100631,ALT-52716,oem,Old catalogue code for Hilti
HW-102862,ALT-29441,other,
HW-102840,ALT-38868,aftermarket,
HW-102115,ALT-97954,aftermarket,
HW-100190,ALT-71294,other,Old catalogue code for Bosch
HW-102907,ALT-93541,aftermarket,Old catalogue code for Hitachi
HW-102192,ALT-95370,superseded,
HW-103054,ALT-74286,other,
HW-103183,ALT-92940,aftermarket,Old catalogue code for Crown
HW-102078,ALT-64879,superseded,Old catalogue code for Sata
HW-104810,ALT-69347,aftermarket,Old catalogue code for Hilti
HW-104810,ALT-38090,oem,
HW-103313,ALT-46741,aftermarket,Old catalogue code for Al-Fanar
HW-100371,ALT-27562,superseded,
HW-101817,ALT-71086,aftermarket,
HW-101817,ALT-33974,aftermarket,
HW-103559,ALT-29619,aftermarket,Old catalogue code for Ingco
HW-102234,ALT-38675,aftermarket,
HW-103187,ALT-37554,oem,Old catalogue code for Al-Fanar
HW-103911,ALT-28205,superseded,
HW-102284,ALT-37231,superseded,Old catalogue code for Gulf Star
HW-102910,ALT-90321,superseded,Old catalogue code for Black+Decker
HW-100934,ALT-48598,aftermarket,Old catalogue code for Total
HW-103487,ALT-41708,superseded,Old catalogue code for Tolsen
HW-101547,ALT-23505,superseded,Old catalogue code for Stanley
HW-103133,ALT-48039,oem,
HW-103582,ALT-31774,aftermarket,Old catalogue code for Hitachi
HW-102439,ALT-15304,other,
HW-103588,ALT-76886,superseded,Old catalogue code for Gulf Star
HW-101590,ALT-79558,superseded,Old catalogue code for Total
HW-103008,ALT-22244,oem,Old catalogue code for Truper
HW-101717,ALT-84409,aftermarket,
HW-104435,ALT-60862,superseded,Old catalogue code for DeWalt
HW-103788,ALT-74513,superseded,Old catalogue code for DeWalt
HW-104472,ALT-15712,superseded,Old catalogue code for Tolsen
HW-104093,ALT-43111,aftermarket,Old catalogue code for Hilti
HW-101340,ALT-62637,other,
HW-101096,ALT-21635,superseded,
HW-102360,ALT-69749,oem,
HW-101640,ALT-88420,other,Old catalogue code for Skil
HW-100035,ALT-13618,superseded,Old catalogue code for DeWalt
HW-102811,ALT-83901,superseded,Old catalogue code for Ridgid
HW-101025,ALT-88069,oem,Old catalogue code for Metabo
HW-101025,ALT-84344,oem,
HW-103703,ALT-40310,aftermarket,
HW-100514,ALT-86002,aftermarket,
HW-100514,ALT-64697,aftermarket,
HW-103307,ALT-92060,oem,Old catalogue code for Gulf Star
HW-103307,ALT-44863,oem,
HW-102833,ALT-21967,aftermarket,Old catalogue code for Hilti
HW-102484,ALT-51937,oem,
HW-103474,ALT-60512,other,Old catalogue code for Hilti
HW-100650,ALT-35580,other,Old catalogue code for Gulf Star
HW-102758,ALT-82921,oem,Old catalogue code for Karcher
HW-104029,ALT-19979,other,
HW-102655,ALT-73829,other,
HW-100113,ALT-78514,oem,
HW-104087,ALT-84820,oem,
HW-102868,ALT-71320,other,Old catalogue code for Total
HW-102214,ALT-39037,aftermarket,Old catalogue code for Black+Decker
HW-101569,ALT-19523,oem,
HW-101569,ALT-78917,oem,
HW-100296,ALT-55177,aftermarket,
HW-103733,ALT-43956,oem,Old catalogue code for Gulf Star
HW-103733,ALT-88709,oem,
HW-104719,ALT-85568,oem,Old catalogue code for Truper
HW-104452,ALT-35951,superseded,Old catalogue code for Total
HW-101778,ALT-55236,other,
HW-103130,ALT-49597,aftermarket,
HW-103130,ALT-73756,aftermarket,
HW-103202,ALT-88818,oem,Old catalogue code for Gulf Star
HW-103910,ALT-68906,oem,Old catalogue code for Al-Fanar
HW-102714,ALT-80978,other,
HW-102275,ALT-42800,oem,Old catalogue code for Ingco
HW-102275,ALT-91618,aftermarket,
HW-102715,ALT-28747,other,Old catalogue code for Black+Decker
HW-101167,ALT-26214,superseded,Old catalogue code for Karcher
HW-104659,ALT-56370,oem,Old catalogue code for Tolsen
HW-103745,ALT-66476,superseded,
HW-100694,ALT-14446,superseded,Old catalogue code for Metabo
HW-103007,ALT-34985,aftermarket,Old catalogue code for Tolsen
HW-101212,ALT-50882,other,
HW-102298,ALT-88894,other,Old catalogue code for Bosch
HW-104758,ALT-72450,aftermarket,Old catalogue code for Sata
HW-103649,ALT-96614,other,Old catalogue code for Ingco
HW-103568,ALT-73504,oem,
HW-104688,ALT-81853,oem,Old catalogue code for Black+Decker
HW-100276,ALT-28206,superseded,
HW-103545,ALT-50578,aftermarket,
HW-103545,ALT-18899,aftermarket,
HW-102138,ALT-48350,aftermarket,Old catalogue code for Skil
HW-103617,ALT-60789,other,
HW-103617,ALT-98756,oem,
HW-103194,ALT-37273,aftermarket,Old catalogue code for Black+Decker
HW-103194,ALT-23098,aftermarket,
HW-100410,ALT-41127,oem,
HW-101222,ALT-44672,aftermarket,
HW-101756,ALT-88837,other,Old catalogue code for Truper
HW-100229,ALT-50001,superseded,
HW-102814,ALT-96526,superseded,
HW-100151,ALT-20588,superseded,
HW-104222,ALT-30272,superseded,
HW-101286,ALT-49800,aftermarket,Old catalogue code for Makita
HW-104475,ALT-63223,aftermarket,Old catalogue code for Crown
HW-103672,ALT-26036,other,
HW-103672,ALT-70538,aftermarket,
HW-103255,ALT-86695,oem,Old catalogue code for Skil
HW-101208,ALT-11471,aftermarket,
HW-104232,ALT-44241,superseded,Old catalogue code for Karcher
HW-104232,ALT-53464,aftermarket,
HW-102812,ALT-60938,other,
HW-102812,ALT-78237,oem,
HW-102813,ALT-45016,superseded,
HW-104377,ALT-53808,other,Old catalogue code for Stanley
HW-104820,ALT-28458,other,Old catalogue code for Crown
HW-104515,ALT-92209,oem,Old catalogue code for Metabo
HW-104352,ALT-31047,oem,Old catalogue code for Ridgid
HW-100851,ALT-61195,other,Old catalogue code for Sata
HW-102130,ALT-66251,other,Old catalogue code for Sata
HW-102130,ALT-54092,oem,
HW-103312,ALT-62769,oem,Old catalogue code for Hilti
HW-100566,ALT-79717,other,Old catalogue code for Gulf Star
HW-104317,ALT-74140,aftermarket,Old catalogue code for Karcher
HW-103061,ALT-81909,other,Old catalogue code for Karcher
HW-103199,ALT-18922,aftermarket,Old catalogue code for Crown
HW-104943,ALT-99698,other,
HW-102341,ALT-46282,superseded,Old catalogue code for Truper
HW-102341,ALT-33652,oem,
HW-101933,ALT-85136,oem,Old catalogue code for Makita
HW-101933,ALT-44077,aftermarket,
HW-104274,ALT-57545,aftermarket,Old catalogue code for Skil
HW-100868,ALT-90095,oem,Old catalogue code for Hilti
HW-104046,ALT-99141,superseded,Old catalogue code for Tolsen
HW-104046,ALT-22374,oem,
HW-103019,ALT-31625,oem,Old catalogue code for Gulf Star
HW-104348,ALT-96076,superseded,Old catalogue code for Black+Decker
HW-100872,ALT-19281,other,
HW-103356,ALT-60141,other,
HW-103356,ALT-98999,oem,
HW-102679,ALT-14616,other,
HW-100156,ALT-73660,oem,Old catalogue code for Hilti
HW-101451,ALT-32368,aftermarket,
HW-100206,ALT-59709,superseded,Old catalogue code for Karcher
HW-100814,ALT-10898,superseded,
HW-101397,ALT-11905,oem,Old catalogue code for Total
HW-103760,ALT-31043,aftermarket,
HW-102824,ALT-51535,other,Old catalogue code for Gulf Star
HW-101221,ALT-33368,aftermarket,Old catalogue code for Crown
HW-104343,ALT-94031,other,Old catalogue code for Tolsen
HW-100637,ALT-61124,superseded,Old catalogue code for Crown
HW-100637,ALT-65047,oem,
HW-102915,ALT-77993,superseded,Old catalogue code for Stanley
HW-102915,ALT-28123,oem,
HW-102731,ALT-46391,aftermarket,
HW-103483,ALT-60420,superseded,
HW-101180,ALT-68873,other,Old catalogue code for Hitachi
HW-101180,ALT-89621,aftermarket,
HW-101940,ALT-87248,aftermarket,Old catalogue code for Truper
HW-101408,ALT-26344,aftermarket,Old catalogue code for DeWalt
HW-101408,ALT-31411,aftermarket,
HW-101908,ALT-53500,aftermarket,Old catalogue code for Al-Fanar
HW-104326,ALT-58435,oem,Old catalogue code for Bosch
HW-101065,ALT-70017,other,
HW-100081,ALT-19378,superseded,
HW-100738,ALT-56315,aftermarket,
HW-101073,ALT-85179,aftermarket,Old catalogue code for Makita
HW-101245,ALT-45001,other,Old catalogue code for Skil
HW-102194,ALT-92898,superseded,Old catalogue code for Ingco
HW-101488,ALT-54187,superseded,Old catalogue code for Hilti
HW-101488,ALT-83225,oem,
HW-103309,ALT-64742,oem,
HW-103126,ALT-88506,aftermarket,
HW-100450,ALT-11833,other,
HW-104817,ALT-21335,oem,Old catalogue code for Al-Fanar
HW-100449,ALT-82726,superseded,Old catalogue code for Black+Decker
HW-104633,ALT-92500,oem,Old catalogue code for Crown
HW-101393,ALT-42562,superseded,
HW-100565,ALT-20367,oem,Old catalogue code for Gulf Star
HW-100565,ALT-95743,oem,
HW-103601,ALT-43204,other,
HW-100829,ALT-56047,superseded,
HW-103591,ALT-44897,aftermarket,
HW-103591,ALT-43635,oem,
HW-101239,ALT-84293,superseded,Old catalogue code for Gulf Star
HW-102820,ALT-98036,oem,
HW-100279,ALT-88934,oem,Old catalogue code for Black+Decker
HW-102925,ALT-60807,oem,Old catalogue code for Gulf Star
HW-102925,ALT-52841,oem,
HW-100491,ALT-87036,aftermarket,
HW-103593,ALT-43077,other,Old catalogue code for Bosch
HW-104759,ALT-85951,oem,Old catalogue code for Makita
HW-100973,ALT-34064,superseded,Old catalogue code for Gulf Star
HW-102114,ALT-69546,aftermarket,Old catalogue code for Al-Fanar
HW-104910,ALT-10960,superseded,Old catalogue code for DeWalt
HW-100367,ALT-32151,oem,
HW-101328,ALT-39090,other,Old catalogue code for Al-Fanar
HW-100274,ALT-82940,oem,Old catalogue code for Karcher
HW-101032,ALT-15073,aftermarket,Old catalogue code for Al-Fanar
HW-101448,ALT-65221,aftermarket,
HW-103310,ALT-71543,other,Old catalogue code for Tolsen
HW-100148,ALT-55650,oem,Old catalogue code for Karcher
HW-100148,ALT-18569,aftermarket,
HW-100258,ALT-49478,aftermarket,Old catalogue code for Al-Fanar
HW-104811,ALT-16119,superseded,
HW-102906,ALT-94292,oem,
HW-103319,ALT-98035,other,
HW-104845,ALT-22750,other,Old catalogue code for Hitachi
HW-104845,ALT-23982,oem,
HW-103725,ALT-40815,other,
HW-103725,ALT-62445,oem,
HW-104578,ALT-61662,other,
HW-104214,ALT-30167,oem,Old catalogue code for Yato
HW-102753,ALT-21357,aftermarket,Old catalogue code for Al-Fanar
HW-103892,ALT-53780,superseded,Old catalogue code for Black+Decker
HW-103712,ALT-12106,aftermarket,Old catalogue code for Crown
HW-100590,ALT-90795,oem,
HW-103639,ALT-75647,superseded,
HW-104202,ALT-32572,aftermarket,Old catalogue code for Total
HW-102684,ALT-25103,aftermarket,Old catalogue code for Bosch
HW-104132,ALT-42398,other,
HW-102064,ALT-36718,aftermarket,Old catalogue code for Ridgid
