Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms
CN-00093,Desert Contracting Co,69749154,1000,2240.47,Mahmoud,30 days
CN-00094,Mubarak Maintenance Co,51794475,10000,275.44,Anwar,60 days
CN-00095,Kazma Maintenance Co,61936284,,KWD 2603.97,Khaled,COD
CN-00096,Burgan MEP Services,91197621,,2519.20,Rakesh,90 days
CN-00097,National Workshop,91305782,5000,"3,079.53",Khaled,Cash
CN-00098,Al Manar Construction,52980726,5000,"458,19",Joseph,90 days
CN-00099,Al Manar Engineering,95232666,10000,2030.99,Anwar,30 days
CN-00100,Modern Maintenance Co,65004289,10000,3020.54,Rakesh,60 days
CN-00101,United MEP Services,96998892,,KWD 1495.30,Khaled,30 days
CN-00102,Oasis Construction,54876446,,3713.17,Anwar,COD
CN-00103,National Trading Est,64295869,5000,"1,024.91",Suresh,45 days
CN-00104,Capital Interiors,58561539,5000,"634,95",Rakesh,45 days
CN-00105,Prime Builders,54381468,1000,102.70,Rakesh,30 days
CN-00106,Oasis Construction,58968615,5000,2806.41,Mahmoud,90 days
CN-00107,Al Manar Construction,57767590,1000,KWD 1008.43,Suresh,COD
CN-00108,Burgan MEP Services,66696859,10000,3080.69,Joseph,90 days
CN-00109,Fahad Maintenance Co,55525466,10000,878.74,Khaled,90 days
CN-00110,Capital Maintenance Co,54272499,1000,"1.729,72",Joseph,90 days
CN-00111,Burgan Contracting Co,55249959,1000,2582.78,Rakesh,90 days
CN-00112,Oasis Interiors,99834536,2500,2382.64,Anwar,Cash
CN-00113,Capital Real Estate,96855726,10000,KWD 3079.13,Rakesh,30 days
CN-00114,Marina Construction,62074574,5000,3415.06,Anwar,30 days
CN-00115,Prime Workshop,94059121,,"2,198.95",Suresh,Cash
CN-00116,Marina Real Estate,58289265,5000,"3.135,53",Anwar,90 days
CN-00117,Reliable MEP Services,93509063,10000,477.38,Anwar,60 days
CN-00118,Reliable Trading Est,93337902,10000,3849.47,Rakesh,Cash
CN-00119,Modern Maintenance Co,59718841,10000,KWD 2375.52,Khaled,Cash
CN-00120,Gulf Engineering,96013579,,2501.06,Khaled,COD
CN-00121,Fahad Engineering,99007184,10000,"1,031.89",Suresh,90 days
CN-00122,Prime Contracting Co,93203140,2500,"3.782,21",Suresh,30 days
CN-00123,Pearl Contracting Co,98111006,,3252.54,Rakesh,90 days
CN-00124,Gulf Workshop,51796815,2500,2293.98,Anwar,90 days
CN-00125,Modern Trading Est,59818925,,KWD 792.03,Joseph,90 days
CN-00126,Modern Construction,54817590,,1183.07,Suresh,60 days
CN-00127,Desert Contracting Co,51637139,,"1,970.80",Anwar,Cash
CN-00128,Al Manar Builders,97899602,10000,"2.826,68",Suresh,30 days
CN-00129,Prime Maintenance Co,61499273,1000,2231.91,Khaled,90 days
CN-00130,Mubarak Maintenance Co,63572661,5000,2084.17,Suresh,30 days
CN-00131,Capital Construction,54857704,5000,KWD 2055.48,Khaled,30 days
CN-00132,National Construction,57376087,2500,737.94,Anwar,Cash
CN-00133,Fahad Interiors,65521102,1000,660.16,Suresh,90 days
CN-00134,National Maintenance Co,65365220,1000,"2.187,78",Joseph,30 days
CN-00135,Kazma Builders,95704362,5000,2130.71,Suresh,COD
CN-00136,Fahad Workshop,58995554,5000,1204.53,Rakesh,60 days
CN-00137,Falcon MEP Services,55851453,,KWD 2228.09,Anwar,45 days
CN-00138,Sabah Contracting Co,93526598,,3844.50,Anwar,Cash
CN-00139,Oasis Engineering,93315316,10000,"1,618.62",Anwar,60 days
CN-00140,Mubarak Trading Est,95307605,5000,"2.028,55",Suresh,Cash
CN-00141,Sabah MEP Services,66910126,2500,3643.92,Anwar,60 days
CN-00142,Prime Workshop,57146231,2500,3904.24,Mahmoud,90 days
CN-00143,United Contracting Co,61858888,5000,KWD 2013.64,Suresh,30 days
CN-00144,Mubarak Maintenance Co,56313075,1000,1171.40,Mahmoud,90 days
CN-00145,Capital Interiors,69019556,,26.34,Mahmoud,90 days
CN-00146,Sabah Construction,64024826,2500,"973,13",Anwar,60 days
CN-00147,Modern Real Estate,97794477,2500,962.44,Suresh,60 days
CN-00148,Desert MEP Services,65214814,10000,1920.04,Joseph,90 days
CN-00149,Mubarak Real Estate,55161961,,KWD 3337.98,Anwar,30 days
CN-00150,Sabah MEP Services,51169089,1000,1437.43,Joseph,Cash
CN-00151,Pearl Builders,69830343,1000,"2,958.74",Joseph,60 days
CN-00152,Mubarak Construction,56281727,1000,"2.044,92",Suresh,Cash
CN-00153,Burgan Maintenance Co,54000615,10000,1623.09,Mahmoud,60 days
CN-00154,National Real Estate,56218604,1000,3349.97,Joseph,90 days
CN-00155,Oasis Real Estate,65770424,5000,KWD 370.35,Joseph,45 days
CN-00156,Sabah Maintenance Co,99416901,,1626.67,Joseph,30 days
CN-00157,Kazma Construction,94905205,5000,"1,426.79",Khaled,60 days
CN-00158,Reliable Interiors,63456114,5000,"3.368,87",Mahmoud,COD
CN-00159,Prime Engineering,91243705,5000,3662.76,Rakesh,90 days
CN-00160,Desert Real Estate,52182662,,2494.07,Suresh,Cash
CN-00161,Kazma Interiors,97401616,,KWD 3451.80,Mahmoud,COD
CN-00162,Sabah Contracting Co,93019450,2500,3953.59,Mahmoud,Cash
CN-00163,Falcon MEP Services,98895904,5000,"1,756.79",Mahmoud,90 days
CN-00164,Pearl Maintenance Co,94398161,1000,"2.229,66",Rakesh,30 days
CN-00165,Mubarak Real Estate,94979181,1000,865.68,Suresh,COD
CN-00166,Falcon Real Estate,63601903,1000,1242.40,Khaled,60 days
CN-00167,Kazma Builders,56331097,,KWD 3649.20,Anwar,COD
CN-00168,Fahad Construction,52568889,10000,2075.60,Anwar,45 days
CN-00169,Pearl Workshop,93098625,1000,"2,275.11",Anwar,45 days
CN-00170,Al Manar Trading Est,94761156,5000,"3.745,03",Joseph,60 days
CN-00171,Al Manar Workshop,67059594,5000,3176.87,Anwar,60 days
CN-00172,Sabah Interiors,65373680,2500,2733.06,Mahmoud,60 days
CN-00173,Burgan Maintenance Co,66153392,1000,KWD 2971.25,Suresh,60 days
CN-00174,Marina Trading Est,56073186,2500,1036.68,Suresh,Cash
CN-00175,Salmi MEP Services,68619873,10000,441.40,Joseph,60 days
CN-00176,Prime MEP Services,69614560,2500,"801,34",Mahmoud,60 days
CN-00177,Reliable Maintenance Co,91151389,10000,12.60,Joseph,30 days
CN-00178,Modern Engineering,93441082,2500,911.52,Mahmoud,30 days
CN-00179,Capital Contracting Co,68821214,2500,KWD 3350.86,Khaled,90 days
CN-00180,United Builders,93446886,2500,1648.47,Anwar,COD
CN-00181,National Construction,56477687,5000,"3,894.61",Anwar,30 days
CN-00182,Al Manar Interiors,67967730,,"3.841,82",Mahmoud,60 days
CN-00183,Mubarak Engineering,62865679,5000,3505.68,Mahmoud,Cash
CN-00184,Kazma MEP Services,97295578,5000,3511.89,Joseph,90 days
CN-00185,Gulf Interiors,53650054,5000,KWD 3104.39,Suresh,60 days
CN-00186,National Maintenance Co,69801807,5000,3252.77,Joseph,COD
CN-00187,Gulf Engineering,95978227,10000,"3,270.87",Joseph,60 days
CN-00188,Marina Builders,66115012,1000,"2.748,89",Khaled,45 days
CN-00189,Capital Real Estate,62963209,,1197.55,Suresh,60 days
CN-00190,Desert Builders,67256918,2500,3511.31,Mahmoud,Cash
CN-00191,Pearl Engineering,51074856,2500,KWD 423.81,Joseph,30 days
CN-00192,Gulf Interiors,52876808,,31.28,Khaled,90 days
CN-00193,Burgan Interiors,96547758,10000,"1,265.82",Khaled,COD
CN-00194,Pearl Engineering,51976429,2500,"1.304,62",Suresh,COD
CN-00195,Gulf Workshop,66964621,1000,3123.74,Mahmoud,30 days
CN-00196,Reliable MEP Services,62506339,10000,1948.20,Rakesh,90 days
CN-00197,Burgan Interiors,58031716,,KWD 3849.08,Suresh,30 days
CN-00198,Prime Contracting Co,63182850,,1883.05,Mahmoud,COD
CN-00199,Oasis Real Estate,58068697,10000,"1,974.56",Anwar,Cash
CN-00200,Al Manar Construction,99330742,,"1.737,17",Khaled,90 days
CN-00201,Oasis Engineering,92777349,5000,1128.22,Joseph,30 days
CN-00202,Falcon Interiors,54223817,10000,905.24,Mahmoud,COD
CN-00203,Oasis Contracting Co,95664499,,KWD 2966.23,Rakesh,COD
CN-00204,Salmi Trading Est,59909105,,635.66,Rakesh,60 days
CN-00205,Al Manar MEP Services,95276750,5000,"2,825.10",Anwar,Cash
CN-00206,Modern Real Estate,96850067,5000,"616,19",Joseph,Cash
CN-00207,Marina Trading Est,68114051,,1447.18,Rakesh,30 days
CN-00208,Reliable Builders,56618720,,598.40,Rakesh,60 days
CN-00209,Salmi Trading Est,54325991,10000,KWD 2212.38,Mahmoud,COD
CN-00210,Pearl Interiors,51237670,1000,69.24,Khaled,60 days
CN-00211,United Construction,51577605,10000,"3,824.56",Khaled,60 days
CN-00212,Falcon Interiors,91172873,5000,"909,91",Anwar,COD
CN-00213,Salmi Real Estate,93071530,1000,2488.55,Khaled,60 days
CN-00214,Al Rai Construction,52666674,10000,1493.35,Rakesh,45 days
CN-00215,National Builders,64042839,,KWD 1764.16,Anwar,45 days
CN-00216,Capital Contracting Co,59552824,,806.93,Joseph,90 days
CN-00217,Burgan Trading Est,51814952,1000,"1,753.98",Khaled,45 days
CN-00218,Desert Engineering,96284442,2500,"3.427,66",Joseph,90 days
CN-00219,Reliable Engineering,93796911,1000,3078.00,Suresh,30 days
CN-00220,Sabah Contracting Co,97301102,5000,1972.18,Rakesh,30 days
CN-00221,Oasis Builders,69322384,,KWD 1144.94,Anwar,COD
CN-00222,Mubarak Builders,69423133,1000,3744.31,Suresh,30 days
CN-00223,Mubarak Contracting Co,64448090,,"1,945.01",Mahmoud,Cash
CN-00224,Mubarak Construction,99028475,2500,"2.668,21",Anwar,45 days
CN-00225,Mubarak Workshop,56279952,5000,1462.02,Khaled,90 days
CN-00226,Capital Construction,92905532,1000,2261.38,Mahmoud,Cash
CN-00227,Marina Engineering,65707375,5000,KWD 3437.96,Khaled,90 days
CN-00228,Pearl Workshop,58710626,2500,2246.28,Mahmoud,90 days
CN-00229,Gulf MEP Services,67792972,1000,562.44,Anwar,60 days
CN-00230,Capital Interiors,97300770,,"503,63",Joseph,30 days
CN-00231,Pearl Real Estate,54855993,1000,2635.78,Joseph,90 days
CN-00232,Fahad Real Estate,69593136,,1648.28,Mahmoud,Cash
CN-00233,Al Manar Maintenance Co,68286827,5000,KWD 475.66,Khaled,30 days
CN-00234,Mubarak Builders,56122106,5000,3310.98,Suresh,90 days
CN-00235,Fahad Real Estate,54359752,1000,"3,071.12",Rakesh,30 days
CN-00236,National MEP Services,52922402,10000,"3.126,85",Suresh,60 days
CN-00237,Kazma Interiors,53356920,5000,494.31,Mahmoud,30 days
CN-00238,Salmi Contracting Co,91163126,1000,3717.68,Suresh,90 days
CN-00239,Al Manar Real Estate,51116777,5000,KWD 1346.52,Suresh,45 days
CN-00240,Burgan Interiors,65683820,1000,2938.91,Suresh,45 days
CN-00241,Pearl Workshop,94119605,5000,"2,392.19",Suresh,90 days
CN-00242,Capital Contracting Co,57940873,2500,"1.984,86",Rakesh,90 days
CN-00243,Modern Interiors,94169624,1000,2641.86,Rakesh,60 days
CN-00244,United Real Estate,52410437,2500,2379.20,Joseph,COD
CN-00245,Sabah Trading Est,57249000,,KWD 2708.34,Suresh,45 days
CN-00246,Pearl Trading Est,52859432,5000,1629.09,Suresh,30 days
CN-00247,Desert Builders,67372730,,"2,617.97",Khaled,90 days
CN-00248,Pearl Engineering,94027121,10000,"3.585,38",Suresh,30 days
CN-00249,Reliable Construction,52596906,10000,1973.09,Mahmoud,COD
CN-00250,Burgan Contracting Co,58783718,10000,3650.23,Suresh,60 days
CN-00251,Desert Construction,61863559,10000,KWD 2767.52,Anwar,Cash
CN-00252,National Contracting Co,98375842,10000,746.72,Suresh,30 days
CN-00253,Salmi Workshop,93951676,1000,"1,612.38",Mahmoud,Cash
CN-00254,Gulf Maintenance Co,55332852,5000,"1.219,49",Anwar,COD
CN-00255,Marina Workshop,99165093,5000,3787.08,Khaled,30 days
CN-00256,Kazma Construction,92015839,5000,2930.96,Rakesh,45 days
CN-00257,Reliable MEP Services,66873417,1000,KWD 602.26,Rakesh,45 days
CN-00258,Reliable Interiors,67514504,5000,2153.02,Khaled,45 days
CN-00259,Kazma Engineering,64185079,1000,"2,008.75",Rakesh,30 days
CN-00260,National Contracting Co,91065036,10000,"2.307,96",Joseph,45 days
CN-00261,Gulf Trading Est,91474456,10000,1879.42,Anwar,90 days
CN-00262,Marina Trading Est,59342038,,1758.05,Mahmoud,45 days
CN-00263,Burgan Workshop,67688348,1000,KWD 3244.62,Mahmoud,30 days
CN-00264,Marina Trading Est,97296249,5000,1235.55,Anwar,Cash
CN-00265,Burgan Interiors,69214845,2500,"1,559.66",Anwar,Cash
CN-00266,Modern Construction,57312384,5000,"468,06",Rakesh,60 days
CN-00267,Al Rai Trading Est,57503590,5000,1729.33,Suresh,30 days
CN-00268,Marina MEP Services,97013842,1000,2228.73,Rakesh,COD
CN-00269,Al Rai Contracting Co,68873706,,KWD 1284.87,Mahmoud,45 days
CN-00270,Sabah Interiors,96479997,5000,2733.39,Khaled,45 days
CN-00271,Oasis Contracting Co,63692733,2500,"2,973.94",Mahmoud,60 days
CN-00272,United Real Estate,54209252,,"3.648,39",Mahmoud,60 days
CN-00273,Salmi Real Estate,63307080,1000,363.09,Rakesh,45 days
CN-00274,Mubarak Trading Est,99364475,1000,-,Joseph,45 days
CN-00275,Prime MEP Services,97892441,10000,KWD 3718.30,Suresh,Cash
CN-00276,Sabah Trading Est,53973108,10000,1768.10,Rakesh,60 days
CN-00277,National MEP Services,65222153,1000,809.83,Rakesh,30 days
CN-00278,Marina Construction,64146669,5000,"2.470,08",Anwar,30 days
CN-00279,Al Manar Contracting Co,56508539,5000,1634.05,Rakesh,60 days
CN-00280,Fahad Engineering,64812284,5000,926.71,Joseph,60 days
CN-00281,Burgan Trading Est,59003877,,KWD 321.19,Anwar,60 days
CN-00282,Salmi Workshop,53042001,5000,660.43,Mahmoud,60 days
CN-00283,Prime Trading Est,59099619,10000,"3,050.88",Rakesh,COD
CN-00284,Marina Engineering,95806142,10000,"446,12",Anwar,30 days
CN-00285,Burgan Engineering,55431066,1000,608.43,Mahmoud,45 days
CN-00286,Pearl Engineering,67799299,10000,970.84,Anwar,30 days
CN-00287,Burgan Interiors,62208151,5000,KWD 3650.23,Anwar,90 days
CN-00288,Capital Construction,93787371,2500,1369.04,Joseph,COD
CN-00289,United Trading Est,94559185,,"1,781.25",Mahmoud,45 days
CN-00290,Reliable Engineering,56646788,10000,"1.999,32",Joseph,60 days
CN-00291,Kazma Trading Est,64531072,1000,2699.04,Joseph,30 days
CN-00292,United Contracting Co,59023029,2500,2099.88,Khaled,45 days
CN-00293,Desert Construction,65343397,5000,KWD 2184.96,Suresh,90 days
CN-00294,Capital Workshop,53286380,5000,3630.43,Anwar,45 days
CN-00295,Kazma Workshop,55089029,10000,"2,946.47",Rakesh,45 days
CN-00296,Al Rai Interiors,65591609,,"3.610,95",Khaled,90 days
CN-00297,Al Rai MEP Services,97799879,2500,1391.38,Khaled,COD
CN-00298,Desert Maintenance Co,98707823,2500,1023.18,Joseph,30 days
CN-00299,Salmi Real Estate,53900737,10000,KWD 2238.46,Suresh,COD
CN-00300,Al Rai Workshop,53664519,10000,2171.36,Joseph,COD
CN-00301,Falcon Interiors,58531986,2500,"3,818.43",Joseph,COD
CN-00302,Pearl Construction,57199854,5000,"1.683,20",Joseph,Cash
CN-00303,Pearl Engineering,66884750,5000,717.61,Mahmoud,COD
CN-00304,Desert Engineering,68085709,2500,242.54,Rakesh,30 days
CN-00305,Gulf Construction,52512613,5000,KWD 2577.07,Rakesh,60 days
CN-00306,Modern Real Estate,57404412,5000,1839.13,Rakesh,Cash
CN-00307,Al Manar Trading Est,64768633,1000,"1,600.03",Suresh,60 days
CN-00308,Sabah Interiors,53798573,1000,"1.512,07",Khaled,45 days
CN-00309,Modern Interiors,56600283,,81.58,Suresh,60 days
CN-00310,Falcon Workshop,51153636,2500,3746.04,Joseph,60 days
CN-00311,Gulf MEP Services,63582757,5000,KWD 2087.29,Khaled,90 days
CN-00312,Mubarak Contracting Co,67070237,1000,1844.87,Suresh,30 days
CN-00313,National Builders,62415906,10000,"1,506.00",Rakesh,45 days
CN-00314,Al Rai MEP Services,64553356,1000,"3.643,27",Suresh,30 days
CN-00315,Salmi Maintenance Co,61153446,1000,1395.20,Joseph,45 days
CN-00316,Marina Construction,91162267,1000,-,Anwar,Cash
CN-00317,Burgan Engineering,58084439,10000,KWD 3910.31,Khaled,Cash
CN-00318,Falcon Trading Est,56988015,10000,1447.09,Joseph,Cash
CN-00319,Modern Maintenance Co,93641620,2500,"2,935.56",Joseph,45 days
CN-00320,Gulf Real Estate,61780635,1000,"3.815,70",Anwar,30 days
CN-00321,Falcon Maintenance Co,56395831,5000,3826.52,Mahmoud,90 days
CN-00322,Burgan Builders,95630729,10000,437.45,Rakesh,90 days
CN-00323,Prime Construction,66818750,10000,KWD 28.44,Khaled,60 days
CN-00324,United Workshop,55534080,5000,1515.71,Rakesh,30 days
CN-00325,Desert Contracting Co,97256841,,"3,253.20",Rakesh,30 days
CN-00326,United Interiors,98246897,10000,"1.970,10",Joseph,COD
CN-00327,Sabah Construction,53881910,10000,816.57,Mahmoud,Cash
CN-00328,Oasis Trading Est,93191631,,1306.65,Khaled,45 days
CN-00329,Marina Interiors,93662836,,KWD 1213.43,Rakesh,60 days
CN-00330,Prime Interiors,64169603,10000,3925.27,Mahmoud,60 days
CN-00331,Oasis Interiors,68197555,2500,948.08,Joseph,Cash
CN-00332,Salmi Construction,94089951,10000,"2.164,46",Rakesh,90 days
CN-00333,Mubarak Interiors,97363135,1000,1413.59,Suresh,60 days
CN-00334,Gulf Real Estate,91601995,10000,1709.02,Mahmoud,COD
CN-00335,Mubarak Real Estate,61121030,5000,KWD 750.41,Rakesh,Cash
CN-00336,Burgan Interiors,67229501,1000,2076.65,Mahmoud,COD
CN-00337,Fahad Maintenance Co,63237396,,"2,870.35",Khaled,45 days
CN-00338,National Interiors,53865409,2500,"527,58",Suresh,COD
CN-00339,Mubarak Real Estate,64879319,10000,3845.40,Khaled,Cash
CN-00340,Kazma Engineering,95024947,,317.43,Rakesh,45 days
CN-00341,Gulf Real Estate,95381693,2500,KWD 224.87,Rakesh,Cash
CN-00342,Sabah Interiors,61356137,2500,2049.59,Joseph,Cash
CN-00343,Reliable Construction,95514019,1000,81.77,Joseph,45 days
CN-00344,Sabah Builders,53108170,1000,"1.400,86",Khaled,Cash
CN-00345,Prime Engineering,92011320,2500,3783.54,Joseph,30 days
CN-00346,Oasis MEP Services,56379577,5000,2407.40,Anwar,60 days
CN-00347,Al Manar Workshop,52374796,,KWD 1898.09,Anwar,60 days
CN-00348,Sabah Contracting Co,93172430,,1841.14,Joseph,COD
CN-00349,Salmi Maintenance Co,68956939,10000,86.63,Khaled,90 days
CN-00350,Burgan Construction,91133449,5000,"3.455,24",Anwar,COD
CN-00351,United Interiors,93170799,10000,2946.05,Suresh,45 days
CN-00352,Kazma Engineering,55434726,10000,1030.82,Mahmoud,90 days
CN-00353,Capital Maintenance Co,65794347,,KWD 1324.23,Mahmoud,30 days
CN-00354,Al Manar Maintenance Co,58403611,,511.08,Rakesh,90 days
CN-00355,Reliable MEP Services,67642717,1000,"1,180.00",Rakesh,30 days
CN-00356,National Builders,64706504,10000,"3.267,16",Mahmoud,90 days
CN-00357,United Construction,97420607,10000,977.92,Joseph,COD
CN-00358,Pearl Workshop,54408735,10000,301.69,Rakesh,60 days
CN-00359,Falcon Trading Est,64697414,2500,KWD 2041.48,Khaled,COD
CN-00360,Salmi Contracting Co,55498924,,2639.45,Anwar,COD
CN-00361,Salmi Trading Est,58531848,,9.24,Khaled,30 days
CN-00362,Pearl Builders,52730442,1000,"1.806,06",Joseph,60 days
CN-00363,Al Manar Interiors,97411063,1000,2189.53,Khaled,COD
CN-00364,Kazma Real Estate,51060412,10000,602.37,Mahmoud,30 days
CN-00365,Oasis MEP Services,96412004,5000,KWD 206.34,Joseph,90 days
CN-00366,Al Manar Engineering,57592890,1000,3268.06,Rakesh,COD
CN-00367,Marina Workshop,66996614,1000,"3,857.90",Anwar,Cash
CN-00368,Fahad Trading Est,61404068,10000,"3.988,32",Suresh,Cash
CN-00369,Capital Builders,63046166,1000,1104.07,Khaled,Cash
CN-00370,Salmi MEP Services,58631786,2500,3180.16,Mahmoud,30 days
CN-00371,Fahad Engineering,95245701,2500,KWD 1582.51,Anwar,COD
CN-00372,Al Manar Contracting Co,56566095,1000,1730.96,Rakesh,Cash
CN-00373,Oasis Engineering,52872134,,"3,398.06",Mahmoud,45 days
CN-00374,Falcon Contracting Co,51023466,,"925,11",Joseph,90 days
CN-00375,United Real Estate,62557303,,829.77,Mahmoud,COD
