Doc No,Account No,Customer,Value (KWD),Date,Status,Project Ref
QT-2026-0050,CN-02192,Al Manar Contracting Co,"1,982.60",2026-06-12,Part-Delivered,Villa - Salwa
QT-2026-0051,CN-00241,Pearl Workshop,"13,687.99",2026-06-13,Quotation,Maintenance
QT-2026-0052,CN-01722,Al Manar Contracting Co,"3,558.46",2026-06-12,Quotation,
QT-2026-0053,CN-00361,Salmi Trading Est,"1,036.82",2026-06-02,Confirmed Order,Villa - Salwa
QT-2026-0054,CN-01799,Pearl Real Estate,"11,239.90",2026-06-04,Confirmed Order,Project A - Mall
QT-2026-0055,CN-02044,Falcon MEP Services,"9,783.57",2026-06-10,Part-Delivered,Warehouse
QT-2026-0056,CN-02476,Prime Trading Est,"2,211.10",2026-06-11,Quotation,Tower - Sharq
QT-2026-0057,CN-01501,Pearl Contracting Co,"13,356.71",2026-06-10,Confirmed Order,Maintenance
QT-2026-0058,CN-02676,Desert MEP Services,"8,932.76",2026-06-03,Confirmed Order,Villa - Salwa
QT-2026-0059,CN-00886,Pearl Trading Est,"7,869.60",2026-06-08,Part-Delivered,Maintenance
QT-2026-0060,CN-02761,Pearl Trading Est,"12,625.41",2026-06-08,Quotation,Maintenance
QT-2026-0061,CN-02483,Marina Construction,"12,378.17",2026-06-09,Confirmed Order,Warehouse
QT-2026-0062,CN-02839,Marina Interiors,"4,989.30",2026-06-07,Part-Delivered,Villa - Salwa
QT-2026-0063,CN-03489,United Construction,"6,726.77",2026-06-03,Confirmed Order,Fit-out
QT-2026-0064,CN-03901,Pearl Maintenance Co,"7,104.71",2026-06-07,Part-Delivered,Villa - Salwa
QT-2026-0065,CN-00157,Kazma Construction,"10,386.71",2026-06-13,Part-Delivered,Fit-out
QT-2026-0066,CN-03690,Al Rai Construction,"6,387.06",2026-06-14,Part-Delivered,Villa - Salwa
QT-2026-0067,CN-03811,United Trading Est,"1,040.98",2026-06-03,Part-Delivered,
QT-2026-0068,CN-02496,United Trading Est,"5,579.41",2026-06-01,Quotation,Villa - Salwa
QT-2026-0069,CN-02972,Oasis Construction,355.77,2026-06-12,Part-Delivered,Tower - Sharq
QT-2026-0070,CN-01666,Modern Engineering,"11,745.13",2026-06-01,Part-Delivered,Warehouse
QT-2026-0071,CN-02810,Al Rai Construction,"13,909.06",2026-06-05,Confirmed Order,
QT-2026-0072,CN-03952,United Builders,674.26,2026-06-08,Quotation,Villa - Salwa
QT-2026-0073,CN-02218,Marina MEP Services,"12,593.23",2026-06-10,Part-Delivered,Villa - Salwa
QT-2026-0074,CN-03592,Gulf Real Estate,"9,662.83",2026-06-07,Part-Delivered,Maintenance
QT-2026-0075,CN-02609,Al Rai Trading Est,"5,585.28",2026-06-14,Part-Delivered,Tower - Sharq
QT-2026-0076,CN-01205,National Workshop,"8,549.82",2026-06-06,Part-Delivered,Fit-out
QT-2026-0077,CN-02881,Fahad Interiors,"5,372.47",2026-06-10,Confirmed Order,Fit-out
QT-2026-0078,CN-00275,Prime MEP Services,"3,337.94",2026-06-08,Part-Delivered,Warehouse
QT-2026-0079,CN-00183,Mubarak Engineering,"1,268.34",2026-06-04,Confirmed Order,Warehouse
QT-2026-0080,CN-00973,Modern Builders,"12,873.40",2026-06-06,Quotation,Project A - Mall
QT-2026-0081,CN-01875,Mubarak Construction,"8,215.07",2026-06-13,Confirmed Order,Villa - Salwa
QT-2026-0082,CN-03403,Sabah Real Estate,"12,553.05",2026-06-13,Quotation,Maintenance
QT-2026-0083,CN-02600,Mubarak Maintenance Co,"3,010.37",2026-06-05,Part-Delivered,Tower - Sharq
QT-2026-0084,CN-03480,Fahad Engineering,"1,169.52",2026-06-01,Part-Delivered,Maintenance
QT-2026-0085,CN-02506,Falcon Builders,"10,809.28",2026-06-05,Part-Delivered,Villa - Salwa
QT-2026-0086,CN-01579,Salmi Construction,"11,510.33",2026-06-03,Confirmed Order,Villa - Salwa
QT-2026-0087,CN-03564,Mubarak Builders,"4,648.52",2026-06-13,Part-Delivered,Project A - Mall
QT-2026-0088,CN-02173,Desert Construction,"2,719.70",2026-06-05,Confirmed Order,Tower - Sharq
QT-2026-0089,CN-02884,United Builders,"7,094.06",2026-06-13,Part-Delivered,Villa - Salwa
QT-2026-0090,CN-02022,Gulf Trading Est,"8,471.49",2026-06-02,Confirmed Order,Fit-out
QT-2026-0091,CN-02909,United Workshop,"10,236.76",2026-06-14,Confirmed Order,Tower - Sharq
QT-2026-0092,CN-02338,Falcon Real Estate,"2,506.66",2026-06-09,Part-Delivered,Project A - Mall
QT-2026-0093,CN-01021,Burgan Construction,"3,775.94",2026-06-12,Quotation,Maintenance
QT-2026-0094,CN-02687,Al Rai Builders,"12,016.13",2026-06-10,Quotation,Maintenance
QT-2026-0095,CN-03783,Prime Interiors,"2,442.59",2026-06-08,Quotation,Project A - Mall
QT-2026-0096,CN-00490,Burgan Contracting Co,"7,881.76",2026-06-14,Confirmed Order,Maintenance
QT-2026-0097,CN-01600,Capital Real Estate,"9,874.00",2026-06-09,Quotation,Warehouse
QT-2026-0098,CN-01693,Gulf Engineering,"10,148.12",2026-06-11,Quotation,Tower - Sharq
QT-2026-0099,CN-01310,Burgan Engineering,"5,188.22",2026-06-01,Part-Delivered,
QT-2026-0100,CN-04018,Mubarak Engineering,"12,513.86",2026-06-04,Part-Delivered,Project A - Mall
QT-2026-0101,CN-01858,Salmi Engineering,"12,725.41",2026-06-08,Part-Delivered,Maintenance
QT-2026-0102,CN-03964,Falcon Real Estate,"4,531.62",2026-06-03,Confirmed Order,Warehouse
QT-2026-0103,CN-01346,Falcon Contracting Co,"1,376.63",2026-06-02,Part-Delivered,Tower - Sharq
QT-2026-0104,CN-01059,Gulf Real Estate,"6,055.65",2026-06-01,Part-Delivered,Warehouse
QT-2026-0105,CN-04148,Reliable Real Estate,"9,928.43",2026-06-05,Confirmed Order,
QT-2026-0106,CN-03323,Capital MEP Services,"13,612.53",2026-06-08,Part-Delivered,Maintenance
QT-2026-0107,CN-02010,Oasis Maintenance Co,"6,872.46",2026-06-14,Confirmed Order,Warehouse
QT-2026-0108,CN-00571,Desert Maintenance Co,"1,403.53",2026-06-10,Part-Delivered,Tower - Sharq
QT-2026-0109,CN-02757,Pearl Trading Est,"8,051.14",2026-06-08,Part-Delivered,Project A - Mall
QT-2026-0110,CN-00627,Desert Builders,"7,152.79",2026-06-02,Part-Delivered,Project A - Mall
QT-2026-0111,CN-04104,Sabah Real Estate,"2,959.33",2026-06-06,Confirmed Order,Warehouse
QT-2026-0112,CN-00859,Salmi MEP Services,"3,165.81",2026-06-10,Quotation,Villa - Salwa
QT-2026-0113,CN-03797,National Engineering,"8,277.66",2026-06-04,Part-Delivered,Warehouse
QT-2026-0114,CN-02845,Burgan Trading Est,"11,990.14",2026-06-06,Part-Delivered,Maintenance
QT-2026-0115,CN-01773,Oasis Workshop,"3,088.13",2026-06-11,Part-Delivered,Tower - Sharq
QT-2026-0116,CN-00317,Burgan Engineering,"4,720.67",2026-06-09,Quotation,Fit-out
QT-2026-0117,CN-03998,Prime Workshop,"7,711.67",2026-06-07,Quotation,Project A - Mall
QT-2026-0118,CN-02543,Oasis Engineering,"4,666.13",2026-06-05,Confirmed Order,Tower - Sharq
QT-2026-0119,CN-03779,Marina Interiors,145.58,2026-06-11,Part-Delivered,Fit-out
QT-2026-0120,CN-03654,Mubarak Trading Est,"12,576.51",2026-06-13,Part-Delivered,
QT-2026-0121,CN-00206,Modern Real Estate,"7,497.24",2026-06-02,Quotation,
QT-2026-0122,CN-03660,Mubarak Builders,"11,636.09",2026-06-07,Quotation,Fit-out
QT-2026-0123,CN-03287,Salmi Maintenance Co,"4,019.16",2026-06-06,Part-Delivered,Maintenance
QT-2026-0124,CN-00153,Burgan Maintenance Co,"1,115.52",2026-06-08,Quotation,Project A - Mall
QT-2026-0125,CN-03241,Kazma Contracting Co,220.73,2026-06-05,Quotation,Fit-out
QT-2026-0126,CN-02070,Gulf Builders,"3,146.17",2026-06-03,Part-Delivered,Project A - Mall
QT-2026-0127,CN-02333,Al Rai Builders,"7,634.37",2026-06-04,Quotation,Warehouse
QT-2026-0128,CN-02028,Desert MEP Services,"5,427.77",2026-06-07,Quotation,Project A - Mall
QT-2026-0129,CN-02032,National Interiors,"5,128.01",2026-06-12,Quotation,Fit-out
QT-2026-0130,CN-03634,Marina MEP Services,"9,532.32",2026-06-06,Confirmed Order,Villa - Salwa
QT-2026-0131,CN-00008,Burgan Maintenance Co,"12,075.46",2026-06-12,Confirmed Order,Villa - Salwa
QT-2026-0132,CN-00681,Gulf MEP Services,"13,890.95",2026-06-11,Quotation,Project A - Mall
QT-2026-0133,CN-01861,United Maintenance Co,224.73,2026-06-07,Quotation,Maintenance
QT-2026-0134,CN-00229,Gulf MEP Services,"12,590.89",2026-06-14,Confirmed Order,
QT-2026-0135,CN-03139,United Maintenance Co,"9,791.51",2026-06-13,Confirmed Order,Project A - Mall
QT-2026-0136,CN-03351,Reliable MEP Services,578.62,2026-06-08,Confirmed Order,Warehouse
QT-2026-0137,CN-03892,Pearl Real Estate,"11,566.60",2026-06-10,Part-Delivered,Project A - Mall
QT-2026-0138,CN-01743,Mubarak MEP Services,"12,324.99",2026-06-02,Confirmed Order,Tower - Sharq
QT-2026-0139,CN-00806,Al Rai Interiors,"2,433.82",2026-06-02,Confirmed Order,Tower - Sharq
QT-2026-0140,CN-03454,National MEP Services,"6,091.46",2026-06-08,Confirmed Order,Tower - Sharq
