Vendor Code,Supplier Name,Phone,Outstanding
V-0101,Oasis Supplies,26542686,25268.07
V-0102,United Industrial,28745391,21001.28
V-0103,Al Rai Supplies,23113618,16787.26
V-0104,United Supplies,26614963,1187.96
V-0105,Pearl Distribution,26211555,32263.99
V-0106,Capital Hardware Co,22363088,30408.90
V-0107,Kazma Imports,26833490,1652.49
V-0108,Modern Hardware Co,28795256,20164.92
V-0109,Fahad Distribution,29244480,24467.89
V-0110,Fahad Imports,23403517,23241.72
V-0111,Oasis Hardware Co,23757952,8142.93
V-0112,Salmi Supplies,26251645,40742.26
V-0113,Mubarak Supplies,22868868,5976.42
V-0114,Burgan Imports,27649909,29755.73
V-0115,Kazma Distribution,23798776,10872.05
V-0116,Modern Imports,28171886,5487.64
V-0117,Salmi Hardware Co,23892971,16619.25
V-0118,United Distribution,27719221,37874.89
V-0119,Oasis Distribution,22483390,5102.79
V-0120,Marina Industrial,29343356,7943.63
V-0121,Oasis Hardware Co,22620542,32031.17
V-0122,Reliable Distribution,25198984,18001.65
V-0123,Salmi Imports,29337000,513.99
V-0124,Pearl Imports,29405735,15037.99
V-0125,Marina Supplies,23884101,8222.51
V-0126,Desert Hardware Co,27077050,22062.38
V-0127,Kazma Imports,29419114,37350.72
V-0128,National Distribution,29515284,35522.72
V-0129,National Hardware Co,22498379,24447.86
V-0130,Oasis Imports,23735137,12904.08
V-0131,Gulf Distribution,22780644,23121.45
V-0132,Al Rai Supplies,23906875,40942.41
V-0133,Modern Distribution,28499943,38592.08
V-0134,Burgan Hardware Co,29297779,8150.65
V-0135,Falcon Distribution,23235067,11409.06
V-0136,Mubarak Distribution,24176262,38162.30
V-0137,Salmi Hardware Co,25389503,7005.70
V-0138,Burgan Distribution,26479207,11087.60
V-0139,Fahad Imports,27614585,40148.60
V-0140,Salmi Hardware Co,28018098,26440.79
V-0141,Sabah Supplies,24477383,32442.53
V-0142,Capital Distribution,22986435,21179.70
V-0143,Reliable Supplies,24722846,21392.37
V-0144,Gulf Distribution,25655166,82.44
V-0145,Gulf Hardware Co,28651888,16924.49
V-0146,Desert Industrial,27978374,37303.01
V-0147,Falcon Distribution,23265957,34445.80
V-0148,Marina Imports,29336504,16345.50
V-0149,Fahad Supplies,28089688,14478.02
V-0150,Desert Imports,25197891,33231.82
V-0151,Pearl Hardware Co,25396211,24798.51
V-0152,Reliable Distribution,26184551,5961.40
V-0153,Fahad Imports,25955221,22595.03
V-0154,Al Manar Hardware Co,26131791,35735.48
V-0155,Al Rai Imports,27441076,1481.68
V-0156,Falcon Hardware Co,27888752,1320.87
V-0157,Mubarak Distribution,23118059,40254.96
V-0158,Reliable Imports,22290709,21060.46
V-0159,Gulf Supplies,26164022,31745.32
V-0160,Mubarak Industrial,22525172,19292.96
V-0161,Sabah Supplies,27886589,41585.87
V-0162,Prime Imports,26282094,1522.44
V-0163,Desert Industrial,26272043,22506.65
V-0164,Mubarak Hardware Co,27852838,2673.26
V-0165,Sabah Supplies,27315699,35815.38
V-0166,Sabah Imports,22511122,11531.50
V-0167,Oasis Distribution,25385510,5228.91
V-0168,Pearl Industrial,29311652,19908.62
V-0169,Falcon Imports,25827427,10926.78
V-0170,Pearl Industrial,27024760,26185.34
V-0171,United Imports,24353037,6747.74
V-0172,Capital Hardware Co,25804874,3364.59
V-0173,Marina Industrial,29114104,33356.31
V-0174,Falcon Imports,25143353,28196.82
V-0175,United Industrial,27054763,21098.65
V-0176,Kazma Industrial,24181130,9497.52
V-0177,Capital Imports,29039912,1451.35
V-0178,Prime Hardware Co,25387755,41259.31
V-0179,Fahad Imports,28763407,7058.28
V-0180,Mubarak Imports,28106722,19651.00
