Cheque No,Account No,Customer,Bank,Amount,Cheque Date,Status
CHQ-800342,CN-01254,Desert Maintenance Co,Boubyan,"2,297.51",2026-10-23,On Hand
CHQ-633594,CN-02173,Desert Construction,Burgan Bank,"1,366.26",2026-09-21,On Hand
CHQ-340274,CN-03620,Oasis Builders,Boubyan,"5,827.41",2026-12-25,On Hand
CHQ-898036,CN-00080,United Trading Est,NBK,"5,545.40",2026-12-16,On Hand
CHQ-188720,CN-01426,Falcon Trading Est,Burgan Bank,"4,332.28",2026-07-21,Cleared
CHQ-595563,CN-00218,Desert Engineering,Burgan Bank,"3,321.17",2026-12-03,Deposited
CHQ-784443,CN-03088,Desert Interiors,KFH,"5,115.01",2026-09-22,Cleared
CHQ-843553,CN-04029,Capital Engineering,Burgan Bank,"1,436.26",2026-11-12,Cleared
CHQ-132444,CN-01251,Kazma Real Estate,Gulf Bank,626.83,2026-10-27,Cleared
CHQ-836828,CN-01913,Reliable MEP Services,KFH,419.65,2026-06-28,Deposited
CHQ-996735,CN-03123,Modern Interiors,Gulf Bank,"3,340.11",2026-06-15,Deposited
CHQ-164741,CN-02364,Al Rai Construction,Boubyan,"3,809.14",2026-06-03,On Hand
CHQ-161060,CN-02588,Salmi Trading Est,Warba,"7,902.70",2026-07-01,Cleared
CHQ-621881,CN-03196,Reliable Maintenance Co,Warba,"8,549.93",2026-10-23,Cleared
CHQ-318804,CN-01646,Prime Workshop,Warba,"8,085.06",2026-09-21,Cleared
CHQ-480720,CN-00216,Capital Contracting Co,Boubyan,"6,656.77",2026-08-27,Deposited
CHQ-301038,CN-02503,Sabah MEP Services,NBK,"2,600.39",2026-12-18,Cleared
CHQ-143892,CN-02018,Modern Trading Est,KFH,"4,341.70",2026-11-06,On Hand
CHQ-594234,CN-04077,Al Rai Contracting Co,Warba,627.04,2026-11-04,Deposited
CHQ-519470,CN-03986,Fahad Contracting Co,Warba,"8,668.94",2026-11-23,Cleared
CHQ-541425,CN-01252,Gulf Builders,Gulf Bank,579.01,2026-06-26,Deposited
CHQ-286739,CN-00111,Burgan Contracting Co,Warba,"2,203.04",2026-11-21,Cleared
CHQ-173585,CN-01407,Al Manar Trading Est,NBK,"3,762.64",2026-07-07,Deposited
CHQ-588254,CN-02382,Salmi Engineering,Boubyan,"6,625.64",2026-07-20,Cleared
CHQ-253075,CN-04120,Prime Engineering,KFH,"7,592.01",2026-06-16,Cleared
CHQ-707352,CN-03443,Al Rai Real Estate,Gulf Bank,"3,679.86",2026-11-19,Cleared
CHQ-495622,CN-00844,United Builders,KFH,"5,424.90",2026-10-23,Cleared
CHQ-683022,CN-02389,Capital Workshop,NBK,"4,551.82",2026-06-11,On Hand
CHQ-944446,CN-01056,Burgan Contracting Co,Warba,"1,243.87",2026-08-06,Deposited
CHQ-595136,CN-01981,United Maintenance Co,KFH,592.22,2026-08-03,Deposited
CHQ-497066,CN-03656,Falcon Interiors,NBK,"7,814.17",2026-12-01,On Hand
CHQ-246990,CN-01848,Capital Workshop,Burgan Bank,"8,085.53",2026-07-04,Deposited
CHQ-163836,CN-02681,Capital Interiors,KFH,"5,867.74",2026-08-03,Cleared
CHQ-201172,CN-03281,Oasis Trading Est,Boubyan,"3,172.45",2026-06-20,On Hand
CHQ-417343,CN-03160,Desert Workshop,NBK,341.93,2026-08-04,Cleared
CHQ-170985,CN-03687,Fahad Maintenance Co,KFH,"6,683.30",2026-11-02,Deposited
CHQ-361864,CN-03335,Oasis Builders,KFH,"2,874.84",2026-09-09,Deposited
CHQ-854654,CN-02323,Kazma Workshop,NBK,"4,924.80",2026-07-15,Deposited
CHQ-413750,CN-01523,United MEP Services,Burgan Bank,"7,617.53",2026-12-20,Cleared
CHQ-946977,CN-00819,Gulf Builders,Boubyan,870.52,2026-06-11,Cleared
CHQ-247265,CN-03728,Pearl Construction,Warba,"5,921.68",2026-08-06,Deposited
CHQ-802506,CN-00633,Al Rai Maintenance Co,Burgan Bank,"5,789.35",2026-12-07,Cleared
CHQ-921619,CN-01357,Kazma Builders,KFH,"5,095.22",2026-10-17,On Hand
CHQ-615637,CN-01677,Kazma Trading Est,NBK,"4,190.38",2026-12-03,Deposited
CHQ-391406,CN-01855,Al Manar Trading Est,KFH,"7,951.89",2026-10-13,On Hand
CHQ-793340,CN-02370,Reliable Construction,NBK,"8,299.12",2026-08-02,On Hand
CHQ-354252,CN-01240,Capital Engineering,Warba,"7,055.47",2026-07-04,Cleared
CHQ-236007,CN-02416,Gulf Builders,KFH,"1,821.19",2026-07-18,On Hand
CHQ-339913,CN-03243,Reliable MEP Services,KFH,"4,737.87",2026-09-26,Deposited
CHQ-463803,CN-01331,Mubarak Workshop,Warba,"6,634.38",2026-12-11,On Hand
CHQ-894859,CN-03394,Falcon Workshop,Gulf Bank,"5,909.58",2026-06-05,Deposited
CHQ-867732,CN-03902,Kazma Real Estate,Boubyan,"7,533.21",2026-08-03,On Hand
CHQ-965579,CN-02955,Modern Interiors,Boubyan,"6,253.96",2026-07-05,Deposited
CHQ-435310,CN-02935,Fahad Engineering,NBK,"8,453.07",2026-12-22,Deposited
CHQ-761323,CN-00529,Fahad Workshop,NBK,"3,807.13",2026-09-01,On Hand
CHQ-444503,CN-01594,Pearl Real Estate,NBK,"3,138.69",2026-10-22,Cleared
CHQ-938497,CN-01134,Al Rai Engineering,Gulf Bank,"5,016.59",2026-12-08,Deposited
CHQ-594885,CN-01111,Capital Maintenance Co,KFH,"1,938.13",2026-09-22,On Hand
CHQ-575219,CN-00381,Burgan Workshop,Burgan Bank,"2,322.04",2026-11-14,Cleared
CHQ-592317,CN-03060,Desert Real Estate,Burgan Bank,"7,777.82",2026-09-25,Cleared
CHQ-160858,CN-01715,Pearl Engineering,NBK,"5,472.15",2026-06-14,On Hand
CHQ-229385,CN-00156,Sabah Maintenance Co,KFH,"7,578.23",2026-07-13,Cleared
CHQ-746997,CN-03653,Prime Maintenance Co,Burgan Bank,"2,748.91",2026-12-12,Cleared
CHQ-248830,CN-02624,Al Rai Trading Est,NBK,"3,417.85",2026-06-27,Deposited
CHQ-841670,CN-01986,Mubarak Engineering,Burgan Bank,"3,548.25",2026-07-21,Deposited
CHQ-420252,CN-01622,Modern Engineering,Burgan Bank,"3,085.25",2026-07-07,Cleared
CHQ-900978,CN-00317,Burgan Engineering,Burgan Bank,"3,693.01",2026-12-26,Cleared
CHQ-170161,CN-02093,Burgan Interiors,NBK,"3,553.45",2026-11-15,Cleared
CHQ-334367,CN-01865,Modern Real Estate,Boubyan,"7,840.75",2026-09-03,Deposited
CHQ-855575,CN-03999,Capital Workshop,KFH,"1,892.78",2026-10-27,Deposited
CHQ-497609,CN-03386,Mubarak Trading Est,NBK,"5,550.41",2026-07-06,Deposited
CHQ-969733,CN-00182,Al Manar Interiors,Burgan Bank,"1,072.95",2026-10-07,On Hand
CHQ-511748,CN-02939,Salmi Interiors,Burgan Bank,"6,921.49",2026-07-16,Cleared
CHQ-696869,CN-01039,Fahad Trading Est,KFH,"4,784.66",2026-10-06,Cleared
CHQ-688925,CN-01393,Reliable Contracting Co,Boubyan,"3,167.73",2026-11-01,Deposited
CHQ-465476,CN-03202,Burgan Interiors,Gulf Bank,"1,420.84",2026-06-10,Deposited
CHQ-748378,CN-03701,Modern Workshop,KFH,"5,478.37",2026-09-04,Deposited
CHQ-747005,CN-02039,Gulf Construction,Burgan Bank,"4,727.02",2026-10-23,Deposited
CHQ-432116,CN-02637,National Engineering,Burgan Bank,"6,501.86",2026-06-17,Cleared
CHQ-243726,CN-01585,National Engineering,NBK,"5,980.92",2026-06-27,Cleared
CHQ-644518,CN-00765,Marina Maintenance Co,Burgan Bank,252.82,2026-11-04,Cleared
CHQ-495054,CN-00263,Burgan Workshop,NBK,"1,746.47",2026-12-06,Deposited
CHQ-277938,CN-02648,Burgan Engineering,Warba,"1,847.11",2026-12-07,On Hand
CHQ-344869,CN-03763,Oasis Interiors,Gulf Bank,"8,349.48",2026-12-28,Deposited
CHQ-995575,CN-03195,Sabah Contracting Co,Gulf Bank,"5,095.63",2026-06-03,On Hand
CHQ-567480,CN-01749,Fahad Construction,NBK,"4,978.39",2026-06-02,Cleared
CHQ-920593,CN-01603,Burgan Maintenance Co,Burgan Bank,"1,368.70",2026-12-18,On Hand
CHQ-918218,CN-03612,Marina Builders,Boubyan,480.74,2026-11-05,On Hand
CHQ-163762,CN-00784,Al Manar Construction,KFH,354.83,2026-10-25,Deposited
CHQ-201420,CN-00339,Mubarak Real Estate,KFH,"6,754.46",2026-09-08,Cleared
CHQ-407148,CN-01276,Sabah Construction,Warba,"8,426.37",2026-06-14,Cleared
CHQ-302863,CN-03917,Burgan MEP Services,KFH,"8,329.34",2026-12-26,Cleared
CHQ-263350,CN-02755,Fahad Interiors,Boubyan,"4,196.53",2026-06-19,Deposited
CHQ-166059,CN-03742,Salmi Contracting Co,Burgan Bank,"8,995.67",2026-07-16,Deposited
CHQ-274678,CN-01112,Capital Maintenance Co,Burgan Bank,"8,430.83",2026-11-26,Deposited
CHQ-980595,CN-02464,Marina Workshop,KFH,605.00,2026-06-08,Deposited
CHQ-295742,CN-02427,Capital Construction,Gulf Bank,"4,600.07",2026-12-07,Deposited
CHQ-980057,CN-01870,Marina Trading Est,NBK,"4,209.82",2026-12-11,Deposited
CHQ-160751,CN-03940,Reliable Real Estate,Gulf Bank,"1,398.13",2026-07-26,Cleared
CHQ-959592,CN-00676,Burgan Engineering,Burgan Bank,"7,392.48",2026-11-12,On Hand
CHQ-877264,CN-04002,Modern Construction,Burgan Bank,"2,810.20",2026-10-15,On Hand
CHQ-433180,CN-01457,United Contracting Co,Boubyan,"7,636.31",2026-06-21,On Hand
CHQ-809401,CN-00744,Sabah Engineering,NBK,"1,166.20",2026-08-13,Deposited
CHQ-472333,CN-00385,National Real Estate,Warba,"2,933.94",2026-12-14,On Hand
CHQ-357203,CN-01865,Modern Real Estate,Warba,"7,889.32",2026-08-07,On Hand
CHQ-234298,CN-03638,Marina Real Estate,Burgan Bank,"5,617.18",2026-11-12,Deposited
CHQ-445759,CN-00663,Oasis Interiors,Burgan Bank,"2,940.80",2026-06-15,Cleared
CHQ-921306,CN-02885,Oasis Interiors,KFH,"5,872.14",2026-07-22,Deposited
CHQ-911087,CN-04148,Reliable Real Estate,Gulf Bank,"1,001.09",2026-08-03,Deposited
CHQ-856397,CN-03229,Reliable Construction,Burgan Bank,"6,778.39",2026-12-09,Cleared
CHQ-277443,CN-00835,Falcon Real Estate,NBK,"2,933.28",2026-12-16,Deposited
CHQ-251184,CN-01725,Salmi Construction,Boubyan,"2,456.27",2026-07-18,Deposited
CHQ-581107,CN-03311,Falcon Workshop,NBK,"8,646.48",2026-06-05,Deposited
CHQ-387550,CN-01489,Reliable Contracting Co,Boubyan,"1,138.37",2026-11-12,On Hand
CHQ-104411,CN-01255,Oasis Construction,NBK,"1,424.88",2026-08-10,Deposited
CHQ-917687,CN-02803,Modern MEP Services,Burgan Bank,"2,291.40",2026-12-27,Cleared
CHQ-974247,CN-02147,Capital Trading Est,NBK,"3,629.86",2026-12-07,On Hand
CHQ-606319,CN-00005,Falcon Maintenance Co,NBK,"6,895.19",2026-06-15,On Hand
CHQ-771612,CN-00474,Capital Workshop,Boubyan,"6,492.26",2026-10-03,Deposited
CHQ-535591,CN-00577,Sabah Builders,Warba,"6,558.32",2026-06-03,Deposited
CHQ-447180,CN-04007,Marina MEP Services,NBK,"1,343.29",2026-07-27,On Hand
CHQ-643953,CN-03431,National Interiors,NBK,"1,833.46",2026-06-18,On Hand
CHQ-501089,CN-01037,Sabah Interiors,Boubyan,"2,256.84",2026-07-07,On Hand
CHQ-353000,CN-02977,Reliable Workshop,KFH,"3,448.34",2026-10-16,Cleared
CHQ-722844,CN-01062,Mubarak Workshop,Boubyan,"7,628.97",2026-06-07,Cleared
CHQ-591027,CN-02318,Gulf MEP Services,Warba,"8,220.17",2026-10-04,Cleared
CHQ-202749,CN-03003,Desert Builders,Gulf Bank,"3,014.01",2026-08-23,Deposited
CHQ-649472,CN-00679,Fahad Trading Est,Boubyan,"1,243.55",2026-07-24,Cleared
CHQ-339818,CN-03863,Al Rai Workshop,Gulf Bank,"7,821.66",2026-06-12,On Hand
CHQ-200001,CN-03167,Prime Builders,Gulf Bank,"6,251.08",2026-08-13,Cleared
CHQ-812907,CN-00520,Reliable Builders,KFH,"5,673.57",2026-09-09,On Hand
CHQ-546292,CN-02802,Kazma Maintenance Co,Warba,"8,784.58",2026-10-15,Deposited
CHQ-768658,CN-01001,Mubarak Interiors,KFH,"1,456.05",2026-12-10,Deposited
CHQ-986053,CN-01149,Reliable Builders,NBK,"7,360.32",2026-07-10,Cleared
CHQ-498544,CN-03412,Pearl Contracting Co,Boubyan,"5,558.13",2026-09-14,Cleared
CHQ-558484,CN-02529,Prime Engineering,Warba,"2,070.54",2026-10-25,Deposited
CHQ-436440,CN-01873,Burgan Contracting Co,Gulf Bank,"2,489.62",2026-08-16,On Hand
CHQ-919769,CN-04187,Burgan Interiors,Gulf Bank,"7,210.40",2026-09-04,On Hand
CHQ-320209,CN-00606,Falcon Engineering,NBK,"3,165.81",2026-10-09,Cleared
CHQ-419829,CN-00620,Desert Trading Est,Burgan Bank,"8,932.92",2026-11-24,On Hand
CHQ-391954,CN-00127,Desert Contracting Co,NBK,653.88,2026-10-17,On Hand
CHQ-197344,CN-01486,Desert Maintenance Co,Burgan Bank,"1,940.79",2026-07-13,Deposited
CHQ-445781,CN-01025,Marina MEP Services,Warba,"3,293.47",2026-12-10,On Hand
CHQ-127892,CN-03318,Kazma Engineering,NBK,"1,149.41",2026-10-04,On Hand
CHQ-333904,CN-01473,Marina Workshop,Boubyan,"4,796.32",2026-11-12,Deposited
CHQ-939208,CN-03158,Gulf Trading Est,Warba,"3,766.40",2026-12-24,Cleared
CHQ-443649,CN-03195,Sabah Contracting Co,Boubyan,"4,260.78",2026-12-05,Cleared
CHQ-690358,CN-01044,Sabah Construction,Boubyan,"7,350.35",2026-10-17,On Hand
CHQ-208195,CN-01766,Marina Engineering,Boubyan,339.71,2026-07-09,Deposited
CHQ-237502,CN-03046,Capital Workshop,NBK,"3,106.14",2026-08-02,On Hand
