Item Code,Description,Description (AR),Barcode,Category,UOM,Cost,Retail,Re-Order Qty,Notes,Mfr Part No,Brand
HW-100014,Ridgid Wire Brush 650W,,6435476024825,Wire Brushes,PCS,19.798,26.769,20,,RID-14507,Ridgid
HW-100015,Karcher Pop Rivet 18 Gauge,مسامير برشام 18 Gauge,6248488420545,Rivets,PCS,5.741,7.054,25,,KAR-80084,Karcher
HW-100016,Ridgid Copper Elbow 25kg,وصلات نحاس 25kg,6674928030793,Copper Fittings,pc,8.649,12.724,25,,RID-66474,Ridgid
HW-100017,Makita Grinding Disc 1200W,,6843767155636,Grinding  Discs.,PCS,5.768,7.474,25,Makita Grinding Discs - MAK-1056,,Makita
HW-100018, Al-Fanar Digging Spade 18 Gauge ,,6504026201265,Shovels & Spades,Nos,7.042,9.540,15,Al-Fanar Shovels & Spades - AL--72003,,Al-Fanar
HW-100019,Stanley Pu Foam Filler 10Kg,,6716015757253,Foam Fillers,PCS,129.692,172.242,10,Stanley Foam Fillers - STA-24657,STA-24657,Stanley
HW-100020,yato tool kit 12mm pieces,طقم عدة 12mm,6911180915378,Tool Sets,PCS,14.553,20.151,50,Yato Tool Sets - YAT-41655,YAT-41655,Yato
HW-100021,Hitachi Tape Measure 20 Gauge,أشرطة قياس 20 Gauge,6760596261323,Tape Measures,PCS,10.608,13.659,5,Hitachi Tape Measures - HIT-16960,HIT-16960,Hitachi
HW-100022,Makita Extension Cord 1kg,,6299852627397,Extension Cords,PCS,16.729,24.713,25,Makita Extension Cords - MAK-90925,MAK-90925,Makita
HW-100023,HILTI SPIRIT LEVEL XL,ميزان مياه XL,6986831695133,Spirit Levels,PCS,KD 0.351,0.424,5,Hilti Spirit Levels - HIL-28795,,Hilti
HW-100024,Hitachi Steel Chain 1/4 inch,,6288559562201,CHAINS,Nos,23.751,35.243,20,Hitachi Chains - HIT-60521,HIT-60521,Hitachi
HW-100025,Karcher PPR Pipe 3/8 inch,,6437076752786,PPR Pipes,PCS,18.438,26.322,5,,,Karcher
HW-100026,Tolsen Grinding Disc 50mm,أقراص جلخ 50mm,6756076935108,Grinding Discs,PCS,2.588,3.596,50,Tolsen Grinding Discs - TOL-68680,,Tolsen
HW-100027,"Ingco PVC Conduit Pipe 5kg,",مواسير كهرباء 5kg,6149109042502,Conduits,pc,KD 17.433,25.091,10,Ingco Conduits - ING-66353,,Ingco
HW-100028,Crown Plastic Water Tank 4L,خزانات مياه 4L,6356704480607,Water Tanks,pcs,11.058,14.585,10,,,Crown
HW-100029,Skil Sledge Hammer 20mm,مطارق 20mm,6461323048532,Hammers,PC,23.505,36.205,'10,,SKI-36435,Skil
HW-100030,DeWalt Welding Electrode Small,,6535197935655,Welding Rods,PCS,2.886,3.788,15,DeWalt Welding Rods - DEW-50461,,DeWalt
HW-100031,Yato  Platform Ladder 24 Gauge,سلالم منصة 24 Gauge,6912655235243,Platform Ladders,PCS,22.751,33.835,25,,YAT-52713,Yato
HW-100032,DeWalt Tool Kit 1 inch Pieces,طقم عدة 1 inch,6814859478120,Tool Sets,PCS,15.671,19.494,5,,DEW-48331,DeWalt
HW-100033,Stanley Platform Ladder 4L,سلالم منصة 4L,6240984729221,Platform Ladders,PCS,8.480,KD 12.793,20,,,Stanley
HW-100034,Truper Drawer Slide 2000W,تجهيزات خزائن 2000W,6128362582543,Cabinet  Fittings,PCS,14.072,KWD 19.842,10,Truper Cabinet Fittings - TRU-56876,TRU-56876,Truper
HW-100035,DeWalt Ball Valve XL,,6198453442223,Valves,PCS,18.321,23.023,25,DeWalt Valves - DEW-23062,DEW-23062,DeWalt
HW-100036,Hilti Spring Washer 20 Gauge,,6975444835697,Washers,PCS,86.407,130.617,15,Hilti Washers - HIL-36543,HIL-36543,Hilti
HW-100037,Total Long Nose Pliers Small,زرادية Small,6907114024342,Pliers,pc,20.633,KD 28.439,50,Total Pliers - TOT-33039,TOT-33039,Total
HW-100038,  Metabo Flexible Wire Small,كابلات وأسلاك Small,6471669019459,Cables & Wires,pc,4.218,KWD 5.281,'15,Metabo Cables & Wires - MET-73787,MET-73787,Metabo
HW-100039,Black+Decker Dust Mask Respirator 9L,,6845691054669,Respirators,PCS,7.544,9.833,50,Black+Decker Respirators - BLA-55549,,Black+Decker
HW-100040,Ingco Step Stool 16 Gauge,,6821216690944,Step Stools,pcs,22.335,28.834,20,Ingco Step Stools - ING-83875,ING-83875,Ingco
HW-100041,Gulf Star Cold Chisel 3/4 inch,إزميل 3/4 inch,6357926946515,Chisels,Pieces,22.920,28.694,50,Gulf Star Chisels - GUL-80773,GUL-80773,Gulf Star
HW-100042,BLACK+DECKER PADLOCK 22 GAUGE,أقفال 22 Gauge,6709381958262,Locks & Padlocks,Pieces,14.678,18.017,10,Black+Decker Locks & Padlocks - BLA-92133,BLA-92133,Black+Decker
HW-100043,BOSCH SPIRIT LEVEL 1 INCH,ميزان مياه 1 inch,6547949502817,Spirit Levels,PCS,13.732,17.926,5,Bosch Spirit Levels - BOS-21747,,Bosch
HW-100044,Crown Step Stool 25kg,مقاعد درج 25kg,6152157654314,Step Stools,PCS,25.736,38.473,15,Crown Step Stools - CRO-93729,CRO-93729,Crown
HW-100045,Stanley Wall Primer 1/2 inch,برايمر 1/2 inch,6716043047431,Primers,PCS,6.263,7.663,15,Stanley Primers - STA-98700,STA-98700,Stanley
HW-100046, Tolsen Laser Level 9L ,ميزان ليزر 9L,6550299440757,Laser Levels,PCS,18.676,22.999,25,Tolsen Laser Levels - TOL-89816,TOL-89816,Tolsen
HW-100047,INGCO SANDPAPER SHEET 25KG,ورق صنفرة 25kg,6460002983074,Sandpaper,PCS,13.738,20.522,15,Ingco Sandpaper - ING-73108,ING-73108,Ingco
HW-100048,Ingco Step Stool 16 Gauge,,6333627226614,Step Stools,PCS,KWD 19.187,25.793,5,Ingco Step Stools - ING-60263,ING-60263,Ingco
HW-100049,Truper Welding Gloves 18L,ملحقات لحام 18L,6995158707017,Welding Accessories,PCS,15.410,20.121,25,,TRU-20509,Truper
HW-100050,Makita Kitchen Mixer 4L,,6760596261323,Taps & Mixers.,PCS,16.432,20.260,20,Makita Taps & Mixers - MAK-17394,MAK-17394,Makita
HW-100051,Hitachi Vernier Caliper 900W,فرجار قياس 900W,6440306065469,Calipers,PCS,14.265,19.722,25,Hitachi Calipers - HIT-97146,HIT-97146,Hitachi
HW-100052,Al-Fanar Cutting Disc Medium  ,أقراص قطع Medium,6112991848272,Cutting Discs,PCS,1.087,1.395,5,Al-Fanar Cutting Discs - AL--95268,AL--95268,Al-Fanar
HW-100053,Ridgid Galvanized Metal Sheet 16 Gauge,صفائح معدنية 16 Gauge,6919848577786,Metal Sheets,PCS,24.916,34.061,20,Ridgid Metal Sheets - RID-3250,,Ridgid
HW-100054,Sata Aluminium Ladder 1kg,سلالم ألمنيوم 1kg,6255070930827,Aluminium Ladders,PCS,13.544,16.049,15,Sata Aluminium Ladders - SAT-40038,SAT-40038,Sata
HW-100055,Bosch Expansion Anchor 6mm,مثبتات جدارية 6mm,6752563445269,Anchors & Plugs,Pieces,1.405,2.006,'5,Bosch Anchors & Plugs - BOS-70768,BOS-70768,Bosch
HW-100056,DeWalt Screwdriver Set 1/2 inch.,مفكات 1/2 inch,6931859026122,Screwdrivers,PCS,0.189,0.254,50,DeWalt Screwdrivers - DEW-12021,DEW-12021,DeWalt
HW-100057,Makita LED Bulb 5kg,,6820462467194,Lighting,PCS,3.516,4.875,10,Makita Lighting - MAK-6735,MAK-6735,Makita
HW-100058, Metabo Steel Toe Safety Boots 450W ,أحذية سلامة 450W,6308182279383,safety boots,PCS,13.740,18.585,50,,MET-82798,Metabo
HW-100059,metabo hi-vis safety vest 3/8 inch,سترات عاكسة 3/8 inch,6556786733097,High Visibility Vests,PCS,157.656,KD 208.336,50,Metabo High Visibility Vests - MET-89181,MET-89181,Metabo
HW-100060,ingco gate valve 1 inch,,6742466020885,Valves,PCS,KWD 22.746,32.095,10,Ingco Valves - ING-77459,,Ingco
HW-100061,Black+Decker Garden Cart 1/2 inch,عربات حديقة 1/2 inch,6493835673187,Wheelbarrows & Carts,PCS,24.365,31.527,20,Black+Decker Wheelbarrows & Carts - BLA-43314,BLA-43314,Black+Decker
HW-100062,Black+Decker Vernier Caliper 1kg,فرجار قياس 1kg,6678761750800,Calipers,Pieces,6.681,7.975,50,,BLA-64390,Black+Decker
HW-100063,Bosch Work Gloves 2000W,قفازات 2000W,6681449519483,GLOVES,PCS,1.685,2.155,5,Bosch Gloves - BOS-23245,BOS-23245,Bosch
HW-100064, Ridgid Vernier Caliper 10mm ,,6577063017080,"Calipers,",PCS,13.086,16.833,25,Ridgid Calipers - RID-83017,RID-83017,Ridgid
HW-100065,Metabo Inverter Generator 18 Gauge,مولدات كهرباء 18 Gauge,6973930446333,Generators,Pieces,7.252,8.828,5,,MET-64760,Metabo
HW-100066,Crown Copper Tee 750W,وصلات نحاس 750W,6550299440757,Copper Fittings,PCS,18.758,27.246,20,Crown Copper Fittings - CRO-45890,,Crown
HW-100067,Crown Spring Washer 6mm,حلقات 6mm,6631075144965,washers,PCS,21.343,32.317,5,,CRO-8816,Crown
HW-100068,TOTAL LASER LEVEL XL,ميزان ليزر XL,6321013202760,Laser Levels,PCS,17.732,26.194,10,Total Laser Levels - TOT-53968,TOT-53968,Total
HW-100069,Gulf Star Hand Saw 18 Gauge,,6261614589462,Hand Saws,PCS,16.186,KD 20.211,'5,Gulf Star Hand Saws - GUL-96091,,Gulf Star
HW-100070,DeWalt Pruning Shears 20 Gauge,مقصات تقليم 20 Gauge,6414788885113,  Pruning Shears,PCS,1.178,KWD 1.630,15,,DEW-58981,DeWalt
HW-100071,Total Hacksaw 20 Gauge,مناشير يدوية 20 Gauge,6504026201265,Hand Saws,PCS,KWD 7.793,11.807,5,,TOT-92387,Total
HW-100072,Yato Rubber Mallet Large,,6123597354081,Hammers,PCS,32.286,48.532,50,Yato Hammers - YAT-79456,YAT-79456,Yato
HW-100073,Hitachi Laser Level 1200W,,6335481733346,Laser Levels.,PCS,12.811,15.276,25,,HIT-54815,Hitachi
HW-100074,Stanley Step Stool 16 Gauge,مقاعد درج 16 Gauge,6375934153894, Step Stools ,Nos,13.395,19.499,10,Stanley Step Stools - STA-8069,STA-8069,Stanley
HW-100075,Ridgid Door Hinge Small,مفصلات أبواب Small,6735822256418,Door Hinges,PCS,227.957,326.105,50,Ridgid Door Hinges - RID-48588,RID-48588,Ridgid
HW-100076,Sata Wall Primer 10kg,برايمر 10kg,6497593287228,Primers,PCS,8.296,KWD 10.112,5,,SAT-45453,Sata
HW-100077,DeWalt Hand Saw 1 inch,مناشير يدوية 1 inch,6211054165802,Hand Saws,PCS,KD 13.644,16.130,5,DeWalt Hand Saws - DEW-9553,,DeWalt
HW-100078,Al-Fanar Safety Goggles 18 Gauge,نظارات واقية 18 Gauge,6864785345156,Eye Protection  ,PCS,9.374,KD 11.856,5,Al-Fanar Eye Protection - AL--12408,AL--12408,Al-Fanar
HW-100079,Ingco PU Foam Filler 4L,رغوة عازلة 4L,6318450892831,Foam Fillers,PCS,8.368,10.970,20,Ingco Foam Fillers - ING-6809,ING-6809,Ingco
HW-100080,Metabo Tile Adhesive Bag Large,لاصق بلاط Large,6748625443873,Tiles Adhesive,PCS,9.963,15.138,50,Metabo Tiles Adhesive - MET-65737,MET-65737,Metabo
HW-100081,Al-Fanar Extension Cord 5kg,وصلات كهرباء 5kg,6145252918558,Extension Cords,PCS,16.980,25.421,5,Al-Fanar Extension Cords - AL--11620,AL--11620,Al-Fanar
HW-100082,Metabo Safety Helmet 22 Gauge,خوذات 22 Gauge,6201739117186,Helmets,PCS,16.315,21.772,10,,MET-51586,Metabo
HW-100083,Truper Grinding Disc XL,أقراص جلخ XL,6241184141574,Grinding Discs,PCS,KD 9.267,11.750,20,Truper Grinding Discs - TRU-63709,TRU-63709,Truper
HW-100084,Karcher Flat Screwdriver 3/4 Inch,مفكات 3/4 inch,6712544417738,Screwdrivers,PCS,19.207,29.179,50,,KAR-11650,Karcher
HW-100085,Metabo Door Hinge XL,,6261264494174,Door Hinges,PCS,4.995,7.237,20,Metabo Door Hinges - MET-63092,,Metabo
HW-100086,Tolsen Ball Valve Small,صمامات Small,6215619759542,Valves,PCS,21.198,KWD 26.163,10,Tolsen Valves - TOL-91881,,Tolsen
HW-100087,Yato Safety Goggles XL,نظارات واقية XL,6407820302756,Eye Protection,PCS,1.012,1.502,15,Yato Eye Protection - YAT-66352,YAT-66352,Yato
HW-100088,Yato Door Handle 22 Gauge,,6137381761210,Door Handles,PCS,11.418,15.801,10,,YAT-65970,Yato
HW-100089,Crown Step Stool XL,,6216257419754,step stools,PCS,KD 19.259,27.737,'20,Crown Step Stools - CRO-7213,,Crown
HW-100090,Sata Wall Primer 1/4 inch,برايمر 1/4 inch,6896081800376,  Primers,PCS,1.439,1.765,50,Sata Primers - SAT-53780,SAT-53780,Sata
HW-100091,Hitachi Adjustable Wrench 450W,مفاتيح ربط 450W,6551032476771,Wrenches,PCS,1.532,2.183,20,Hitachi Wrenches - HIT-22830,HIT-22830,Hitachi
HW-100092,Makita MIG Welder 9L.,,6463558984225,Welding Machines,PC,5.320,KD 6.328,25,Makita Welding Machines - MAK-71390,MAK-71390,Makita
HW-100093,Black+Decker Tool Kit Large Pieces,طقم عدة Large,6236437494841,Tool Sets,PCS,7.479,10.473,50,,BLA-80486,Black+Decker
HW-100094,Tolsen Thermal Insulation Sheet 20 Gauge,,6233664987621,Insulation,PCS,12.139,KWD 17.522,25,Tolsen Insulation - TOL-60050,TOL-60050,Tolsen
HW-100095,Tolsen Construction Adhesive 4L,لاصق إنشائي 4L,6782088851174,Construction Adhesive,PCS,2.754,3.341,50,,TOL-96654,Tolsen
HW-100096,Gulf Star Spirit Level Medium,ميزان مياه Medium,6663544002239,Spirit Levels,PCS,3.722,4.488,25,,,Gulf Star
HW-100097,Metabo Flat Washer 18 Gauge,حلقات 18 Gauge,6970658939643,Washers,pc,5.920,8.976,15,,MET-17892,Metabo
HW-100098,Hilti Garden Hose 450W,خراطيم ورشاشات 450W,6919211432656,Hoses & Sprinklers,PCS,3.730,5.378,10,Hilti Hoses & Sprinklers - HIL-89374,,Hilti
HW-100099,"Ingco Paint Thinner 50kg,",تنر 50kg,6725474875989,Thinners,PC,13.115,16.244,20,,,Ingco
HW-100100,HITACHI DOOR HINGE MEDIUM,,6901375543436,Door Hinges,PCS,14.394,18.749,10,Hitachi Door Hinges - HIT-23827,HIT-23827,Hitachi
HW-100101,Crown PVC Conduit Pipe 1L,,6825751206652,Conduits,Pieces,11.618,17.880,20,,CRO-16317,Crown
HW-100102,Ridgid Wood Router 1/4 inch,مسويات وروترات 1/4 inch,6472474492710,"PLANERS & ROUTERS,",pcs,3.131,4.489,20,Ridgid Planers & Routers - RID-57591,RID-57591,Ridgid
HW-100103,Gulf Star Work Gloves 1L,قفازات 1L,6491607794379,Gloves,PCS,1.733,2.402,5,Gulf Star Gloves - GUL-4674,GUL-4674,Gulf Star
HW-100104,Metabo Epoxy Adhesive 9L,إيبوكسي 9L,6486951962412,Epoxy,pcs,3.856,5.204,25,Metabo Epoxy - MET-94660,,Metabo
HW-100105,TOTAL SAFETY GOGGLES 1200W,نظارات واقية 1200W,6926393872368,Eye Protection,PCS,KWD 11.219,15.289,50,Total Eye Protection - TOT-41601,TOT-41601,Total
HW-100106,Total Flood Light 22 Gauge,إنارة 22 Gauge,6779840217200,Lighting,PCS,2.577,KD 3.467,25,Total Lighting - TOT-29154,TOT-29154,Total
HW-100107,Sata Inverter Generator 3/4 inch,,6265480476958,Generators,pc,11.487,15.846,20,Sata Generators - SAT-20540,,Sata
HW-100108,Ridgid Aluminium Ladder 20 Gauge,سلالم ألمنيوم 20 Gauge,6126687365486,Aluminium Ladders,PCS,15.687,23.028,10,Ridgid Aluminium Ladders - RID-52973,RID-52973,Ridgid
HW-100109,Tolsen Machine Screw XL,براغي آلات XL,6286938931948,Machine Screws,PCS,12.725,18.448,20,,,Tolsen
HW-100110,Crown Welding Electrode 25mm,أسياخ لحام 25mm,6921568248894,Welding Rods,PC,24.567,KD 37.027,10,,CRO-32125,Crown
HW-100111,Metabo Cordless Drill 3/8 inch,مثاقب 3/8 inch,6693182859469,Drills & Drivers,PCS,18.974,KWD 26.024,50,Metabo Drills & Drivers - MET-68401,MET-68401,Metabo
HW-100112,Stanley Self Tapping Screw 1L,براغي ذاتية التنصيت 1L,6589835716944,"Self Tapping Screws,",PCS,23.953,37.046,20,,STA-94053,Stanley
HW-100113,Skil Paint Thinner 25kg,تنر 25kg,6720331713308,Thinners,PCS,9.569,11.904,50,Skil Thinners - SKI-60368,SKI-60368,Skil
HW-100114,Hilti Inverter Generator 20L,مولدات كهرباء 20L,6778698380510,Generators,PCS,22.941,29.323,10,Hilti Generators - HIL-59162,,Hilti
HW-100115,Ingco Wall Primer 18L,برايمر 18L,6343514953603,"Primers,",PCS,24.655,KWD 33.405,20,,ING-53924,Ingco
HW-100116,Skil Combination Wrench Large,مفاتيح ربط Large,6236827288199,"Wrenches,",PCS,KD 19.332,23.932,25,Skil Wrenches - SKI-57703,SKI-57703,Skil
HW-100117,Stanley Tape Measure 18 Gauge,أشرطة قياس 18 Gauge,6318867376419,TAPE MEASURES,pcs,18.857,22.929,20,Stanley Tape Measures - STA-89618,STA-89618,Stanley
HW-100118,Al-Fanar Steel Toe Safety Boots 3/4 inch,أحذية سلامة 3/4 inch,6851361779954,Safety Boots,Pieces,9.331,12.433,5,,AL--53446,Al-Fanar
HW-100119,Ingco Machine Screw Small,,6728195589596,Machine Screws,PC,14.632,17.541,25,,ING-72728,Ingco
HW-100120,Makita Paint Thinner 10kg,تنر 10kg,6874427073112,Thinners,PC,2.369,3.087,'50,Makita Thinners - MAK-65532,MAK-65532,Makita
HW-100121,Sata Wire Brush 12mm,فرش سلك 12mm,6649396654571,WIRE BRUSHES,PCS,KWD 22.012,32.978,15,Sata Wire Brushes - SAT-89453,SAT-89453,Sata
HW-100122,Gulf Star Spray Paint Can XL,بخاخ دهان XL,6893006791374,Spray Paint,PCS,KWD 15.827,22.054,50,Gulf Star Spray Paint - GUL-99974,GUL-99974,Gulf Star
HW-100123,Ingco Garden Shovel 750W,مجارف 750W,6991730326883,Shovels & Spades,Pieces,22.919,28.965,25,Ingco Shovels & Spades - ING-70921,ING-70921,Ingco
HW-100124,DeWalt Thermal Insulation Sheet 900W,عزل 900W,6533046493931,Insulation,PC,0.854,1.036,10,DeWalt Insulation - DEW-96559,DEW-96559,DeWalt
HW-100125,hitachi door handle 10kg,مقابض أبواب 10kg,6963238925046,Door Handles,PCS,19.684,25.991,20,Hitachi Door Handles - HIT-62127,HIT-62127,Hitachi
HW-100126,Tolsen Kitchen Mixer 24 Gauge,حنفيات وخلاطات 24 Gauge,6241268077724,Taps & Mixers,PC,15.187,22.881,50,Tolsen Taps & Mixers - TOL-40888,TOL-40888,Tolsen
HW-100127,CROWN EXPANSION ANCHOR 1/4 INCH,مثبتات جدارية 1/4 inch,6760596261323,Anchors & Plugs,PCS,8.060,10.374,25,,CRO-85322,Crown
HW-100128,Yato Pop Rivet 16 Gauge,,6266665946003,Rivets,PCS,8.132,11.234,20,,,Yato
HW-100129,Truper Vernier Caliper Small,فرجار قياس Small,6179631738135,Calipers,PCS,18.414,23.651,50,Truper Calipers - TRU-71225,TRU-71225,Truper
HW-100130,Skil Electrical Cable Small,,6260720602421,"Cables & Wires,",PCS,18.754,27.798,20,,,Skil
HW-100131,Hilti Step Stool XL,مقاعد درج XL,6387638971934,Step Stools,PCS,145.328,222.195,10,,,Hilti
HW-100132,Sata Phillips Screwdriver 1kg,مفكات 1kg,6133151989273,Screwdrivers,PCS,24.850,35.873,15,Sata Screwdrivers - SAT-89801,SAT-89801,Sata
HW-100133,Tolsen Pop Rivet 2000W,مسامير برشام 2000W,6849157703202,Rivets,PCS,12.946,15.402,5,,TOL-4538,Tolsen
HW-100134,Hitachi Safety Goggles 20L,نظارات واقية 20L,6703910025030,Eye Protection,PCS,24.508,KWD 32.996,20,,HIT-69349,Hitachi
HW-100135,BOSCH COLD CHISEL 450W,,6438193706159,Chisels,PCS,KD 9.066,13.637,5,Bosch Chisels - BOS-40200,BOS-40200,Bosch
HW-100136,Yato Grinding Disc 20L,,6953289332987,Grinding Discs,Nos,KWD 21.157,26.454,5,,YAT-75241,Yato
HW-100137,Crown Enamel Paint 5kg,دهان زيتي 5kg,6848366751208,Enamel Paint,PC,21.569,KD 30.835,50,Crown Enamel Paint - CRO-9264,,Crown
HW-100138,Ingco Scaffolding Frame 1 inch,سقالات 1 inch,6953366781273,Scaffolding,PCS,16.973,22.006,15,Ingco Scaffolding - ING-3418,ING-3418,Ingco
HW-100139,Black+Decker Tile Adhesive Bag Small,لاصق بلاط Small,6626363905736,Tiles Adhesive,Pieces,24.901,33.002,20,,BLA-4537,Black+Decker
HW-100140,Hitachi PVC Pipe 24 Gauge.,مواسير بي في سي 24 Gauge,6420696253693,PVC Pipes,pcs,5.459,7.307,10,,HIT-5165,Hitachi
HW-100141,Gulf Star Enamel Paint 1200W,دهان زيتي 1200W,6800256734174,Enamel Paint.,PCS,8.429,12.651,15,,GUL-76381,Gulf Star
HW-100142,Yato Wood Screw 25mm,,6259754566704,Wood Screws,PCS,0.401,0.544,20,Yato Wood Screws - YAT-64344,YAT-64344,Yato
HW-100143,DeWalt Flexible Wire 1kg,,6425621091712,Cables & Wires,PCS,23.382,30.919,'25,,DEW-26078,DeWalt
HW-100144,Ingco Cement Bag 1/2 inch,أسمنت وملاط 1/2 inch,6747054842455,Cement & Mortar,PCS,9.971,14.875,20,Ingco Cement & Mortar - ING-61091,ING-61091,Ingco
HW-100145, Crown Welding Electrode 22 Gauge ,أسياخ لحام 22 Gauge,6765307896834,Welding Rods,PCS,22.533,30.156,15,Crown Welding Rods - CRO-48913,,Crown
HW-100146,DeWalt Electrical Cable 16 Gauge,كابلات وأسلاك 16 Gauge,6495809480974,Cables & Wires,Pieces,24.587,34.572,10,DeWalt Cables & Wires - DEW-32230,DEW-32230,DeWalt
HW-100147,Truper Steel Toe Safety Boots 1200W.,أحذية سلامة 1200W,6636514270418,Safety Boots.,PCS,KD 9.813,14.634,5,Truper Safety Boots - TRU-12292,TRU-12292,Truper
HW-100148,Karcher Vernier Caliper 750W,فرجار قياس 750W,6736783291924,Calipers,Nos,8.130,9.824,20,Karcher Calipers - KAR-27606,,Karcher
HW-100149,Makita Hacksaw 20Mm,مناشير يدوية 20mm,6826290262251,Hand Saws,Nos,17.605,22.530,50,,MAK-7062,Makita
HW-100150,Tolsen Pruning Shears Medium,مقصات تقليم Medium,6396826505444,Pruning Shears,PCS,21.780,27.551,25,Tolsen Pruning Shears - TOL-6697,TOL-6697,Tolsen
HW-100151,Makita Super Glue 18L,,6156147429842,Super Glue,PCS,23.511,28.189,5,Makita Super Glue - MAK-92516,MAK-92516,Makita
HW-100152,Al-Fanar Paint Thinner 16mm  ,تنر 16mm,6343515830684,Thinners,PCS,11.718,17.173,5,Al-Fanar Thinners - AL--55969,AL--55969,Al-Fanar
HW-100153,Tolsen Laser Level 18 Gauge,ميزان ليزر 18 Gauge,6808934119690,Laser Levels  ,PCS,22.640,31.396,25,Tolsen Laser Levels - TOL-87215,,Tolsen
HW-100154,Sata Self Tapping Screw 50mm,,6200906402803,self tapping screws,pc,22.294,26.522,10,Sata Self Tapping Screws - SAT-84438,,Sata
HW-100155,Gulf Star Wheelbarrow 650W,عربات يدوية 650W,6998116992558,Wheelbarrows,PCS,10.719,15.689,50,Gulf Star Wheelbarrows - GUL-62399,,Gulf Star
HW-100156,hilti machine screw 18 gauge,براغي آلات 18 Gauge,6280775355631,Machine Screws,Pieces,KD 3.045,4.451,10,,,Hilti
HW-100157,Sata Garden Shovel XL,مجارف XL,6249828857914,Shovels & Spades,Nos,16.051,24.678,'25,Sata Shovels & Spades - SAT-14545,SAT-14545,Sata
HW-100158,Al-Fanar PPR Pipe 750W,مواسير بي بي آر 750W,6376847330142, PPR Pipes ,PCS,6.140,7.861,5,Al-Fanar PPR Pipes - AL--41608,AL--41608,Al-Fanar
HW-100159,Truper Flat Screwdriver 5kg,مفكات 5kg,6420441403666,Screwdrivers,PCS,17.030,24.791,10,Truper Screwdrivers - TRU-99297,,Truper
HW-100160,Sata Work Gloves 1500W,قفازات 1500W,6430047539108,"Gloves,",PCS,13.668,16.416,20,Sata Gloves - SAT-20545,SAT-20545,Sata
HW-100161,Sata Wood Screw 50Kg,,6534093868013,Wood Screws,PCS,13.600,16.278,5,,SAT-89551,Sata
HW-100162,Bosch Extension Cord 650W,وصلات كهرباء 650W,6786464188983,Extension Cords,Nos,7.754,11.817,20,Bosch Extension Cords - BOS-1053,BOS-1053,Bosch
HW-100163,Karcher Garden Cart 4L,عربات حديقة 4L,6368422423203,Wheelbarrows & Carts,PCS,0.808,0.988,50,Karcher Wheelbarrows & Carts - KAR-39090,KAR-39090,Karcher
HW-100164,Hilti Cement Bag 10mm,,6406070883278,Cement & Mortar,Pieces,6.448,9.824,20,Hilti Cement & Mortar - HIL-66228,HIL-66228,Hilti
HW-100165, Stanley Plastic Water Tank XL ,خزانات مياه XL,6787225660244,WATER TANKS,PCS,19.278,24.677,10,Stanley Water Tanks - STA-95077,STA-95077,Stanley
