Code,Name,Name (Arabic),Phone,Email,Payment Terms (Days),Opening Balance,Notes
SUP-1069,Salem Trading Trading Est. 2,,+965 82045350,salem.trading69@example.com.kw,30,7523.990,"blocked account, Fahaheel"
SUP-1070,Al-Khaled General Trading Co. W.L.L. 2,,+965 52386669,alkhaled70@example.com.kw,60,6566.294,
SUP-1071,Desert Star Hardware Trading Co. 2,,+965 96718150,,45,4879.683,
SUP-1072,al-anjari est. 2,,+965 87170140,alanjari72@example.com.kw,90,4999.555,
SUP-1073, Gulf Ironmongery Trading Est. 2 ,,+965 97968029,gulf.ironmongery73@example.com.kw,90,7910.196,
SUP-1074,Al-Nasser W.L.L. 2,,+965 84965514,alnasser74@example.com.kw,60,KD 0.000,"active account, Shuwaikh"
SUP-1075,bin nakhi general trading co. w.l.l. 2,,+965 62823210,bin.nakhi75@example.com.kw,45,1267.775,
SUP-1076,Al-Enezi W.L.L. 2,,+965 96660342,alenezi76@example.com.kw,30,5909.195,"active account, Farwaniya"
SUP-1077,Kuwait Adhesives General Trading Co. W.L.L. 2,,+965 54489865,kuwait.adhesives77@example.com.kw,45,0.000,
SUP-1078,Al-Osaimi General Trading Co. W.L.L. 2,,+965 85347273,alosaimi78@example.com.kw,45,"6,481.923","active account, Kuwait City"
SUP-1079,First Gulf Tools Trading Co. 2,,+965 98981692,first.gulf.tools79@example.com.kw,45,0.000,"active account, Rai"
SUP-9458,Sultan Center Trading Co.,,+965 83438802,dup6166@example.com.kw,45,KD 0.000,"active account, Ardiya"
SUP-9794,Al-Bahar W.L.L.,,+965 90830877,dup4395@example.com.kw,90,0.000,"active account, Shuwaikh"
