saleRef,saleDate,customer,branch,warehouse,item,unit,qty,unitPrice,discount,payment,dueDate,statedTotal,notes
SLS-90811,2025-12-16,Ahmadi Villa Care  Est. 2,Ardiya Warehouse,Ardiya Warehouse,Karcher Thermal Insulation Sheet 4L,PCS,2,0.908,,cash,,,
SLS-90812,2025-10-30,New Kuwait Contracting 10,Rai Branch,Rai Branch,Truper Steel Chain Medium,PCS,2,35.386,,cash,,246.680,
SLS-90812,2025-10-30,New Kuwait Contracting 10,Rai Branch,Rai Branch,  Crown Aluminium Ladder 24 Gauge,PCS,6,KWD 29.318,,cash,,,Migrated from legacy system
SLS-90813,2026-01-25,Al-Enezi General Maintenance 3,Shuwaikh Main,Shuwaikh Main,Ingco Spray Paint Can XL,PCS,3,4.511,0.211,credit,2026-02-24,145.646,Migrated from legacy system
SLS-90813,2026-01-25,Al-Enezi General Maintenance 3,Shuwaikh Main,Shuwaikh Main,Gulf Star Spray Paint Can XL,PCS,6,22.054,,credit,2026-02-24,,
SLS-90814,2026-01-19,Al-Khaled General Trading 2,Ardiya Warehouse,Ardiya Warehouse,Sata Paint Thinner 1500W,PCS,1,25.000,,bank_transfer,,101.379,
SLS-90814,2026-01-19,Al-Khaled General Trading 2,Ardiya Warehouse,Ardiya Warehouse,Black+Decker MCB Circuit Breaker 20L,PC,3,16.072,,bank_transfer,,,
SLS-90814,2026-01-19,Al-Khaled General Trading 2,Ardiya Warehouse,Ardiya Warehouse,DeWalt Padlock 1/4 inch,PCS,1,28.163,,bank_transfer,,,
SLS-90815,2025-11-08,Al-Zamil Villas 11,Fahaheel Branch,Fahaheel Branch,Tolsen MIG Welder Large,PCS,7,30.696,2.768,credit,2025-12-23,498.103,Migrated from legacy system
SLS-90815,2025-11-08,Al-Zamil Villas 11,Fahaheel Branch,Fahaheel Branch,Sata Galvanized Metal Sheet 18 Gauge,PCS,3,20.065,0.976,credit,2025-12-23,,
SLS-90815,2025-11-08,Al-Zamil Villas 11,Fahaheel Branch,Fahaheel Branch,black+decker plastic water tank medium,pcs,10,KWD 22.678,,credit,2025-12-23,,Migrated from legacy system
SLS-90816,2026-03-19,Hawally Repair Shop 5,Rai Branch,Rai Branch,Stanley Plastic Water Tank XL,PCS,9,24.677,,bank_transfer,,493.088,
SLS-90816,2026-03-19,Hawally Repair Shop 5,Rai Branch,Rai Branch,Sata  Welding Mask 20L,PCS,10,24.875,,bank_transfer,,,Migrated from legacy system
SLS-90816,2026-03-19,Hawally Repair Shop 5,Rai Branch,Rai Branch,Ridgid Pvc Pipe 50Mm,PCS,5,4.449,,bank_transfer,,,
SLS-90817,2026-01-21,Al-Enezi General Maintenance 7,Rai Branch,Rai Branch,Skil Welding Gloves 4L,PCS,5,26.457,1.433,cash,,285.250,Migrated from legacy system
SLS-90817,2026-01-21,Al-Enezi General Maintenance 7,Rai Branch,Rai Branch,Sata Door Hinge 1kg,Nos,5,22.905,4.027,cash,,,
SLS-90817,2026-01-21,Al-Enezi General Maintenance 7,Rai Branch,Rai Branch,Bosch Scaffolding Frame 16 Gauge.,PCS,4,10.975,,cash,,,Migrated from legacy system
SLS-90818,2025-11-24,Al-Anjari  Villas 4,Ardiya Warehouse,Ardiya Warehouse,Gulf Star Door Lock 1/4 inch,PCS,7,27.035,,credit,2025-12-24,189.245,
SLS-90819,2025-08-15,Al-Ajmi  Interiors 6,Shuwaikh Main,Shuwaikh Main,Gulf Star Locking Pliers 4L,Pieces,1,14.459,0.281,cash,,48.261,Migrated from legacy system
SLS-90819,2025-08-15,Al-Ajmi  Interiors 6,Shuwaikh Main,Shuwaikh Main,Yato Spirit Level 20 Gauge,PCS,9,3.787,,cash,,,Migrated from legacy system
SLS-90820,2026-02-08,Union Facility Services  Est. 5,Fahaheel Branch,Fahaheel Branch,Ridgid Claw Hammer Medium,PCS,6,30.749,,credit,2026-02-23,474.057,
SLS-90820,2026-02-08,Union Facility Services  Est. 5,Fahaheel Branch,Fahaheel Branch,Karcher Flat Screwdriver 3/4 inch  ,PC,7,29.179,,credit,2026-02-23,,Migrated from legacy system
SLS-90820,2026-02-08,Union Facility Services  Est. 5,Fahaheel Branch,Fahaheel Branch,"Hitachi Long Nose Pliers Medium,",PCS,10,KWD 8.531,,credit,2026-02-23,,
SLS-90821,2026-01-31,Desert Rose Interiors 3,Fahaheel Branch,Fahaheel Branch,KARCHER LED BULB 4L,PCS,1,1.561,,cash,,254.177,Migrated from legacy system
SLS-90821,2026-01-31,Desert Rose Interiors 3,Fahaheel Branch,Fahaheel Branch,Ridgid Tape Measure 1L,pc,8,31.577,,cash,,,Migrated from legacy system
SLS-90822,2026-02-03,Al-Enezi General Maintenance 7,Shuwaikh Main,Shuwaikh Main,Ingco Gate Valve 1 inch,PCS,7,32.095,,cash,,224.665,Migrated from legacy system
SLS-90823,2025-08-14,Al-Qadi Household  Est. 6,Fahaheel Branch,Fahaheel Branch,Truper Sledge Hammer 20 Gauge,PCS,1,18.333,,cash,,18.333,Migrated from legacy system
SLS-90824,2025-08-21,Nasser Al-Hajeri  Est. 6,Fahaheel Branch,Fahaheel Branch,Crown Wire Brush Large,PCS,11,11.159,,credit,2025-11-19,122.749,
SLS-90825,2025-10-27,Gulf Builders 5,Shuwaikh Main,Shuwaikh Main,Stanley Hand Saw 12mm,PCS,7,8.471,,credit,2025-11-11,170.333,Migrated from legacy system
SLS-90825,2025-10-27,Gulf Builders 5,Shuwaikh Main,Shuwaikh Main,  Tolsen Thermal Insulation Sheet 1/2 inch,PCS,12,KD 9.147,,credit,2025-11-11,,Migrated from legacy system
SLS-90825,2025-10-27,Gulf Builders 5,Shuwaikh Main,Shuwaikh Main,Hilti Spirit Level XL,PC,3,0.424,,credit,2025-11-11,,Migrated from legacy system
SLS-90826,2025-10-02,Modern Home Fix-It  Est.,Ardiya Warehouse,Ardiya Warehouse,Al-Fanar Jigsaw 16mm,PCS,3,KWD 3.391,0.269,cash,,9.904,Migrated from legacy system
SLS-90827,2026-07-23,Hawally Repair Shop,Rai Branch,Rai Branch,Total Pop Rivet 16 Gauge,pc,3,17.501,,credit,2026-09-06,52.503,
SLS-90828,2026-07-26,Desert Rose Interiors 12,Fahaheel Branch,Fahaheel Branch,Hilti Electric Planer 1kg,PCS,1,7.083,,credit,2026-09-09,7.083,Migrated from legacy system
SLS-90829,2025-09-16,Al-Qadi Household 11,Rai Branch,Rai Branch,TOTAL CEMENT BAG 18 GAUGE,PCS,11,27.853,7.565,cash,,460.570,
SLS-90829,2025-09-16,Al-Qadi Household 11,Rai Branch,Rai Branch,Bosch Scaffolding Frame 50kg,Pieces,8,20.219,,cash,,,Migrated from legacy system
SLS-90830,2026-03-31,Nasser Al-Hajeri  Est. 10,Rai Branch,Rai Branch,Makita Garden Hose 750W,pcs,5,15.274,,cash,,76.370,Migrated from legacy system
SLS-90831,2026-03-22,Al-Ajmi Interiors 7,Rai Branch,Rai Branch,makita steel toe safety boots 16mm,PCS,9,11.383,,cash,,448.612,
SLS-90831,2026-03-22,Al-Ajmi Interiors 7,Rai Branch,Rai Branch,Gulf Star Inverter Generator 1/2 inch,PCS,11,32.953,16.318,cash,,,Migrated from legacy system
SLS-90832,2025-10-26,Al-Sabah Villa Services 5,Fahaheel Branch,Fahaheel Branch,Total Work Gloves 2000W,PCS,5,12.178,,credit,2025-12-10,193.124,Migrated from legacy system
SLS-90832,2025-10-26,Al-Sabah Villa Services 5,Fahaheel Branch,Fahaheel Branch,Tolsen Padlock Large,PCS,7,17.354,,credit,2025-12-10,,Migrated from legacy system
SLS-90832,2025-10-26,Al-Sabah Villa Services 5,Fahaheel Branch,Fahaheel Branch,Metabo Silicone Sealant Tube 22 Gauge,PCS,4,2.689,,credit,2025-12-10,,
SLS-90833,2026-03-29,Al-Nasser Renovation 5,Fahaheel Branch,Fahaheel Branch,Al-Fanar PVC Pipe 1/4 inch,PCS,12,26.924,2.344,credit,2026-04-28,KD 567.644,
SLS-90833,2026-03-29,Al-Nasser Renovation 5,Fahaheel Branch,Fahaheel Branch,Hilti Copper Tee 1500W,PCS,10,24.690,,credit,2026-04-28,,Migrated from legacy system
SLS-90834,2025-10-27,Al-Mutairi Est. 11,Rai Branch,Rai Branch,Metabo Spirit Level 10mm,Nos,11,14.242,5.323,cash,,255.089,Migrated from legacy system
SLS-90834,2025-10-27,Al-Mutairi Est. 11,Rai Branch,Rai Branch,Metabo Tool Kit 25kg Pieces,PCS,5,20.750,,cash,,,
SLS-90835,2026-05-04,Bayt Al-Jomard 7,Ardiya Warehouse,Ardiya Warehouse, Total PVC Conduit Pipe Large ,PCS,10,8.420,,bank_transfer,,KWD 359.601,Migrated from legacy system
SLS-90835,2026-05-04,Bayt Al-Jomard 7,Ardiya Warehouse,Ardiya Warehouse,Total Kitchen Mixer 50mm  ,PCS,8,31.733,,bank_transfer,,,
SLS-90835,2026-05-04,Bayt Al-Jomard 7,Ardiya Warehouse,Ardiya Warehouse,karcher wood chisel 3/8 inch,Pieces,3,7.179,,bank_transfer,,,
SLS-90836,2025-08-27,Ahmadi Villa Care 7,Rai Branch,Rai Branch,Hitachi Electrical Cable 40mm,PCS,2,KWD 2.222,,credit,2025-11-25,110.332,
SLS-90836,2025-08-27,Ahmadi Villa Care 7,Rai Branch,Rai Branch,Crown Garden Hose 1kg,PCS,6,KD 17.648,,credit,2025-11-25,,Migrated from legacy system
SLS-90837,2026-06-29,Salmiya Handyman Services 9,Rai Branch,Rai Branch,Al-Fanar Angle Grinder 9L.,PCS,7,25.410,,bank_transfer,,177.870,
SLS-90838,2026-07-09,Fahaheel Home Services 11,Rai Branch,Rai Branch, Al-Fanar Thermal Insulation Sheet 1 inch ,PCS,11,5.429,,bank_transfer,,413.693,Migrated from legacy system
SLS-90838,2026-07-09,Fahaheel Home Services 11,Rai Branch,Rai Branch,Total Hi-Vis Safety Vest 750W,Pieces,4,12.394,,bank_transfer,,,
SLS-90838,2026-07-09,Fahaheel Home Services 11,Rai Branch,Rai Branch,Tolsen Mcb Circuit Breaker 650W,pc,9,KWD 33.822,,bank_transfer,,,Migrated from legacy system
SLS-90839,2026-03-28,al-ghanim home repairs  est. 2,Rai Branch,Rai Branch,Bosch Thermal Insulation Sheet XL,PCS,1,16.739,KWD 0.834,credit,2026-05-12,KD 173.872,Migrated from legacy system
SLS-90839,2026-03-28,al-ghanim home repairs  est. 2,Rai Branch,Rai Branch,Black+Decker Hacksaw 750W,PCS,7,17.910,,credit,2026-05-12,,Migrated from legacy system
SLS-90839,2026-03-28,al-ghanim home repairs  est. 2,Rai Branch,Rai Branch,Sata PVC Pipe 20L,PCS,1,KD 32.597,,credit,2026-05-12,,Migrated from legacy system
SLS-90840,2026-04-04,Union Facility Services  Est. 5,Rai Branch,Rai Branch,Black+Decker Copper Elbow 24 Gauge,PCS,1,KWD 12.190,,bank_transfer,,97.417,
SLS-90840,2026-04-04,Union Facility Services  Est. 5,Rai Branch,Rai Branch,Makita LED Bulb 5kg,PCS,1,4.875,,bank_transfer,,,
SLS-90840,2026-04-04,Union Facility Services  Est. 5,Rai Branch,Rai Branch,DeWalt Work Gloves 16 Gauge.,PCS,4,20.088,,bank_transfer,,,Migrated from legacy system
SLS-90841,2025-12-02,Fahad Al-Otaibi 3,Rai Branch,Rai Branch,al-fanar hi-vis safety vest small,Pieces,8,23.630,,cash,,241.905,Migrated from legacy system
SLS-90841,2025-12-02,Fahad Al-Otaibi 3,Rai Branch,Rai Branch,Sata Aluminium Ladder 25mm,PCS,5,10.573,,cash,,,
SLS-90842,2025-10-28,Desert Rose Interiors 13,Ardiya Warehouse,Ardiya Warehouse,"DeWalt Screwdriver Set 1/2 inch,",PCS,5,0.254,,cash,,1.270,Migrated from legacy system
SLS-90843,2025-08-09,Farwaniya Fix-It Center 3,Ardiya Warehouse,Ardiya Warehouse,Al-Fanar Wood Screw 8mm,PCS,11,352.181,,cash,,3924.143,Migrated from legacy system
SLS-90843,2025-08-09,Farwaniya Fix-It Center 3,Ardiya Warehouse,Ardiya Warehouse,Makita Laser Level 12mm,PCS,2,25.396,0.640,cash,,,
SLS-90844,2026-05-28,Al-Anjari Villas 6,Rai Branch,Rai Branch,METABO GATE VALVE XL,Nos,11,273.746,66.961,bank_transfer,,3001.285,Migrated from legacy system
SLS-90844,2026-05-28,Al-Anjari Villas 6,Rai Branch,Rai Branch,Black+Decker Galvanized Metal Sheet 1/2 inch,PCS,4,14.260,,bank_transfer,,,Migrated from legacy system
SLS-90845,2026-05-17,Bayt Al-Jomard 5,Shuwaikh Main,Shuwaikh Main,Hitachi Emulsion Paint 4L,PCS,3,8.823,1.109,credit,2026-08-15,141.160,Migrated from legacy system
SLS-90845,2026-05-17,Bayt Al-Jomard 5,Shuwaikh Main,Shuwaikh Main,Truper Work Gloves 1kg,pc,8,14.475,,credit,2026-08-15,,Migrated from legacy system
SLS-90846,2026-01-01,Ahmadi Villa Care  Est. 2,Ardiya Warehouse,Ardiya Warehouse,Tolsen Basin Tap 50kg,PCS,9,16.711,,credit,2026-02-15,KD 213.705,
SLS-90846,2026-01-01,Ahmadi Villa Care  Est. 2,Ardiya Warehouse,Ardiya Warehouse,Makita Padlock 9L,PCS,3,21.102,,credit,2026-02-15,,
SLS-90847,2025-10-12,Nasser Al-Hajeri 7,Ardiya Warehouse,Ardiya Warehouse,Tolsen Flat Washer XL,PCS,3,KD 26.724,,cash,,83.217,
SLS-90847,2025-10-12,Nasser Al-Hajeri 7,Ardiya Warehouse,Ardiya Warehouse,MAKITA HI-VIS SAFETY VEST 4L,PCS,7,0.435,,cash,,,Migrated from legacy system
SLS-90848,2026-07-16,Al-Ghanim Home Repairs 9,Ardiya Warehouse,Ardiya Warehouse,Hilti Machine Screw 2000W,PCS,5,31.752,0.192,credit,2026-10-14,258.588,
SLS-90848,2026-07-16,Al-Ghanim Home Repairs 9,Ardiya Warehouse,Ardiya Warehouse,DeWalt Hand Saw 2000W,PCS,12,8.335,,credit,2026-10-14,,
SLS-90849,2025-11-21,ahmadi villa care 6,Fahaheel Branch,Fahaheel Branch,Sata Door Handle 12mm,PC,7,4.344,,cash,,102.664,
SLS-90849,2025-11-21,ahmadi villa care 6,Fahaheel Branch,Fahaheel Branch,Skil Welding Gloves 25kg,PCS,2,1.436,,cash,,,
SLS-90849,2025-11-21,ahmadi villa care 6,Fahaheel Branch,Fahaheel Branch,Bosch Hand Saw Small,PCS,4,17.346,,cash,,,
SLS-90850,2026-06-03,al-zamil villas 10,Shuwaikh Main,Shuwaikh Main,Tolsen Socket Wrench Set 1L,PCS,9,18.133,,cash,,185.283,Migrated from legacy system
SLS-90850,2026-06-03,al-zamil villas 10,Shuwaikh Main,Shuwaikh Main,al-fanar vernier caliper 24 gauge,PCS,1,22.086,,cash,,,Migrated from legacy system
SLS-90851,2025-11-23, First Gulf Interiors 4 ,Fahaheel Branch,Fahaheel Branch,Metabo Steel Chain 1L,PCS,4,34.014,,credit,2026-01-22,309.791,
SLS-90851,2025-11-23, First Gulf Interiors 4 ,Fahaheel Branch,Fahaheel Branch,Ridgid Hacksaw 1/2 inch,PCS,4,24.798,,credit,2026-01-22,,Migrated from legacy system
SLS-90851,2025-11-23, First Gulf Interiors 4 ,Fahaheel Branch,Fahaheel Branch,Tolsen Pruning Shears 4L,PCS,6,12.501,0.463,credit,2026-01-22,,
SLS-90852,2026-05-28,Ahmadi Villa Care 9,Shuwaikh Main,Shuwaikh Main,Metabo Tape Measure 25kg.,PCS,3,33.037,,cash,,KD 118.977,
SLS-90852,2026-05-28,Ahmadi Villa Care 9,Shuwaikh Main,Shuwaikh Main,Total  Spirit Level 9L,PCS,11,1.806,,cash,,,
SLS-90853,2026-06-25,First Gulf Interiors  Est. 7,Rai Branch,Rai Branch,DeWalt Kitchen Mixer 22 Gauge,Nos,4,8.135,,cash,,32.540,
SLS-90854,2026-05-14,Fahaheel Home Services 4,Fahaheel Branch,Fahaheel Branch,Bosch Garden Hose 650W,PCS,2,5.724,0.383,cash,,11.065,Migrated from legacy system
SLS-90855,2025-11-08,Bin Hindi Property 11,Shuwaikh Main,Shuwaikh Main,Ingco Paint Thinner 3/4 inch,PCS,1,20.654,,credit,2025-12-23,KWD 35.081,
SLS-90855,2025-11-08,Bin Hindi Property 11,Shuwaikh Main,Shuwaikh Main,Makita Safety Goggles 3/4 inch,PCS,3,4.809,,credit,2025-12-23,,Migrated from legacy system
SLS-90856,2026-03-29,Al-Sabah Villa Services 3,Shuwaikh Main,Shuwaikh Main,Truper Work Gloves 10kg,PCS,6,201.788,,credit,2026-06-27,1210.728,Migrated from legacy system
SLS-90857,2025-11-03,Ahmadi Villa Care 9,Ardiya Warehouse,Ardiya Warehouse,Ridgid Sandpaper Sheet 3/4 inch,PCS,3,KWD 36.854,,credit,2025-12-03,411.834,
SLS-90857,2025-11-03,Ahmadi Villa Care 9,Ardiya Warehouse,Ardiya Warehouse,Karcher Aluminium Ladder 24 Gauge,PCS,9,31.514,,credit,2025-12-03,,Migrated from legacy system
SLS-90857,2025-11-03,Ahmadi Villa Care 9,Ardiya Warehouse,Ardiya Warehouse,Hitachi Emulsion Paint 4L,PCS,2,8.823,,credit,2025-12-03,,Migrated from legacy system
SLS-90858,2025-12-18,Al-Ajmi Interiors 10,Ardiya Warehouse,Ardiya Warehouse,Hilti Pruning Shears 18 Gauge,PCS,10,27.148,KWD 12.077,credit,2026-02-01,260.391,Migrated from legacy system
SLS-90858,2025-12-18,Al-Ajmi Interiors 10,Ardiya Warehouse,Ardiya Warehouse,Karcher Garden Cart 4L,PCS,1,0.988,,credit,2026-02-01,,
SLS-90859,2026-02-25,Ahmadi Villa Care 12,Rai Branch,Rai Branch,Makita Common Nail 24 Gauge,PCS,1,35.481,1.672,credit,2026-03-12,33.809,Migrated from legacy system
SLS-90860,2025-12-17,Al-Mutairi Est. 4,Fahaheel Branch,Fahaheel Branch,Stanley Circular Saw 50kg,PCS,6,16.777,,cash,,392.009,Migrated from legacy system
SLS-90860,2025-12-17,Al-Mutairi Est. 4,Fahaheel Branch,Fahaheel Branch,Skil Grinding Disc 6mm,PCS,9,9.883,,cash,,,
SLS-90860,2025-12-17,Al-Mutairi Est. 4,Fahaheel Branch,Fahaheel Branch,Karcher PVC Pipe 4L,PC,10,20.240,,cash,,,
SLS-90861,2026-01-12,al-rashed villas  est. 6,Ardiya Warehouse,Ardiya Warehouse,Truper Door Lock 16mm,PCS,8,15.221,0.768,credit,2026-01-27,200.140,Migrated from legacy system
SLS-90861,2026-01-12,al-rashed villas  est. 6,Ardiya Warehouse,Ardiya Warehouse,Hilti ARC Welding Machine 900W,PCS,6,13.190,,credit,2026-01-27,,Migrated from legacy system
SLS-90862,2026-06-06,Nasser Al-Hajeri  Est. 6,Shuwaikh Main,Shuwaikh Main,Total Dust Mask Respirator 1L,PC,9,9.715,0.999,bank_transfer,,276.505,
SLS-90862,2026-06-06,Nasser Al-Hajeri  Est. 6,Shuwaikh Main,Shuwaikh Main,Ridgid Electrical Cable 18 Gauge,PCS,11,4.973,,bank_transfer,,,Migrated from legacy system
SLS-90862,2026-06-06,Nasser Al-Hajeri  Est. 6,Shuwaikh Main,Shuwaikh Main,Ridgid Steel Chain 24 Gauge,Nos,6,KD 22.561,,bank_transfer,,,Migrated from legacy system
SLS-90863,2026-08-01,First Gulf Interiors 12,Shuwaikh Main,Shuwaikh Main,Hitachi Phillips Screwdriver 10mm,PCS,8,29.006,,cash,,462.953,
SLS-90863,2026-08-01,First Gulf Interiors 12,Shuwaikh Main,Shuwaikh Main,BOSCH TOOL KIT 12MM PIECES,PC,10,8.248,,cash,,,Migrated from legacy system
SLS-90863,2026-08-01,First Gulf Interiors 12,Shuwaikh Main,Shuwaikh Main,Makita Long Nose Pliers 5kg,PCS,5,29.685,,cash,,,Migrated from legacy system
SLS-90864,2026-07-05,Fahad Al-Otaibi 11,Ardiya Warehouse,Ardiya Warehouse,Gulf Star Angle Grinder 20 Gauge,PCS,6,20.022,,credit,2026-09-03,209.004,Migrated from legacy system
SLS-90864,2026-07-05,Fahad Al-Otaibi 11,Ardiya Warehouse,Ardiya Warehouse,Al-Fanar Wire Brush 450W,PCS,7,9.950,,credit,2026-09-03,,
SLS-90864,2026-07-05,Fahad Al-Otaibi 11,Ardiya Warehouse,Ardiya Warehouse,Ingco Wood Router 450W,Pieces,7,2.746,,credit,2026-09-03,,Migrated from legacy system
SLS-90865,2025-08-13,Al-Khaled General Trading 8,Ardiya Warehouse,Ardiya Warehouse,Skil Angle Grinder 1 inch,PCS,10,27.211,,credit,2025-09-12,493.772,
SLS-90865,2025-08-13,Al-Khaled General Trading 8,Ardiya Warehouse,Ardiya Warehouse,Stanley MCB Circuit Breaker Medium,Pieces,8,KD 0.359,,credit,2025-09-12,,
SLS-90865,2025-08-13,Al-Khaled General Trading 8,Ardiya Warehouse,Ardiya Warehouse,Bosch Scaffolding Frame Small,PCS,10,21.879,,credit,2025-09-12,,Migrated from legacy system
SLS-90866,2025-08-12,Al-Mutairi Est. 8,Shuwaikh Main,Shuwaikh Main,Stanley Paint Thinner 450W,Pieces,3,34.464,,cash,,143.497,Migrated from legacy system
SLS-90866,2025-08-12,Al-Mutairi Est. 8,Shuwaikh Main,Shuwaikh Main,Metabo Hex Bolt 18L,PCS,1,31.068,,cash,,,Migrated from legacy system
SLS-90866,2025-08-12,Al-Mutairi Est. 8,Shuwaikh Main,Shuwaikh Main,Skil Laser Level 22 Gauge,PCS,2,4.734,KD 0.431,cash,,,Migrated from legacy system
