Name (primary),Name (secondary),SKU,Barcode,Category Code,Tax Group,Tracking,Cost,Sell Price,Base Unit,Brand,Part Number,Reorder Level,Valuation Method,Wholesale Price,Pack Name,Pack Factor,Pack Barcode,Pack Sell Price,Pack Name,Pack Factor,Pack Barcode,Pack Sell Price,Pack Name,Pack Factor,Pack Barcode,Pack Sell Price
Brake Pad Rear 3,,BRK-0028,6289285415473,BRK,,,27.550,43.890,Each,TRW,GDB1606,6,,37.307,,,,,,,,,,,,
Brake Pad Rear 4,,BRK-0029,6282028439863,BRK,,,39.720,71.460,Each,Brembo,P 56 068,6,,60.741,,,,,,,,,,,,
Brake Pad Rear 5,,BRK-0030,6289957813353,BRK,,,11.980,19.650,Each,ATE,13.0460-5845.2,6,,16.703,,,,,,,,,,,,
Brake Disc 1,,BRK-0031,6284289233844,BRK,,,37.000,69.810,Each,Bosch,0 986 479 370,5,,59.339,,,,,,,,,,,,
Brake Disc 2,,BRK-0032,6286004182187,BRK,,,7.090,11.240,Each,Brembo,09.5822.20,5,,,,,,,,,,,,,,
Brake Disc 3,,BRK-0033,6283962958940,BRK,,,24.450,40.680,Each,ATE,24.0120-0195.1,5,,34.578,,,,,,,,,,,,
Brake Disc 4,,BRK-0034,6288086172302,BRK,,,32.510,50.050,Each,Bosch,0 986 479 417,5,,42.543,,,,,,,,,,,,
Brake Disc 5,,BRK-0035,6282064746525,BRK,,,20.560,33.110,Each,Brembo,09.8948.10,5,,28.144,,,,,,,,,,,,
Brake Disc 6,,BRK-0036,6281945826486,BRK,,,4.290,5.630,Each,ATE,24.0110-0049.1,5,,,,,,,,,,,,,,
Brake Shoe 1,,BRK-0037,6284888749350,BRK,,,32.290,43.120,Each,Bosch,0 986 487 728,5,,36.652,,,,,,,,,,,,
Brake Shoe 2,,BRK-0038,6283084839399,BRK,,,38.890,52.210,Each,TRW,GS8774,5,,44.379,,,,,,,,,,,,
Brake Shoe 3,,BRK-0039,6283030106617,BRK,,,24.960,43.280,Each,Ferodo,FSB576,5,,36.788,,,,,,,,,,,,
Engine Oil 5W30 1,,OIL-0040,6288125276666,OIL,,,36.630,51.800,Each,Castrol,EDGE 5W-30 LL,12,,44.030,,,,,,,,,,,,
Engine Oil 5W30 2,,OIL-0041,6284131356954,OIL,,,16.910,26.150,Each,Shell,Helix Ultra 5W-30,12,,22.228,,,,,,,,,,,,
Engine Oil 5W30 3,,OIL-0042,6285555296751,OIL,,,30.790,58.210,Each,Mobil,1 FS 5W-30,12,,49.479,,,,,,,,,,,,
Engine Oil 5W30 4,,OIL-0043,6282067970820,OIL,,,33.180,59.070,Each,Total,Quartz Ineo 5W-30,12,,50.210,,,,,,,,,,,,
Engine Oil 5W30 5,,OIL-0044,6286083042422,OIL,,,9.770,15.330,Each,Fuchs,Titan GT1 5W-30,12,,13.031,,,,,,,,,,,,
Engine Oil 5W30 6,,OIL-0045,6283363629219,OIL,,,21.620,39.450,Each,Castrol,EDGE 5W-30 C3,12,,33.533,,,,,,,,,,,,
Engine Oil 10W40 1,,OIL-0046,6285161807235,OIL,,,29.870,48.520,Each,Shell,Helix HX7 10W-40,12,,41.242,,,,,,,,,,,,
Engine Oil 10W40 2,,OIL-0047,6287040502394,OIL,,,41.800,75.630,Each,Mobil,Super 3000 10W-40,12,,64.286,,,,,,,,,,,,
Engine Oil 10W40 3,,OIL-0048,6281251837136,OIL,,,22.440,40.810,Each,Total,Quartz 7000 10W-40,12,,34.689,,,,,,,,,,,,
Coolant 1,,OIL-0049,6287249213370,OIL,,,1.590,2.440,Each,Prestone,AF2100,10,,,,,,,,,,,,,,
Coolant 2,,OIL-0050,6288380507338,OIL,,,19.900,37.300,Each,Shell,Premium Coolant G11,10,,31.705,,,,,,,,,,,,
Coolant 3,,OIL-0051,6283328710672,OIL,,,8.230,12.160,Each,Total,Coolelf Auto Supra,10,,,,,,,,,,,,,,
Coolant 4,,OIL-0052,6283281169403,OIL,,,34.040,45.420,Each,Prestone,AF3100,10,,38.607,,,,,,,,,,,,
Coolant 5,,OIL-0053,6281798112150,OIL,,,3.970,6.370,Each,Shell,Glycoshell,10,,,,,,,,,,,,,,
Coolant 6,,OIL-0054,6282734202799,OIL,,,27.380,46.690,Each,Total,Glacelf Plus,10,,39.687,,,,,,,,,,,,
Brake Fluid 1,,OIL-0055,6285647083348,OIL,,,12.210,20.230,Each,ATE,SL.6 DOT4,8,,17.196,,,,,,,,,,,,
Brake Fluid 2,,OIL-0056,6289309500117,OIL,,,30.100,49.340,Each,Bosch,ENV6 DOT4,8,,41.939,,,,,,,,,,,,
Brake Fluid 3,,OIL-0057,6286435772945,OIL,,,10.390,17.970,Each,Castrol,React Perf DOT4,8,,15.275,,,,,,,,,,,,
Brake Fluid 4,,OIL-0058,6281311570307,OIL,,,7.190,12.130,Each,Shell,Donax TD,8,,,,,,,,,,,,,,
Brake Fluid 5,,OIL-0059,6289904586976,OIL,,,21.440,40.720,Each,ATE,SL DOT4 Plus,8,,34.612,,,,,,,,,,,,
Brake Fluid 6,,OIL-0060,6286344160868,OIL,,,10.770,15.710,Each,Bosch,DOT4 Plus,8,,13.354,,,,,,,,,,,,
Brake Fluid 7,,OIL-0061,6288316648259,OIL,,,13.900,21.720,Each,Castrol,React DOT3,8,,18.462,,,,,,,,,,,,
Gear Oil 1,,OIL-0062,6289623534576,OIL,,,44.300,79.040,Each,Fuchs,Titan ATF 7134,6,,67.184,,,,,,,,,,,,
Gear Oil 2,,OIL-0063,6284771526597,OIL,,,37.040,54.810,Each,Shell,Spirax S6 ATF,6,,46.589,,,,,,,,,,,,
Gear Oil 3,,OIL-0064,6283376077463,OIL,,,13.000,23.840,Each,Castrol,Transmax Z,6,,20.264,,,,,,,,,,,,
Gear Oil 4,,OIL-0065,6282472659626,OIL,,,13.350,22.200,Each,Fuchs,Titan ATF CVT,6,,18.870,,,,,,,,,,,,
Gear Oil 5,,OIL-0066,6287393195616,OIL,,,31.410,56.910,Each,Shell,Spirax S4 G,6,,48.374,,,,,,,,,,,,
Gear Oil 6,,OIL-0067,6288019198243,OIL,,,40.880,73.900,Each,Castrol,Syntrax 75W-90,6,,62.815,,,,,,,,,,,,
Gear Oil 7,,OIL-0068,6284311931853,OIL,,,37.580,49.850,Each,Fuchs,Titan ATF 5012E,6,,42.373,,,,,,,,,,,,
Battery 70AH 1,,BAT-0069,6281041531046,BAT,,,8.530,13.350,Each,Varta,E11 570 144 064,4,,,,,,,,,,,,,,
Battery 70AH 2,,BAT-0070,6283373077218,BAT,,,4.770,8.730,Each,Exide,EB704,4,,,,,,,,,,,,,,
Battery 70AH 3,,BAT-0071,6284696689457,BAT,,,20.200,26.770,Each,Bosch,S4 E08,4,,22.755,,,,,,,,,,,,
Battery 70AH 4,,BAT-0072,6283864457210,BAT,,,40.600,57.900,Each,Varta,Blue Dynamic E23,4,,49.215,,,,,,,,,,,,
Battery 70AH 5,,BAT-0073,6284993808565,BAT,,,16.890,27.630,Each,Exide,Premium EA752,4,,23.486,,,,,,,,,,,,
Battery 80AH 1,,BAT-0074,6282770791023,BAT,,,43.960,78.530,Each,Varta,Silver Dynamic F18,4,,66.751,,,,,,,,,,,,
Battery 80AH 2,,BAT-0075,6289292791081,BAT,,,9.300,17.250,Each,Bosch,S4 024,4,,14.663,,,,,,,,,,,,
Battery 80AH 3,,BAT-0076,6286360837474,BAT,,,36.400,66.190,Each,Exide,Premium EA800,4,,56.262,,,,,,,,,,,,
Battery 80AH 4,,BAT-0077,6284745927824,BAT,,,8.430,14.510,Each,Varta,Blue Dynamic F22,4,,,,,,,,,,,,,,
Battery 100AH 1,,BAT-0078,6286796738787,BAT,,,11.180,20.010,Each,Bosch,S5 A13,4,,17.009,,,,,,,,,,,,
Battery 100AH 2,,BAT-0079,6289691572571,BAT,,,37.190,67.790,Each,Varta,Silver Dynamic H15,4,,57.622,,,,,,,,,,,,
Battery 100AH 3,,BAT-0080,6288616379926,BAT,,,9.900,14.820,Each,Exide,Premium EA1000,4,,,,,,,,,,,,,,
Battery 100AH 4,,BAT-0081,6287597996327,BAT,,,16.770,26.930,Each,Bosch,S5 013,4,,22.891,,,,,,,,,,,,
Battery 100AH 5,,BAT-0082,6282140169349,BAT,,,42.360,58.000,Each,Varta,Blue Dynamic G7,4,,49.300,,,,,,,,,,,,
Battery 100AH 6,,BAT-0083,6288672650595,BAT,,,6.220,9.710,Each,Exide,EK1000,4,,,,,,,,,,,,,,
Timing Belt 1,,BLT-0084,6286111349421,BLT,,,27.870,44.780,Each,Gates,T43212,6,,38.063,,,,,,,,,,,,
Timing Belt 2,,BLT-0085,6283880327491,BLT,,,3.430,5.360,Each,ContiTech,CT1028,6,,,,,,,,,,,,,,
Timing Belt 3,,BLT-0086,6289249648005,BLT,,,17.340,23.270,Each,Dayco,94922,6,,19.780,,,,,,,,,,,,
Timing Belt 4,,BLT-0087,6287049001493,BLT,,,28.610,48.580,Each,Gates,T1149,6,,41.293,,,,,,,,,,,,
Timing Belt 5,,BLT-0088,6286118914230,BLT,,,19.000,28.070,Each,ContiTech,CT973,6,,23.860,,,,,,,,,,,,
Timing Belt 6,,BLT-0089,6284877520294,BLT,,,30.420,46.470,Each,Dayco,94935,6,,39.500,,,,,,,,,,,,
Fan Belt 1,,BLT-0090,6285296710795,BLT,,,26.260,40.540,Each,Gates,6PK1548,8,,34.459,,,,,,,,,,,,
Fan Belt 2,,BLT-0091,6286679017210,BLT,,,13.980,21.780,Each,ContiTech,6PK1285,8,,18.513,,,,,,,,,,,,
Fan Belt 3,,BLT-0092,6285659161352,BLT,,,20.720,35.340,Each,Dayco,5PK1195,8,,30.039,,,,,,,,,,,,
Fan Belt 4,,BLT-0093,6282333241445,BLT,,,23.920,40.180,Each,Gates,6PK1668,8,,34.153,,,,,,,,,,,,
Fan Belt 5,,BLT-0094,6285607762160,BLT,,,36.590,50.800,Each,ContiTech,6PK1775,8,,43.180,,,,,,,,,,,,
Fan Belt 6,,BLT-0095,6286944142262,BLT,,,19.530,32.770,Each,Dayco,6PK1445,8,,27.855,,,,,,,,,,,,
Fan Belt 7,,BLT-0096,6282825989011,BLT,,,18.880,26.220,Each,Gates,4PK1120,8,,22.287,,,,,,,,,,,,
Serpentine Belt 1,,BLT-0097,6289805620900,BLT,,,36.480,62.660,Each,ContiTech,6PK2395,6,,53.261,,,,,,,,,,,,
Serpentine Belt 2,,BLT-0098,6288995059760,BLT,,,12.340,22.320,Each,Gates,K060895,6,,18.972,,,,,,,,,,,,
Serpentine Belt 3,,BLT-0099,6288033702319,BLT,,,21.080,36.910,Each,Dayco,PK070916,6,,31.374,,,,,,,,,,,,
Serpentine Belt 4,,BLT-0100,6286322520473,BLT,,,34.810,56.140,Each,ContiTech,6PK2200,6,,47.719,,,,,,,,,,,,
Spark Plug 1,,ELC-0101,6286737421496,ELC,,,4.870,7.170,Each,NGK,BKR6E,8,,,,,,,,,,,,,,
Spark Plug 2,,ELC-0102,6286288227800,ELC,,,40.350,54.410,Each,Denso,SK20R11,8,,46.249,,,,,,,,,,,,
Spark Plug 3,,ELC-0103,6287076811348,ELC,,,31.690,54.630,Each,NGK,ILFR6B,8,,46.436,,,,,,,,,,,,
Spark Plug 4,,ELC-0104,6287099469983,ELC,,,15.890,25.100,Each,Bosch,FR7DC+,8,,21.335,,,,,,,,,,,,
Spark Plug 5,,ELC-0105,6287767538527,ELC,,,40.860,67.440,Each,Denso,Q20PR-U11,8,,57.324,,,,,,,,,,,,
Spark Plug 6,,ELC-0106,6288531118333,ELC,,,22.250,41.510,Each,NGK,LZKAR6AP-11,8,,35.284,,,,,,,,,,,,
Ignition Coil 1,,ELC-0107,6286242173772,ELC,,,24.910,43.360,Each,Bosch,0 221 604 115,5,,36.856,,,,,,,,,,,,
Ignition Coil 2,,ELC-0108,6286965096268,ELC,,,11.040,17.240,Each,Denso,DIC-0109,5,,14.654,,,,,,,,,,,,
Ignition Coil 3,,ELC-0109,6281116402431,ELC,,,30.600,54.430,Each,Valeo,245163,5,,46.266,,,,,,,,,,,,
Ignition Coil 4,,ELC-0110,6281780520225,ELC,,,29.460,40.700,Each,Bosch,0 221 604 116,5,,34.595,,,,,,,,,,,,
Ignition Coil 5,,ELC-0111,6286698759353,ELC,,,12.820,19.180,Each,Denso,DIC-0135,5,,16.303,,,,,,,,,,,,
Ignition Coil 6,,ELC-0112,6287105574449,ELC,,,34.610,52.870,Each,Valeo,245225,5,,44.940,,,,,,,,,,,,
Alternator 1,,ELC-0113,6282503068227,ELC,,,21.960,38.420,Each,Valeo,441516,4,,32.657,,,,,,,,,,,,
Alternator 2,,ELC-0114,6282062073697,ELC,,,29.780,52.670,Each,Bosch,0 986 049 130,4,,44.770,,,,,,,,,,,,
Alternator 3,,ELC-0115,6285837082260,ELC,,,38.010,63.580,Each,Denso,DAN1065,4,,54.043,,,,,,,,,,,,
Starter Motor 1,,ELC-0116,6282584392711,ELC,,,26.030,37.240,Each,Valeo,286140,4,,31.654,,,,,,,,,,,,
Starter Motor 2,,ELC-0117,6284518871744,ELC,,,27.860,52.330,Each,Bosch,0 001 108 408,4,,44.481,,,,,,,,,,,,
Starter Motor 3,,ELC-0118,6289284507318,ELC,,,43.470,59.330,Each,Denso,DSN1220,4,,50.431,,,,,,,,,,,,
Wiper Blade 18 1,,WIP-0119,6281851819913,WIP,,,30.960,58.050,Each,Bosch,3 397 006 820,8,,49.343,,,,,,,,,,,,
Wiper Blade 18 2,,WIP-0120,6288612747444,WIP,,,27.260,49.020,Each,Valeo,575546,8,,41.667,,,,,,,,,,,,
Wiper Blade 18 3,,WIP-0121,6285471357886,WIP,,,38.490,63.900,Each,Bosch,3 397 007 462,8,,54.315,,,,,,,,,,,,
Wiper Blade 18 4,,WIP-0122,6282465576748,WIP,,,24.670,41.860,Each,Valeo,575048,8,,35.581,,,,,,,,,,,,
Wiper Blade 18 5,,WIP-0123,6285952059278,WIP,,,38.460,68.970,Each,Bosch,3 397 118 908,8,,58.625,,,,,,,,,,,,
Wiper Blade 18 6,,WIP-0124,6287371573279,WIP,,,9.160,14.780,Each,Champion,EF45/B01,8,,,,,,,,,,,,,,
Wiper Blade 18 7,,WIP-0125,6285014170428,WIP,,,20.450,35.550,Each,Valeo,575571,8,,30.218,,,,,,,,,,,,
Wiper Blade 22 1,,WIP-0126,6288164814926,WIP,,,39.850,57.640,Each,Bosch,3 397 007 065,8,,48.994,,,,,,,,,,,,
Wiper Blade 22 2,,WIP-0127,6286075963527,WIP,,,16.130,25.750,Each,Valeo,575049,8,,21.888,,,,,,,,,,,,
Wiper Blade 22 3,,WIP-0128,6289074999565,WIP,,,10.730,19.090,Each,Champion,EF55/B01,8,,16.227,,,,,,,,,,,,
Wiper Blade 22 4,,WIP-0129,6281367704871,WIP,,,25.680,41.340,Each,Bosch,3 397 007 180,8,,35.139,,,,,,,,,,,,
Wiper Blade 22 5,,WIP-0130,6288352307139,WIP,,,32.820,52.290,Each,Valeo,575572,8,,44.447,,,,,,,,,,,,
Wiper Motor 1,,WIP-0131,6286339955011,WIP,,,35.990,48.800,Each,Bosch,0 390 241 534,4,,41.480,,,,,,,,,,,,
Wiper Motor 2,,WIP-0132,6287575259637,WIP,,,30.380,46.220,Each,Valeo,404794,4,,39.287,,,,,,,,,,,,
Wiper Motor 3,,WIP-0133,6287243788374,WIP,,,20.010,34.970,Each,Bosch,0 390 241 571,4,,29.725,,,,,,,,,,,,
Wiper Motor 4,,WIP-0134,6286122110529,WIP,,,14.840,21.340,Each,Valeo,404796,4,,18.139,,,,,,,,,,,,
Wiper Motor 5,,WIP-0135,6283964229896,WIP,,,6.700,10.860,Each,Bosch,0 390 201 533,4,,,,,,,,,,,,,,
Wiper Motor 6,,WIP-0136,6286128695961,WIP,,,9.830,17.140,Each,Valeo,404798,4,,14.569,,,,,,,,,,,,
Tyre 195/65 1,,TYR-0137,6283294092753,TYR,,,17.200,25.480,Each,Bridgestone,B-250 195/65R15 91T,5,,21.658,,,,,,,,,,,,
Tyre 195/65 2,,TYR-0138,6285054834021,TYR,,,13.430,25.310,Each,Michelin,Energy Saver 195/65R15,5,,21.514,,,,,,,,,,,,
Tyre 195/65 3,,TYR-0139,6284748302739,TYR,,,29.250,51.240,Each,Continental,EcoContact 6 195/65R15,5,,43.554,,,,,,,,,,,,
Tyre 195/65 4,,TYR-0140,6282463320861,TYR,,,26.470,41.870,Each,Yokohama,AE01F 195/65R15,5,,35.590,,,,,,,,,,,,
Tyre 205/55 1,,TYR-0141,6284530959836,TYR,,,12.480,22.680,Each,Bridgestone,Turanza T001 205/55R16,5,,19.278,,,,,,,,,,,,
Tyre 205/55 2,,TYR-0142,6283948284698,TYR,,,18.930,25.450,Each,Michelin,Primacy 4 205/55R16,5,,21.633,,,,,,,,,,,,
Tyre 205/55 3,,TYR-0143,6282065972034,TYR,,,8.100,14.470,Each,Continental,PremiumContact 6 205/55R16,5,,,,,,,,,,,,,,
Tyre 215/60 1,,TYR-0144,6283656086594,TYR,,,34.750,57.820,Each,Yokohama,Earth-1 215/60R16,5,,49.147,,,,,,,,,,,,
Tyre 215/60 2,,TYR-0145,6287196439534,TYR,,,35.240,53.850,Each,Bridgestone,Alenza 001 215/60R16,5,,45.773,,,,,,,,,,,,
Tyre 215/60 3,,TYR-0146,6289848621776,TYR,,,38.920,73.720,Each,Michelin,CrossClimate 2 215/60R16,5,,62.662,,,,,,,,,,,,
Tyre 215/60 4,,TYR-0147,6286201313620,TYR,,,43.260,58.810,Each,Continental,AllSeasonContact 215/60R16,5,,49.989,,,,,,,,,,,,
Tyre 215/60 5,,TYR-0148,6283370788647,TYR,,,30.230,42.150,Each,Yokohama,BluEarth 215/60R16,5,,35.828,,,,,,,,,,,,
Tyre 215/60 6,,TYR-0149,6287845366946,TYR,,,8.310,12.840,Each,Bridgestone,S001 215/60R16,5,,,,,,,,,,,,,,
Tyre 215/60 7,,TYR-0150,6288986950095,TYR,,,14.170,20.390,Each,Michelin,Alpin 6 215/60R16,5,,17.332,,,,,,,,,,,,
