SKU,Item Name,Category,Unit,Cost,Selling Price,Opening Qty,Barcode
BRK-0025,Brake Pad Front 7,Brakes,Each,43.78,76.93,64,6284919706735
BRK-0026,Brake Pad Rear 1,Brakes,Each,38.11,61.15,25,6285951406973
BRK-0027,Brake Pad Rear 2,Brakes,Each,34.67,56.29,99,6284944899549
BRK-0028,Brake Pad Rear 3,Brakes,Each,27.55,43.89,14,6289285415473
BRK-0029,Brake Pad Rear 4,Brakes,Each,39.72,71.46,39,6282028439863
BRK-0030,Brake Pad Rear 5,Brakes,Each,11.98,19.65,10,6289957813353
BRK-0031,Brake Disc 1,Brakes,Each,37.00,69.81,68,6284289233844
BRK-0032,Brake Disc 2,Brakes,Each,7.09,11.24,70,6286004182187
BRK-0033,Brake Disc 3,Brakes,Each,24.45,40.68,27,6283962958940
BRK-0034,Brake Disc 4,Brakes,Each,32.51,50.05,85,6288086172302
BRK-0035,Brake Disc 5,Brakes,Each,20.56,33.11,15,6282064746525
BRK-0036,Brake Disc 6,Brakes,Each,4.29,5.63,70,6281945826486
BRK-0037,Brake Shoe 1,Brakes,Each,32.29,43.12,8,6284888749350
BRK-0038,Brake Shoe 2,Brakes,Each,38.89,52.21,30,6283084839399
BRK-0039,Brake Shoe 3,Brakes,Each,24.96,43.28,112,6283030106617
OIL-0040,Engine Oil 5W30 1,Oils & Fluids,Each,36.63,51.80,12,6288125276666
OIL-0041,Engine Oil 5W30 2,Oils & Fluids,Each,16.91,26.15,110,6284131356954
OIL-0042,Engine Oil 5W30 3,Oils & Fluids,Each,30.79,58.21,12,6285555296751
OIL-0043,Engine Oil 5W30 4,Oils & Fluids,Each,33.18,59.07,13,6282067970820
OIL-0044,Engine Oil 5W30 5,Oils & Fluids,Each,9.77,15.33,54,6286083042422
OIL-0045,Engine Oil 5W30 6,Oils & Fluids,Each,21.62,39.45,9,6283363629219
OIL-0046,Engine Oil 10W40 1,Oils & Fluids,Each,29.87,48.52,1,6285161807235
OIL-0047,Engine Oil 10W40 2,Oils & Fluids,Each,41.80,75.63,21,6287040502394
OIL-0048,Engine Oil 10W40 3,Oils & Fluids,Each,22.44,40.81,115,6281251837136
OIL-0049,Coolant 1,Oils & Fluids,Each,1.59,2.44,118,6287249213370
OIL-0050,Coolant 2,Oils & Fluids,Each,19.90,37.30,100,6288380507338
OIL-0051,Coolant 3,Oils & Fluids,Each,8.23,12.16,7,6283328710672
OIL-0052,Coolant 4,Oils & Fluids,Each,34.04,45.42,74,6283281169403
OIL-0053,Coolant 5,Oils & Fluids,Each,3.97,6.37,108,6281798112150
OIL-0054,Coolant 6,Oils & Fluids,Each,27.38,46.69,30,6282734202799
OIL-0055,Brake Fluid 1,Oils & Fluids,Each,12.21,20.23,79,6285647083348
OIL-0056,Brake Fluid 2,Oils & Fluids,Each,30.10,49.34,40,6289309500117
OIL-0057,Brake Fluid 3,Oils & Fluids,Each,10.39,17.97,30,6286435772945
OIL-0058,Brake Fluid 4,Oils & Fluids,Each,7.19,12.13,58,6281311570307
OIL-0059,Brake Fluid 5,Oils & Fluids,Each,21.44,40.72,12,6289904586976
OIL-0060,Brake Fluid 6,Oils & Fluids,Each,10.77,15.71,119,6286344160868
OIL-0061,Brake Fluid 7,Oils & Fluids,Each,13.90,21.72,69,6288316648259
OIL-0062,Gear Oil 1,Oils & Fluids,Each,44.30,79.04,67,6289623534576
OIL-0063,Gear Oil 2,Oils & Fluids,Each,37.04,54.81,84,6284771526597
OIL-0064,Gear Oil 3,Oils & Fluids,Each,13.00,23.84,95,6283376077463
OIL-0065,Gear Oil 4,Oils & Fluids,Each,13.35,22.20,91,6282472659626
OIL-0066,Gear Oil 5,Oils & Fluids,Each,31.41,56.91,64,6287393195616
OIL-0067,Gear Oil 6,Oils & Fluids,Each,40.88,73.90,11,6288019198243
OIL-0068,Gear Oil 7,Oils & Fluids,Each,37.58,49.85,42,6284311931853
BAT-0069,Battery 70AH 1,Batteries,Each,8.53,13.35,90,6281041531046
BAT-0070,Battery 70AH 2,Batteries,Each,4.77,8.73,115,6283373077218
BAT-0071,Battery 70AH 3,Batteries,Each,20.20,26.77,46,6284696689457
BAT-0072,Battery 70AH 4,Batteries,Each,40.60,57.90,31,6283864457210
BAT-0073,Battery 70AH 5,Batteries,Each,16.89,27.63,111,6284993808565
BAT-0074,Battery 80AH 1,Batteries,Each,43.96,78.53,112,6282770791023
BAT-0075,Battery 80AH 2,Batteries,Each,9.30,17.25,100,6289292791081
BAT-0076,Battery 80AH 3,Batteries,Each,36.40,66.19,103,6286360837474
BAT-0077,Battery 80AH 4,Batteries,Each,8.43,14.51,48,6284745927824
BAT-0078,Battery 100AH 1,Batteries,Each,11.18,20.01,58,6286796738787
BAT-0079,Battery 100AH 2,Batteries,Each,37.19,67.79,28,6289691572571
BAT-0080,Battery 100AH 3,Batteries,Each,9.90,14.82,110,6288616379926
BAT-0081,Battery 100AH 4,Batteries,Each,16.77,26.93,86,6287597996327
BAT-0082,Battery 100AH 5,Batteries,Each,42.36,58.00,33,6282140169349
BAT-0083,Battery 100AH 6,Batteries,Each,6.22,9.71,93,6288672650595
BLT-0084,Timing Belt 1,Belts,Each,27.87,44.78,49,6286111349421
BLT-0085,Timing Belt 2,Belts,Each,3.43,5.36,66,6283880327491
BLT-0086,Timing Belt 3,Belts,Each,17.34,23.27,85,6289249648005
BLT-0087,Timing Belt 4,Belts,Each,28.61,48.58,15,6287049001493
BLT-0088,Timing Belt 5,Belts,Each,19.00,28.07,16,6286118914230
BLT-0089,Timing Belt 6,Belts,Each,30.42,46.47,95,6284877520294
BLT-0090,Fan Belt 1,Belts,Each,26.26,40.54,106,6285296710795
BLT-0091,Fan Belt 2,Belts,Each,13.98,21.78,74,6286679017210
BLT-0092,Fan Belt 3,Belts,Each,20.72,35.34,65,6285659161352
BLT-0093,Fan Belt 4,Belts,Each,23.92,40.18,42,6282333241445
BLT-0094,Fan Belt 5,Belts,Each,36.59,50.80,5,6285607762160
BLT-0095,Fan Belt 6,Belts,Each,19.53,32.77,24,6286944142262
BLT-0096,Fan Belt 7,Belts,Each,18.88,26.22,88,6282825989011
BLT-0097,Serpentine Belt 1,Belts,Each,36.48,62.66,59,6289805620900
BLT-0098,Serpentine Belt 2,Belts,Each,12.34,22.32,58,6288995059760
BLT-0099,Serpentine Belt 3,Belts,Each,21.08,36.91,107,6288033702319
BLT-0100,Serpentine Belt 4,Belts,Each,34.81,56.14,80,6286322520473
ELC-0101,Spark Plug 1,Electrical,Each,4.87,7.17,34,6286737421496
ELC-0102,Spark Plug 2,Electrical,Each,40.35,54.41,19,6286288227800
ELC-0103,Spark Plug 3,Electrical,Each,31.69,54.63,8,6287076811348
ELC-0104,Spark Plug 4,Electrical,Each,15.89,25.10,7,6287099469983
ELC-0105,Spark Plug 5,Electrical,Each,40.86,67.44,89,6287767538527
ELC-0106,Spark Plug 6,Electrical,Each,22.25,41.51,38,6288531118333
ELC-0107,Ignition Coil 1,Electrical,Each,24.91,43.36,102,6286242173772
ELC-0108,Ignition Coil 2,Electrical,Each,11.04,17.24,3,6286965096268
ELC-0109,Ignition Coil 3,Electrical,Each,30.60,54.43,92,6281116402431
ELC-0110,Ignition Coil 4,Electrical,Each,29.46,40.70,59,6281780520225
ELC-0111,Ignition Coil 5,Electrical,Each,12.82,19.18,58,6286698759353
ELC-0112,Ignition Coil 6,Electrical,Each,34.61,52.87,96,6287105574449
ELC-0113,Alternator 1,Electrical,Each,21.96,38.42,6,6282503068227
ELC-0114,Alternator 2,Electrical,Each,29.78,52.67,83,6282062073697
ELC-0115,Alternator 3,Electrical,Each,38.01,63.58,30,6285837082260
ELC-0116,Starter Motor 1,Electrical,Each,26.03,37.24,89,6282584392711
ELC-0117,Starter Motor 2,Electrical,Each,27.86,52.33,91,6284518871744
ELC-0118,Starter Motor 3,Electrical,Each,43.47,59.33,3,6289284507318
WIP-0119,Wiper Blade 18 1,Wipers,Each,30.96,58.05,50,6281851819913
WIP-0120,Wiper Blade 18 2,Wipers,Each,27.26,49.02,31,6288612747444
WIP-0121,Wiper Blade 18 3,Wipers,Each,38.49,63.90,15,6285471357886
WIP-0122,Wiper Blade 18 4,Wipers,Each,24.67,41.86,8,6282465576748
WIP-0123,Wiper Blade 18 5,Wipers,Each,38.46,68.97,13,6285952059278
WIP-0124,Wiper Blade 18 6,Wipers,Each,9.16,14.78,83,6287371573279
WIP-0125,Wiper Blade 18 7,Wipers,Each,20.45,35.55,34,6285014170428
WIP-0126,Wiper Blade 22 1,Wipers,Each,39.85,57.64,59,6288164814926
WIP-0127,Wiper Blade 22 2,Wipers,Each,16.13,25.75,41,6286075963527
WIP-0128,Wiper Blade 22 3,Wipers,Each,10.73,19.09,43,6289074999565
WIP-0129,Wiper Blade 22 4,Wipers,Each,25.68,41.34,24,6281367704871
WIP-0130,Wiper Blade 22 5,Wipers,Each,32.82,52.29,97,6288352307139
WIP-0131,Wiper Motor 1,Wipers,Each,35.99,48.80,28,6286339955011
WIP-0132,Wiper Motor 2,Wipers,Each,30.38,46.22,70,6287575259637
WIP-0133,Wiper Motor 3,Wipers,Each,20.01,34.97,42,6287243788374
WIP-0134,Wiper Motor 4,Wipers,Each,14.84,21.34,92,6286122110529
WIP-0135,Wiper Motor 5,Wipers,Each,6.70,10.86,97,6283964229896
WIP-0136,Wiper Motor 6,Wipers,Each,9.83,17.14,35,6286128695961
TYR-0137,Tyre 195/65 1,Tyres,Each,17.20,25.48,90,6283294092753
TYR-0138,Tyre 195/65 2,Tyres,Each,13.43,25.31,70,6285054834021
TYR-0139,Tyre 195/65 3,Tyres,Each,29.25,51.24,13,6284748302739
TYR-0140,Tyre 195/65 4,Tyres,Each,26.47,41.87,56,6282463320861
TYR-0141,Tyre 205/55 1,Tyres,Each,12.48,22.68,14,6284530959836
TYR-0142,Tyre 205/55 2,Tyres,Each,18.93,25.45,80,6283948284698
TYR-0143,Tyre 205/55 3,Tyres,Each,8.10,14.47,38,6282065972034
TYR-0144,Tyre 215/60 1,Tyres,Each,34.75,57.82,101,6283656086594
TYR-0145,Tyre 215/60 2,Tyres,Each,35.24,53.85,116,6287196439534
TYR-0146,Tyre 215/60 3,Tyres,Each,38.92,73.72,39,6289848621776
TYR-0147,Tyre 215/60 4,Tyres,Each,43.26,58.81,97,6286201313620
TYR-0148,Tyre 215/60 5,Tyres,Each,30.23,42.15,22,6283370788647
TYR-0149,Tyre 215/60 6,Tyres,Each,8.31,12.84,88,6287845366946
TYR-0150,Tyre 215/60 7,Tyres,Each,14.17,20.39,90,6288986950095
