SKU,Product Name,Brand,Category,Unit,Cost (KWD),Retail Price,Opening Qty,Expiry,Batch
LC-00073,Velvet Skin Makeup Brush Set - 03 Coral,Velvet Skin,Tools,Each,4.36,9.27,49,,
LC-00074,Velvet Skin Makeup Brush Set - 05 Mauve,Velvet Skin,Accessories,pc,34.30,64.40,22,,
LC-00075,Rouge Caprice Beauty Sponge - 03 Coral,Rouge Caprice,Tools,pc,21.01,47.84,17,,
LC-00076,Rouge Caprice Beauty Sponge - 05 Mauve,Rouge Caprice,Accessories,Each,18.96,44.81,12,,
LC-00077,Rouge Caprice Beauty Sponge - Medium,Rouge Caprice,Accessories,Each,12.22,22.63,55,,
LC-00078,Noor Beauty Tweezers - 01 Nude,Noor Beauty,Tools,Each,,54.41,37,,
LC-00079,Noor Beauty Tweezers - Fair,Noor Beauty,Accessories,pc,10.94,27.08,39,,
LC-00080,Dune Cushion Foundation - 04 Crimson,Dune,Foundation,Each,12.63,23.05,4,,
LC-00081,Dune Makeup Brush Set - Medium,Dune,Accessories,Each,22.21,54.13,46,,
LC-00082,Dune Night Serum - 02 Rose,Dune,skincare,Each,31.42,78.85,14,,
LC-00083,Dune Concealer - Medium,Dune,Foundation,Each,30.15,76.45,60,,
LC-00084,Ohud Liquid Foundation - 02 Rose,Ohud,Foundation,Each,28.85,56.36,54,,
LC-00085,Ohud Eyeliner - 02 Rose,Ohud,Eyes,Each,9.62,17.92,23,,
LC-00086,Noor Beauty Liquid Lip - Fair,Noor Beauty,Lip,Each,15.17,29.11,15,,
LC-00087,Ohud Eyeshadow Palette - Medium,Ohud,Eye Makeup,Each,3.99,8.34,1,,
LC-00088,Rouge Caprice Liquid Lip - Fair,Rouge Caprice,Lipstick,Each,13.89,28.43,38,,
LC-00089,Lumiere Eau de Parfum 100ml - 01 Nude,Lumiere,Fragrance,Each,3.82,9.24,15,,
LC-00090,Dune Matte Lipstick - 05 Mauve,Dune,Lip,Each,5.33,13.60,31,,
LC-00091,Velvet Skin Tweezers - Medium,Velvet Skin,Tools,Each,10.41,22.33,30,,
LC-00092,Dune Cleanser - Fair,Dune,Skin Care,Each,30.23,76.00,39,,
LC-00093,Rouge Caprice Day Cream - 06 Berry,Rouge Caprice,Skincare,Each,19.82,44.90,32,,
LC-00094,Velvet Skin Matte Lipstick - 06 Berry,Velvet Skin,Lipstick,Each,28.88,65.04,48,,
LC-00095,Noor Beauty Eyeshadow Palette - 05 Mauve,Noor Beauty,Eyes,Each,4.19,10.88,41,,
LC-00096,Rouge Caprice Eyeshadow Palette - 01 Nude,Rouge Caprice,Eyes,Each,19.94,46.81,7,,
LC-00097,Noor Beauty Concealer - 03 Coral,Noor Beauty,Foundation,Each,20.82,42.27,36,,
LC-00098,Ohud Eau de Parfum 100ml - 01 Nude,Ohud,Fragrances,Each,19.72,38.43,49,,
LC-00099,Velvet Skin Beauty Sponge - 06 Berry,Velvet Skin,Accessories,Each,26.14,66.09,59,,
LC-00100,Lumiere Night Serum - Medium,Lumiere,Skin Care,Each,16.61,31.69,42,,
LC-00101,Velvet Skin Makeup Brush Set - 01 Nude,Velvet Skin,Accessories,Each,8.53,19.20,28,,
LC-00102,Ohud Makeup Brush Set - 06 Berry,Ohud,Accessories,Each,15.30,34.96,18,,
LC-00103,Velvet Skin Concealer - 01 Nude,Velvet Skin,Face,Each,12.71,24.97,34,,
LC-00104,Lumiere Cleanser - 02 Rose,Lumiere,Skincare,Each,20.62,37.88,24,,
LC-00105,Noor Beauty Eau de Parfum 100ml - Deep,Noor Beauty,Fragrance,Each,15.49,32.70,9,,
LC-00106,Ohud Eyeshadow Palette - Deep,Ohud,Eye Makeup,Each,31.30,65.02,50,,
LC-00107,Dune Liquid Foundation - 01 Nude,Dune,Face,Each,22.63,56.47,22,,
LC-00108,Ohud Liquid Lip - 03 Coral,Ohud,Lip,Each,31.46,74.02,5,,
LC-00109,Noor Beauty Eyeshadow Palette - Fair,Noor Beauty,Eyes,Each,10.93,24.46,0,,
LC-00110,Ohud Eau de Parfum 50ml - 06 Berry,Ohud,Perfumes,Each,9.36,23.90,3,,
LC-00111,Dune Day Cream - 06 Berry,Dune,Skin Care,Each,6.40,14.89,35,,
LC-00112,Noor Beauty Eyeliner - Deep,Noor Beauty,Eye Makeup,Each,31.35,62.47,16,,
LC-00113,Ohud Liquid Lip - 06 Berry,Ohud,Lip,Each,34.35,73.83,51,,
LC-00114,Lumiere Eyeliner - 02 Rose,Lumiere,Eyes,Each,29.04,60.65,23,,
LC-00115,Lumiere Cushion Foundation - 06 Berry,Lumiere,Foundation,Each,8.76,19.92,26,,
LC-00116,Dune Toner - 04 Crimson,Dune,Skincare,Each,19.94,50.89,50,,
LC-00117,Velvet Skin Cushion Foundation - Medium,Velvet Skin,Face,Each,34.62,75.88,1,,
LC-00118,Dune Matte Lipstick - Medium,Dune,Lipstick,Each,8.15,17.41,52,,
LC-00119,Noor Beauty Cleanser - 03 Coral,Noor Beauty,Skin Care,Each,24.96,58.87,5,,
LC-00120,Noor Beauty Satin Lipstick - Fair,Noor Beauty,Lipstick,Each,2.13,5.32,10,,
LC-00121,Ohud Night Serum - 03 Coral,Ohud,Skin Care,Each,10.34,21.28,39,,
LC-00122,Ohud Vitamin C Serum - Medium,Ohud,Skin Care,Each,33.87,87.59,7,,
LC-00123,Velvet Skin Makeup Brush Set - Fair,Velvet Skin,Accessories,Each,7.82,14.51,17,,
LC-00124,Ohud Matte Lipstick - 02 Rose,Ohud,Lipstick,Each,28.06,51.66,39,,
LC-00125,Ohud Cleanser - Deep,Ohud,skincare,Each,21.26,47.86,32,,
LC-00126,Dune Concealer - 03 Coral,Dune,Foundation,Each,11.78,23.71,14,,
LC-00127,Lumiere Eyeshadow Palette - 06 Berry,Lumiere,Eyes,Each,16.65,38.49,21,,
LC-00128,Rouge Caprice Liquid Lip - 05 Mauve,Rouge Caprice,Lip,Each,11.52,24.11,57,,
LC-00129,Noor Beauty Brow Gel - 01 Nude,Noor Beauty,Eye Makeup,Each,20.37,46.94,39,,
LC-00130,Lumiere Eau de Parfum 100ml - Fair,Lumiere,Perfumes,Each,14.20,26.91,0,,
LC-00131,Velvet Skin Body Mist - 05 Mauve,Velvet Skin,Fragrances,Each,15.74,33.06,51,,
LC-00132,Lumiere Body Mist - 03 Coral,Lumiere,Fragrance,Each,21.26,45.94,34,,
LC-00133,Lumiere Body Mist - 05 Mauve,Lumiere,Fragrances,Each,5.71,13.04,4,,
LC-00134,Rouge Caprice Eyeshadow Palette - 03 Coral,Rouge Caprice,Eye Makeup,Each,21.58,49.33,5,,
LC-00135,Dune Eau de Parfum 100ml - 03 Coral,Dune,Fragrances,Each,29.87,62.19,31,,
LC-00136,Lumiere Mascara - Fair,Lumiere,Eye Makeup,Each,10.69,20.72,41,,
LC-00137,Rouge Caprice Vitamin C Serum - 05 Mauve,Rouge Caprice,skincare,Each,15.30,35.38,12,,
LC-00138,Velvet Skin Concealer - Deep,Velvet Skin,Foundation,Each,34.98,64.52,50,,
LC-00139,Dune Eau de Parfum 50ml - 03 Coral,Dune,Fragrance,Each,32.11,71.41,27,,
LC-00140,Velvet Skin Matte Lipstick - 02 Rose,Velvet Skin,Lip,Each,34.30,88.55,27,,
LC-00141,Noor Beauty Cushion Foundation - 01 Nude,Noor Beauty,Foundation,Each,29.89,56.36,56,,
LC-00142,Noor Beauty Makeup Brush Set - Deep,Noor Beauty,Tools,Each,16.57,36.89,55,,
LC-00143,Noor Beauty Concealer - 01 Nude,Noor Beauty,Face,Each,12.48,23.03,41,,
LC-00144,Noor Beauty Satin Lipstick - 06 Berry,Noor Beauty,Lipstick,Each,34.00,86.13,52,,
LC-00145,Velvet Skin Day Cream - 03 Coral,Velvet Skin,Skin Care,Each,19.17,36.43,0,,
LC-00146,Ohud Eau de Parfum 50ml - Deep,Ohud,Fragrance,Each,29.27,52.74,55,,
LC-00147,Lumiere Liquid Foundation - 02 Rose,Lumiere,Face,Each,4.24,10.70,34,,
LC-00148,Dune Liquid Lip - 03 Coral,Dune,Lip,Each,32.68,70.37,22,,
LC-00149,Lumiere Beauty Sponge - Medium,Lumiere,Accessories,Each,7.95,18.18,26,,
LC-00150,Noor Beauty Mascara - 01 Nude,Noor Beauty,Eye Makeup,Each,27.89,50.25,14,,
LC-00151,Rouge Caprice Cushion Foundation - 01 Nude,Rouge Caprice,Foundation,Each,32.25,70.52,56,,
LC-00152,Noor Beauty Satin Lipstick - 06 Berry,Noor Beauty,Lip,Each,8.86,20.98,37,,
LC-00153,Lumiere Cushion Foundation - Fair,Lumiere,Face,Each,10.83,24.44,36,,
LC-00154,Dune Brow Gel - Deep,Dune,Eyes,Each,19.71,38.99,32,,
LC-00155,Velvet Skin Eyeliner - 05 Mauve,Velvet Skin,Eyes,Each,6.41,12.08,29,,
LC-00156,Velvet Skin Matte Lipstick - 06 Berry,Velvet Skin,Lipstick,Each,6.83,14.93,59,,
LC-00157,Ohud Beauty Sponge - 01 Nude,Ohud,Accessories,Each,4.20,10.52,52,,
LC-00158,Dune Satin Lipstick - 03 Coral,Dune,Lipstick,Each,7.35,14.52,0,,
LC-00159,Noor Beauty Eau de Parfum 100ml - 06 Berry,Noor Beauty,Perfumes,Each,34.63,66.81,16,,
LC-00160,Dune Cushion Foundation - Deep,Dune,Face,Each,24.74,52.78,20,,
LC-00161,Ohud Eyeshadow Palette - 02 Rose,Ohud,Eye Makeup,Each,24.19,45.83,14,,
LC-00162,Ohud Beauty Sponge - 04 Crimson,Ohud,Accessories,Each,19.13,41.93,44,,
LC-00163,Dune Concealer - Fair,Dune,Face,Each,13.31,26.37,14,,
LC-00164,Velvet Skin Tweezers - 01 Nude,Velvet Skin,Tools,Each,7.09,13.25,45,,
LC-00165,Velvet Skin Eau de Parfum 100ml - 04 Crimson,Velvet Skin,Perfumes,Each,28.60,57.28,16,,
LC-00166,Noor Beauty Vitamin C Serum - 06 Berry,Noor Beauty,Skincare,Each,16.24,33.93,40,,
LC-00167,Dune Day Cream - 01 Nude,Dune,Skincare,Each,16.72,34.23,34,,
LC-00168,Dune Brow Gel - 05 Mauve,Dune,Eyes,Each,26.06,50.50,21,,
LC-00169,Noor Beauty Eyeliner - 01 Nude,Noor Beauty,Eye Makeup,Each,4.32,10.51,26,,
LC-00170,Ohud Concealer - Fair,Ohud,Foundation,Each,29.52,55.78,20,,
LC-00171,Rouge Caprice Eyeliner - 01 Nude,Rouge Caprice,Eye Makeup,Each,3.08,6.30,19,,
LC-00172,Dune Cushion Foundation - 05 Mauve,Dune,Face,Each,32.82,68.85,37,,
LC-00173,Rouge Caprice Night Serum - 06 Berry,Rouge Caprice,Skin Care,Each,5.61,13.97,15,,
LC-00174,Velvet Skin Beauty Sponge - 03 Coral,Velvet Skin,Tools,Each,13.31,25.79,56,,
LC-00175,Dune Vitamin C Serum - 01 Nude,Dune,Skin Care,Each,31.22,77.33,56,,
LC-00176,Lumiere Liquid Foundation - Medium,Lumiere,Foundation,Each,22.47,41.18,0,,
LC-00177,Rouge Caprice Day Cream - Fair,Rouge Caprice,skincare,Each,7.84,18.83,47,,
LC-00178,Rouge Caprice Body Mist - 06 Berry,Rouge Caprice,Fragrances,Each,18.83,41.06,28,,
LC-00179,Rouge Caprice Night Serum - 06 Berry,Rouge Caprice,Skin Care,Each,32.03,77.04,60,,
LC-00180,Velvet Skin Brow Gel - 04 Crimson,Velvet Skin,Eye Makeup,Each,12.58,26.03,33,,
LC-00181,Ohud Cleanser - Medium,Ohud,Skin Care,Each,32.36,63.27,55,,
LC-00182,Rouge Caprice Night Serum - 03 Coral,Rouge Caprice,Skincare,Each,19.46,35.48,10,,
LC-00183,Noor Beauty Eau de Parfum 50ml - Fair,Noor Beauty,Fragrances,Each,12.21,30.41,57,,
LC-00184,Lumiere Eau de Parfum 50ml - Deep,Lumiere,Perfumes,Each,6.69,15.06,16,,
LC-00185,Noor Beauty Makeup Brush Set - 06 Berry,Noor Beauty,Accessories,Each,9.55,20.48,43,,
LC-00186,Ohud Cushion Foundation - 06 Berry,Ohud,Foundation,Each,9.60,22.07,22,,
LC-00187,Ohud Tweezers - 01 Nude,Ohud,Accessories,Each,14.16,35.40,11,,
LC-00188,Lumiere Concealer - 04 Crimson,Lumiere,Face,Each,34.64,88.11,19,,
LC-00189,Rouge Caprice Eau de Parfum 100ml - 06 Berry,Rouge Caprice,Fragrance,Each,16.75,35.58,41,,
LC-00190,Dune Eyeliner - Fair,Dune,Eyes,Each,19.95,40.94,59,,
LC-00191,Ohud Day Cream - 06 Berry,Ohud,Skin Care,Each,15.23,27.67,10,,
LC-00192,Dune Matte Lipstick - 05 Mauve,Dune,Lipstick,Each,27.49,65.31,5,,
LC-00193,Rouge Caprice Cleanser - Deep,Rouge Caprice,Skincare,Each,29.13,71.59,60,,
LC-00194,Lumiere Mascara - 06 Berry,Lumiere,Eyes,Each,17.53,44.69,53,,
LC-00195,Noor Beauty Eyeshadow Palette - 05 Mauve,Noor Beauty,Eyes,Each,15.88,30.92,23,,
LC-00196,Lumiere Eyeliner - Fair,Lumiere,Eye Makeup,Each,22.09,40.27,14,,
LC-00197,Ohud Matte Lipstick - 01 Nude,Ohud,Lipstick,Each,28.63,67.04,38,,
LC-00198,Lumiere Eau de Parfum 100ml - 06 Berry,Lumiere,Fragrance,Each,24.77,55.45,46,,
LC-00199,Dune Matte Lipstick - 06 Berry,Dune,Lipstick,Each,24.03,59.33,44,,
LC-00200,Dune Liquid Foundation - 03 Coral,Dune,Foundation,Each,14.05,27.16,56,,
LC-00201,Rouge Caprice Vitamin C Serum - 06 Berry,Rouge Caprice,Skin Care,Each,34.50,72.45,7,,
LC-00202,Noor Beauty Cushion Foundation - 01 Nude,Noor Beauty,Foundation,Each,29.11,67.34,15,,
LC-00203,Rouge Caprice Vitamin C Serum - 06 Berry,Rouge Caprice,Skincare,Each,17.94,42.25,25,,
LC-00204,Rouge Caprice Brow Gel - 04 Crimson,Rouge Caprice,Eye Makeup,Each,11.20,28.62,59,,
LC-00205,Noor Beauty Eau de Parfum 50ml - 06 Berry,Noor Beauty,Perfumes,Each,34.57,70.12,22,,
LC-00206,Dune Mascara - 02 Rose,Dune,Eye Makeup,Each,24.28,61.76,34,,
LC-00207,Ohud Liquid Foundation - Fair,Ohud,Face,Each,12.54,23.50,40,,
LC-00208,Velvet Skin Liquid Foundation - 05 Mauve,Velvet Skin,Face,Each,10.75,21.77,21,,
LC-00209,Noor Beauty Tweezers - 03 Coral,Noor Beauty,Accessories,Each,16.21,35.41,20,,
LC-00210,Noor Beauty Night Serum - 03 Coral,Noor Beauty,skincare,Each,6.17,13.42,4,,
LC-00211,Dune Tweezers - 05 Mauve,Dune,Tools,Each,9.46,21.43,17,,
LC-00212,Velvet Skin Matte Lipstick - Fair,Velvet Skin,Lip,Each,17.96,33.09,9,,
LC-00213,Rouge Caprice Cushion Foundation - 04 Crimson,Rouge Caprice,Face,Each,15.40,33.81,5,,
LC-00214,Dune Beauty Sponge - Deep,Dune,Tools,Each,25.74,58.79,40,,
LC-00215,Velvet Skin Cleanser - Medium,Velvet Skin,Skincare,Each,21.37,44.39,27,,
LC-00216,Rouge Caprice Eyeliner - Medium,Rouge Caprice,Eye Makeup,Each,29.65,62.49,57,,
LC-00217,Rouge Caprice Beauty Sponge - 04 Crimson,Rouge Caprice,Tools,Each,29.52,73.90,36,,
LC-00218,Ohud Cushion Foundation - 02 Rose,Ohud,Face,Each,5.41,10.25,51,,
LC-00219,Dune Concealer - Deep,Dune,Foundation,Each,6.99,16.31,12,,
LC-00220,Noor Beauty Eau de Parfum 100ml - Medium,Noor Beauty,Fragrance,Each,8.92,21.34,46,,
LC-00221,Rouge Caprice Toner - 02 Rose,Rouge Caprice,Skin Care,Each,30.98,66.77,15,,
LC-00222,Noor Beauty Cushion Foundation - 04 Crimson,Noor Beauty,Foundation,Each,21.20,41.31,38,,
LC-00223,Lumiere Night Serum - 01 Nude,Lumiere,Skin Care,Each,13.96,29.95,25,,
LC-00224,Velvet Skin Liquid Foundation - 05 Mauve,Velvet Skin,Foundation,Each,8.03,15.23,14,,
LC-00225,Noor Beauty Matte Lipstick - Medium,Noor Beauty,Lip,Each,19.66,39.30,16,,
LC-00226,Velvet Skin Cleanser - 04 Crimson,Velvet Skin,skincare,Each,29.02,63.65,59,,
LC-00227,Dune Concealer - 04 Crimson,Dune,Face,Each,14.70,33.52,48,,
LC-00228,Lumiere Liquid Lip - Fair,Lumiere,Lip,Each,32.02,66.80,56,,
LC-00229,Lumiere Eau de Parfum 100ml - 05 Mauve,Lumiere,Fragrance,Each,16.11,32.37,57,,
LC-00230,Ohud Eau de Parfum 50ml - Fair,Ohud,Perfumes,Each,22.43,55.01,31,,
LC-00231,Velvet Skin Satin Lipstick - Medium,Velvet Skin,Lip,Each,21.49,41.91,11,,
LC-00232,Dune Mascara - 06 Berry,Dune,Eye Makeup,Each,17.78,39.42,12,,
LC-00233,Velvet Skin Concealer - 03 Coral,Velvet Skin,Face,Each,23.80,53.59,1,,
LC-00234,Ohud Toner - 05 Mauve,Ohud,Skincare,Each,25.30,61.59,59,,
LC-00235,Noor Beauty Concealer - 02 Rose,Noor Beauty,Foundation,Each,17.66,32.15,36,,
LC-00236,Ohud Liquid Lip - 01 Nude,Ohud,Lipstick,Each,21.46,47.84,4,,
LC-00237,Lumiere Makeup Brush Set - 01 Nude,Lumiere,Tools,Each,22.67,57.93,29,,
LC-00238,Rouge Caprice Eau de Parfum 100ml - 04 Crimson,Rouge Caprice,Fragrances,Each,11.41,26.75,42,,
LC-00239,Ohud Matte Lipstick - Medium,Ohud,Lip,Each,25.93,64.75,22,,
LC-00240,Rouge Caprice Night Serum - 02 Rose,Rouge Caprice,skincare,Each,19.20,46.32,12,,
LC-00241,Rouge Caprice Concealer - Medium,Rouge Caprice,Foundation,Each,24.32,57.68,42,,
LC-00242,Rouge Caprice Tweezers - 02 Rose,Rouge Caprice,Tools,Each,31.19,74.79,51,,
LC-00243,Ohud Liquid Foundation - Medium,Ohud,Foundation,Each,33.83,68.52,4,,
LC-00244,Ohud Liquid Lip - Fair,Ohud,Lipstick,Each,33.27,60.62,33,,
LC-00245,Ohud Toner - Medium,Ohud,Skin Care,Each,4.00,9.20,40,,
LC-00246,Velvet Skin Eau de Parfum 100ml - Fair,Velvet Skin,Fragrance,Each,31.52,73.25,9,,
LC-00247,Lumiere Tweezers - 01 Nude,Lumiere,Accessories,Each,31.80,68.90,58,,
LC-00248,Noor Beauty Day Cream - Fair,Noor Beauty,Skin Care,Each,28.99,73.87,28,,
LC-00249,Rouge Caprice Concealer - 05 Mauve,Rouge Caprice,Face,Each,6.56,13.53,4,,
LC-00250,Ohud Toner - 03 Coral,Ohud,skincare,Each,14.69,35.27,38,,
LC-00251,Noor Beauty Concealer - 04 Crimson,Noor Beauty,Foundation,Each,25.66,49.83,44,,
LC-00252,Ohud Day Cream - Deep,Ohud,Skin Care,Each,30.00,63.91,52,,
LC-00253,Dune Mascara - 05 Mauve,Dune,Eye Makeup,Each,7.19,18.37,30,,
LC-00254,Rouge Caprice Body Mist - 01 Nude,Rouge Caprice,Fragrances,Each,15.40,32.02,49,,
LC-00255,Ohud Liquid Lip - 06 Berry,Ohud,Lip,Each,16.79,38.79,58,,
LC-00256,Dune Cushion Foundation - 03 Coral,Dune,Foundation,Each,15.89,34.39,4,,
LC-00257,Dune Matte Lipstick - Fair,Dune,Lip,Each,22.78,46.40,17,,
LC-00258,Ohud Satin Lipstick - Medium,Ohud,Lip,Each,20.31,43.06,29,,
LC-00259,Dune Matte Lipstick - Medium,Dune,Lip,Each,7.31,15.43,21,,
