sku,warehouse,quantity,unitCost,trackingType,partNumber,serialNumbers
HW-100078,Shuwaikh Main,3,9.374,none,AL--12408,
HW-100079,Ardiya Warehouse,3,8.368,batch,ING-6809,
HW-100080,Shuwaikh Main,3,9.963,none,MET-65737,
HW-100081,Ardiya Warehouse,1,16.980,none,AL--11620,
HW-100082,Rai Branch,0,16.315,none,MET-51586,
HW-100083,Fahaheel Branch,2,9.267,none,TRU-63709,
HW-100084,Shuwaikh Main,3,19.207,none,KAR-11650,
HW-100085,Fahaheel Branch,2,4.995,none,MET-63092,
HW-100086,Fahaheel Branch,4,21.198,none,TOL-91881,
HW-100087,Shuwaikh Main,4,1.012,none,YAT-66352,
HW-100088,Rai Branch,3,KD 11.418,none,YAT-65970,
HW-100089,Ardiya Warehouse,2,19.259,none,,
HW-100090,Ardiya Warehouse,3,1.439,batch,SAT-53780,
HW-100091,Ardiya Warehouse,3,1.532,none,HIT-22830,
HW-100092,Rai Branch,5,5.320,serial,MAK-71390,SN-HW-100092-1;SN-HW-100092-2;SN-HW-100092-3;SN-HW-100092-4;SN-HW-100092-5
HW-100093,Ardiya Warehouse,1,7.479,none,BLA-80486,
HW-100094,Rai Branch,5,12.139,none,TOL-60050,
HW-100095,Fahaheel Branch,3,2.754,batch,TOL-96654,
HW-100096,Rai Branch,4,KWD 3.722,none,GUL-35480,
HW-100097,Ardiya Warehouse,0,5.920,none,MET-17892,
HW-100098,Fahaheel Branch,0,3.730,none,HIL-89374,
HW-100099,Rai Branch,4,13.115,batch,ING-78548,
HW-100100,Ardiya Warehouse,2,14.394,none,HIT-23827,
HW-100101,Rai Branch,2,KWD 11.618,none,CRO-16317,
HW-100102,Fahaheel Branch,0,3.131,serial,RID-57591,
HW-100103,Rai Branch,2,1.733,none,GUL-4674,
HW-100104,Rai Branch,4,3.856,batch,,
HW-100105,Shuwaikh Main,0,KWD 11.219,none,TOT-41601,
HW-100106,Fahaheel Branch,0,KWD 2.577,none,TOT-29154,
HW-100107,Fahaheel Branch,3,11.487,serial,SAT-20540,SN-HW-100107-1;SN-HW-100107-2;SN-HW-100107-3
HW-100108,Shuwaikh Main,2,15.687,none,RID-52973,
HW-100109,Shuwaikh Main,5,12.725,none,TOL-42740,
HW-100110,Rai Branch,2,KD 24.567,none,CRO-32125,
HW-100111,Rai Branch,5,18.974,serial,MET-68401,SN-HW-100111-1;SN-HW-100111-2;SN-HW-100111-3;SN-HW-100111-4;SN-HW-100111-5
HW-100112,Rai Branch,0,23.953,none,STA-94053,
HW-100113,Ardiya Warehouse,3,9.569,batch,SKI-60368,
HW-100114,Fahaheel Branch,5,22.941,serial,HIL-59162,SN-HW-100114-1;SN-HW-100114-2;SN-HW-100114-3;SN-HW-100114-4;SN-HW-100114-5
HW-100115,Shuwaikh Main,0,24.655,batch,ING-53924,
HW-100116,Shuwaikh Main,0,19.332,none,SKI-57703,
HW-100117,Fahaheel Branch,4,18.857,none,STA-89618,
HW-100118,Rai Branch,2,9.331,none,AL--53446,
HW-100119,Rai Branch,3,14.632,none,ING-72728,
HW-100120,Shuwaikh Main,0,2.369,batch,MAK-65532,
HW-100121,Fahaheel Branch,0,22.012,none,SAT-89453,
HW-100122,Fahaheel Branch,2,15.827,batch,GUL-99974,
HW-100123,Fahaheel Branch,0,22.919,none,ING-70921,
HW-100124,Shuwaikh Main,3,0.854,none,DEW-96559,
HW-100125,Shuwaikh Main,0,19.684,none,HIT-62127,
HW-100126,Fahaheel Branch,0,15.187,none,TOL-40888,
HW-100127,Fahaheel Branch,3,8.060,none,CRO-85322,
HW-100128,Shuwaikh Main,2,8.132,none,YAT-97134,
HW-100129,Shuwaikh Main,0,18.414,none,,
HW-100130,Fahaheel Branch,1,18.754,none,SKI-83987,
HW-100131,Fahaheel Branch,3,145.328,none,HIL-26872,
HW-100132,Shuwaikh Main,4,KWD 24.850,none,SAT-89801,
HW-100133,Rai Branch,3,12.946,none,TOL-4538,
HW-100134,Fahaheel Branch,2,24.508,none,HIT-69349,
HW-100135,Shuwaikh Main,1,9.066,none,BOS-40200,
HW-100136,Fahaheel Branch,4,21.157,none,YAT-75241,
HW-100137,Fahaheel Branch,5,21.569,batch,CRO-9264,
HW-100138,Fahaheel Branch,3,16.973,none,ING-3418,
HW-100139,Shuwaikh Main,5,24.901,none,BLA-4537,
HW-100140,Ardiya Warehouse,2,KWD 5.459,none,HIT-5165,
HW-100141,Fahaheel Branch,5,8.429,batch,GUL-76381,
HW-100142,Ardiya Warehouse,3,0.401,none,YAT-64344,
HW-100143,Fahaheel Branch,2,23.382,none,DEW-26078,
HW-100144,Shuwaikh Main,2,9.971,none,ING-61091,
HW-100145,Ardiya Warehouse,1,22.533,none,CRO-48913,
HW-100146,Shuwaikh Main,0,24.587,none,DEW-32230,
HW-100147,Fahaheel Branch,4,9.813,none,TRU-12292,
HW-100148,Shuwaikh Main,3,8.130,none,KAR-27606,
HW-100149,Rai Branch,1,17.605,none,MAK-7062,
HW-100150,Rai Branch,0,21.780,none,TOL-6697,
HW-100151,Fahaheel Branch,3,23.511,batch,MAK-92516,
HW-100152,Fahaheel Branch,5,11.718,batch,AL--55969,
HW-100153,Ardiya Warehouse,0,22.640,serial,TOL-87215,
HW-100154,Ardiya Warehouse,3,22.294,none,SAT-84438,
HW-100155,Ardiya Warehouse,0,10.719,none,GUL-62399,
HW-100156,Fahaheel Branch,0,3.045,none,HIL-60245,
HW-100157,Shuwaikh Main,5,16.051,none,SAT-14545,
HW-100158,Fahaheel Branch,0,6.140,none,AL--41608,
HW-100159,Fahaheel Branch,4,17.030,none,TRU-99297,
HW-100160,Ardiya Warehouse,3,KWD 13.668,none,SAT-20545,
HW-100161,Ardiya Warehouse,0,13.600,none,SAT-89551,
HW-100162,Fahaheel Branch,0,7.754,none,BOS-1053,
HW-100163,Rai Branch,4,0.808,none,KAR-39090,
HW-100164,Ardiya Warehouse,1,6.448,none,HIL-66228,
HW-100165,Ardiya Warehouse,3,19.278,none,STA-95077,
HW-100166,Fahaheel Branch,3,0.999,none,,
HW-100167,Ardiya Warehouse,2,13.570,none,DEW-4789,
HW-100168,Shuwaikh Main,0,23.507,none,MET-28036,
HW-100169,Ardiya Warehouse,2,21.218,none,SAT-99755,
HW-100170,Ardiya Warehouse,1,KWD 14.218,none,CRO-17032,
HW-100171,Rai Branch,4,24.495,serial,MAK-50555,SN-HW-100171-1;SN-HW-100171-2;SN-HW-100171-3;SN-HW-100171-4
HW-100172,Shuwaikh Main,0,1.962,none,,
HW-100173,Ardiya Warehouse,0,KD 11.722,serial,BLA-33223,
HW-100174,Rai Branch,0,20.554,none,SAT-55945,
HW-100175,Fahaheel Branch,0,21.999,none,AL--17208,
HW-100176,Fahaheel Branch,0,1.446,serial,AL--49880,
HW-100177,Fahaheel Branch,1,15.741,serial,ING-75619,SN-HW-100177-1
HW-100178,Rai Branch,2,15.015,none,KAR-36209,
HW-100179,Ardiya Warehouse,0,20.451,none,TRU-17382,
HW-100180,Shuwaikh Main,5,15.482,batch,TOL-34826,
HW-100181,Ardiya Warehouse,0,10.673,none,TRU-35544,
HW-100182,Ardiya Warehouse,0,0.798,none,,
HW-100183,Shuwaikh Main,4,9.047,none,ING-39607,
HW-100184,Shuwaikh Main,3,2.942,batch,BLA-37783,
HW-100185,Rai Branch,4,10.787,none,RID-73077,
HW-100186,Shuwaikh Main,0,1.012,none,AL--97349,
HW-100187,Ardiya Warehouse,4,KWD 4.257,none,CRO-52501,
HW-100188,Ardiya Warehouse,4,13.173,none,STA-65008,
HW-100189,Shuwaikh Main,1,212.362,batch,STA-59104,
HW-100190,Shuwaikh Main,2,KD 3.285,none,BOS-68502,
HW-100191,Fahaheel Branch,0,13.920,none,KAR-86283,
HW-100192,Ardiya Warehouse,5,6.692,serial,GUL-57307,SN-HW-100192-1;SN-HW-100192-2;SN-HW-100192-3;SN-HW-100192-4;SN-HW-100192-5
HW-100193,Fahaheel Branch,2,KWD 7.274,none,RID-27110,
HW-100194,Rai Branch,4,4.565,none,TRU-28321,
HW-100195,Rai Branch,1,16.358,none,TRU-62248,
HW-100196,Fahaheel Branch,2,19.539,none,TOT-54021,
HW-100197,Fahaheel Branch,0,2.725,none,RID-98198,
HW-100198,Shuwaikh Main,2,11.522,none,,
HW-100199,Fahaheel Branch,5,6.983,none,SAT-41982,
HW-100200,Rai Branch,1,17.761,serial,HIT-51400,SN-HW-100200-1
HW-100201,Fahaheel Branch,5,2.207,none,YAT-22846,
HW-100202,Ardiya Warehouse,2,18.694,none,HIT-91770,
HW-100203,Shuwaikh Main,5,10.003,none,YAT-64062,
HW-100204,Ardiya Warehouse,2,1.395,none,,
HW-100205,Shuwaikh Main,3,3.866,none,,
HW-100206,Ardiya Warehouse,0,9.163,none,KAR-57771,
HW-100207,Rai Branch,5,7.674,none,SAT-19512,
HW-100208,Rai Branch,0,7.148,batch,DEW-3984,
HW-100209,Shuwaikh Main,2,3.152,none,BLA-75259,
HW-100210,Fahaheel Branch,2,21.928,none,BOS-78874,
HW-100211,Rai Branch,5,1.573,none,HIT-44262,
HW-100212,Ardiya Warehouse,3,18.179,none,CRO-90091,
HW-100213,Shuwaikh Main,4,12.848,none,SKI-35239,
HW-100214,Shuwaikh Main,5,17.767,none,CRO-48570,
HW-100215,Fahaheel Branch,4,7.773,none,TOL-83843,
HW-100216,Fahaheel Branch,1,14.993,none,HIT-31744,
HW-100217,Ardiya Warehouse,0,13.067,none,RID-59192,
HW-100218,Ardiya Warehouse,5,6.500,serial,RID-93416,SN-HW-100218-1;SN-HW-100218-2;SN-HW-100218-3;SN-HW-100218-4;SN-HW-100218-5
HW-100219,Rai Branch,3,289.087,none,AL--11714,
HW-100220,Rai Branch,5,7.619,none,HIL-29474,
HW-100221,Fahaheel Branch,0,KWD 24.529,batch,CRO-72341,
HW-100222,Shuwaikh Main,1,KD 204.454,none,BOS-38724,
HW-100223,Rai Branch,0,13.340,none,MAK-47702,
HW-100224,Fahaheel Branch,4,7.368,none,AL--56046,
HW-100225,Ardiya Warehouse,0,17.208,none,,
HW-100226,Fahaheel Branch,3,3.427,none,TRU-36476,
HW-100227,Rai Branch,0,23.163,none,BLA-15727,
HW-100228,Shuwaikh Main,4,2.223,none,YAT-58167,
HW-100229,Ardiya Warehouse,0,14.243,none,TRU-25988,
HW-100230,Rai Branch,2,19.974,none,,
HW-100231,Shuwaikh Main,4,1.357,batch,TRU-60409,
HW-100232,Shuwaikh Main,2,15.053,none,YAT-42344,
HW-100233,Ardiya Warehouse,2,1.351,none,SAT-46851,
HW-100234,Ardiya Warehouse,1,5.846,serial,HIT-8759,SN-HW-100234-1
HW-100235,Shuwaikh Main,0,16.619,serial,KAR-39196,
HW-100236,Fahaheel Branch,1,11.411,none,STA-73018,
HW-100237,Rai Branch,2,17.710,none,TOL-7174,
HW-100238,Rai Branch,0,15.750,none,KAR-90827,
HW-100239,Ardiya Warehouse,1,7.119,none,BOS-49396,
HW-100240,Rai Branch,0,8.179,batch,HIL-49671,
HW-100241,Ardiya Warehouse,0,22.956,none,TOL-68717,
HW-100242,Fahaheel Branch,0,19.072,none,SAT-49909,
HW-100243,Fahaheel Branch,4,5.703,none,RID-29814,
HW-100244,Ardiya Warehouse,1,8.964,none,STA-44100,
HW-100245,Fahaheel Branch,0,9.815,none,BOS-8691,
HW-100246,Ardiya Warehouse,4,17.977,none,SKI-80744,
HW-100247,Rai Branch,4,8.877,none,HIT-34060,
HW-100248,Shuwaikh Main,2,12.702,none,,
HW-100249,Rai Branch,3,0.935,none,BLA-10110,
HW-100250,Ardiya Warehouse,1,16.825,batch,SAT-55096,
HW-100251,Fahaheel Branch,1,19.945,none,,
HW-100252,Ardiya Warehouse,2,14.780,none,MET-5650,
HW-100253,Ardiya Warehouse,5,0.445,none,,
HW-100254,Ardiya Warehouse,3,5.617,none,HIL-30681,
HW-100255,Fahaheel Branch,1,23.275,none,HIT-7797,
HW-100256,Shuwaikh Main,0,KD 22.924,none,TRU-74081,
HW-100257,Ardiya Warehouse,3,9.906,none,DEW-11649,
HW-100258,Ardiya Warehouse,3,9.984,none,AL--48317,
HW-100259,Shuwaikh Main,3,17.033,none,MET-23885,
HW-100260,Fahaheel Branch,3,9.621,none,SAT-24369,
HW-100261,Rai Branch,4,KD 21.079,serial,AL--19378,SN-HW-100261-1;SN-HW-100261-2;SN-HW-100261-3;SN-HW-100261-4
HW-100262,Fahaheel Branch,2,0.111,none,CRO-26660,
HW-100263,Shuwaikh Main,0,0.446,none,AL--58192,
HW-100264,Shuwaikh Main,1,9.420,none,,
HW-100265,Rai Branch,4,5.037,none,ING-53450,
HW-100266,Rai Branch,2,7.274,none,SKI-56728,
HW-100267,Rai Branch,4,3.607,batch,DEW-70525,
HW-100268,Rai Branch,1,16.980,serial,ING-78722,SN-HW-100268-1
HW-100269,Rai Branch,5,13.907,none,,
HW-100270,Fahaheel Branch,4,12.060,none,YAT-64648,
HW-100271,Fahaheel Branch,0,11.817,none,TOL-29080,
HW-100272,Rai Branch,0,8.571,none,TRU-30774,
HW-100273,Ardiya Warehouse,5,12.345,none,BOS-82826,
HW-100274,Ardiya Warehouse,1,21.605,batch,KAR-69672,
HW-100275,Shuwaikh Main,3,1.728,none,STA-27558,
HW-100276,Fahaheel Branch,4,1.220,none,HIL-17640,
HW-100277,Rai Branch,0,KWD 20.586,none,HIT-57990,
HW-100278,Rai Branch,3,KD 16.428,none,BLA-98631,
HW-100279,Rai Branch,5,19.280,batch,BLA-81507,
HW-100280,Fahaheel Branch,5,2.059,serial,,SN-HW-100280-1;SN-HW-100280-2;SN-HW-100280-3;SN-HW-100280-4;SN-HW-100280-5
HW-100281,Ardiya Warehouse,0,18.172,none,TOL-4242,
HW-100282,Fahaheel Branch,5,13.470,serial,TRU-1607,SN-HW-100282-1;SN-HW-100282-2;SN-HW-100282-3;SN-HW-100282-4;SN-HW-100282-5
HW-100283,Shuwaikh Main,3,145.684,batch,BOS-80673,
HW-100284,Shuwaikh Main,2,24.170,none,HIT-17619,
HW-100285,Fahaheel Branch,5,18.934,batch,HIT-44445,
HW-100286,Rai Branch,5,10.204,serial,TOT-86384,SN-HW-100286-1;SN-HW-100286-2;SN-HW-100286-3;SN-HW-100286-4;SN-HW-100286-5
HW-100287,Ardiya Warehouse,0,12.225,none,HIT-6741,
HW-100288,Rai Branch,4,7.205,none,CRO-98097,
HW-100289,Fahaheel Branch,1,10.703,none,MET-22816,
HW-100290,Fahaheel Branch,0,10.081,none,,
HW-100291,Shuwaikh Main,0,18.611,batch,TRU-64637,
HW-100292,Fahaheel Branch,1,185.676,none,KAR-77797,
HW-100293,Ardiya Warehouse,1,3.711,none,HIT-90824,
HW-100294,Shuwaikh Main,3,20.084,none,TRU-41471,
HW-100295,Rai Branch,0,15.156,none,TRU-99115,
HW-100296,Shuwaikh Main,1,16.223,none,,
HW-100297,Shuwaikh Main,3,12.665,none,RID-83574,
HW-100298,Fahaheel Branch,0,7.123,none,BLA-6552,
HW-100299,Fahaheel Branch,0,23.889,none,ING-15318,
HW-100300,Fahaheel Branch,0,16.439,none,MAK-5815,
HW-100301,Fahaheel Branch,4,8.568,none,TOT-25226,
HW-100302,Fahaheel Branch,2,17.595,none,SAT-95617,
HW-100303,Rai Branch,2,5.877,serial,MET-93115,SN-HW-100303-1;SN-HW-100303-2
HW-100304,Fahaheel Branch,3,18.507,none,SAT-96190,
HW-100305,Ardiya Warehouse,4,KWD 13.847,none,YAT-44640,
HW-100306,Shuwaikh Main,5,56.266,none,,
HW-100307,Shuwaikh Main,0,3.344,none,RID-45598,
HW-100308,Shuwaikh Main,5,22.105,none,BLA-85582,
HW-100309,Fahaheel Branch,5,14.199,none,MET-54849,
HW-100310,Rai Branch,2,16.882,none,CRO-14332,
HW-100311,Shuwaikh Main,4,6.955,none,DEW-42063,
HW-100312,Fahaheel Branch,3,2.760,none,SAT-71547,
HW-100313,Ardiya Warehouse,0,24.816,none,BLA-40805,
HW-100314,Shuwaikh Main,5,10.248,serial,MAK-57362,SN-HW-100314-1;SN-HW-100314-2;SN-HW-100314-3;SN-HW-100314-4;SN-HW-100314-5
HW-100315,Ardiya Warehouse,0,23.723,none,MAK-52225,
HW-100316,Fahaheel Branch,1,6.685,none,YAT-29136,
HW-100317,Shuwaikh Main,5,23.494,none,,
HW-100318,Ardiya Warehouse,2,14.997,none,MET-80204,
HW-100319,Rai Branch,1,3.098,serial,TOT-50941,SN-HW-100319-1
HW-100320,Ardiya Warehouse,0,7.846,serial,TOL-14291,
HW-100321,Ardiya Warehouse,5,8.173,none,,
HW-100322,Ardiya Warehouse,0,22.857,none,SKI-36512,
HW-100323,Shuwaikh Main,0,15.838,none,HIT-99149,
HW-100324,Fahaheel Branch,0,2.197,none,BLA-89179,
HW-100325,Fahaheel Branch,1,12.393,none,TOT-85018,
HW-100326,Shuwaikh Main,4,KWD 4.868,batch,TOT-39047,
HW-100327,Rai Branch,4,21.014,none,BLA-75066,
HW-100328,Fahaheel Branch,3,18.560,none,MET-9422,
HW-100329,Shuwaikh Main,5,1.862,batch,MET-75406,
HW-100330,Shuwaikh Main,1,11.343,none,HIT-66109,
HW-100331,Fahaheel Branch,5,14.379,none,BLA-12193,
HW-100332,Ardiya Warehouse,1,7.919,none,BLA-24935,
HW-100333,Shuwaikh Main,1,7.679,none,MAK-39183,
HW-100334,Fahaheel Branch,1,23.849,none,ING-19314,
HW-100335,Ardiya Warehouse,4,7.867,none,,
HW-100336,Fahaheel Branch,1,KWD 4.433,none,GUL-13213,
HW-100337,Shuwaikh Main,0,9.219,none,DEW-38274,
HW-100338,Fahaheel Branch,5,22.105,serial,HIT-72064,SN-HW-100338-1;SN-HW-100338-2;SN-HW-100338-3;SN-HW-100338-4;SN-HW-100338-5
HW-100339,Rai Branch,4,KWD 23.910,none,ING-42508,
HW-100340,Shuwaikh Main,0,9.736,none,TOT-1119,
HW-100341,Rai Branch,2,9.386,none,SAT-81635,
HW-100342,Fahaheel Branch,2,22.250,batch,BLA-61927,
HW-100343,Shuwaikh Main,0,5.839,none,AL--44833,
HW-100344,Shuwaikh Main,5,20.769,none,TRU-46924,
HW-100345,Fahaheel Branch,0,KD 7.529,none,AL--30829,
HW-100346,Ardiya Warehouse,0,16.484,none,BLA-81437,
HW-100347,Fahaheel Branch,3,4.589,none,RID-74312,
HW-100348,Ardiya Warehouse,3,146.508,none,DEW-79024,
HW-100349,Shuwaikh Main,4,14.960,none,BLA-28391,
HW-100350,Shuwaikh Main,4,2.519,none,ING-91385,
HW-100351,Rai Branch,3,1.220,none,DEW-4086,
HW-100352,Shuwaikh Main,0,24.847,batch,,
HW-100353,Rai Branch,2,18.623,none,BOS-54722,
HW-100354,Rai Branch,1,9.053,none,SKI-29161,
HW-100355,Shuwaikh Main,3,5.670,serial,SAT-27966,SN-HW-100355-1;SN-HW-100355-2;SN-HW-100355-3
HW-100356,Shuwaikh Main,0,18.796,none,CRO-90516,
HW-100357,Rai Branch,3,7.173,none,BOS-5535,
HW-100358,Shuwaikh Main,0,7.198,none,TRU-99592,
HW-100359,Fahaheel Branch,2,20.328,none,HIT-29491,
HW-100360,Shuwaikh Main,1,5.365,none,MET-64069,
HW-100361,Shuwaikh Main,4,15.554,none,RID-48405,
HW-100362,Ardiya Warehouse,4,10.529,none,AL--11745,
HW-100363,Rai Branch,3,13.978,batch,DEW-92982,
HW-100364,Shuwaikh Main,2,KWD 18.339,serial,BLA-58995,SN-HW-100364-1;SN-HW-100364-2
HW-100365,Rai Branch,0,20.594,none,STA-12887,
HW-100366,Fahaheel Branch,4,17.069,serial,HIT-92056,SN-HW-100366-1;SN-HW-100366-2;SN-HW-100366-3;SN-HW-100366-4
HW-100367,Ardiya Warehouse,4,16.857,serial,DEW-86773,SN-HW-100367-1;SN-HW-100367-2;SN-HW-100367-3;SN-HW-100367-4
HW-100368,Fahaheel Branch,5,8.472,batch,CRO-34735,
HW-100369,Rai Branch,0,20.491,none,BLA-91659,
HW-100370,Fahaheel Branch,4,KWD 8.178,none,MET-92258,
HW-100371,Ardiya Warehouse,3,22.466,none,SKI-54267,
HW-100372,Shuwaikh Main,0,1.341,none,GUL-1024,
HW-100373,Fahaheel Branch,3,21.188,batch,TRU-23891,
HW-100374,Shuwaikh Main,0,4.187,serial,MET-38501,
HW-100375,Shuwaikh Main,0,KD 1.058,none,HIL-15873,
HW-100376,Shuwaikh Main,4,18.952,none,,
HW-100377,Ardiya Warehouse,1,15.589,batch,MET-98217,
HW-100378,Shuwaikh Main,1,18.446,batch,MAK-91685,
HW-100379,Rai Branch,5,15.226,none,STA-92546,
HW-100380,Shuwaikh Main,0,9.838,serial,HIL-18725,
HW-100381,Rai Branch,3,15.679,none,DEW-21103,
HW-100382,Fahaheel Branch,1,20.974,none,BLA-59204,
HW-100383,Rai Branch,2,7.924,none,DEW-76571,
HW-100384,Shuwaikh Main,3,6.811,serial,TOL-69461,SN-HW-100384-1;SN-HW-100384-2;SN-HW-100384-3
HW-100385,Shuwaikh Main,5,299.093,none,TOT-28607,
HW-100386,Rai Branch,2,3.959,none,CRO-79381,
HW-100387,Fahaheel Branch,0,2.049,serial,MET-74038,
HW-100388,Ardiya Warehouse,4,2.470,batch,,
HW-100389,Fahaheel Branch,3,16.926,batch,STA-83710,
HW-100390,Rai Branch,4,2.199,none,BLA-3741,
HW-100391,Shuwaikh Main,1,10.587,none,KAR-86599,
HW-100392,Shuwaikh Main,1,15.424,none,BOS-44716,
HW-100393,Ardiya Warehouse,0,6.814,none,TOT-26759,
HW-100394,Rai Branch,0,5.525,none,RID-63550,
HW-100395,Ardiya Warehouse,1,6.125,batch,SKI-22871,
HW-100396,Shuwaikh Main,1,9.927,batch,RID-18166,
HW-100397,Fahaheel Branch,3,13.749,none,YAT-34441,
HW-100398,Fahaheel Branch,5,9.444,none,,
HW-100399,Rai Branch,1,11.545,none,SAT-94717,
HW-100400,Shuwaikh Main,0,11.875,none,HIT-16074,
HW-100401,Fahaheel Branch,0,22.062,none,GUL-91245,
HW-100402,Rai Branch,4,8.992,none,BLA-45577,
HW-100403,Ardiya Warehouse,0,20.188,batch,RID-30326,
HW-100404,Rai Branch,5,1.570,none,GUL-11036,
HW-100405,Fahaheel Branch,2,13.356,batch,STA-9497,
HW-100406,Shuwaikh Main,3,6.286,none,MET-4991,
HW-100407,Ardiya Warehouse,5,23.393,none,TRU-22966,
HW-100408,Ardiya Warehouse,3,14.937,none,AL--40972,
HW-100409,Fahaheel Branch,4,21.733,none,,
HW-100410,Ardiya Warehouse,0,2.313,batch,CRO-60260,
HW-100411,Rai Branch,0,9.201,none,STA-72672,
HW-100412,Rai Branch,2,20.644,none,SKI-67466,
HW-100413,Rai Branch,1,18.069,none,RID-58524,
