name,nameAlt,code,openingBalance,phone,email,taxNumber,paymentTermDays,status,addressLine1,addressLine2,city,state,postalCode,country,notes
AL-DUAIJ TRADING EST. 2,,SUP-1060,5616.035,+965 72465432,alduaij60@example.com.kw,,45,inactive,28 Block 4,,Farwaniya,,,Kuwait,
Kuwait Paint W.L.L. 2,,SUP-1061,0.000,+965 64862093,kuwait.paint61@example.com.kw,,0,active,18 Bldg 4,,Farwaniya,,,Kuwait,
Al-Hajeri Trading Co. 2,,SUP-1062,269.867,+965 78204377,alhajeri62@example.com.kw,,0,active,,,Ardiya,,,Kuwait,
Al-Roumi Trading Co. 2,,SUP-1063,0.000,+965 94527710,alroumi63@example.com.kw,,90,active,68 St 1,,Shuwaikh,,,Kuwait,
Al-Sabah Trading W.L.L. 2,,SUP-1064,0.000,+965 83288626,alsabah.trading64@example.com.kw,,15,active,99 Block 8,,Hawally,,,Kuwait,Imported opening balance
gulf safety supplies w.l.l. 2,,SUP-1065,0.000,+965 84603149,,,15,active,69 St 17,,Rai,,,Kuwait,Imported opening balance
Al-Ajmi Est. 2  ,,SUP-1066,0.000,+965 53097012,alajmi66@example.com.kw,,90,active,,,Ardiya,,,Kuwait,
Continental Hardware Trading Est. 2,,SUP-1067,7371.354,+965 84435581,continental.hardware67@example.com.kw,,15,active,12 St 19,,Jahra,,,Kuwait,Imported opening balance
AL-YAQOUT  W.L.L. 2,,SUP-1068,0.000,+965 74016747,,,45,active,,,Ardiya,,,Kuwait,
Salem Trading Trading Est. 2,,SUP-1069,7523.990,+965 82045350,salem.trading69@example.com.kw,,30,blocked,,,Fahaheel,,,Kuwait,
Al-Khaled General Trading Co. W.L.L. 2,,SUP-1070,6566.294,+965 52386669,alkhaled70@example.com.kw,,60,active,26 Block 4,,Fahaheel,,,Kuwait,Imported opening balance
Desert Star Hardware Trading Co. 2,,SUP-1071,4879.683,+965 96718150,,,45,active,20 Bldg 11,,Salmiya,,,Kuwait,Imported opening balance
Al-Anjari Est. 2  ,,SUP-1072,4999.555,+965 87170140,alanjari72@example.com.kw,,90,active,63 St 20,,Rai,,,Kuwait,
gulf ironmongery trading est. 2,,SUP-1073,7910.196,+965 97968029,gulf.ironmongery73@example.com.kw,,90,active,21 St 20,,Shuwaikh,,,Kuwait,Imported opening balance
Al-Nasser  W.L.L. 2,,SUP-1074,0.000,+965 84965514,alnasser74@example.com.kw,,60,active,29 St 9,,Shuwaikh,,,Kuwait,Imported opening balance
Bin  Nakhi General Trading Co. W.L.L. 2,,SUP-1075,1267.775,+965 62823210,bin.nakhi75@example.com.kw,,45,active,46 Bldg 2,,Hawally,,,Kuwait,Imported opening balance
Al-Enezi W.L.L. 2,,SUP-1076,KWD 5909.195,+965 96660342,alenezi76@example.com.kw,,30,active,42 St 20,,Farwaniya,,,Kuwait,Imported opening balance
Kuwait Adhesives General Trading Co. W.L.L. 2,,SUP-1077,0.000,+965 54489865,kuwait.adhesives77@example.com.kw,,45,active,48 St 16,,Hawally,,,Kuwait,Imported opening balance
Al-Osaimi General Trading Co. W.L.L. 2,,SUP-1078,6481.923,+965 85347273,alosaimi78@example.com.kw,,45,active,23 St 2,,Kuwait City,,,Kuwait,
first gulf tools trading co. 2,,SUP-1079,KWD 0.000,+965 98981692,first.gulf.tools79@example.com.kw,,45,active,,,Rai,,,Kuwait,
Sultan Center Trading Co.,,SUP-9458,0.000,+965 83438802,dup6166@example.com.kw,,45,active,70 St 10,,Ardiya,,,Kuwait,
Al-Bahar W.L.L.,,SUP-9794,0.000,+965 90830877,dup4395@example.com.kw,,90,active,16 Block 11,,Shuwaikh,,,Kuwait,Imported opening balance
