name,nameAlt,code,openingBalance,phone,email,taxNumber,paymentTermDays,creditLimit,status,addressLine1,addressLine2,city,state,postalCode,country,notes
Salem Al-Rashidi 3,,CUST-1086,0.000,+965 63014567,salem.alrashidi86@example.com.kw,,15,20720.030,inactive,14 St 8,,Farwaniya,,,Kuwait,
Fahad Al-Otaibi 3,,CUST-1087,4864.001,+965 62185014,fahad.alotaibi87@example.com.kw,,45,30455.660,active,9 Bldg 14,,Ahmadi,,,Kuwait,
Al-Mutairi Est. 3,,CUST-1088,1111.921,+965 64301481,almutairi.est.88@example.com.kw,,60,30003.656,active,,,Kuwait City,,,Kuwait,Imported opening balance
New Kuwait Contracting 3,,CUST-1089,994.201,+965 90706711,new.kuwait.contracting89@example.com.kw,,30,48691.211,active,19 Block 16,,Shuwaikh,,,Kuwait,
Al-Ajmi Interiors 3,,CUST-1090,0.000,+965 56376346,alajmi.interiors90@example.com.kw,,0,11900.570,active,75 Block 3,,Hawally,,,Kuwait,
Ahmad Al-Kandari 3,,CUST-1091,0.000,+965 60641821,ahmad.alkandari91@example.com.kw,,30,33215.946,active,87 Block 8,,Ahmadi,,,Kuwait,Imported opening balance
Al-Enezi General Maintenance 3,,CUST-1092,5513.223,+965 67484690,,,30,21037.468,active,91 Block 15,,Ahmadi,,,Kuwait,Imported opening balance
Desert Rose Interiors 3,,CUST-1093,3558.653,+965 62261278,desert.rose.interiors93@example.com.kw,,0,44705.229,active,92 Bldg 5,,Shuwaikh,,,Kuwait,
Al-Anjari Villas  Est. 3,,CUST-1094,0.000,+965 98025053,alanjari.villas94@example.com.kw,,45,19687.695,active,91 Bldg 9,,Shuwaikh,,,Kuwait,Imported opening balance
AL-ROUMI RENOVATION  EST. 3,,CUST-1095,7257.989,+965 65023019,alroumi.renovation95@example.com.kw,,30,8836.192,active,3 St 6,,Kuwait City,,,Kuwait,
Union Facility Services  Est. 3  ,,CUST-1096,"3,860.697",+965 62850365,union.facility.services96@example.com.kw,,45,23335.140,active,65 St 2,,Farwaniya,,,Kuwait,Imported opening balance
Al-Yaqout Villas 3,,CUST-1097,0.000,+965 53876348,alyaqout.villas97@example.com.kw,,90,KD 23385.177,active,34 St 4,,Ardiya,,,Kuwait,Imported opening balance
Al-Qadi Household 3,,CUST-1098,KD 5213.917,+965 89636851,alqadi.household98@example.com.kw,,45,38419.502,active,80 St 19,,Fahaheel,,,Kuwait,
Nasser Al-Hajeri 3,,CUST-1099,6212.012,+965 90487303,nasser.alhajeri99@example.com.kw,,30,31607.446,active,85 Bldg 8,,Salmiya,,,Kuwait,Imported opening balance
Al-Ghanim Home Repairs 3,,CUST-1100,0.000,+965 99483068,alghanim.home.repairs100@example.com.kw,,15,15305.530,active,,,Kuwait City,,,Kuwait,
Al-Bahar Property Services 3,,CUST-1101,1795.449,+965 90016419,,,0,4332.884,active,29 Bldg 4,,Rai,,,Kuwait,Imported opening balance
Gulf Facility Management 3,,CUST-1102,"4,200.849",+965 67376600,gulf.facility.management102@example.com.kw,,0,4688.834,active,62 Bldg 12,,Farwaniya,,,Kuwait,Imported opening balance
Continental Maintenance Co. 3,,CUST-1103,724.016,+965 71214647,continental.maintenance.co.103@example.com.kw,,0,12297.459,active,40 St 8,,Rai,,,Kuwait,
Al-Zamil Villas 3.,,CUST-1104,2017.797,+965 96187973,alzamil.villas104@example.com.kw,,60,34936.222,active,8 Bldg 10,,Rai,,,Kuwait,
Bin Hindi Property  Est. 3,,CUST-1105,7297.626,+965 61745925,bin.hindi.property105@example.com.kw,,60,KD 26691.911,active,9 Bldg 14,,Fahaheel,,,Kuwait,
Al-Wazzan Maintenance  Est. 3,,CUST-1106,436.606,+965 50858064,alwazzan.maintenance106@example.com.kw,,0,20569.596,active,38 Bldg 12,,Kuwait City,,,Kuwait,Imported opening balance
Al-Marzouq Home 3,,CUST-1107,0.000,+965 55786953,almarzouq.home107@example.com.kw,,90,31111.739,active,98 Block 7,,Shuwaikh,,,Kuwait,Imported opening balance
Farwaniya Fix-It Center 3,,CUST-1108,0.000,+965 90948187,farwaniya.fixit.center108@example.com.kw,,90,43654.778,active,9 Block 8,,Shuwaikh,,,Kuwait,
Salmiya Handyman Services  Est. 3,,CUST-1109,696.141,+965 98110148,salmiya.handyman.services109@example.com.kw,,90,49277.974,active,,,Shuwaikh,,,Kuwait,Imported opening balance
Hawally  Repair Shop 3,,CUST-1110,0.000,+965 51281354,hawally.repair.shop110@example.com.kw,,0,6091.064,active,15 St 6,,Ahmadi,,,Kuwait,
Jahra Building Supplies Buyer 3,,CUST-1111,7898.913,+965 99887177,jahra.building.supplies.buyer111@example.com.kw,,0,1878.523,active,79 Block 11,,Fahaheel,,,Kuwait,
Ahmadi Villa Care 3,,CUST-1112,0.000,+965 84141819,ahmadi.villa.care112@example.com.kw,,0,46210.163,active,24 Bldg 14,,Kuwait City,,,Kuwait,Imported opening balance
fahaheel home services 3,,CUST-1113,KD 3793.614,+965 77211973,fahaheel.home.services113@example.com.kw,,45,12917.838,active,32 St 6,,Kuwait City,,,Kuwait,Imported opening balance
Al-Khaled General Trading 3,,CUST-1114,0.000,+965 73557993,alkhaled.general.trading114@example.com.kw,,60,43085.522,active,27 Block 6,,Rai,,,Kuwait,Imported opening balance
Al-Nasser Renovation 3,,CUST-1115,0.000,+965 68689102,alnasser.renovation115@example.com.kw,,90,16382.332,active,11 Bldg 16,,Hawally,,,Kuwait,Imported opening balance
Al-Osaimi Maintenance  Est. 3,,CUST-1116,KWD 0.000,+965 83470790,alosaimi.maintenance116@example.com.kw,,15,7707.405,active,,,Kuwait City,,,Kuwait,
First Gulf Interiors 3,,CUST-1117,KD 0.000,+965 59093117,first.gulf.interiors117@example.com.kw,,15,47376.965,active,41 Block 9,,Jahra,,,Kuwait,
Al-Rashed Villas 3  ,,CUST-1118,971.563,+965 54863029,alrashed.villas118@example.com.kw,,30,8007.302,active,42 Bldg 4,,Ardiya,,,Kuwait,
Al-Sanea Property 3,,CUST-1119,2108.758,+965 85094866,alsanea.property119@example.com.kw,,0,5417.508,active,67 Bldg 14,,Kuwait City,,,Kuwait,
 Al-Fahad Contracting  Est. 4 ,,CUST-1120,0.000,+965 95573149,alfahad.contracting120@example.com.kw,,0,KWD 36510.243,active,50 Bldg 7,,Hawally,,,Kuwait,
Modern Home Fix-It  Est. 4,,CUST-1121,654.769,+965 99648955,modern.home.fixit121@example.com.kw,,0,18375.184,inactive,11 Block 17,,Ahmadi,,,Kuwait,Imported opening balance
Al-Sabah Villa Services 4,,CUST-1122,0.000,+965 75150574,alsabah.villa.services122@example.com.kw,,15,30109.520,active,,,Ahmadi,,,Kuwait,Imported opening balance
BAYT AL-JOMARD 4,,CUST-1123,3043.815,+965 64102271,bayt.aljomard123@example.com.kw,,15,743.265,active,1 Bldg 14,,Jahra,,,Kuwait,Imported opening balance
  AL-DUAIJ MAINTENANCE 4,,CUST-1124,"7,183.232",+965 71760491,alduaij.maintenance124@example.com.kw,,15,"30,739.184",active,2 Block 14,,Jahra,,,Kuwait,
Gulf Builders 4,,CUST-1125,0.000,+965 88277531,gulf.builders125@example.com.kw,,45,23101.987,active,14 Block 7,,Rai,,,Kuwait,Imported opening balance
"Salem Al-Rashidi 4,",,CUST-1126,644.167,+965 84379187,salem.alrashidi126@example.com.kw,,15,1891.345,active,44 Block 7,,Fahaheel,,,Kuwait,Imported opening balance
Fahad Al-Otaibi 4,,CUST-1127,0.000,+965 81648649,fahad.alotaibi127@example.com.kw,,15,26872.444,active,41 Block 13,,Fahaheel,,,Kuwait,
Al-Mutairi Est. 4,,CUST-1128,7383.895,+965 77744038,almutairi.est.128@example.com.kw,,45,27500.978,active,8 Bldg 10,,Rai,,,Kuwait,
New Kuwait Contracting 4,,CUST-1129,480.621,+965 96603242,new.kuwait.contracting129@example.com.kw,,90,44062.817,active,,,Fahaheel,,,Kuwait,Imported opening balance
Al-Ajmi Interiors 4,,CUST-1130,0.000,+965 85802055,alajmi.interiors130@example.com.kw,,0,2776.684,active,8 Block 3,,Ahmadi,,,Kuwait,Imported opening balance
Ahmad Al-Kandari  Est. 4,,CUST-1131,KWD 0.000,+965 95703137,ahmad.alkandari131@example.com.kw,,30,49666.736,active,71 Block 1,,Rai,,,Kuwait,Imported opening balance
Al-Enezi General Maintenance  Est. 4,,CUST-1132,0.000,+965 55916871,alenezi.general.maintenance132@example.com.kw,,45,14159.523,active,,,Hawally,,,Kuwait,
Desert Rose Interiors 4,,CUST-1133,4089.483,+965 71842765,desert.rose.interiors133@example.com.kw,,15,40261.604,active,66 Bldg 3,,Hawally,,,Kuwait,Imported opening balance
Al-Anjari  Villas 4,,CUST-1134,KWD 2254.064,+965 90274611,alanjari.villas134@example.com.kw,,30,KWD 1888.038,active,17 St 20,,Farwaniya,,,Kuwait,
Al-Roumi Renovation 4,,CUST-1135,0.000,+965 53334093,alroumi.renovation135@example.com.kw,,0,12015.689,active,90 Bldg 17,,Fahaheel,,,Kuwait,Imported opening balance
Union Facility Services 4,,CUST-1136,155.598,+965 83706679,,,60,40256.792,active,86 Block 18,,Hawally,,,Kuwait,Imported opening balance
Al-Yaqout Villas 4,,CUST-1137,0.000,+965 83329439,alyaqout.villas137@example.com.kw,,60,KD 8622.857,active,,,Farwaniya,,,Kuwait,Imported opening balance
Al-Qadi Household 4  ,,CUST-1138,539.176,+965 70503318,alqadi.household138@example.com.kw,,30,KWD 27794.400,active,,,Rai,,,Kuwait,Imported opening balance
Nasser Al-Hajeri 4,,CUST-1139,4525.242,+965 85884026,nasser.alhajeri139@example.com.kw,,30,"40,191.150",active,,,Kuwait City,,,Kuwait,Imported opening balance
Al-Ghanim Home Repairs  Est. 4  ,,CUST-1140,0.000,+965 65261999,alghanim.home.repairs140@example.com.kw,,45,39987.442,active,3 Block 10,,Rai,,,Kuwait,
Al-Bahar Property Services 4,,CUST-1141,0.000,+965 96482462,albahar.property.services141@example.com.kw,,30,20723.690,active,,,Fahaheel,,,Kuwait,Imported opening balance
Gulf Facility Management 4,,CUST-1142,7890.500,+965 83047087,gulf.facility.management142@example.com.kw,,60,43608.002,active,67 Bldg 5,,Ardiya,,,Kuwait,Imported opening balance
Continental Maintenance Co. 4,,CUST-1143,7676.197,+965 95648107,,,45,18162.358,active,100 Bldg 4,,Shuwaikh,,,Kuwait,
Al-Zamil Villas 4,,CUST-1144,KWD 1780.100,+965 80397571,alzamil.villas144@example.com.kw,,60,"24,294.526",active,81 Bldg 18,,Ahmadi,,,Kuwait,Imported opening balance
  Bin Hindi Property 4,,CUST-1145,7715.142,+965 78924874,bin.hindi.property145@example.com.kw,,15,43856.133,active,30 Block 13,,Jahra,,,Kuwait,
Al-Wazzan Maintenance  Est. 4,,CUST-1146,19.629,+965 62809346,alwazzan.maintenance146@example.com.kw,,15,42312.933,inactive,,,Salmiya,,,Kuwait,Imported opening balance
  Al-Marzouq Home 4.,,CUST-1147,0.000,+965 91933749,almarzouq.home147@example.com.kw,,15,17603.632,active,69 Bldg 16,,Fahaheel,,,Kuwait,Imported opening balance
Farwaniya Fix-It Center 4,,CUST-1148,0.000,+965 84495913,farwaniya.fixit.center148@example.com.kw,,15,KWD 2685.179,active,65 St 20,,Salmiya,,,Kuwait,
Salmiya Handyman Services 4,,CUST-1149,819.330,+965 50762131,salmiya.handyman.services149@example.com.kw,,90,33255.625,active,57 Block 12,,Ahmadi,,,Kuwait,
Hawally Repair Shop 4,,CUST-1150,4921.413,+965 92342228,hawally.repair.shop150@example.com.kw,,0,3136.360,active,74 St 10,,Shuwaikh,,,Kuwait,
Jahra Building Supplies Buyer 4,,CUST-1151,KD 0.000,+965 74557863,jahra.building.supplies.buyer151@example.com.kw,,45,"42,520.925",active,18 St 18,,Farwaniya,,,Kuwait,
Ahmadi Villa Care 4,,CUST-1152,0.000,+965 86773133,ahmadi.villa.care152@example.com.kw,,60,3475.830,active,13 Block 14,,Rai,,,Kuwait,
Fahaheel Home Services 4,,CUST-1153,1644.166,+965 56377096,fahaheel.home.services153@example.com.kw,,15,44773.785,active,76 St 10,,Shuwaikh,,,Kuwait,
"Al-Khaled General Trading 4,",,CUST-1154,2290.379,+965 66782580,alkhaled.general.trading154@example.com.kw,,90,24409.124,active,3 Block 9,,Shuwaikh,,,Kuwait,
Al-Nasser Renovation 4,,CUST-1155,3769.841,+965 52382219,alnasser.renovation155@example.com.kw,,45,30226.693,active,28 St 19,,Kuwait City,,,Kuwait,Imported opening balance
Al-Osaimi Maintenance 4,,CUST-1156,97.685,+965 50456782,alosaimi.maintenance156@example.com.kw,,15,21533.730,active,92 Bldg 17,,Rai,,,Kuwait,Imported opening balance
